country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Australia,1991,57.094,9.888,1946580.0,67.7641860133094,1.849,9.586,80.716254,80.4,8.04530608951438,74.3,17284036.0,16.8535852894897,6.3,14.9,118.763,6.9,66.8243550760026,89.054016,21.9133447055195,8.0,-0.381874771857909,-1.64357108847297,65.316,9.165,57.476,82.515095607462,3.17667536988685,49.6460329771239,32.7924476876342,9.586,3787510.0,77.2756097560976,65.890440387177
Australia,1992,56.124,11.308,1999996.0,67.6577623341879,1.888,10.733,80.952394,80.4,7.84989470199647,74.5,17478635.0,17.1461732193899,5.9,15.1,116.61,7.1,66.7351142768528,89.15465,21.822365795879,7.5,0.427678437851654,-0.690436666464393,64.999,9.938,56.006,82.4339121954683,1.01223112610714,49.8461513665485,32.6999781471585,10.733,3814252.0,77.3780487804878,65.8192484784694
Australia,1993,55.664,11.512,2048141.0,67.5642954003238,1.859,10.879,81.846473,80.9,7.68751146240943,75.0,17634808.0,17.4246016736335,5.6,14.7,112.772,6.9,66.6540056224905,89.688288,21.7317994394184,7.0,4.04515704898813,3.12373821007526,61.603,10.007,55.981,82.1360035732107,1.75365344467641,50.0284916863658,32.6038900127324,10.879,3832361.0,77.8780487804878,65.7512328285552
Australia,1994,56.831,9.984,2094578.0,67.4978317151428,1.842,9.724,81.919275,80.9,7.5908317762177,75.0,17805468.0,17.6627767279636,5.3,14.5,112.33,7.1,66.6015210802233,89.707133,21.6348018006118,6.7,3.97970617529882,2.98309228927927,62.04,9.371,58.662,82.5710404537388,1.96963479688141,50.1467233417319,32.4839466137683,9.724,3852178.0,77.8780487804878,65.7132950046486
Australia,1995,58.167,8.744,2140654.0,67.4696981368415,1.822,8.473,82.575489,80.8,7.59150635074686,75.0,18004882.0,17.8542034136816,5.1,14.2,108.979,6.9,66.5910274171542,89.941497,21.519675694033,6.4,3.88316480376135,2.73260144954565,60.378,8.112,60.749,82.9165485874234,4.62776659959759,50.1703804852791,32.3161770715975,8.473,3874592.0,77.8292682926829,65.7209299651799
Australia,1996,58.124,8.712,2188065.0,67.4698016923971,1.796,8.509,82.742538,81.1,7.67355721757524,75.2,18224767.0,18.0225634473405,4.9,13.9,107.832,7.0,66.6164777205034,90.011658,21.3775259624292,6.2,3.86393433962627,2.61079781380573,60.117,8.241,60.447,83.2149712922386,2.61538461538461,50.1130083295046,32.0904448821641,8.509,3896004.0,78.0780487804878,65.7723879645377
Australia,1997,57.846,8.585,2231353.0,67.4870286017548,1.778,8.367,83.300256,81.4,7.75421790249384,75.7,18423037.0,18.1674225865373,4.8,13.6,104.411,7.0,66.6674361655209,90.194604,21.2208084838389,6.0,3.91318943203036,2.79486849131419,59.605,8.08,58.953,83.2305143934795,0.224887556221887,49.9982657782023,31.8308431916651,8.367,3909517.0,78.4804878048781,65.8577649778716
Australia,1998,58.171,7.949,2271717.0,67.5172387965276,1.762,7.684,83.731129,81.5,7.75374333744038,75.9,18607584.0,18.2951720338922,4.7,13.3,103.662,6.8,66.7310166341543,90.552245,21.0604270036659,5.9,4.66325162994434,3.62521847644352,57.991,7.337,59.761,83.7220274296552,0.860134629768142,49.855351883663,31.5601798497708,7.684,3918837.0,78.6317073170732,65.9551961556668
Australia,1999,58.451,7.04,2311634.0,67.5650358573762,1.755,6.876,84.330536,81.8,7.66364085801293,76.2,18812264.0,18.3920832777717,4.6,13.1,101.033,6.8,66.8108610700721,90.820878,20.9012269444776,5.7,5.02764746946789,3.88493232980949,55.876,6.663,60.749,83.6449190006112,1.48312940304041,49.6762576305018,31.2841743527301,6.876,3931994.0,78.9317073170732,66.0673513223528
Australia,2000,59.178,6.459,2353586.0,67.6120744388225,1.756,6.288,84.879325,82.0,7.47997428474891,76.6,19028802.0,18.4896978790849,4.6,13.0,97.967,6.7,66.8942541322643,91.023514,20.7371998778208,5.6,3.92151782931303,2.73894429537623,56.11,6.07,61.694,83.7344417225216,4.45743514797224,49.4896723471867,30.9999744681018,6.288,3946041.0,79.2341463414634,66.1871221872117
