country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Austria,1994,56.969,3.208,1190567.0,69.9731769634252,1.47,3.535,77.193387,79.8,8.31485383913393,73.2,7936118.0,22.3354157286508,5.5,11.6,145.837,10.2,67.1663433251023,88.747121,17.8317758540407,6.8,2.40211907379886,2.0087619437808,70.497,3.964,59.162,86.9728767273749,2.95340936761079,48.8840987543149,26.5486830256641,3.535,1415151.0,76.419512195122,64.5535460858734
Austria,1995,56.845,3.925,1201547.0,69.8107766681074,1.42,4.353,77.459816,80.1,8.14346326457361,73.4,7948278.0,22.5403257198224,5.1,11.2,145.169,10.2,67.0667902055485,89.115058,17.8161363195819,6.3,2.66798353089548,2.51091269369834,67.848,4.891,58.091,86.681791088514,2.24336631500905,49.1050912129935,26.5647654931711,4.345,1416076.0,76.6682926829268,64.5095462651003
Austria,1996,55.724,5.34,1211342.0,69.7234413662468,1.45,5.291,78.24444,80.2,7.92708203059073,73.7,7959017.0,22.6986659351178,4.8,11.2,140.538,10.2,67.0512692759437,89.219384,17.72898631711,5.8,2.34953385169727,2.21143493269341,67.426,5.207,55.535,86.3328825329754,1.86097115760433,49.1396055407334,26.4409396056157,5.282,1411053.0,76.8707317073171,64.559358316041
Austria,1997,55.43,5.058,1219469.0,69.7096651646822,1.39,5.157,79.085144,80.7,7.68697049371896,74.1,7968041.0,22.8027807571426,4.6,10.5,135.068,10.0,67.1168266769322,89.877485,17.5786701623792,5.5,2.09359938952392,1.97797590805702,61.964,5.269,53.988,86.7064848291702,1.30597857227693,48.9939407946602,26.1911600375176,5.15,1400676.0,77.319512195122,64.697308513932
Austria,1998,55.601,5.412,1226129.0,69.7430368910261,1.37,5.493,80.145066,81.0,7.3836497157099,74.5,7976789.0,22.8669488740611,4.4,10.2,131.611,9.8,67.2202014026822,90.036661,17.4085885638443,5.3,3.58142581460447,3.46782994124915,62.274,5.574,54.155,86.773318990466,0.922467196680799,48.7647924828245,25.8978436087634,5.483,1388646.0,77.6707317073171,64.8638975646359
Austria,1999,56.217,4.654,1230840.0,69.817110394205,1.34,4.707,80.455541,81.0,7.05629841005084,74.9,7992324.0,22.8614137768417,4.2,9.8,125.913,9.8,67.3636200221576,89.97631,17.236098186589,5.1,3.55633124664172,3.35504466142362,63.636,4.757,54.905,86.6219498091824,0.568993765885568,48.448072862909,25.5866590860672,4.699,1377565.0,77.8756097560976,65.0692106628154
Austria,2000,55.957,4.762,1234825.0,69.9276508864896,1.36,4.694,80.807417,81.2,6.77208090550689,75.2,8011566.0,22.8203816552093,4.1,9.8,126.568,9.6,67.5406315654649,90.210552,17.046335286558,5.0,3.37572214708477,3.12743665014771,63.196,4.592,52.541,86.5541827280847,2.34486285357282,48.0590131844728,25.2386315292636,4.687,1365678.0,78.1268292682927,65.3047507729697
Austria,2001,55.905,3.912,1241307.0,70.0697705959655,1.33,4.012,81.64668,81.7,6.51054368520189,75.6,8042293.0,22.7844441842084,4.1,9.4,122.892,9.3,67.742440241775,90.534841,16.8228171822183,4.9,1.26716818922992,0.88025909788611,60.139,4.126,51.389,86.5176248537481,2.65000077279528,47.6179349440148,24.8334907598064,4.007,1352940.0,78.5756097560976,65.5574115690238
Austria,2002,56.1,5.113,1247289.0,70.2112695651996,1.39,4.86,81.967865,81.7,6.27487974464705,75.8,8081957.0,22.7125461839199,4.0,9.7,120.026,9.4,67.9492627298059,90.956781,16.6177352323161,4.8,1.65155392186669,1.15267633135774,58.829,4.533,51.753,86.31702087518,1.81035787764127,47.1686366342962,24.4560904503763,4.852,1343038.0,78.6780487804878,65.8201716625791
Austria,2003,56.323,5.134,1254514.0,70.3064916305829,1.38,4.785,82.140178,81.5,6.11653479704664,75.9,8121423.0,22.6769163859273,3.9,9.5,115.817,9.5,68.1176066217871,90.531312,16.4354237334891,4.7,0.941470920725337,0.450946527234535,59.49,4.34,50.628,86.5069247656203,1.35555370896452,46.8049223091549,24.1280059232276,4.779,1334790.0,78.6317073170732,66.0538431925105
