country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Bulgaria,2000,42.041,16.566,1371852.0,68.8659554953878,1.26,16.218,66.470231,75.3,6.81445641402801,68.2,8170172.0,24.8452257971976,12.7,9.0,225.005,14.1,67.5823165157625,83.304842,15.6267066978286,16.0,4.58722685869408,5.10505714438303,98.817,15.817,20.451,83.5702821731335,10.316262128999,47.9677056906776,23.12247989348,16.218,1276729.0,71.6634146341463,66.3887158407304
Bulgaria,2001,41.137,20.864,1363803.0,69.1405354253398,1.21,19.921,66.38616,75.2,6.91822426933085,68.5,8009142.0,25.1288592834882,12.2,8.5,222.768,14.0,67.7630370807309,83.964353,15.2088825935435,15.3,3.82370396508492,5.91115990599565,95.108,18.861,21.056,84.7796409629888,7.36093927231844,47.573074923193,22.4442156397048,19.921,1218101.0,71.7682926829268,66.4828783166966
Bulgaria,2002,41.616,18.776,1350344.0,69.4598379235217,1.23,18.11,67.185006,75.4,7.05658374413971,68.5,7837161.0,25.3445701923932,11.6,8.5,218.165,14.4,67.983061665419,84.231334,14.7869228232397,14.6,5.8719296097282,8.19521483076812,93.926,17.361,20.501,84.8238188200276,5.81014365721825,47.0954638770467,21.7508936846535,18.11,1158875.0,71.8658536585366,66.6107016823606
Bulgaria,2003,43.066,14.203,1351536.0,69.8147992059921,1.26,13.733,67.42358,75.6,7.1359865673024,68.7,7775327.0,25.4761692477369,11.1,8.7,215.846,14.4,68.2299158743477,84.722519,14.3877112905773,13.9,5.23715425251341,6.07406235889275,91.42,13.195,21.316,84.0845243629106,2.34864169582755,46.5632780839717,21.0871088362347,13.733,1118692.0,72.0658536585366,66.7566931973817
Bulgaria,2004,44.464,12.4,1351520.0,70.1641107426912,1.33,12.037,67.291092,76.2,7.08549515360901,69.1,7716860.0,25.5820904167292,10.4,9.1,215.996,14.3,68.4614090227647,84.843557,14.024731236181,13.0,6.510425672373,7.31740481386147,92.267,11.624,22.283,84.1267391748278,6.14713074246273,46.0676943391448,20.4856039224156,12.037,1082269.0,72.5634146341463,66.8781100798823
Bulgaria,2005,44.681,10.297,1350605.0,70.4465259247125,1.37,10.083,67.073671,76.3,6.96742018065909,69.0,7658972.0,25.6960852712662,9.8,9.3,219.427,14.8,68.6263466748831,84.807181,13.7393674638652,12.2,7.0563496005182,7.86550231261518,92.247,9.835,21.641,85.9364417920913,5.03883807111902,45.716621515721,20.0205362444547,10.083,1052294.0,72.5609756097561,66.9329091829956
Bulgaria,2006,46.7,8.644,1349382.0,70.6100047655475,1.44,8.951,67.367737,76.3,6.8163837898788,69.1,7601022.0,25.8484175247483,9.3,9.7,218.686,14.9,68.6797872170564,84.767893,13.5675781054839,11.5,6.80258960222969,7.61684985137107,93.389,9.296,23.234,86.8643943434797,7.26159462769944,45.6032584688506,19.7548409441024,8.951,1031275.0,72.6121951219512,66.8824594508872
Bulgaria,2007,48.981,6.516,1349076.0,70.6488634937172,1.49,6.878,68.196165,76.3,6.65313571942276,69.2,7545338.0,26.0591209318479,8.8,10.0,212.03,15.0,68.6116678696451,85.222539,13.5087408264932,10.9,6.65438762501466,7.44148860319636,91.31,7.286,24.526,87.5887237269057,8.40253419005901,45.7478121422868,19.6886912104388,6.878,1019280.0,72.6634146341463,66.7124429225745
Bulgaria,2008,50.791,5.479,1350219.0,70.5944140720449,1.56,5.61,68.69542,76.6,6.52005357816129,69.5,7492561.0,26.3245690635881,8.5,10.4,208.154,14.8,68.4561766367906,85.681308,13.5230262544996,10.6,6.1295587623277,6.87712687993118,88.735,5.758,26.297,87.5980152078013,12.3487195994021,46.0788505476864,19.7542814840983,5.609,1013221.0,72.9634146341463,66.4598342039848
Bulgaria,2009,49.404,6.986,1354660.0,70.4155877139593,1.66,6.817,69.125352,77.1,6.40550728266936,69.9,7444443.0,26.6836749668143,8.2,10.9,203.75,14.5,68.1949885493741,85.907692,13.6080811181998,10.3,-3.34714226298303,-2.72241557643444,87.304,6.624,24.765,87.5224522024717,2.75320223914816,46.6383426992574,19.9546677324431,6.817,1013046.0,73.4121951219512,66.1185042609179
Bulgaria,2010,47.902,10.859,1363556.0,70.1157455164699,1.57,10.279,69.99903,77.2,6.32769139732289,70.0,7395599.0,27.1871443485362,8.0,10.2,196.902,14.9,67.8165990485721,85.974668,13.7460029260014,10.0,1.55535951301474,2.2260786772168,87.933,9.608,24.33,87.4309229789821,2.43899060504113,47.4565163124142,20.269371963878,10.279,1016599.0,73.5121951219512,65.6634758610839
Bulgaria,2011,46.597,12.263,1380650.0,69.7397905475884,1.51,11.26,70.374,77.8,6.32501883237357,70.7,7348328.0,27.8995394297594,7.6,9.6,194.111,14.7,67.3438612353227,86.199004,13.8675059292363,9.6,2.09017569644121,2.74691076533668,85.702,10.107,22.082,87.8908541515826,4.21990346601873,48.4916284205302,20.5920889907708,11.26,1019030.0,74.1634146341463,65.0972829364246
Bulgaria,2012,46.567,13.522,1402116.0,69.3051360683151,1.5,12.27,70.92221,77.9,6.34262813086157,70.9,7305888.0,28.7235624759547,7.3,9.5,187.916,15.0,66.8147924294076,86.605587,13.9936146095852,9.1,0.748814802957327,1.33406600038019,82.257,10.84,21.884,88.4144812565769,2.95456829831022,49.667452914258,20.9438904383033,12.27,1022358.0,74.3146341463415,64.4771012969395
Bulgaria,2013,46.925,13.902,1425387.0,68.8367407092969,1.48,12.941,71.553003,78.6,6.35094006393455,71.3,7265115.0,29.607941498129,6.8,9.2,184.811,14.4,66.2646818282592,87.123365,14.1157160029026,8.6,-0.542751313085674,0.0154188467413263,82.085,11.845,21.237,87.8617850779599,0.890093540913002,50.9099633272783,21.3020218291494,12.941,1025523.0,74.8609756097561,63.8483474613374
Bulgaria,2014,47.957,12.312,1450544.0,68.4386450738439,1.53,11.424,70.819653,78.0,6.35522026176108,71.1,7223938.0,30.5270486069313,6.5,9.4,190.232,15.1,65.7766946008836,85.941617,14.143617563499,8.0,0.949448520821818,1.52486811076595,88.291,10.404,20.744,87.5143266310452,-1.4181838026484,52.029518897364,21.5024702904327,11.424,1021726.0,74.4658536585366,63.2746107226941
Bulgaria,2015,49.128,9.777,1472037.0,68.1329242383952,1.53,9.143,71.292433,78.2,6.33170148822628,71.2,7177991.0,31.3660910394956,6.1,9.2,185.528,15.3,65.3815810328647,86.276913,14.1107706826696,7.5,3.39755387590648,4.05941140790065,86.607,8.417,20.341,87.9721015709808,-0.104633261008385,52.9482745248114,21.5821834853158,9.143,1012870.0,74.6146341463415,62.7941041194255
Bulgaria,2016,49.293,8.1,1487960.0,67.844536549507,1.54,7.575,71.094008,78.5,6.21215325156777,71.3,7127822.0,32.1012839995823,5.8,9.1,187.257,15.1,65.0297347858456,86.217184,14.0948812337112,7.1,3.02662839224124,3.75177878457853,86.466,6.969,19.773,88.2684948989984,-0.79864988645371,53.7757992959965,21.6745152964141,7.575,1004658.0,74.8121951219512,62.3816595445554
Bulgaria,2017,51.94,6.354,1500626.0,67.5606430587436,1.56,6.164,71.646132,78.4,6.00066045557382,71.4,7075947.0,32.7825397005712,5.5,9.0,183.956,15.5,64.6912182975438,86.228139,14.1013586142904,6.7,2.74592725876734,3.4991755485791,86.496,5.946,22.899,88.3220648820635,2.06159619443141,54.5804973701894,21.7979576696182,6.164,997805.0,74.8146341463415,61.9912411268172
Bulgaria,2018,52.438,5.692,1515261.0,67.2525777669026,1.56,5.212,71.68673,78.6,5.74105346251192,71.5,7025037.0,33.5271747920843,5.2,8.9,183.928,15.4,64.3341933581227,86.190437,14.0963652542866,6.4,2.69490655338835,3.43913006319094,86.31,4.654,20.685,88.3531735263643,2.81454473824829,55.4383326831878,21.9111578911035,5.211,990275.0,74.9634146341464,61.5868356328006
Bulgaria,2019,54.187,4.536,1531179.0,66.9403166901716,1.58,4.23,71.804344,78.8,5.43117495165722,71.6,6975761.0,34.3033174442334,5.0,8.8,182.115,15.5,63.987962053912,86.769813,14.0620489208698,6.1,4.03518894662498,4.77008195264021,81.732,3.875,21.785,89.1773723892384,3.10372944796781,56.279405607119,21.9760881628856,4.23,980935.0,75.1121951219512,61.2069002310954
