country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Chile,1992,51.967,3.89,877557.0,64.3701647403134,2.478,4.35,75.118503,77.068,8.7160416364001,71.171,13782297.0,9.923933888163,12.4,21.048,157.114,5.201,64.160814412866,85.763901,29.4719124105365,15.0,11.166707732399,9.38936928277417,83.37,5.32,36.334,71.7533171332842,15.4258064688928,55.8583820526315,45.9344481644685,4.35,4061907.0,74.135,63.9536927157229
Chile,1993,51.986000000000004,4.66,924843.5,64.40060398052614,2.4275,5.109999999999999,75.144964,77.386,8.651859404777671,71.3455,13996485.5,10.2906956728541,11.55,20.482999999999997,160.138,5.209,64.17457283151171,85.893817,29.221368719833002,13.9,8.09845285548317,6.425280000917725,83.641,6.050000000000001,35.438,72.11367958447775,13.43446305669505,55.824967795156795,45.534272122302696,5.109999999999999,4089428.0,74.37450000000001,63.95096357954255
Chile,1994,52.005,5.43,972130.0,64.4310432207389,2.377,5.87,75.171425,77.704,8.58767717315524,71.52,14210674.0,10.6574574575452,10.7,19.918,163.162,5.217,64.1883312501574,86.023733,28.9708250291295,12.8,5.03019797856734,3.46119071906128,83.912,6.78,34.542,72.4740420356713,11.4431196444973,55.7915535376821,45.1340960801369,5.87,4116949.0,74.614,63.9482344433622
Chile,1995,52.2195,5.782,1016061.5,64.53114024957375,2.311,6.6419999999999995,75.12252000000001,77.94999999999999,8.501828675419505,71.5805,14413078.5,10.96380135470615,10.149999999999999,19.23,163.7905,5.276999999999999,64.27003631562894,86.45415,28.68327426835905,12.2,5.916557287123835,4.40609916480816,81.43299999999999,8.387,34.872,72.44580623883115,9.401118731192529,55.59375040460755,44.6299490499014,6.6419999999999995,4133560.5,74.7565,64.01182017063846
Chile,1996,52.434,6.134,1059993.0,64.6312372784086,2.245,7.414,75.073615,78.196,8.41598017768377,71.641,14615483.0,11.2701452518671,9.6,18.542,164.419,5.337,64.3517413811005,86.884567,28.3957235075886,11.6,6.80291659568033,5.35100761055504,78.954,9.994,35.202,72.417570441991,7.35911781788776,55.395947271533,44.1258020196659,7.414,4150172.0,74.899,64.0754058979147
Chile,1997,52.577,5.884,1102229.0,64.7939767855446,2.177,7.136,76.488967,78.86,8.32352249515489,72.335,14809289.0,11.540269213514,9.4,17.847,157.571,5.138,64.4943487833886,87.393422,28.0628327261356,11.3,7.39173926780252,5.98632652850519,76.806,9.588,34.836,72.485465336848,6.13386464357926,55.0523470721604,43.5120778586464,7.136,4155906.0,75.596,64.1982067463882
Chile,1998,52.602,6.258,1143539.0,65.0033051670756,2.112,7.307,76.974171,78.72,8.22315441557703,72.611,14996742.0,11.7885417014589,9.2,17.195,151.6,5.258,64.6835726053032,87.433795,27.6911811912214,11.1,4.18088662724911,2.87866913621421,75.064,9.341,33.433,72.4638321431364,5.11024954517559,54.5987661575345,42.8102244560755,7.307,4152775.0,75.669,64.3676455050409
Chile,1999,50.328,10.143,1183543.0,65.2654057760585,2.044,11.158,77.834525,79.09,8.11906679248031,72.93,15176410.0,12.0115103334309,8.8,16.526,145.613,5.246,64.9258070608989,87.988151,27.2756229149179,10.7,-0.273631397756063,-1.45425561613365,72.798,13.101,30.097,72.4710652909331,3.33687917526016,54.0219540307226,42.0104436972917,11.158,4139460.0,76.018,64.5903332891484
Chile,2000,50.045,9.448,1225549.0,65.5679192643139,1.987,10.491,78.601685,79.977,8.02035254914364,73.714,15351799.0,12.2431990524712,8.4,15.963,139.528,4.959,65.2043374592234,88.275747,26.8125653160442,10.1,4.9716214885003,3.77235697746502,68.677,12.481,28.959,72.4994686862813,3.84327295706575,53.3640278524389,41.1208287999677,10.491,4116211.0,76.87,64.8452974006307
Chile,2001,49.294,9.594,1268831.0,65.8995618402528,1.961,10.39,77.90322,79.921,7.93237551932615,73.6,15523978.0,12.4763910128128,7.9,15.658,142.574,5.157,65.5106324709223,88.041664,26.3160020480575,9.5,3.154034924374,2.00993651227603,70.948,11.931,27.97,72.6242901436712,3.56910053001458,52.6469696326084,40.1705786197956,10.39,4085290.0,76.773,65.1267231004015
Chile,2002,48.966,9.32,1311812.0,66.2637980310558,1.935,10.168,79.144724,80.582,7.85471397021759,74.252,15693790.0,12.6942844985895,7.5,15.367,134.721,5.035,65.8469305374929,88.597316,25.7942727664892,9.1,3.20279913985533,2.08611070911063,66.832,11.807,27.234,72.8640651731847,2.48939816650708,51.8673675199797,39.1730830213901,10.168,4048099.0,77.445,65.4356216205405
Chile,2003,49.654,8.545,1354189.0,66.6685439547968,1.873,9.765,79.056901,80.433,7.7908306537962,74.306,15859112.0,12.8943609802917,7.3,14.802,133.72,5.247,66.221742624106,88.445766,25.239386834502,8.9,4.72324526681116,3.63156646701455,67.014,12.03,27.196,72.8934616656625,2.81017875743615,51.0078098071067,38.113448826815,9.765,4002743.0,77.387,65.7810657120238
Chile,2004,49.771,8.553,1395616.0,67.1167216825427,1.826,10.162,79.554682,80.72,7.73975352837575,74.479,16017966.0,13.0745925244467,7.1,14.379,130.285,5.293,66.6392994790755,88.867304,24.6478867743847,8.7,6.67425416745972,5.61634007452696,64.246,13.013,27.496,73.5284712487605,1.05473871403513,50.0616061441261,36.9870136196795,10.162,3948090.0,77.616,66.1685934744413
Chile,2005,50.534,7.638,1437537.0,67.5888524642842,1.803,9.34,80.365752,81.078,7.69622400576451,74.912,16175311.0,13.2489239616129,7.0,14.169,124.597,5.301,67.0788802762432,89.232287,24.0338902911975,8.5,5.83704571525745,4.80751806301836,62.094,12.278,27.713,74.149236328968,3.05257621387847,49.0782258087557,35.8293018471428,9.34,3887557.0,78.016,66.5762626977139
Chile,2006,51.749,7.421,1480619.0,68.0525934553286,1.803,9.024,80.985023,80.917,7.66219917805276,75.512,16334575.0,13.4259390238418,6.9,14.139,120.54,5.352,67.5135278240642,88.672647,23.4221497474575,8.4,6.04999082904382,5.01599112354818,66.255,11.756,28.461,74.8805491225851,3.39201733699409,48.1184702859473,34.6925312621055,9.024,3825909.0,78.261,66.9823254115692
Chile,2007,52.515,6.952,1523183.0,68.4722397211822,1.826,8.427,80.389906,80.549,7.6366027549472,75.043,16495538.0,13.5974006821629,6.9,14.301,123.095,5.754,67.9093713733565,88.380804,22.8567197124241,8.3,5.16823098722429,4.14200232075726,68.538,10.883,28.983,75.1171122881822,4.40779938398042,47.2550833707076,33.6576826885446,8.427,3770339.0,77.826,67.3547374846905
Chile,2008,53.111,7.506,1567518.0,68.8233301543681,1.85,9.285,80.795562,81.25,7.61838200393481,75.674,16661462.0,13.7867762982047,6.9,14.459,122.373,5.557,68.2396379213192,88.872413,22.3523188527009,8.3,3.7893928023371,2.75580095959636,64.695,12.131,30.157,75.1610195750029,8.71626873039613,46.5423997651306,32.7556234669259,9.285,3724223.0,78.484,67.664540945283
Chile,2009,51.751,9.968,1616305.0,69.109184283054,1.855,11.313,81.305478,81.481,7.61647136670818,75.941,16833447.0,14.0157562523321,6.9,14.464,120.125,5.612,68.5068067164141,89.007041,21.8914432676801,8.2,-1.1180372326977,-2.1283005713077,64.466,13.42,28.302,75.3243619274056,0.353045178360957,45.9708879343902,31.9551316820581,11.313,3685084.0,78.741,67.9133692864746
Chile,2010,53.754,7.242,1665083.0,69.3528873756256,1.844,8.547,81.570009,81.213,7.63594202059389,75.734,17004162.0,14.2477832110609,6.8,14.327,118.544,5.962,68.7279473107819,88.982664,21.4798441699156,8.1,5.85165101730949,4.78894268723008,64.879,9.838,30.602,73.4461988997495,1.41071107954317,45.5012235797016,31.2534403686407,8.278,3652468.0,78.501,68.1123597748565
Chile,2011,55.627,6.209,1716356.0,69.5466024830774,1.823,7.492,82.395759,81.684,7.67330979787543,76.451,17173573.0,14.5060268660803,6.7,14.109,113.339,5.805,68.8966704831895,89.389386,21.1091599866842,7.9,6.22389678693851,5.17603699803075,62.833,8.83,31.795,73.5152013011888,3.34121694259301,45.1448949545386,30.6388680884583,7.277,3625197.0,79.11,68.2565015464757
