country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Costa Rica,2001,56.586,5.183,242344.0,63.7370565924501,2.325,6.051,82.613531,79.893,7.80093945580292,75.297,4053222.0,9.36698703702129,9.4,19.104,116.016,4.089,63.8310504789708,89.123646,30.1899044525683,11.6,3.49116987088031,1.6009828013412,65.112,7.627,44.476,72.4707504729452,11.2556157091172,56.663577114224,47.2965900772027,6.051,1223664.0,77.545,63.9262479025127
Costa Rica,2002,55.935,5.587,252148.0,64.3159169618574,2.2,6.396,83.064908,80.374,7.82960059359349,75.692,4122623.0,9.49871691903857,9.1,18.12,113.194,3.999,64.3897950406816,89.604109,29.4940017556784,11.2,3.41687638944796,1.6759375167196,62.167,7.876,42.738,71.9304471692729,9.16752048509119,55.3041421741102,45.8054252550717,6.396,1215927.0,77.983,64.4645942964258
Costa Rica,2003,56.047,5.803,262422.0,64.8890325437615,2.137,6.654,83.143869,80.412,7.89341834041165,75.82,4188610.0,9.64725050676905,9.0,17.656,113.243,4.055,64.9421687693329,89.641933,28.792686739433,11.0,4.31717986447036,2.67377602698802,62.301,8.199,43.2,73.0254889281179,9.44758091616984,53.9831275499288,44.3358770431597,6.654,1206013.0,78.072,64.9959480407684
Costa Rica,2004,55.079,5.377,272962.0,65.4445299812066,2.078,6.445,83.428735,80.635,7.98356494599384,76.104,4252800.0,9.80258860277865,8.9,17.228,111.662,4.047,65.4766583752655,89.851981,28.1049341733604,10.9,4.42459959836211,2.84845798619627,61.206,8.456,40.856,72.2644580398714,12.3148150178852,52.7261992874357,42.9236106846571,6.445,1195247.0,78.331,65.5091631197085
Costa Rica,2005,57.172,5.0,283843.0,65.9751597588554,2.044,6.749,83.496011,80.862,8.08304239941896,76.231,4315887.0,9.96683492077426,8.9,16.99,111.684,4.078,65.9858564415612,90.065686,27.4374421758494,10.8,3.97666636845196,2.45679896896107,60.067,9.814,41.586,75.0411208783475,13.7982949108987,51.5476276170829,41.5807926963086,6.749,1184169.0,78.505,65.9966739979761
Costa Rica,2006,57.053,4.326,295099.0,66.4674614730491,2.014,5.926,83.169808,81.064,8.17850388225644,76.079,4378172.0,10.14243449498,8.8,16.797,114.608,4.176,66.4557681214635,90.240814,26.8039979703856,10.6,7.32669543218398,5.79983828152986,59.092,8.647,42.602,74.2806949608447,11.4705968149052,50.4760189555216,40.3335844605416,5.926,1173525.0,78.514,66.4439486309454
Costa Rica,2007,58.629,3.199,306709.0,66.9051433795766,2.012,4.557,83.045527,80.934,8.27052878067862,76.089,4440019.0,10.3297926120069,8.7,16.823,115.727,4.304,66.8728782466922,90.08397,26.2192909534847,10.5,8.21513198440249,6.70775526645618,60.188,6.82,45.9,76.6566108232393,9.35724456417157,49.5374631757236,39.2076705637167,4.557,1164142.0,78.462,66.8402828083799
Costa Rica,2008,57.907,4.132,318711.0,67.2832799286414,2.021,4.934,82.750462,81.016,8.35968070225327,75.99,4501921.0,10.529701355995,8.6,16.899,117.855,4.421,67.2331100434681,90.122441,25.6874454260748,10.3,4.73817487709474,3.29801133330045,59.834,6.256,43.691,76.446965047368,13.4244635507284,48.736264698371,38.2065633423759,4.934,1156429.0,78.445,67.1824538464406
Costa Rica,2009,55.75,6.561,331388.0,67.6154502977202,1.982,7.824,82.891664,81.236,8.44159975484439,76.216,4563127.0,10.7512557914998,8.6,16.53,116.132,4.433,67.5483974532818,90.269294,25.1892917741176,10.1,-0.87345594081205,-2.20305716727071,58.501,9.876,38.884,76.2619938743951,7.84270167700654,48.0419774851338,37.2907216936339,7.824,1149419.0,78.672,67.4807332917843
Costa Rica,2010,54.965,5.964,344865.0,67.9149968731426,1.928,7.171,82.881067,81.083,8.52463312027346,76.34,4622252.0,10.9989522984849,8.4,16.04,115.242,4.552,67.833489804698,90.080536,24.7055358195027,9.9,5.36034347694341,4.01263887146661,59.541,9.046,37.067,76.1281361510643,5.66275708420021,47.4197998044928,36.4208475060079,7.171,1141952.0,78.67,67.7512818139509
