country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Croatia,2002,43.469,13.184,703969.0,69.2300911507697,1.42,15.053,72.912632,78.4,6.43105077356268,71.21,4302174.0,24.4534041401714,6.0,9.0,176.413,11.4,66.9154136464186,88.504379,16.7214920535813,7.2,5.820577751174,5.75829814489448,69.138,17.283,25.722,75.8921402430721,1.67178437393383,49.4424100446781,24.9890059045066,15.053,719388.0,74.7173170731707,64.7826838884273
Croatia,2003,43.29,12.524,717253.0,69.214737552547,1.41,13.924,72.725491,78.23,6.46476206638929,71.17,4303399.0,24.9221241170447,5.8,8.9,177.677,11.8,66.8768297599368,88.32446,16.4560347095254,6.9,5.59963357166606,5.56957371639231,70.424,15.628,24.666,75.5638058522012,1.76733780760629,49.5286098533796,24.6064857363349,13.924,708169.0,74.6139024390244,64.7223097447499
Croatia,2004,44.163,12.334,729626.0,69.2048732816348,1.43,13.664,74.406498,79.08,6.50988736060653,72.13,4304600.0,25.3594723082067,5.5,9.1,166.015,11.2,66.8385902528498,89.233396,16.2115070836193,6.5,4.17994854019162,4.15088193279563,64.422,15.269,26.915,75.8803863050141,2.05539679050328,49.614199408161,24.2547270999543,13.664,697841.0,75.520243902439,64.6569842609362
Croatia,2005,43.368,11.563,742158.0,69.1640201384702,1.5,12.598,74.373785,78.83,6.56135285912318,71.83,4310145.0,25.7863420549285,5.3,9.563,166.393,11.656,66.7751281892389,89.04548,16.0060040434058,6.2,4.30749296174091,4.17330140937484,65.405,13.836,25.832,75.1056970427139,3.31717824448045,49.7563500984155,23.9700080434869,12.598,689882.0,75.2446341463415,64.5713203171046
Croatia,2006,43.715,9.813,752650.0,69.1397209579551,1.47,11.13,75.576245,79.33,6.60037951556364,72.51,4311159.0,26.1632686687688,5.1,9.33,158.655,11.341,66.7278278877738,89.564262,15.8139805474041,5.9,5.07683541210319,5.05212096498866,62.428,12.672,25.538,77.0241851006887,3.18982591472949,49.8625007517182,23.6992320829494,11.13,681766.0,75.8368292682927,64.5009492242832
Croatia,2007,47.685,8.75,761824.0,69.1224298641422,1.48,9.909,75.333201,79.25,6.61027579869107,72.33,4310217.0,26.5063024420658,4.9,9.4,159.698,11.798,66.6816516143794,89.422869,15.6435136551045,5.7,5.07502182824415,5.09798602484078,62.98,11.34,27.395,79.2186686183681,2.89928275583388,49.9662853794756,23.4599829374098,9.909,674269.0,75.7056097560976,64.4257950221359
Croatia,2008,48.589,7.039,768416.0,69.11048470968,1.47,8.53,75.862473,79.6,6.59775595802522,72.4,4309705.0,26.7544815608916,4.6,9.9,155.357,11.8,66.6426699902405,89.888714,15.527427677674,5.4,2.01952178877016,2.03164187475188,60.814,10.347,27.959,79.1249387250824,6.07696838798354,50.0540022603654,23.2995206994738,8.53,669186.0,75.9121951219512,64.3593359192194
Croatia,2009,48.233,7.917,770554.0,69.1535982921212,1.5,9.202,76.573461,79.6,6.57135823310122,72.9,4305181.0,26.8453069644144,4.5,10.1,149.715,11.8,66.6719685029847,89.829384,15.4297471126766,5.2,-7.21512020196286,-7.11761935444765,60.202,10.709,27.134,79.1435315073597,2.37852845904674,49.9881024920663,23.1427955276519,9.202,664279.0,76.1682926829268,64.3728678694521
Croatia,2010,46.47,11.038,768280.0,69.2914812537362,1.46,11.62,77.375434,79.6,6.51775000518548,73.5,4295427.0,26.7721551187616,4.3,9.8,142.919,11.8,66.8082043966578,90.201137,15.3057947454175,5.0,-1.22486414117947,-1.00056684194311,58.298,12.306,24.245,78.1626456097946,1.03055505333574,49.6821965238154,22.9100414050538,11.62,657449.0,76.4756097560976,64.5037849584036
Croatia,2011,44.748,13.644,769978.0,69.3892901483502,1.41,13.678,78.112916,79.9,6.42820514014309,73.8,4280622.0,26.8909318043947,4.1,9.6,135.598,11.9,66.8906829442203,90.533796,15.1217938429054,4.9,-0.0582469257747107,0.287412572836459,55.218,13.72,20.564,78.2172149867778,2.2727272727273,49.497666533838,22.6067347294433,13.678,647307.0,76.7756097560976,64.5678513919863
Croatia,2012,43.187,15.894,779231.0,69.3513670850201,1.52,15.935,78.222599,80.1,6.32271558770726,73.9,4267558.0,27.3238075501457,4.0,9.8,133.857,12.1,66.8260267668176,90.748054,14.914553982373,4.8,-2.29825501176262,-1.99916696268953,53.735,15.984,17.428,80.252225174392,3.41207349081358,49.6422834528878,22.3184759027421,15.935,636487.0,76.9243902439024,64.474028885256
Croatia,2013,42.07,17.668,790936.0,69.2408823450931,1.46,17.251,79.22448,80.2,6.20888421696796,74.2,4255689.0,27.8690829343198,3.9,9.4,125.021,11.8,66.6881573021687,91.157234,14.7264579777428,4.7,-0.306838201985599,-0.0287967056778058,50.612,16.759,14.929,81.9221535696703,2.21658206429779,49.9516391764601,22.0825562421403,17.251,626712.0,77.1268292682927,64.3060604714662
Croatia,2014,43.307,16.445,804334.0,69.0341760592482,1.46,17.29,79.734399,80.5,6.06480225660758,74.6,4238389.0,28.55517896201,3.9,9.3,119.722,12.0,66.4585226047229,91.164696,14.5641358066766,4.6,-0.341682629892162,0.0650966653784906,49.555,18.267,18.326,84.3842741202834,-0.215196159576268,50.4698109999002,21.9146320378902,17.29,617285.0,77.4780487804878,64.0498959804008
Croatia,2015,44.198,15.547,815131.0,68.7633846174025,1.41,16.175,79.299748,80.4,5.91599721069815,74.3,4203604.0,29.3020229525581,3.8,8.9,121.652,12.9,66.1771310856054,90.834461,14.4316380383166,4.5,2.54912963456138,3.39772799785587,51.413,16.899,19.142,84.3299707114453,-0.464499004644911,51.1096132934315,21.8075903408733,16.175,606649.0,77.2756097560976,63.7530088239104
Croatia,2016,44.597,12.514,825741.0,68.472087025398,1.43,13.103,80.597395,81.3,5.80054186082657,74.9,4174349.0,30.0241286453853,3.8,9.0,112.71,12.3,65.8847195301049,91.513709,14.3339770739326,4.5,3.6491975253731,4.37559995928669,46.875,13.788,25.593,86.0919793811111,-1.12500000000002,51.7802693420035,21.7561406966183,13.103,598350.0,78.0219512195122,63.4541481096973
Croatia,2017,45.825,10.611,832727.0,68.1108261423745,1.42,11.208,80.783179,80.9,5.68869541054972,74.9,4124531.0,30.8089349303982,3.7,8.9,110.411,13.0,65.5316864189612,91.34883,14.2787068185279,4.4,3.36480330584141,4.61329138147725,47.736,11.905,25.923,87.0123064573227,1.12937210282347,52.5979558803126,21.7890209499144,11.208,588930.0,77.8268292682927,63.1032047422776
Croatia,2018,46.875,7.645,843372.0,67.6891818508979,1.47,8.432,81.307984,81.4,5.57247125706426,74.9,4087843.0,31.6841309604134,3.7,9.0,106.448,12.9,65.1153291022561,91.803679,14.2534464130985,4.4,2.98337691293294,3.90764287231096,44.973,9.341,25.552,87.9252524455192,1.50012501041756,53.5736934088508,21.8895624484374,8.432,582659.0,78.0707317073171,62.6860441646982
Croatia,2019,47.717,6.152,858001.0,67.2259445145566,1.47,6.617,82.388662,81.6,5.49298575287006,75.4,4065253.0,32.6423411759827,3.6,8.9,99.528,12.7,64.6574981569714,92.090442,14.2367767164683,4.4,3.44274248042554,4.01755825514675,42.734,7.159,27.683,87.6514969074898,0.771820346498019,54.6610964237656,22.0187552477829,6.617,578761.0,78.4243902439025,62.2279305190901
Croatia,2020,47.198,7.448,873121.0,66.8014275288352,1.48,7.507,81.413419,80.9,5.45859682880657,74.7,4047680.0,33.5805049300349,3.6,8.9,104.715,14.1,64.2363882959904,91.611174,14.192714705704,4.3,-8.52043813391506,-8.1232796775468,45.153,7.578,25.615,87.5833538252354,0.154811374562106,55.6750303740304,22.0945254439954,7.507,574476.0,77.7243902439024,61.8049656846698
Croatia,2021,47.84,7.255,852248.0,66.4981661467735,1.62,7.608,80.307193,79.6,5.46216147847128,73.4,3878981.0,34.3878425123903,3.6,9.4,110.749,16.2,63.8915499248732,91.856808,14.1375330946467,4.3,13.0411434856638,17.9573644892955,43.245,8.02,25.74,86.890421226203,2.55450699642041,56.5152253059607,22.1273827935704,7.608,548392.0,76.4243902439025,61.418109938765
Croatia,2022,48.66,6.134,861959.0,66.2022169695982,1.53,6.96,82.869401,80.7,5.5186733532706,74.6,3855641.0,35.1724101347061,3.5,8.8,98.538,14.8,63.5605774425718,92.411465,14.083638982398,4.2,7.02722588804099,7.67511179137763,41.98,7.904,28.686,86.5150988209851,10.7805806758686,57.3302462838704,22.1578361491642,6.96,543015.0,77.5756097560976,61.0521847756815
