country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Cyprus,1999,56.73,4.304,91700.0,68.1508662200745,1.674,5.532,80.581052,78.363,7.74972193494253,74.255,931600.0,14.6221676526398,5.6,12.872,120.82,7.509,67.3175719192786,87.908113,22.8391477028768,6.5,4.99796042248005,3.82959837248802,73.664,7.279,36.991,76.4753340575641,1.62999999999999,48.5497424776362,33.9275748249964,5.532,212770.0,76.295,66.4677390329624
Cyprus,2000,57.281,2.851,94247.0,68.6617668727813,1.637,4.766,81.154394,78.552,7.78041729993912,74.601,948237.0,14.6587778933927,5.2,12.655,117.36,7.458,67.803582963129,88.153718,22.2571876771378,6.0,5.96531031488554,4.84415598419497,72.532,7.334,36.684,75.7572815304061,4.14165764702061,47.4847536080406,32.8259757146479,4.766,211051.0,76.568,66.9295545593488
Cyprus,2001,59.236,2.665,96839.0,69.1183120593616,1.563,4.043,81.758371,79.02,7.90349556782071,74.977,964830.0,14.7044353675388,4.9,12.182,113.675,7.316,68.2576205134583,88.702783,21.7054299721194,5.6,3.95256054086292,2.83812928420122,69.391,5.806,38.97,76.3386192779054,1.97304191729914,46.5036366673247,31.7992012997859,4.043,209420.0,76.989,67.3821918381
Cyprus,2002,59.823,2.604,99110.0,69.4052187686567,1.498,3.336,82.370753,79.635,8.05757433332444,75.37,982194.0,14.7074972472599,4.5,11.786,109.878,7.113,68.6090178676423,89.38048,21.3003127181022,5.2,3.72295649883057,2.54106455308023,65.394,4.253,36.66,76.9638987764423,2.80115505180747,45.753360420494,31.0458631732342,3.336,209210.0,77.487,67.8001810229645
Cyprus,2003,60.558,3.776,101293.0,69.6386871781436,1.509,4.153,82.749247,79.992,8.19872536550834,75.621,1000350.0,14.6889796036747,4.2,11.949,107.598,6.952,68.9343729694607,89.758252,20.9398710451342,4.8,2.6232861229859,1.38361898031985,63.359,4.619,37.498,76.3174927965925,4.13906538686858,45.0655104156848,30.3765308120101,4.153,209472.0,77.788,68.2197309552509
Cyprus,2004,59.995,3.541,103878.0,69.9831102824444,1.517,4.77,83.031342,80.105,8.33299568234981,75.815,1018684.0,14.7073273292831,3.9,12.111,105.907,6.916,69.3346664251788,89.872164,20.4680644497879,4.5,5.02634392575987,3.63080497983152,62.999,6.318,37.28,76.4847232994628,2.28621706801675,44.2280274273999,29.5207000981168,4.77,208505.0,77.944,68.6775182751536
Cyprus,2005,59.85,4.494,106848.0,70.4151012114706,1.48,5.481,83.222959,80.287,8.45257348197403,75.953,1037062.0,14.7623337220291,3.7,11.882,104.754,6.889,69.7921482959304,90.04336,19.9049429566135,4.2,4.85300383835666,3.35377251789228,62.164,6.743,36.668,76.7773808374368,2.56016132330234,43.2827015645465,28.5203678425174,5.481,206427.0,78.101,69.1615822453852
Cyprus,2006,60.652,3.904,110205.0,70.8939971448629,1.515,4.593,83.647427,80.522,8.55443484424527,76.255,1055438.0,14.8583331648027,3.4,12.243,101.976,6.796,70.2746632203881,90.253412,19.2836528531283,3.9,4.71382866563106,2.98129627294752,60.925,5.46,37.367,78.5108660100677,2.30468732978555,42.2987575923042,27.4404244275015,4.593,203527.0,78.371,69.6484764645861
Cyprus,2007,61.856,3.408,113983.0,71.3661820958368,1.451,3.946,84.202096,81.006,8.64504041820063,76.656,1073873.0,15.0044164320231,3.2,11.821,98.245,6.598,70.7404413743525,90.69108,18.6454077903067,3.6,5.09806845261184,2.88411062572962,58.007,4.606,37.426,79.6552209088016,2.37265183669719,41.3618933658741,26.3574769338509,3.946,200228.0,78.81,70.1084993327581
Cyprus,2008,61.853,3.213,118156.0,71.7896905149274,1.48,3.756,84.405751,81.198,8.73822559958074,76.813,1092390.0,15.2009993683189,2.9,12.167,96.7,6.599,71.1550819762173,90.83539,18.0286344620511,3.4,3.6468119905756,1.07656078281022,56.86,4.423,37.955,80.0539842741462,4.66900841902485,40.5380996306403,25.3371002623213,3.756,196943.0,78.981,70.5149245840746
