country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Denmark,1991,61.657,8.297,804196.0,69.3363705349233,1.68,9.099,76.261669,77.98,7.68184839351538,72.47,5154298.0,23.1316737238469,6.0,12.5,150.624,11.6,67.4505193061701,84.287576,16.9470516107457,7.8,1.39363399746793,1.13084019769691,95.335,10.018,64.746,89.1715824453889,2.39515331724415,48.2568462702507,25.1251725464038,9.099,873502.0,75.1578048780488,65.6172586870447
Denmark,1992,61.96,8.291,804650.0,69.3472670498811,1.76,9.027,76.405725,77.96,7.83128236576984,72.56,5171370.0,23.0637645085453,5.7,13.1,147.322,11.8,67.4638665597263,84.394802,16.9764324740425,7.2,1.95700671183856,1.6204208518857,94.805,9.865,63.128,89.2630487694943,2.09604442933217,48.2275024750588,25.1637379665135,9.027,877914.0,75.1941463414634,65.6321308553768
Denmark,1993,60.148,10.396,803061.0,69.3181594151497,1.75,10.719,76.896426,77.77,7.81027576986974,72.59,5188628.0,22.945294914646,5.3,13.0,146.046,12.1,67.4531754404864,84.379729,17.0694998272451,6.8,0.0106876308268369,-0.321959929787013,94.326,11.084,60.226,89.2451751587501,1.25785667953259,48.2510041732692,25.3057092586233,10.719,885673.0,75.1168292682927,65.6382741484315
Denmark,1994,59.204,7.208,800236.0,69.2666815437776,1.81,8.036,76.775105,78.1,7.65565616949174,72.78,5206180.0,22.7963174294249,5.0,13.4,145.665,11.7,67.4270654251281,84.914741,17.2020519776413,6.3,5.33246271155308,4.97734717856856,92.219,8.999,62.066,90.1707617587252,1.99201463809526,48.3084138613151,25.5120964318902,8.036,895570.0,75.3751219512195,65.6358012738796
Denmark,1995,60.094,5.614,798060.0,69.1695021107858,1.8,6.992,77.068691,77.83,7.44720328244735,72.72,5233373.0,22.6387861757199,4.8,13.3,142.308,12.1,67.3597925120862,84.565484,17.3907703368918,6.0,3.0275872672533,2.49224816939837,93.451,8.646,65.947,90.456880175489,2.08360842382846,48.4565224729795,25.8177362972595,6.992,910124.0,75.2126829268293,65.5966029083449
Denmark,1996,60.74,5.537,796467.0,69.0281457722565,1.75,6.844,77.656145,78.26,7.22514922451348,73.05,5263074.0,22.5014323539084,4.6,12.9,141.132,11.6,67.2540041086319,85.214122,17.6128839237767,5.7,2.90009976874006,2.3194056984626,87.663,8.396,65.953,90.6703312496055,2.12629802275584,48.6900318338537,26.1885994799454,6.844,926979.0,75.5914634146342,65.5244218700802
Denmark,1997,61.906,4.516,794640.0,68.8568147608783,1.75,5.4,78.746028,78.46,7.07521302189569,73.55,5284991.0,22.4018502444317,4.5,12.8,133.328,11.3,67.1185037503921,85.548484,17.8457062465543,5.5,3.26089015774798,2.83266446548333,87.251,6.441,68.229,90.5654015418755,2.18216677907116,48.9902055335367,26.5883552891049,5.4,943144.0,75.9451219512195,65.4228114510569
Denmark,1998,61.895,3.85,793111.0,68.6683815745085,1.72,5.039,79.1524,78.7,7.01986871040774,73.7,5304219.0,22.3262120901616,4.4,12.5,128.913,11.0,66.9726430989139,86.274312,18.0749093412483,5.3,2.21815874223761,1.8476139445406,80.569,6.402,66.425,90.3028151244554,1.84565122007889,49.3147121813682,26.9885000912066,5.039,958733.0,76.1390243902439,65.317448508383
Denmark,1999,62.418,4.485,792031.0,68.4722092773328,1.73,5.142,80.017608,78.8,7.01303401581978,74.0,5321799.0,22.2705325148296,4.3,12.4,127.693,11.1,66.8271817234082,86.358193,18.2900508171841,5.2,2.94802216063901,2.60794426036803,82.145,5.898,66.041,90.7169804644827,2.4977954440453,49.6397207519497,27.3691882371202,5.142,973360.0,76.3414634146341,65.2203728537832
Denmark,2000,62.604,4.04,792314.0,68.281257753382,1.77,4.476,80.397392,79.0,7.02769822985191,74.3,5339616.0,22.2507360614506,4.2,12.6,125.917,10.9,66.6872602705099,86.795264,18.4743350768773,5.1,3.74686259540198,3.40068454610739,78.859,4.971,67.057,90.8782606334935,2.90328203236453,49.9536907542144,27.7029546927638,4.476,986459.0,76.5926829268293,65.1290898063375
Denmark,2001,62.44,3.624,794258.0,68.1111639454867,1.74,4.164,80.858975,79.2,6.96501761868581,74.5,5358783.0,22.2654179282675,4.1,12.2,123.926,10.9,66.5678496202536,87.195081,18.6105354504133,5.0,0.823152998014436,0.462534295314015,78.517,4.782,61.668,91.1213155673017,2.33787000255262,50.2226519366443,27.9572340083768,4.164,997298.0,76.7926829268293,65.0581735830787
Denmark,2002,62.837,4.236,797287.0,67.9631674144371,1.72,4.274,80.870293,79.2,6.78562749688697,74.7,5375931.0,22.311632517251,4.1,11.9,124.075,10.9,66.4706061709741,87.610016,18.698720154714,4.9,0.46634557149423,0.145880726640385,75.793,4.318,63.95,91.1263327750762,2.42443661219697,50.4424340420673,28.1308015248163,4.274,1005230.0,76.8951219512195,65.009522593648
