country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
El Salvador,2009,55.993,9.03,415309.0,58.757910381745,2.261,7.33,63.170404,75.961,7.93656185857316,66.957,6091188.0,11.2485086501676,15.5,19.584,285.605,6.75,60.6142069998666,81.062219,32.5675986825229,18.9,-2.10876837627522,-2.47983074489038,121.35,4.93,43.4,58.0601358411022,1.05595029731201,64.977837965941,53.7293293157734,7.33,1983754.0,71.576,62.3144909641335
El Salvador,2010,56.942,5.419,422333.0,59.4480297248189,2.239,4.893,63.843022,76.213,7.78326725385643,67.245,6114034.0,11.2785416540373,14.8,19.428,279.998,6.758,61.2455000049476,81.541429,31.8468925878649,18.0,2.15419536693635,1.77248097880032,118.499,4.162,42.646,58.2168993379783,1.17933576873673,63.2772886400071,51.9987469859698,4.893,1947130.0,71.848,62.8916395805047
El Salvador,2011,56.985,4.92,429350.0,60.1478785221965,2.224,4.297,64.25639,76.189,7.66530723592543,67.289,6137349.0,11.305056692483,14.1,19.372,276.573,6.892,61.8810875738929,81.769357,31.1232203939535,17.2,3.77358499834686,3.37936248725347,116.996,3.409,43.647,58.3282618496289,5.1289237668161,61.6002757343745,50.2952190418915,4.297,1910141.0,71.859,63.4681027981842
El Salvador,2012,57.855,4.228,435988.0,60.858092163329,2.187,3.843,64.505105,76.163,7.61026766922155,67.26,6161289.0,11.3184956578356,13.4,19.151,275.131,7.038,62.5193202266604,82.006046,30.4044332281768,16.4,2.88770010188691,2.48792473987429,115.583,3.3,44.035,58.225693324734,1.72973481581383,59.9505555042113,48.6320598463757,3.843,1873305.0,71.831,64.0401363932273
El Salvador,2013,58.257,3.959,442494.0,61.5764618361923,2.154,3.693,64.435601,76.158,7.63121831356159,67.146,6185642.0,11.3266923459703,12.9,18.969,276.703,7.149,63.156713308278,82.153244,29.68972099503,15.7,2.18295232499635,1.7806559363643,114.784,3.331,43.404,58.0657969415166,0.757669184522973,58.3363026307976,47.0096102848273,3.693,1836500.0,71.771,64.6030243112815
El Salvador,2014,56.903,4.89,449469.0,62.2658932065506,2.126,4.154,63.982805,76.267,7.71549891813222,66.993,6209526.0,11.3526870215819,12.3,18.809,281.871,7.168,63.7591690767404,82.20117,29.0024448724069,15.0,1.7293998423459,1.33811313449822,114.872,3.138,41.725,60.4302712614354,1.14134467538233,56.840168905283,45.4874818837011,4.154,1800914.0,71.746,65.1253410855498
El Salvador,2015,56.312,4.37,457925.0,62.8798962123279,2.067,3.998,63.056152,76.572,7.84452486797195,66.834,6231066.0,11.432225632202,11.9,18.406,291.402,7.07,64.2837597932681,82.112093,28.3671766596598,14.4,2.40000008852115,2.04601635573663,116.195,3.469,41.643,59.5775510277157,-0.731384487387957,55.560279541228,44.128053909026,3.998,1767577.0,71.814,65.5673289318861
El Salvador,2016,56.599,4.828,468740.0,63.4141069259787,1.965,4.418,61.897686,77.075,8.007312770961,66.762,6250510.0,11.5861170268512,11.4,17.566,302.876,6.925,64.7259823598394,81.952403,27.7747895771705,13.9,2.53906241135864,2.22008531516545,118.159,3.849,41.669,59.97625177192,0.60404908699661,54.4974619991972,42.911344972346,4.418,1736066.0,72.025,65.9243179634937
El Salvador,2017,56.346,4.654,481445.0,63.8582047442361,1.896,4.385,61.293833,77.494,8.19000577821511,66.908,6266654.0,11.8054118364797,11.0,16.974,308.258,6.857,65.077339112919,81.848027,27.2400050138395,13.3,2.24761908134138,1.98421127831776,119.188,4.003,41.902,60.5780252775128,1.0123540331558,53.6633079722974,41.8578961358177,4.385,1707037.0,72.311,66.1895989991954
El Salvador,2018,56.282,4.187,494206.0,64.2091529566595,1.849,4.006,62.09374,77.488,8.38235923270059,67.352,6276342.0,12.051629705858,10.6,16.536,299.113,6.938,65.3364678552836,82.029662,26.7894159695715,12.9,2.4124442237792,2.25436301028891,116.979,3.748,41.878,61.1447607042183,1.09033000581892,53.053863449036,41.0022337431781,4.006,1681395.0,72.555,66.3636223842809
