country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Estonia,1993,59.023,6.458,189717.0,67.9414508041536,1.49,6.544,52.869565,73.8,6.13490130615957,62.3,1494128.0,19.2770288601154,11.7,10.2,363.257,14.2,65.8685932364664,81.513538,21.4338866638018,15.1,-5.74049422033947,-3.28244971297937,127.048,6.64,45.034,91.7440950412394,89.8119490277275,51.8174363747395,32.5404075146241,6.544,320250.0,67.909756097561,64.0566313914306
Estonia,1994,58.29,7.227,191770.0,67.9027811303086,1.42,7.561,50.548299,72.8,6.08219831704993,60.5,1462514.0,19.9228311052564,11.3,9.7,412.734,15.2,65.8156962636043,81.162004,21.0719191286735,14.6,-1.64242462249852,0.483692726111016,156.201,7.932,47.211,92.071817304789,47.6546906187628,51.9394035097926,32.0165724045362,7.561,308180.0,66.5,63.9942971062954
Estonia,1995,55.871,10.385,194109.0,67.8876716784199,1.38,9.659,52.450975,74.1,6.10846702259891,61.3,1436634.0,20.5377444232716,10.8,9.4,390.308,14.5,65.7879919464473,82.309213,20.7006246665864,14.0,4.52668179218793,6.40966000708596,132.01,8.861,42.278,92.4261985883698,28.7766137208514,52.0033688380366,31.4656244147649,9.659,297392.0,67.5439024390244,63.9586405878678
Estonia,1996,55.142,10.553,197053.0,67.9516650076137,1.37,9.915,56.437619,75.4,6.20971542280515,64.1,1415594.0,21.1492207481376,10.2,9.4,332.11,13.4,65.8188294172179,83.501043,20.2610007876376,13.2,4.94301449126702,6.5027844711456,116.079,9.227,39.539,92.1267556513744,23.050343349517,51.9322720067144,30.7830512585768,9.915,286814.0,69.6121951219512,63.9628324363643
Estonia,1997,54.525,11.15,200319.0,68.1109624354584,1.32,10.369,57.693593,75.7,6.32578822384044,64.2,1399535.0,21.7118312295556,9.6,9.0,329.686,13.3,65.9237490239115,84.062335,19.7630303414023,12.3,13.0500147441833,14.3472100174539,114.198,9.543,36.007,91.9521525407104,10.5818789322146,51.6905008096455,29.9786695800899,10.369,276591.0,69.809756097561,64.0205500628211
Estonia,1998,54.252,10.443,202458.0,68.4202554037524,1.28,9.51,56.424156,75.3,6.38847089550755,63.7,1386156.0,22.0670847748036,8.9,8.8,342.904,14.0,66.1878125339927,83.580815,19.206475018717,11.4,4.33982551026151,5.346900129209,121.533,8.513,34.889,92.5809163514082,8.20833333333298,51.085271824787,29.0181870499833,9.51,266232.0,69.3585365853659,64.2436013867805
Estonia,1999,51.9,12.925,205438.0,69.2119514929425,1.3,11.573,58.301976,75.8,6.47664160404346,64.6,1390244.0,22.1101255114846,8.2,9.0,317.751,13.4,66.8342003928041,84.724345,18.3886552069703,10.6,-0.425025156762118,-0.717824476276647,115.216,10.147,28.851,92.4577021030356,3.29611089718909,49.623960618108,27.5138351066234,11.573,255647.0,70.0634146341463,64.7603465858651
Estonia,2000,50.642,15.023,209313.0,69.9150554125008,1.36,13.36,59.016859,76.0,6.52590154262843,65.1,1396985.0,22.2360916201806,7.6,9.4,308.009,13.2,67.3822990078221,84.818856,17.6344866564797,9.8,10.0876344406951,9.55641846932483,118.066,11.614,29.585,92.937953949446,4.01848952508763,48.4068665205599,26.1707749003794,13.36,246351.0,70.4170731707317,65.1712579025348
Estonia,2001,50.216,13.037,212029.0,70.1894795767831,1.32,13.135,58.598832,76.2,6.48228147170924,64.6,1388115.0,22.6056964960632,7.0,9.1,325.356,13.3,67.5697201970181,85.246766,17.1556515533743,9.0,6.00367425106573,6.68103354089904,121.666,13.237,27.552,92.9139599284399,5.74827981651373,47.9952449237429,25.3895484276797,13.135,238140.0,70.2585365853659,65.2844858925564
Estonia,2002,51.165,11.314,215630.0,70.471734917074,1.36,10.026,59.64971,77.0,6.45664986505121,65.1,1379350.0,23.085216061906,6.5,9.4,312.834,13.3,67.7175110930657,85.492288,16.6497853890548,8.2,6.7713679304362,7.44984042828682,110.566,8.679,25.405,93.167197105707,3.57191270164027,47.6723682928631,24.5871522309571,10.026,229659.0,70.9048780487805,65.3183319394165
