country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Finland,1991,59.302,7.817,678999.0,69.7908272194881,1.79,6.503,73.577553,79.32,7.14149183317721,71.33,5013740.0,20.1491155445166,4.8,13.0,175.568,9.8,67.212697058989,88.937109,19.2445372362259,5.8,-5.88632806942667,-6.39894943925279,68.373,5.033,48.602,84.1838436700766,4.31021289843465,48.7814069978961,28.6322914533795,6.503,964871.0,75.2275609756098,64.7790840317368
Finland,1992,54.893,13.333,690154.0,69.705276454461,1.85,11.595,74.534195,79.43,7.0851467248418,71.67,5041992.0,20.3889701967953,4.5,13.2,168.724,9.9,67.1349418230939,89.0793,19.1769396252093,5.5,-3.29466006575714,-3.83653305243031,68.134,9.648,39.531,84.1016205265203,2.91932319285011,48.9537474541631,28.5647772573678,11.595,966900.0,75.4553658536585,64.7051912975727
Finland,1993,51.363,17.784,700872.0,69.5816953432884,1.81,16.201,75.598356,79.48,6.98643039128244,72.11,5066447.0,20.6374211527148,4.3,12.8,162.809,10.1,67.0316316349903,89.354805,19.1347756535195,5.2,-0.661998030419085,-1.14148806321053,66.596,14.419,34.385,84.0487019297251,2.19065319556437,49.1833037800173,28.5458826273026,16.201,969453.0,75.7051219512195,64.6178201221474
Finland,1994,50.575,17.803,713112.0,69.4220238344059,1.85,16.426,76.593787,80.15,6.80862603953292,72.82,5088333.0,20.9505348304492,4.0,12.8,154.649,9.4,66.893990162111,89.860354,19.0913610914043,4.9,3.96305242370121,3.51588527380258,63.005,14.872,31.854,84.0374164100456,1.08855677589405,49.4902592375732,28.5397244071239,16.426,971432.0,76.3956097560976,64.498112271565
Finland,1995,49.563,17.784,726250.0,69.2633005899756,1.81,17.005,76.786844,80.21,6.5869648981585,72.79,5107790.0,21.3002212290103,3.8,12.3,156.228,9.6,66.7527319705799,89.864622,19.0287949571873,4.7,4.21686746987953,3.81987628771239,65.153,16.158,29.187,84.1795413412427,0.791239406938498,49.8066189209315,28.5063976919212,17.005,971951.0,76.409512195122,64.3710014001061
Finland,1996,50.009,15.587,737956.0,69.149511515354,1.78,15.572,77.358803,80.54,6.35600627651316,73.03,5124573.0,21.599734231327,3.6,11.8,153.78,9.6,66.6690667984983,90.455144,18.9306007734864,4.4,3.66717982978477,3.32766934196786,60.845,15.556,27.731,83.3961276113211,0.629194238120966,49.9945997444757,28.3948655131487,15.572,970112.0,76.6934146341464,64.3135068486011
Finland,1997,51.107,14.78,747960.0,69.1271684654207,1.75,14.968,77.932576,80.51,6.09327565723823,73.42,5139835.0,21.8257071557132,3.5,11.5,150.892,9.6,66.6746661076461,90.031929,18.773118570879,4.3,6.33379565418399,6.01805275790927,62.851,15.175,31.282,84.5251731261693,1.19255883425839,49.9819957466775,28.1562885909644,14.968,964907.0,76.8785365853659,64.3433234265399
Finland,1998,52.217,12.882,755744.0,69.2140703429589,1.7,13.215,78.047674,80.84,5.8164695493897,73.52,5153498.0,21.9593950636225,3.4,11.1,148.682,9.6,66.7809019598065,90.375665,18.5544143453113,4.1,5.45718050065875,5.17759148031172,62.151,13.58,32.517,85.4130441626489,1.3994737857984,49.743400651799,27.7840055881765,13.215,956201.0,77.0907317073171,64.4659733909189
Finland,1999,53.737,11.002,763057.0,69.3020056660642,1.73,11.693,78.194003,81.02,5.65056734326583,73.74,5165474.0,22.0831125428208,3.2,11.1,145.398,9.6,66.8939022447237,90.492248,18.3338428041013,4.0,4.37957572274557,4.13757473719116,61.08,12.443,44.999,86.2325876446333,1.16223155669444,49.4904622839641,27.4073497411433,11.693,947030.0,77.2912195121951,64.6008075046609
Finland,2000,54.186,10.35,772231.0,69.2988664770534,1.73,11.135,79.010004,81.0,5.62704574390928,74.1,5176209.0,22.2907776115129,3.1,11.0,144.431,9.5,66.9283543226327,90.242781,18.1527929030686,3.9,5.7733624584817,5.55399785284234,63.322,11.988,45.374,86.4753796648695,3.04210080667795,49.4134833873694,27.1227057758565,11.135,939626.0,77.4658536585366,64.6686017507832
