country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
France,1991,50.351,7.164,8390545.0,67.387229329194,1.75,9.134,75.395151,81.1,7.29407860381187,72.8,58557577.0,21.8103822477412,6.0,13.2,165.877,9.2,65.6967356757607,89.350249,19.9745554856261,8.2,1.04817584704435,0.163146327538627,68.2,11.612,32.037,84.7387980839308,3.21340732409687,52.2145652853204,30.4041830375792,9.134,11696616.0,76.8487804878049,64.0957634806604
France,1992,49.893,8.091,8567609.0,67.2476382272435,1.74,10.203,75.840317,81.3,7.24525158083828,73.1,58849943.0,22.2054910299251,5.7,13.1,163.67,9.2,65.5621536124196,89.572809,19.8794482587662,7.7,1.59934267687127,1.09459803470457,67.617,12.825,30.918,84.920978128225,2.36376046269353,52.5270214126374,30.3215303827123,10.203,11699044.0,77.1,63.9671144906247
France,1993,49.262,9.615,8738775.0,67.1561016600417,1.73,11.321,76.05658,81.5,7.16598833803096,73.3,59106166.0,22.5811453770174,5.3,13.0,162.367,9.2,65.4744405280485,89.518066,19.7406807651135,7.1,-0.628666351905437,-1.05943733477235,68.135,13.401,28.323,85.8466612506319,2.10446277124644,52.7313553335873,30.1502099565699,11.321,11667960.0,77.3,63.8842108910247
France,1994,48.495,11.027,8907803.0,67.0931525383545,1.73,12.593,76.615129,81.9,7.07275563364247,73.6,59327585.0,22.9536975441783,4.9,12.5,159.833,9.1,65.4125796066506,89.823763,19.5728147397073,6.5,2.35840843921574,1.97639227526432,66.538,14.485,25.917,85.8922745582741,1.65551532926993,52.8757923942112,29.9220948500329,12.593,11612078.0,77.6487804878049,63.8246272841272
France,1995,48.881,9.979,9083006.0,67.0516862707536,1.74,11.834,77.100414,81.9,7.00703543946649,73.8,59543659.0,23.3359174190138,4.6,12.8,156.392,9.1,65.3686025690472,89.943997,19.3770348402937,6.0,2.10662915810063,1.73610124363859,65.932,14.051,25.877,86.3503402980745,1.79648142095595,52.9786430379804,29.6427256189666,11.834,11537796.0,77.7512195121951,63.7794752514297
France,1996,48.871,10.588,9254056.0,67.0291893694649,1.75,12.367,77.609396,82.0,6.98856673704969,74.1,59756533.0,23.7000551060082,4.3,12.8,152.142,9.1,65.3427445463005,90.088847,19.1709896666928,5.5,1.41299367250002,1.05172456046772,65.4,14.486,25.331,86.7871177968291,1.98288365089738,53.0391807380517,29.3391256320435,12.367,11455919.0,77.9536585365854,63.7514547561294
France,1997,48.48,11.014,9415342.0,67.0095386296637,1.77,12.566,78.423864,82.3,7.01485115211511,74.5,59969944.0,24.0347746433072,4.1,12.7,146.084,9.1,65.3224408321852,90.386624,18.9774572813202,5.2,2.33629652937944,1.97211924452768,63.368,14.42,24.099,87.0474695782938,1.20394294026962,53.0867481406146,29.0519734973074,12.566,11380771.0,78.3048780487805,63.7313766397942
France,1998,48.766,10.355,9559110.0,66.9532769373737,1.78,12.074,78.861871,82.6,7.03365764221991,74.8,60192790.0,24.3304754749899,3.9,12.8,143.194,9.1,65.2713182512201,90.468935,18.8478591066208,4.9,3.58865942535427,3.20515305526739,62.736,14.105,25.063,87.5150740922851,0.651126867833049,53.2066479898458,28.876172514856,12.074,11345052.0,78.6048780487805,63.6858190145793
France,1999,49.071,10.354,9697928.0,66.8657988561478,1.81,11.981,79.324514,82.7,6.98762465317993,75.0,60504420.0,24.5848568427202,3.7,12.9,141.157,9.1,65.196483224765,90.5974,18.7750547502847,4.7,3.42137379882455,2.8886986204338,62.113,13.901,26.385,87.8184362206748,0.537141639134645,53.3825064541432,28.797649611423,11.981,11359738.0,78.7560975609756,63.6234996316607
France,2000,50.007,8.535,9841925.0,66.7838880836806,1.89,10.218,79.726204,83.0,6.85172512381969,75.3,60921384.0,24.8045792798023,3.6,13.3,138.639,8.9,65.1296027663845,90.799666,18.7152735358576,4.6,3.92366922704063,3.21238484755931,60.936,12.194,28.162,88.5885643678806,1.67595988720927,53.5400136927765,28.7354344129742,10.218,11401604.0,79.0560975609756,63.5712944819945
