country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Georgia,2007,54.894,13.93,553412.0,67.0805671138891,1.674,13.28,64.996518,75.784,6.8522943528171,67.193,3860158.0,21.5650661297469,14.8,13.122,239.429,11.876,66.4802665219154,84.38348,19.1832115460746,19.2,12.5755698246405,13.1643509520424,89.293,12.59,21.4,36.6975891538756,9.24489745592404,50.4205564321072,28.8554903023603,13.28,740502.0,71.568,65.9533241329451
Georgia,2008,52.144,18.11,542060.0,67.6769489401944,1.762,17.87,63.736798,75.873,6.96419781541309,66.705,3848449.0,21.012097286871,13.3,13.9,253.387,12.318,67.0335594376728,84.453008,18.8812867804032,17.3,2.42161440960641,2.7332346709434,90.28,17.59,23.1,38.9556916323343,9.99948761552747,49.1790296121488,28.1669323252778,17.87,726637.0,71.332,66.4670102850423
Georgia,2009,51.213,22.098,522192.0,68.2114289901843,1.871,20.71,64.890268,76.427,7.12529590322414,67.391,3814419.0,20.2655125522363,12.1,14.789,241.07,12.194,67.5529372734148,85.220256,18.7571097163714,15.6,-3.65075229596822,-2.79118104819281,85.649,19.08,21.465,39.5274939636905,1.7275146113791,48.0320574118115,27.7665448595752,20.71,715475.0,71.95,66.9713382983525
Georgia,2010,52.261,22.473,507362.0,68.5664427817219,1.919,20.203,65.130317,76.572,7.30062332703879,67.603,3786695.0,19.7367663511556,11.0,15.109,238.993,12.347,67.8862060903907,85.38888,18.71523661063,14.2,6.24640865303363,7.02428366897674,85.076,17.562,23.054,41.1494966550013,7.11017897486099,47.3053055965742,27.5685392454187,20.203,708689.0,72.128,67.2836369033986
Georgia,2011,53.221,21.572,500593.0,68.7028789961684,1.918,19.632,65.499646,76.854,7.43575116592027,67.856,3756441.0,19.6034533262114,10.1,14.937,235.616,12.418,67.9791279291575,85.729171,18.6946019820696,13.0,7.9343365253078,8.8036288733672,83.103,17.403,23.966,41.7982660626852,8.5429333333333,47.1039663282681,27.5005130020567,19.632,702252.0,72.39,67.3361973742366
Georgia,2012,54.276,20.773,500813.0,68.6500701526395,1.938,19.653,64.818678,77.205,7.48991460807055,67.651,3728874.0,19.7922343580001,9.4,14.842,240.062,12.691,67.8583182015563,86.150763,18.7109986552257,12.1,6.57883101954195,7.36675215463949,80.636,18.368,25.761,43.3577140691959,-0.943658853270964,47.3658792791988,27.5736449211987,19.653,697710.0,72.412,67.153142654095
Georgia,2013,54.109,22.108,507915.0,68.4474698028051,2.017,19.416,65.170356,77.436,7.45072494053398,67.866,3717668.0,20.2215586742311,8.9,15.102,236.467,12.783,67.5625276923209,86.422711,18.7752846159789,11.4,5.13288531209382,5.44978265548417,78.977,16.179,24.029,42.4524990865209,-0.512058410947092,48.0110679804917,27.7895093062606,19.416,698003.0,72.628,66.7725173498802
Georgia,2014,55.893,19.933,515127.0,68.1273000686598,2.115,17.439,66.122001,77.934,7.39096687469513,68.309,3719414.0,20.6261021232841,8.5,15.442,228.461,12.576,67.1463886059029,87.036592,19.0039173501385,10.8,4.09049059581743,4.04162752314514,75.109,14.475,25.618,44.0494918777697,3.06881210379543,48.9283077312397,28.3022056079556,17.439,706834.0,73.099,66.2703718054338
Georgia,2015,57.424,18.71,519709.0,67.7351793296264,2.204,16.506,66.480402,78.131,7.35327427723589,68.477,3725276.0,20.9258849156658,8.2,15.79,224.903,12.531,66.668085338832,87.274501,19.3810240532551,10.4,3.35102350265353,3.18839294862944,73.545,13.923,26.75,46.2423067339884,4.00357820695097,49.996819095093,29.0709341794272,16.506,721997.0,73.297,65.7163426022894
Georgia,2016,57.062,19.947,524272.0,67.3173975417563,2.198,16.604,66.947665,78.43,7.29577052348352,68.696,3727505.0,21.2568440719309,8.0,15.471,220.703,12.411,66.1667254468843,87.650917,19.7683175510659,10.1,3.45021517996871,3.38835328316745,71.338,12.553,25.513,46.8420357580574,2.13492713939121,51.1333669590264,29.8765228870955,16.604,736865.0,73.569,65.1415550116757
