country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Honduras,2005,58.642,4.066,228190.0,56.2194047357146,3.545,4.909,69.575023,72.132,8.51862077817719,68.191,7564613.0,5.35497759000899,22.0,29.314,186.628,4.573,56.3316193439109,77.42603,40.6518416738569,27.7,6.05059922215973,3.51021746268962,138.876,6.383,48.099,47.6962322839326,8.80906074819819,77.5201941018039,72.165216511795,4.909,3075154.0,70.104,56.4463986190935
Honduras,2006,57.723,3.128,234267.0,56.7345326646817,3.419,3.575,69.704913,72.306,8.60173093007062,68.335,7745200.0,5.32038304886585,21.2,28.479,186.678,4.525,56.8506752569333,77.592377,40.124644941383,26.6,6.56724355177587,4.08252284588259,138.714,4.394,46.706,48.0002689693431,5.57775207654298,75.8994031156446,70.5790200667787,3.575,3107734.0,70.261,56.9694958445454
Honduras,2007,57.067,2.631,240661.0,57.2805168171809,3.296,3.211,69.9174,72.368,8.66859745849855,68.498,7924462.0,5.29071089043002,20.4,27.64,185.871,4.5,57.4013226386851,77.541888,39.5617456427957,25.7,6.18832716678008,3.78620423344134,140.172,4.283,45.654,49.2364599607053,6.93621470895774,74.2120355807952,68.9213246903652,3.211,3135056.0,70.376,57.5249371250112
Honduras,2008,57.697,2.774,247504.0,57.8556283605861,3.177,3.156,69.891246,72.451,8.72053273746232,68.549,8101777.0,5.26879802245515,19.7,26.871,186.888,4.5,57.9816255125264,77.561622,38.9634335775966,24.8,4.23160011009342,1.95039363236373,140.854,3.84,46.701,49.4693949651579,11.4034270813932,72.468410074886,67.1996120524308,3.156,3156730.0,70.441,58.1105737177474
Honduras,2009,58.809,2.74,255081.0,58.452205671168,3.063,3.292,70.763515,72.958,8.75230687352356,68.983,8277302.0,5.2603673663827,19.0,26.112,180.686,4.371,58.5832159692122,78.486638,38.3350916557659,23.9,-2.43162787988011,-4.50062192122161,134.222,4.259,47.409,47.3411772230925,5.49634273772208,70.6973444611485,65.4369770947659,3.292,3173111.0,70.911,58.7173110918415
Honduras,2010,59.359,3.373,263610.0,59.058946963348,2.957,4.119,70.784671,73.278,8.76561227910541,69.038,8450933.0,5.26956837755225,18.3,25.392,181.202,4.348,59.1946095889418,79.07428,37.6860955876763,23.1,3.73114034433009,1.59990328102285,129.821,5.398,47.616,44.5686779333087,4.69889064976226,68.9343142034868,63.6647458259345,4.119,3184827.0,71.088,59.3334730137446
Honduras,2011,57.06,3.452,273183.0,59.6705988902646,2.86,4.475,71.123489,73.776,8.77082455968869,69.261,8622504.0,5.2971730299718,17.7,24.717,179.382,4.271,59.8103138131154,79.970496,37.0214303744347,22.3,3.83569066207505,1.76956308676944,123.529,6.307,45.887,47.100030659502,6.7622795731476,67.1952341090917,61.8980610791199,4.475,3192174.0,71.439,59.9533172678586
Honduras,2012,56.21,3.009,284215.0,60.2830291992551,2.774,3.755,71.486028,74.169,8.77309743164534,69.471,8792367.0,5.34956387921164,17.1,24.111,177.192,4.221,60.4258591813706,80.671659,36.3416265689107,21.6,4.12868774866939,2.11698699879715,118.592,5.12,44.764,43.1090950816212,5.19618615531848,65.4920708476767,60.142506968465,3.755,3195289.0,71.734,60.5720296053075
Honduras,2013,59.12,4.561,296980.0,60.8991257396391,2.699,5.646,71.700497,74.497,8.77344038400968,69.613,8960657.0,5.42941423278764,16.5,23.569,176.103,4.198,61.0427896079495,81.23263,35.6429500649339,20.9,2.79155975746801,0.861032610676844,114.729,7.45,47.916,44.4906673581038,5.16189898581494,63.8195302052073,58.3901159724196,5.646,3193843.0,71.963,61.1897797611454
Honduras,2014,59.608,5.676,311173.0,61.5281637113522,2.635,7.078,72.628545,74.632,8.78033834673947,70.036,9127846.0,5.52802947022244,16.0,23.123,169.177,4.16,61.6684778824885,81.382856,34.9224650085866,20.1,3.0580805621437,1.17043067945457,114.164,9.246,47.412,49.66972461,6.12924930313022,62.1573905436912,56.6293610734688,7.078,3187669.0,72.259,61.8120066884814
Honduras,2015,60.148,4.414,326922.0,62.1499179344288,2.581,6.147,72.767566,74.991,8.79902341881973,70.15,9294505.0,5.64740000421497,15.4,22.751,168.72,4.147,62.2829746025757,81.973549,34.1996516113741,19.4,3.84007997093951,1.97813209013502,110.132,8.765,48.569,48.5787551742239,3.15783117980923,60.557508912756,54.9101089085411,6.147,3178688.0,72.487,62.4190448563391
Honduras,2016,59.059,5.295,343969.0,62.7422435540241,2.536,6.727,72.894004,75.078,8.82593325905203,70.257,9460798.0,5.783341869015,14.9,22.44,168.372,4.183,62.8655406692723,82.039324,33.498735175338,18.8,3.89297219726413,2.06683934614527,110.146,8.882,46.653,51.749979815378,2.72461223295289,59.0696689848076,53.2863271157926,6.727,3169248.0,72.588,62.9915912497695
Honduras,2017,60.801,4.041,361685.0,63.3012031875236,2.496,5.528,73.025431,75.188,8.86390074812145,70.351,9626842.0,5.92481479885837,14.4,22.16,167.817,4.221,63.4120618163256,82.142433,32.8308909609195,18.1,4.84291391050387,3.03458083540451,109.881,7.85,49.041,49.8762192083676,3.93436084442044,57.6987045298292,51.7738897309708,5.528,3160578.0,72.692,63.5253589091585
Honduras,2018,62.999,4.62,380051.0,63.8216075675245,2.46,5.622,73.165996,75.318,8.91505586580069,70.461,9792850.0,6.07174238817511,13.9,21.895,167.327,4.257,63.9174499762582,82.285189,32.2016420143268,17.5,3.84499476966735,2.08461858788954,109.318,7.17,51.432,47.9447260124794,4.34734937777528,56.4517984324226,50.3800560442475,5.648,3153459.0,72.814,64.0153661659874
Honduras,2019,61.005,4.22,399029.0,64.3029305253752,2.427,5.551,73.232388,75.37,8.97109519213888,70.534,9958829.0,6.22349067534627,13.4,21.628,167.375,4.315,64.3816557147432,82.285387,31.6115579452163,16.9,2.55963434592314,0.850322382729289,109.784,8.06,47.901,48.3829368756435,4.36587159819267,55.3237469428739,49.1002562675276,5.698,3148141.0,72.881,64.4620547651884
Honduras,2020,53.851,8.792,416732.0,64.7570433722562,2.394,10.679,70.126491,73.987,9.02239216815663,69.126,10121763.0,6.3521397308558,13.0,21.353,185.81,4.945,64.8157638150587,79.862732,31.0670482997873,16.4,-8.96508223267296,-10.4305071089027,124.302,13.821,44.317,53.5120994775253,3.46841177951184,54.2834553108621,47.9313155800063,10.983,3144533.0,71.462,64.8757058227224
Honduras,2021,57.262,6.919,431473.0,65.1922548055875,2.363,7.94,67.257172,72.534,9.06781391697491,67.894,10278345.0,6.43564319516045,12.6,21.071,208.186,5.608,65.2286644771768,76.968586,30.5734517291718,15.8,12.5652843771279,10.8504463017043,144.006,10.645,48.319,53.7555748726443,4.48087963413445,53.3068374075816,46.8711942124211,8.506,3142445.0,70.123,65.2658116931554
Honduras,2022,58.233,5.938,445565.0,65.5979738593609,2.34,7.037,68.595053,73.157,9.10317489740356,68.461,10432860.0,6.50931565590013,12.2,20.85,198.67,5.404,65.6103535181318,78.305907,30.1188662609709,15.3,4.14356194013767,2.60115243083914,135.295,12.765,46.68,54.0778413692031,9.08963911525025,52.4149763419798,45.9056606860797,8.774,3142259.0,70.728,65.6229772671813
