country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
"Iran, Islamic Rep.",2005,40.074,10.311,3206743.0,69.9270815764646,1.775,11.813,74.948606,74.356,9.57478337045461,69.513,70182594.0,6.56958875769896,21.3,16.199,161.205,4.97,69.5499069865522,83.637845,25.880950808693,23.2,3.18980408131023,1.54171003692618,88.443,17.608,26.483,52.2888558280138,13.433118008508,43.7816460808177,37.2120573231187,11.813,18163923.0,71.838,69.1609497119845
"Iran, Islamic Rep.",2006,39.436,10.252,3310941.0,71.0131964642957,1.771,11.519,75.140927,74.918,10.0974997318224,69.847,71275760.0,6.57705725018169,20.0,16.489,161.016,4.911,70.6281719804052,83.975457,24.7265727136868,21.9,4.99979526935969,3.38939916561527,86.977,16.508,25.22,52.6107132207595,10.0158982511924,41.5865622704271,35.0095050202454,11.519,17624053.0,72.276,70.2305751526395
"Iran, Islamic Rep.",2007,38.958,9.484,3420696.0,71.9094151417797,1.768,10.772,76.051182,75.364,10.611200208631,70.381,72319418.0,6.61327616500912,18.8,16.897,154.965,4.838,71.5225351265788,84.091419,23.7474814596304,20.6,8.15577351843464,6.59495290620707,87.374,16.097,24.357,52.8403324309947,17.3410404624277,39.8160715577927,33.2027953927836,10.772,17174040.0,72.772,71.1228053089801
"Iran, Islamic Rep.",2008,37.035,9.266,3533643.0,72.5606883280012,1.767,10.63,75.86846,74.918,11.100441546114,70.492,73318394.0,6.67713713783925,17.6,17.264,157.641,5.041,72.1804249570744,83.576284,22.9999890818666,19.4,0.250856552511053,-1.11507898169339,94.103,16.918,22.329,54.0300396037293,25.4105090311987,38.5417178430676,31.8645807052283,10.63,16863223.0,72.624,71.7875240326929
"Iran, Islamic Rep.",2009,37.239,10.988,3652380.0,72.9450585974912,1.766,12.113,76.3186,75.011,11.4879366630768,70.543,74322685.0,6.77139646652567,16.6,17.548,156.806,5.127,72.573208116561,83.140977,22.5125721878359,18.3,1.00738546285622,-0.357484605466496,100.907,17.04,22.198,54.6731401644794,13.5515548281506,37.7918964050017,31.0204999384761,12.113,16731948.0,72.698,72.1890161513444
"Iran, Islamic Rep.",2010,35.909,12.097,3783592.0,73.0849720498977,1.768,13.679,75.835764,75.728,11.7575073956626,70.631,75373855.0,6.90309544897929,15.7,17.755,161.742,5.108,72.7176253622692,84.217617,22.2626075049498,17.3,5.79793829590261,4.32247152034093,92.21,20.74,20.794,56.1714469224572,10.0893629287979,37.5182407147824,30.6151452658031,13.679,16780185.0,73.069,72.3381070022253
"Iran, Islamic Rep.",2011,34.995,10.718,3927533.0,72.999445857358,1.8,12.491,76.827417,76.383,11.9011072405109,71.191,76342971.0,7.08217812753616,14.9,18.164,154.045,4.978,72.6413548930392,85.215437,22.2140549127961,16.5,2.64571792008958,1.342708536713,84.109,21.063,19.842,57.1015995196523,26.2933856738608,37.6626310942532,30.5804529667171,12.491,16958870.0,73.679,72.2715972576464
"Iran, Islamic Rep.",2012,35.583,10.579,4087509.0,72.7244107319354,1.886,12.275,77.94339,76.958,11.8760182163601,71.641,77324451.0,7.30337521325139,14.3,18.926,145.04,4.892,72.3799468036314,85.827793,22.3338740549222,15.8,-3.7471713986414,-4.96890947752749,79.85,19.787,20.387,56.796816735769,27.2568127242908,38.1598147221319,30.8564395088805,12.275,17269546.0,74.186,72.0246236502611
"Iran, Islamic Rep.",2013,36.243,8.746,4264679.0,72.3402717483987,1.961,10.595,78.095206,77.211,11.6929147144448,71.905,78458928.0,7.54817963938296,13.7,19.445,143.721,4.911,72.0114820585586,86.007655,22.5529625038527,15.1,-1.52197920494163,-2.94592231053079,78.193,19.874,19.635,55.8238668807075,36.6030355191029,38.8667448137581,31.3185651743751,10.595,17694813.0,74.449,71.6726709748827
"Iran, Islamic Rep.",2014,35.933,8.907,4480084.0,71.7338231540961,2.036,10.68,79.159739,77.361,11.3468011695035,72.383,79961672.0,7.84362390199422,13.1,19.824,135.806,4.905,71.4311320303557,86.792802,22.9660780479928,14.5,4.98477506709494,3.01176428733751,72.435,19.764,18.366,56.6117661048392,16.6065532357449,39.9949808751349,32.1513569731407,10.68,18364060.0,74.782,71.1196038381588
