country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Israel,1991,51.117,11.337,482580.0,59.863782881057,2.762,13.387,81.699019,78.5,7.01256981904434,75.1,4949000.0,16.2687084416049,8.6,21.4,109.893,6.5,59.9375213947041,88.19993,30.3114097805055,9.7,7.72611517261879,1.43538021911569,68.753,16.421,42.773,87.9767011420552,19.1352614665498,66.8403955354602,50.5716870938554,13.387,1500112.0,76.7585365853659,60.009030248543
Israel,1992,51.114,11.966,501766.0,60.2032844097547,2.7,14.08,81.433485,78.4,6.95461517006543,74.7,5123000.0,16.2647950620133,8.1,21.5,112.413,6.4,60.2182624936053,88.247785,29.987349855204,9.2,7.75926616781504,4.0992793801516,68.321,17.105,43.243,87.9949409066428,12.0156939676313,66.0625572531704,49.797762191157,14.08,1536252.0,76.5048780487805,60.2327767116297
Israel,1993,53.133,11.252,517678.0,60.518324597124,2.8,12.741,82.344055,79.1,6.93936147353307,75.3,5261000.0,16.2705405839477,7.6,21.3,107.737,6.6,60.4768791394127,88.948326,29.6831976532506,8.6,4.11675641329255,1.38569532508986,63.991,14.866,47.489,88.0012548539589,10.9238178633975,65.3524275942746,49.0818870103269,12.741,1561633.0,77.1536585365854,60.4367328888978
Israel,1994,55.591,8.184,534576.0,60.8156571315826,2.9,9.934,82.631491,79.4,6.96962661945245,75.5,5399000.0,16.3075001700681,7.1,21.2,108.009,6.5,60.7167734197833,89.326625,29.3818407225045,8.1,7.42784517217655,4.68195840911663,63.991,12.345,51.37,88.0294222327678,12.2755081902506,64.6991442296282,48.3916440595601,9.934,1586326.0,77.4024390243903,60.6209992935909
Israel,1995,56.666,7.327,551550.0,61.0982646415594,2.9,8.782,82.654264,79.5,7.04505447161687,75.5,5545000.0,16.3185108216091,6.7,21.1,107.505,6.3,60.9540761648516,89.368736,29.099119513822,7.6,6.6029249274453,3.79606703034759,60.844,10.743,52.342,88.0535297380619,9.93144665143266,64.0579140709322,47.7394032493231,8.782,1613546.0,77.4512195121951,60.814409870755
Israel,1996,56.233,7.527,567326.0,61.3322249982893,2.9,8.455,83.515466,80.0,7.19193683258118,76.3,5692000.0,16.2978535391984,6.3,21.3,103.245,6.1,61.1557659432896,90.082672,28.8771597014483,7.2,5.92829113242992,3.19261671281164,60.177,9.69,52.013,88.1217058383537,11.4166933162775,63.5168886056996,47.2190350665013,8.455,1643688.0,78.1048780487805,60.984772804176
Israel,1997,55.08,8.875,582643.0,61.558395301721,2.94,9.751,83.43555,80.1,7.36417772763359,76.0,5836000.0,16.2771947517883,6.0,21.4,103.213,6.2,61.334902006396,90.245087,28.6814962800893,6.8,3.79045235024513,1.22948162741523,58.08,10.904,50.205,88.1627500528573,8.96957520091852,63.0393029203759,46.7621081685876,9.751,1673852.0,78.0,61.1182136016886
Israel,1998,53.952,10.391,595826.0,61.8379934580416,2.98,10.749,83.686,80.3,7.5185668281621,76.1,5971000.0,16.2095957816626,5.7,21.9,105.601,6.2,61.5602187169478,90.50802,28.4611186907786,6.5,4.11555506859686,1.76157752140871,56.388,11.209,47.438,88.1668143216017,5.49190043461083,62.4425527122139,46.2329569305513,10.749,1699413.0,78.1487804878049,61.2907394441129
Israel,1999,53.976,10.896,610675.0,62.0983044705556,2.965,11.183,84.213078,80.4,7.67287788899765,77.0,6125000.0,16.1377741908717,5.5,21.5,99.145,6.1,61.7817839844861,90.696066,28.2480087045769,6.2,3.33049252877015,0.732468716618229,56.738,11.541,47.397,88.1341702280353,5.18102372034954,61.8600186991264,45.7222445082547,11.183,1730191.0,78.6585365853659,61.4744800207015
Israel,2000,54.54,11.052,627634.0,62.2981357908811,2.95,11.102,84.422054,80.9,7.80497749771351,77.1,6289000.0,16.1087099357329,5.2,21.7,102.6,6.0,61.953253561656,91.009591,28.0668838988268,6.0,8.67165527699174,5.83779433480274,54.709,11.165,48.083,88.1525040086139,1.03264094955491,61.4120280064883,45.3033180707554,11.102,1765126.0,78.9536585365854,61.6181500985105
