country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Italy,1991,45.57,6.785,8698495.0,70.49262745443,1.3,10.097,78.737496,80.4,7.83574455243424,73.8,56758521.0,22.2672134733909,7.2,9.9,131.665,9.7,68.8251513276226,89.617503,15.8494048603906,8.9,1.53844755776618,1.46817561113606,61.15,15.722,33.147,71.6209093806328,6.24999929790291,45.2957211035861,23.0285076301952,10.097,8995888.0,77.0195121951219,67.2548837505229
Italy,1992,44.134,6.718,8915099.0,70.7516455676266,1.3,9.321,79.415976,80.8,7.94970863411852,74.2,56797087.0,22.7415830802664,6.8,10.0,127.392,9.6,69.0207088603189,89.990034,15.2828887270449,8.5,0.834275453554895,0.765807599435163,59.368,13.855,30.175,71.1284811448736,5.2705899859293,44.8840526311171,22.1424695508507,9.321,8680236.0,77.419512195122,67.3915335290431
Italy,1993,43.261,7.602,9117649.0,70.6791320486081,1.25,10.212,80.263812,81.0,7.95495045805911,74.6,56831821.0,23.2824473873806,6.5,9.7,122.016,9.7,68.9068933209733,90.126543,15.049894799412,8.0,-0.852805763831867,-0.913401721941298,58.708,14.787,28.698,71.4710179228883,4.62673468331298,45.1233600985387,21.8409127111582,10.212,8553129.0,77.7219512195122,67.2396212807199
Italy,1994,42.392,8.647,9309532.0,70.5861396694082,1.21,11.086,80.573248,81.2,7.89462549496284,74.8,56843400.0,23.8124936085435,6.1,9.4,121.501,9.7,68.7769515898981,90.350093,14.8455414461049,7.5,2.15102363802566,2.1302154755529,57.841,15.3,26.595,71.3730055647469,4.05184218065716,45.3975476963157,21.5850540877722,11.086,8438711.0,77.9219512195122,67.075887057512
Italy,1995,41.758,9.059,9519630.0,70.4138374795741,1.19,11.661,81.020003,81.5,7.79085402967004,75.0,56844303.0,24.4232414646818,5.8,9.2,119.096,9.8,68.5693166209273,90.55346,14.6838339192232,7.0,2.88683675924553,2.88520235071749,57.53,16.089,25.765,70.918865788342,5.23542258044301,45.8378254260443,21.4145839613626,11.661,8346923.0,78.1707317073171,66.8361214158264
Italy,1996,41.796,9.274,9733349.0,70.1969640377306,1.2,11.864,81.73346,81.8,7.6906242758019,75.4,56860281.0,25.0549926171121,5.5,9.3,114.728,9.7,68.3217548436398,90.633377,14.5602339304106,6.5,1.26678480191715,1.23832837048366,56.588,16.208,25.229,70.9490454847167,4.0069766898104,46.3662631086095,21.3112704914973,11.864,8278990.0,78.5219512195122,66.5607235846613
Italy,1997,41.783,9.352,9916160.0,70.0020667899508,1.22,11.985,82.332935,82.0,7.61387813914,75.8,56890372.0,25.5935360381293,5.2,9.4,110.152,9.8,68.104288669599,91.021828,14.4654162570801,6.1,1.83021223388438,1.77635122351289,53.817,16.371,25.066,71.1760305258714,2.04310779750136,46.8336317692114,21.240095731082,11.985,8229429.0,78.8243902439024,66.3229524445715
Italy,1998,41.971,9.433,10083244.0,69.8115810375083,1.22,12.117,82.729858,82.1,7.54990732351685,76.0,56906744.0,26.0973653272785,4.9,9.4,107.652,10.0,67.8953252168614,91.088295,14.3857843704385,5.7,1.81061516197623,1.78132437367471,53.88,16.535,25.441,71.3043562411865,1.95508557719381,47.2855449847205,21.188179657442,12.117,8186481.0,78.9756097560976,66.0976054090538
Italy,1999,42.42,8.835,10248789.0,69.5995128400331,1.23,11.681,83.295983,82.6,7.47195091677759,76.4,56916317.0,26.6107494477682,4.6,9.4,104.959,9.8,67.667271026878,91.584119,14.3259614686912,5.4,1.6257275993546,1.60863473141113,50.984,16.258,25.541,71.7022527352737,1.66345995007714,47.7819331802762,21.171183732508,11.681,8153810.0,79.4243902439024,65.8554903392611
Italy,2000,42.918,8.316,10423840.0,69.361407179727,1.26,10.834,83.970666,82.8,7.37326005693473,76.9,56942108.0,27.1535740528717,4.4,9.5,101.334,9.8,67.4166538264948,91.699469,14.2773158509804,5.1,3.78695514323979,3.73994653301939,50.685,14.846,26.087,71.8384707829724,2.53768532095002,48.3313033832247,21.177729330353,10.834,8129805.0,79.7780487804878,65.5937503448679
