country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Jamaica,2008,60.067,4.931,152409.0,65.9992000967325,1.89,6.666,70.739649,73.604,8.52105051663284,69.629,2711373.0,8.49189695769569,14.2,16.548,188.641,6.429,66.1936959614188,79.278953,28.1852035850471,18.4,-0.811736703280815,-1.18312022336025,127.315,8.86,31.367,61.3353362836096,22.0228384991843,51.0717879513561,42.5798909936604,6.666,764206.0,71.612,66.3848425603518
Jamaica,2009,57.607,5.898,155369.0,66.6900434786475,1.864,7.314,71.852042,74.139,8.67987326387055,70.114,2722401.0,8.53304496065448,14.2,16.354,179.933,6.219,66.8818504544609,80.301343,27.4110743767956,18.4,-4.3453018579464,-4.73278335354918,120.536,9.108,27.614,58.7979311386819,9.59224598930482,49.5173528881937,40.9843079275392,7.314,746239.0,72.124,67.0704234893812
Jamaica,2010,55.858,5.946,158937.0,67.3976223682847,1.742,7.63,72.92249,74.667,8.82582002521061,70.579,2733896.0,8.60268423536747,14.2,15.329,171.526,6.019,67.5785947965833,81.220188,26.6078153667879,18.3,-1.45714720947502,-1.87148268267046,114.167,9.759,24.357,57.8373796586276,12.6105519975603,47.9758358195383,39.3731515841708,7.63,727430.0,72.622,67.7565633756835
Jamaica,2011,55.973,6.276,162872.0,68.0571022586455,1.728,8.034,74.177363,74.997,8.9487735498793,71.176,2746169.0,8.69358672369444,14.2,15.264,162.342,5.871,68.2213170017364,81.836522,25.8478036406711,18.3,1.73037626746921,1.27572948209999,109.369,10.254,26.145,59.9939638956737,7.555856465809,46.5817228217327,37.8881360980382,8.034,709824.0,73.094,68.3828468898485
Jamaica,2012,55.553,6.672,166830.0,68.6630893378874,1.696,8.695,76.135631,74.819,9.04564142327534,72.01,2759817.0,8.78544616564223,14.2,15.037,146.852,5.813,68.8066092788036,81.453809,25.1484246962752,18.2,-0.613636039869121,-1.10512699572884,112.96,11.209,23.429,59.3148249810472,6.87397708674309,45.3349138675553,36.5494677019131,8.695,694051.0,73.433,68.9478571174372
Jamaica,2013,55.991,7.404,170415.0,69.2880086042134,1.636,9.698,76.572116,74.555,9.11228516476398,72.234,2773129.0,8.85399212874566,14.1,14.54,143.705,5.924,69.4062555330098,80.964389,24.4485200652404,18.1,0.5176860128024,0.0351655688553478,116.674,12.57,23.529,59.3172673645446,9.34150076569673,44.0792320980919,35.2252399693463,9.698,677989.0,73.412,69.5227259550241
Jamaica,2014,57.074,6.978,172922.0,69.9077381393756,1.569,9.046,75.259627,74.21,9.14801628123824,71.727,2784543.0,8.87174393524913,14.1,13.96,154.63,6.238,69.998272607031,80.327318,23.7916419319077,18.0,0.689822357374339,0.277089053422102,121.385,11.649,24.177,59.5153483748343,8.27407886231419,42.8606682359122,33.9889243006631,9.046,662489.0,72.982,70.0875214613891
Jamaica,2015,59.933,9.899,175516.0,70.3814350820249,1.588,8.824,73.022271,73.971,9.1234357856906,70.798,2794445.0,8.91589546544859,14.1,14.123,172.324,6.653,70.4459687784102,79.849107,23.2731406903948,17.9,0.92148712538031,0.563876019949532,124.717,17.857,22.866,59.940576384171,3.69154228855725,41.9527536175932,33.0368581521446,13.511,650355.0,72.394,70.5096222570605
Jamaica,2016,59.516,6.374,179300.0,70.7206488728141,1.516,8.634,71.35286,73.917,9.07956209889455,70.121,2802695.0,9.04147277674572,14.0,13.47,185.5,6.971,70.7563308250932,79.715625,22.8462385585591,17.8,1.37522306445538,1.07681542813329,126.268,11.372,27.563,60.2138038530693,2.35102197485846,41.3300697297744,32.2885969530287,8.634,640310.0,72.02,70.791531303635
Jamaica,2017,61.016,5.477,183263.0,71.0854674040677,1.44,7.399,70.719527,73.912,9.08442127032941,69.916,2808376.0,9.1801102536937,14.1,12.748,191.1,7.145,71.0839593921824,79.680069,22.3904709323949,17.8,0.997123062335191,0.792818276894394,126.721,9.706,28.823,60.5719862966316,4.37839864991561,40.6787539980113,31.4986437443176,7.399,628809.0,71.911,71.0824719663781
