country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Latvia,1998,50.543,15.364,347913.0,69.1614276257037,1.09,14.454,53.930342,74.8,6.4902630720763,63.5,2410019.0,21.6738380571896,12.1,7.6,353.204,14.2,66.6061753529269,81.357102,18.9577015656265,14.6,6.33593778412593,7.34334151475508,131.684,13.476,32.927,82.6370560439103,4.64421422660787,50.1362117739551,28.4623737167655,14.454,456884.0,69.0121951219512,64.4553513461763
Latvia,1999,49.778,14.182,353108.0,69.5760191171321,1.16,13.79,55.257955,75.29,6.4997160975532,64.46,2390482.0,22.0631964104849,11.3,8.1,338.192,13.7,66.950487985969,82.246855,18.2780888416575,13.4,2.7561742164455,3.59598283063572,130.444,13.359,32.351,83.0459706065316,2.36481836111807,49.3640807303496,27.3008843198647,13.79,436934.0,69.7429268292683,64.7434504255502
Latvia,2000,48.197,14.985,358599.0,69.9415226635738,1.25,14.211,55.990232,76.0,6.46798168184978,64.9,2367550.0,22.5299169356212,10.5,8.6,329.836,13.6,67.2280111906666,82.785609,17.6255506985389,12.4,5.67574131186166,6.6993125562973,121.788,13.373,30.262,85.1171570273687,2.65425477796048,48.7475002465984,26.2175833109772,14.211,417294.0,70.3146341463415,64.949737345529
Latvia,2001,48.769,15.125,363797.0,70.2842216382377,1.22,13.821,55.410319,76.6,6.38955512647906,65.2,2337170.0,23.0711667016521,9.9,8.4,339.775,14.1,67.4682139383732,82.519632,16.9660733211981,11.7,6.32350815882813,7.70556773423996,124.283,12.469,28.324,84.7504498214845,2.48704003555457,48.2179310992125,25.1467643975604,13.821,396526.0,70.7609756097561,65.1064692048858
Latvia,2002,49.961,14.856,370179.0,70.611964290177,1.26,13.829,55.78255,76.8,6.29047211426147,65.4,2310173.0,23.6749403616037,9.4,8.7,332.094,14.1,67.6828261706928,82.935035,16.2933163209156,11.1,7.08812865691006,8.33957528421918,118.341,12.763,28.259,86.293927840488,1.93887573855896,47.748002993112,24.0730626315083,13.829,376404.0,70.9609756097561,65.2289704988333
Latvia,2003,50.214,12.1,377491.0,70.8286707334102,1.32,12.061,57.011723,76.9,6.20233378283584,65.9,2287955.0,24.3376456586407,8.9,9.2,313.476,14.2,67.7923343599167,82.658255,15.708621469685,10.5,8.42286220668569,9.47574093572894,121.841,12.022,30.883,86.4941818556276,2.94264752948473,47.5093129979666,23.1716673393258,12.061,359406.0,71.2658536585366,65.2501465420872
Latvia,2004,50.678,11.173,383889.0,70.9689633289362,1.29,11.708,57.261686,77.2,6.12653939599797,67.1,2263122.0,25.0100818470074,8.4,9.1,309.232,14.2,67.8238860002218,83.094745,15.2133276605596,9.8,8.28414597787324,9.47233653811193,117.07,12.268,28.874,86.4901241041776,6.1923854719744,47.4407092929547,22.4306274459473,11.708,344296.0,72.0268292682927,65.1912570301806
Latvia,2005,51.607,10.092,389138.0,71.1058832088156,1.39,10.033,56.252168,77.4,6.06719765782732,65.6,2238799.0,25.6196741990766,7.9,9.8,325.304,14.6,67.8445509752675,83.21844,14.7738862009895,9.2,10.7203659565649,11.9232660209126,116.971,9.971,32.249,88.5266514490968,6.74845027893112,47.3957849842946,21.776110785218,10.033,330758.0,71.3560975609756,65.1163479211984
Latvia,2006,54.945,7.309,393618.0,71.1999517691456,1.46,7.03,56.540892,76.5,6.04087283802314,65.5,2218357.0,26.1606774348555,7.5,10.3,335.496,14.9,67.8257490200385,83.141667,14.430583239901,8.7,11.9718356939022,13.0036480961687,126.533,6.737,35.296,88.3389307083575,6.53619908765877,47.4366566375363,21.2759792026808,7.03,320122.0,70.8658536585366,65.0050066394203
Latvia,2007,56.614,6.511,396843.0,71.2328760209788,1.54,6.052,57.464312,76.5,6.06409822691775,65.8,2200325.0,26.6173413847432,7.1,10.9,323.614,15.0,67.759034361755,82.923512,14.2053065803085,8.3,9.941921627624,10.842912495241,118.268,5.568,38.116,89.0289454413342,10.0929775849168,47.5817935112504,20.9644521265072,6.052,312563.0,71.019512195122,64.8555642825627
