country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Lithuania,1998,52.637,15.382,470518.0,67.7163509962007,1.46,13.711,58.694955,76.7,6.85539674817303,66.0,3549331.0,20.0741413566529,8.3,10.4,306.281,11.5,66.0378138324798,83.890965,20.7056697832403,10.2,7.47575872433057,8.25717906231543,111.023,11.86,32.999,80.4366127769273,5.06755385841968,51.4284093056831,31.3542679490303,13.711,734913.0,71.219512195122,64.5737292323487
Lithuania,1999,52.957,14.654,480119.0,67.8765381137597,1.46,13.388,59.172792,77.0,6.76312266693704,66.4,3524238.0,20.5928763734296,8.0,10.3,296.759,11.4,66.1556149461852,84.370303,20.2210463342308,9.7,-1.14157115625557,-0.437687208867203,105.983,12.062,32.101,79.5365414715072,0.727550626557424,51.1587698977603,30.5658935243307,13.388,712638.0,71.5707317073171,64.6579272287651
Lithuania,2000,50.455,18.212,490786.0,68.0591687852822,1.39,15.931,60.154856,77.5,6.65759713206889,66.8,3499536.0,21.1575966905609,7.7,9.8,292.937,11.1,66.2850262797369,84.892039,19.6906548758465,9.4,3.69552542107776,4.42747584792048,102.974,13.605,26.659,80.3245633580721,0.981615478857598,50.8636580752073,29.7060613846464,15.931,689082.0,72.0195121951219,64.7450082098057
Lithuania,2001,48.7,19.511,502371.0,68.2860918989083,1.29,16.84,58.701193,77.6,6.52641407996378,66.0,3470818.0,21.7875590366776,7.4,9.0,311.081,11.6,66.4330383450997,84.951609,19.0928198931391,9.0,6.52610890248806,7.40751979624903,109.185,14.1,22.578,79.8286229598183,1.36712030817819,50.5275027431183,28.7399437064408,16.84,662677.0,71.6585365853659,64.8292246860482
Lithuania,2002,50.291,13.223,514102.0,68.5765533308546,1.23,13.008,58.725044,77.6,6.38476164639201,66.2,3443067.0,22.414426795011,7.1,8.6,304.387,11.9,66.6156398588201,84.750963,18.452846707107,8.6,6.75141457592376,7.6118272562162,103.637,12.784,25.24,79.2279038219198,0.281506610345575,50.1149056448297,27.7004788498187,13.008,635344.0,71.7609756097561,64.9236034410177
Lithuania,2003,52.061,12.551,525563.0,68.8457753978704,1.26,12.875,59.016992,77.9,6.26134082310247,66.5,3415213.0,23.0470361906917,6.9,8.8,304.451,12.0,66.7716284666431,85.133067,17.8394806429997,8.4,10.565956988762,11.4677174839243,107.048,13.2,23.566,79.0689024579239,-1.13430854990247,49.7641853838352,26.7171491931435,12.875,609256.0,72.0609756097561,64.9868843246768
Lithuania,2004,50.688,10.318,534887.0,69.0785467862422,1.27,10.684,59.22667,77.8,6.15492994069765,66.4,3377075.0,23.6803705366353,6.7,8.8,307.592,12.2,66.885628461011,85.011093,17.2756107872661,8.2,6.56949011753593,7.77300120748883,104.367,11.066,20.556,81.1586023134977,1.16410252104671,49.5089380186986,25.8285674820633,10.684,583410.0,71.9609756097561,65.0035494541442
Lithuania,2005,51.216,8.122,540259.0,69.3301442172044,1.29,8.325,57.434935,77.4,6.05059044374609,65.4,3322528.0,24.2656642864778,6.6,8.9,331.463,13.2,67.0102382279942,84.647178,16.7292716567468,7.9,7.73236760360545,9.50104418230511,112.675,8.535,21.214,82.8402827493692,2.65848484065262,49.2309226323349,24.9652583458571,8.325,555835.0,71.2536585365854,65.0243505778998
Lithuania,2006,51.64,5.946,545200.0,69.5766862146136,1.33,5.78,57.029082,77.1,5.95727267934593,65.3,3269909.0,24.8393777945439,6.3,9.1,342.046,13.7,67.1242395457144,84.338252,16.2025007136018,7.5,7.41412133545715,9.142617036882,116.755,5.611,23.667,83.0110999608466,3.73912004060664,48.977448651466,24.1380708569221,5.78,529807.0,71.0560975609756,65.0303639066302
Lithuania,2007,52.746,4.173,551741.0,69.8142323321719,1.36,4.25,56.232534,77.2,5.88743528149667,64.9,3231294.0,25.4028728850353,5.9,9.3,355.587,14.1,67.2165150076358,84.613397,15.708554913913,7.0,11.1074801410501,12.4352501754842,120.102,4.329,24.788,85.4311477133779,5.73717382799842,48.7729763352322,23.3701034501969,4.25,507590.0,70.9,65.0043525235725
