country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Moldova,2000,54.794,9.809,303558.0,68.3940024213827,1.499,8.539,54.603454,70.035,6.74910270721393,62.719,2924668.0,15.3701187045187,23.0,11.654,319.773,12.993,67.5286064710638,72.299716,22.0921527161829,29.1,2.10771608200733,2.31558560482232,170.755,7.268,30.634,63.0172837955257,31.2993015817784,48.0853554553243,32.7152367508056,8.539,646122.0,66.417,66.7501839039736
Moldova,2001,53.679,8.747,305969.0,68.8943279984096,1.463,7.366,54.956107,70.466,6.89502331636741,63.035,2918135.0,15.4190112489556,21.0,11.508,317.883,12.897,68.0010432088934,73.010046,21.5138622750001,26.6,6.10000039929173,6.33753269392803,166.34,5.993,27.858,60.6428550843957,9.76466285757629,47.0565854415676,31.637574192612,7.366,627804.0,66.787,67.1972484854707
Moldova,2002,53.306,8.169,307225.0,69.4549302473897,1.437,6.845,55.218376,70.505,7.00080647802731,63.289,2911385.0,15.3957287345009,19.1,11.422,316.45,13.042,68.5419691477712,72.958479,20.9054928077206,24.2,7.79999965773833,8.04993224916466,167.068,5.559,26.813,58.7776913663552,5.30124390261591,45.8959840562941,30.5002553217932,6.845,608639.0,66.938,67.7202874918946
Moldova,2003,53.597,7.842,306275.0,70.0577245776356,1.48,6.378,56.039112,70.997,7.07951006108804,63.754,2903198.0,15.2600118682061,17.5,11.903,311.342,12.803,69.1321310157201,73.840821,20.3182866949586,22.1,6.59999995777716,6.90061128351323,161.573,5.019,23.391,56.796832819349,11.7460792058232,44.6505132177039,29.3905013494977,6.378,589880.0,67.419,68.2989222392897
Moldova,2004,51.599,8.112,305853.0,70.6035109885653,1.539,6.374,56.493666,71.621,7.13548984986886,64.03,2896023.0,15.1620065703863,16.1,12.558,309.153,12.529,69.6552788358673,75.009453,19.783590073179,20.4,7.39999973358189,7.66608705336095,153.848,4.796,21.347,56.5692975297638,12.5242768428228,43.5641296766412,28.402123106255,6.374,572937.0,67.861,68.8019319543809
Moldova,2005,51.724,6.826,306951.0,71.075686029031,1.531,5.633,56.789627,72.045,7.20207946478664,64.229,2888985.0,15.1584783001621,15.1,12.607,308.818,12.501,70.0919457327493,75.816186,19.2831876586639,19.1,7.5000001493726,7.76188624467986,149.047,4.58,20.523,55.2653506382806,11.9591837222126,42.6697304520713,27.5112521519092,5.633,557088.0,68.169,69.2065226397977
Moldova,2006,55.615,5.578,308498.0,71.4575759448743,1.541,4.26,56.956087,72.564,7.29460648332858,64.367,2880967.0,15.202352757976,14.3,12.838,309.39,12.417,70.4373827594358,76.80813,18.8544766239181,18.1,4.79999983670831,5.09166801572276,143.047,2.94,28.526,51.6966131805125,12.777755783035,41.9700504317299,26.7676976737539,4.2,543191.0,68.479,69.5182210273647
Moldova,2007,57.232,3.602,310143.0,71.7643462496403,1.574,2.749,58.090542,72.996,7.41348707739435,64.853,2874299.0,15.2616435706999,13.8,13.207,301.03,12.21,70.7015218310362,77.680592,18.5082810936631,17.5,3.00000022585525,3.238946835622,137.676,1.938,27.393,49.5743928925189,12.3671668414302,41.439680578376,26.178037007676,2.723,531983.0,68.947,69.7429215361716
Moldova,2008,58.339,2.456,309680.0,72.0536896576599,1.638,2.097,58.917712,73.477,7.59621904916169,65.265,2868833.0,15.2131376899984,13.4,13.778,294.526,12.033,70.9559959521795,78.573661,18.2493569704508,17.0,7.80000014541523,8.00539195483559,131.907,1.728,29.328,49.5471965012089,12.783047261882,40.9324187503592,25.7192810603608,2.073,523544.0,69.394,69.964761673959
Moldova,2009,58.857,3.747,306347.0,72.3131579043453,1.704,3.024,58.774597,73.876,7.83639691133651,65.275,2865213.0,15.0166785536594,13.1,14.342,294.039,12.093,71.2004624625866,79.316559,18.1075838930202,16.6,-6.00000026352828,-5.88123771461969,126.227,2.287,32.667,48.0491512190695,-0.0627185967109329,40.4485195179518,25.4318409642925,2.987,518821.0,69.573,70.1945801125902
Moldova,2010,61.488,3.781,301712.0,72.5888579089055,1.698,2.972,57.765739,73.778,8.08995129726792,64.993,2862354.0,14.7498924478861,12.9,14.265,300.012,12.582,71.4628759937643,79.180103,17.9964254118742,16.3,7.10000010705836,7.20697461136707,126.307,2.172,38.885,44.295507557858,7.48385086350852,39.9327799288201,25.1828874809339,2.937,515121.0,69.357,70.4440780828384
Moldova,2011,62.664,3.225,298360.0,72.8650369954107,1.66,2.677,56.946278,73.679,8.32920598906141,64.805,2860699.0,14.5433913262192,12.7,13.864,303.717,13.074,71.713818693167,79.002609,17.8565622099807,16.0,5.81816614684824,5.87938512338968,126.172,2.133,39.699,44.4554139783203,7.68725103356191,39.4431240117065,24.8997326854872,2.648,510822.0,69.192,70.671502350665
Moldova,2012,63.371,2.753,297085.0,73.0617542584024,1.659,2.19,56.64483,73.625,8.51373097840336,64.781,2860324.0,14.4501304274021,12.5,13.746,303.644,13.443,71.8776182816417,78.950503,17.7359769878483,15.8,-0.589733954762579,-0.576700868382531,125.422,1.618,40.16,42.9790478440741,4.54633427355292,39.125350874761,24.6752204473589,2.151,507306.0,69.143,70.8050738204633
Moldova,2013,64.017,2.313,300929.0,73.0387698666087,1.654,1.894,56.341614,73.586,8.56887110626626,64.75,2859558.0,14.6557639719186,12.3,13.59,303.294,13.8,71.8053299977858,78.889363,17.6710554757231,15.5,9.0438656074181,9.0730755766005,124.7,1.487,41.519,42.1781457909877,4.59787897363127,39.2654317530433,24.6096677811247,1.873,505314.0,69.099,70.6878310125207
Moldova,2014,68.266,1.813,311459.0,72.5600199848727,1.822,1.451,56.151805,73.524,8.52046899841018,64.695,2857815.0,15.2914421949128,12.1,14.802,303.041,14.166,71.2719044350382,78.915714,17.829583686366,15.2,4.99962585407656,5.06366581042911,124.036,1.084,43.086,40.4351680275124,5.0887855462587,40.3077543954568,25.0163122005441,1.425,509537.0,69.031,70.1043779580798
Moldova,2015,68.96,2.221,322120.0,71.7876042941872,1.868,1.781,56.43324,73.838,8.39063052706049,64.827,2835978.0,16.1239136680852,11.9,14.899,299.509,14.133,70.4440548387924,79.591451,18.197601260516,14.9,-0.338235622387202,0.429158887977096,119.204,1.309,45.963,39.142466003863,9.67624033101868,41.9566137979295,25.8327001298443,1.742,516080.0,69.24,69.2257635488615
Moldova,2016,68.798,2.227,331023.0,71.0098105305432,1.89,1.591,58.182462,74.51,8.14197217342563,65.474,2803186.0,16.9661679164892,11.7,14.761,284.432,13.54,69.6021206012918,80.849835,18.5890739671014,14.7,4.64601436259409,5.87017576429136,110.623,0.953,42.671,38.0941599026558,6.35930898037931,43.67377607342,26.7076081569308,1.557,521086.0,69.917,68.3254388293705
Moldova,2017,67.223,1.9,336955.0,70.2993222238198,1.81,1.622,59.814161,75.059,7.8465630814974,66.077,2755189.0,17.7691984388439,11.5,13.805,270.453,13.088,68.8260295688799,81.860407,18.9441554268409,14.5,4.17561205106279,5.99041199822246,103.787,1.304,40.247,39.1155347772247,6.57022997455597,45.2938822024303,27.5246837635864,1.586,521947.0,70.516,67.4898079160542
Moldova,2018,66.219,1.392,341469.0,69.6920570992731,1.809,1.239,59.47958,75.232,7.57344831195943,65.921,2707203.0,18.509239469509,11.4,13.443,272.06,13.339,68.1462469249678,82.268004,19.2404157185748,14.3,4.07559546585034,5.92036718190722,100.946,1.025,35.966,40.1850269136549,3.04505397337071,46.743243514267,28.2340040447579,1.196,520877.0,70.492,66.744758676876
Moldova,2019,68.29,1.859,346440.0,69.1446608621995,1.78,1.502,60.760954,75.617,7.30749757575237,66.378,2664224.0,19.2584142993893,11.2,12.894,261.404,13.089,67.5206810375074,83.00056,19.4759045773086,14.1,3.5523140853476,5.22280984962049,96.243,1.121,38.05,40.5166242862189,4.83778351428728,48.1027871446027,28.8443728452134,1.466,518882.0,70.935,66.0493774188842
Moldova,2020,68.837,1.468,351930.0,68.6953270084195,1.77,1.206,58.69763,74.852,7.03590433948952,65.692,2635130.0,19.9346895772382,11.0,12.481,271.998,14.445,66.9953647620125,81.991034,19.6493213439759,13.9,-8.27597831976949,-7.26326976771907,101.097,0.93,37.045,40.2618128453099,3.76597122245351,49.2640540609432,29.329364483705,1.186,517785.0,70.166,65.4569594086598
Moldova,2021,71.937,1.113,353189.0,68.3572947839891,1.806,0.794,55.080469,73.547,6.7543406126896,64.443,2595809.0,20.433336765994,10.9,12.432,299.916,16.36,66.5878710366939,79.864435,19.8060170703541,13.7,13.9299997889786,15.6557976122015,114.72,0.487,38.669,40.4707495688391,5.10641129002841,50.1774955539331,29.7441587879391,0.785,514126.0,68.846,64.9890145899055
Moldova,2022,71.87,1.142,329641.0,69.454951843154,1.8,0.909,54.4461,73.32,7.26306750004739,64.217,2538894.0,19.1768477672164,10.8,12.148,304.748,16.609,67.704803183383,79.479099,19.3115573621233,13.5,-5.01548231924089,-2.88619144541929,117.038,0.68,36.557,40.869878126653,28.7372976766235,47.7000243753029,28.5231766080864,0.897,490300.0,68.621,66.1142967949251
