country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Montenegro,2007,39.369,18.1,79494.0,68.0374419142333,1.8,19.4,74.242724,76.9,7.42318757147893,71.9,615875.0,19.2302481977841,7.2,12.7,157.403,9.7,67.1207307858163,85.20862,19.9717528652643,8.2,6.81015012526991,6.66273607597991,88.983,20.9,20.2,83.84648611725,4.34712215656112,48.9851952198945,29.7549470221104,19.4,123001.0,74.3390243902439,66.2540963293503
Montenegro,2008,40.373,16.25,80121.0,68.2538623081056,1.89,17.15,75.152747,77.8,7.44916852047982,72.6,616969.0,19.3020325663529,6.5,13.4,151.186,9.3,67.2791034837161,86.520759,19.7346177509021,7.5,7.22275259212526,7.0326268462032,80.827,18.37,23.4,84.0616325892334,8.75872769588798,48.6343958312755,29.3323632649226,17.15,121756.0,75.1365853658537,66.3560277062203
Montenegro,2009,39.788,17.527,80320.0,68.49721331345725,1.795,18.3995,76.02448749999999,78.15,7.393876815074635,73.1,618198.5,19.2562794410712,5.9,12.7,145.796,9.2,67.472414426552,86.966598,19.53501825863195,6.8,4.978541837231775,4.789440002965016,77.8845,19.560000000000002,18.497999999999998,83.99744203689325,4.7068371330182295,48.209930654102195,28.95365121303105,18.3995,120762.5,75.56341463414635,66.50061193775645
Montenegro,2010,39.203,18.804,80519.0,68.7405643188089,1.7,19.649,76.896228,78.5,7.33858510966945,73.6,619428.0,19.2105263157895,5.3,12.0,140.406,9.1,67.6657253693879,87.412437,19.3354187663618,6.1,2.73433108233829,2.54625315972683,74.942,20.75,13.596,83.9332514845531,0.654946570148479,47.7854654769289,28.5749391611395,19.649,119769.0,75.990243902439,66.6451961692926
Montenegro,2011,39.109,19.5,80808.0,68.9889889239427,1.65,19.759,76.373416,78.8,7.25632470903406,73.3,620079.0,19.2013686749278,4.8,11.6,143.419,9.4,67.8696018284614,87.56578,19.0984950648002,5.4,3.22845102061061,3.12007495624715,74.572,20.084,13.097,83.5745408885576,3.4501431124869,47.3414202378548,28.140051562927,19.759,118426.0,75.9829268292683,66.8062727039848
Montenegro,2012,40.127,19.349,81865.0,69.0617342374463,1.72,19.808,78.141658,78.3,7.17751117369648,74.2,620601.0,19.421287619626,4.4,12.0,132.634,9.5,67.9215165298819,87.065161,18.8872767654397,4.9,-2.72379077130623,-2.80561175003068,77.918,20.381,13.479,83.7648691803327,4.14524724981119,47.2288516376369,27.8075640180109,19.808,117215.0,76.2,66.8375781311386
Montenegro,2013,40.293,20.114,83285.0,69.0348046233611,1.73,19.585,77.820218,79.0,7.02834733410699,74.1,621207.0,19.7553500861042,4.0,12.0,133.61,9.5,67.8649032132888,88.088199,18.7281872022122,4.5,3.54897991245058,3.44796578700294,71.915,18.93,13.526,84.0101156069364,2.20589268141178,47.3516421479095,27.5962920618053,19.585,116341.0,76.490243902439,66.7518307717407
Montenegro,2014,43.204,17.897,85215.0,68.8954597481877,1.75,18.054,77.883626,78.9,6.84780618830121,74.1,621810.0,20.2491730666869,3.6,12.1,132.318,9.7,67.6784994982615,88.490709,18.6171407760906,4.1,1.78369858106701,1.68499387988115,69.861,18.247,18.754,81.149477856544,-0.710514051710227,47.7572998251084,27.5081267584214,18.054,115763.0,76.4414634146341,66.5204689608066
Montenegro,2015,44.3,17.76,87615.0,68.6451944724788,1.74,17.555,78.268971,78.6,6.66902693009259,74.4,622159.0,20.8959887047421,3.3,11.9,130.19,10.2,67.3928354258466,88.151642,18.5247170000308,3.7,3.39038139712073,3.33238457780671,71.989,17.307,18.84,79.1183578573832,1.54869158222486,48.383580854347,27.4875921496049,17.555,115253.0,76.4487804878049,66.2009251206428
Montenegro,2016,44.854,18.246,89809.0,68.4086802789812,1.79,17.732,78.28426,78.9,6.50488324746359,74.1,622303.0,21.4939425704945,3.1,12.2,129.302,10.4,67.1432192128553,88.231943,18.4250316021688,3.5,2.94928032097511,2.92545800874741,70.446,17.096,20.986,78.5258969301747,-0.271385023385176,48.9354624085163,27.4415198380218,17.732,114660.0,76.4414634146341,65.9385590836725
