country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
New Zealand,1991,57.049,11.268,390680.0,66.315034472133,2.09,10.614,78.544085,78.9,8.10448537381791,73.3,3495100.0,17.0288293181102,7.6,17.4,133.532,7.55,65.6412326634974,86.102307,23.1808286939421,9.7,-1.0907246579274,-5.76861748332426,85.341,9.774,54.381,76.5248514210362,2.60239285999773,52.3432511255425,35.3144218074323,10.614,810193.0,76.0317073170732,64.9882487747534
New Zealand,1992,56.599,11.393,399187.0,66.2366527577783,2.06,10.667,78.409256,79.3,7.92862951121652,73.1,3531700.0,17.224882653823,7.3,17.28,136.335,7.67,65.6200138001805,87.09965,23.0770297765432,9.1,1.09376591969001,0.046102802024123,79.587,9.736,52.961,75.8029217013175,1.01456027171236,52.3925329945778,35.1676503407548,10.667,815011.0,76.1243902439025,65.0221771366558
New Zealand,1993,57.088,10.459,407090.0,66.1006514969828,2.04,9.804,79.614783,79.2,7.76917696985503,73.8,3572200.0,17.3922665529655,6.9,16.53,129.549,7.58,65.5237143587869,86.65249,23.080233547917,8.7,6.39202009768928,5.18579513437356,81.649,8.964,53.117,75.8903554412221,1.28820776574386,52.6165088322073,35.2242422792418,9.804,824472.0,76.4341463414634,64.963857401245
New Zealand,1994,58.757,8.782,414889.0,65.9951063788044,1.98,8.354,80.567608,79.7,7.68121689629277,74.2,3620000.0,17.5091673408445,6.7,15.95,121.75,7.44,65.4572542306927,87.194957,23.0817115292495,8.3,5.11890595985565,3.73087178723654,76.837,7.811,55.818,75.936064158274,1.74537790773743,52.7714298857211,35.2622625448766,8.354,835558.0,76.8829268292683,64.9349146989647
New Zealand,1995,60.567,6.44,422074.0,65.9448477046013,1.98,6.461,80.240239,79.5,7.66972490853591,74.1,3673400.0,17.5578120645116,6.4,15.77,125.973,7.57,65.4410049503347,87.00142,23.0689897609974,7.9,4.72257561898002,3.200229689309,80.833,6.488,58.873,75.9874708502157,3.75494413677554,52.8093813828305,35.2515693183189,6.461,847416.0,76.7341463414634,64.9511954412755
New Zealand,1996,61.474,6.324,428924.0,65.931676452726,1.96,6.29,80.259001,79.4,7.69038058922469,74.3,3732000.0,17.555907463565,6.2,15.34,122.153,7.57,65.4659467085249,87.022427,23.0409224189896,7.6,3.61087254135366,1.98397084496476,77.131,6.248,58.78,75.9619620153057,2.28571305402195,52.7511788895579,35.1952714259928,6.29,859887.0,76.7878048780488,65.012938859063
New Zealand,1997,60.96,6.853,435091.0,65.9114001028138,1.96,6.857,81.049344,80.1,7.65074157799694,74.7,3781300.0,17.5708228653997,5.9,15.23,119.559,7.26,65.4857632131768,87.856279,23.0078535917192,7.4,2.0791517904474,0.748259720717655,76.658,6.861,57.665,76.7976034023651,1.18714833105632,52.7049571260631,35.1341342606634,6.857,869996.0,77.3341463414634,65.0722519999802
New Zealand,1998,60.019,7.804,441004.0,65.8564187373956,1.89,7.718,82.013434,80.8,7.51077735735554,75.5,3815000.0,17.654509585391,5.8,14.51,112.133,6.87,65.4775377922145,88.302318,22.9627269396364,7.1,0.85907461138774,-0.031869245598827,71.375,7.613,55.196,76.4360984714313,1.26524409915406,52.7241341762585,35.0696245908675,7.718,876028.0,78.0853658536585,65.1103808632687
New Zealand,1999,60.549,7.297,445715.0,65.805120976067,1.97,7.023,82.042272,80.4,7.30785814116989,75.5,3835100.0,17.7464764057846,5.6,14.87,111.825,7.33,65.4889984814113,88.347488,22.8890175501797,6.9,5.37596118390373,4.82367915219754,70.399,6.693,54.022,75.847504028284,-0.114267129777524,52.6974174310959,34.9509410253113,7.023,877817.0,77.890243902439,65.1834537531667
New Zealand,2000,61.241,6.256,451541.0,65.7819291202538,1.98,6.13,83.688795,81.3,7.04462635250671,76.1,3857700.0,17.8646288727909,5.4,14.66,104.312,6.91,65.5201353162142,88.939091,22.7749265550029,6.7,2.87059022192307,2.26793181431869,67.077,5.978,54.206,76.4113156447086,2.6152344624632,52.6248135561033,34.7601846833124,6.13,878588.0,78.6365853658537,65.2676837258974
New Zealand,2001,62.218,5.476,457029.0,65.8544095480284,1.97,5.433,83.971979,81.1,6.739890970979,76.4,3880500.0,17.9487985082628,5.3,14.36,100.077,7.16,65.6176498301808,89.061494,22.6047758131119,6.6,3.41147076988781,2.80387341553825,64.107,5.382,55.348,77.3636695147325,2.62581630392903,52.3980154679764,34.4492169597136,5.433,877178.0,78.6926829268293,65.3896822362935
New Zealand,2002,62.998,5.125,464893.0,66.0706235912848,1.89,5.282,84.208873,81.1,6.48963197171342,76.7,3948500.0,17.8805825257655,5.2,13.67,100.426,7.1,65.8474741638362,89.408889,22.3786074170649,6.4,4.71384316544561,2.91048965518847,64.566,5.469,56.16,77.4127540831462,2.67709257711605,51.8660855357794,33.9855030100139,5.282,883619.0,78.8463414634146,65.6326844446896
New Zealand,2003,63.151,4.434,473756.0,66.3124631469494,1.93,4.745,84.596365,81.4,6.33688215136628,77.0,4027200.0,17.7927103203173,5.1,13.94,98.588,6.95,66.1164305645282,89.625169,22.1196654378758,6.3,4.72896774397864,2.68234235625238,64.71,5.108,55.864,77.4027762041953,1.75357444759557,51.2483282575458,33.4556179372285,4.745,890803.0,79.1463414634146,65.9277587672696
New Zealand,2004,64.227,3.565,483191.0,66.4862091705961,1.98,4.005,85.436352,81.7,6.25973291908748,77.5,4087500.0,17.8209236736128,5.0,14.2,93.11,6.95,66.3331911030224,89.642614,21.8456202068477,6.1,4.08825964880346,2.55271908444313,62.964,4.519,56.187,77.3565427236931,2.29024902847571,50.7541024478778,32.933178774265,4.005,892940.0,79.5487804878049,66.186036697671
New Zealand,2005,65.092,3.514,494993.0,66.5877693131608,1.97,3.807,85.47659,81.9,6.23846918439557,77.9,4133900.0,18.0114823914347,4.9,13.96,94.411,6.54,66.4797989537796,90.296818,21.5462058115347,6.0,3.35324144367794,2.19317700017744,59.596,4.145,56.276,77.8435498536594,3.03702332617012,50.4216565849455,32.4101741935108,3.807,890699.0,79.8512195121951,66.3761120514826
New Zealand,2006,65.558,3.562,509843.0,66.599225946693,2.01,3.857,85.76425,82.2,6.25538814188162,78.0,4184600.0,18.3118725129938,4.9,14.14,90.167,6.75,66.5349434853485,90.511505,21.2812722937776,5.9,2.77957134994847,1.53430913433827,59.427,4.198,58.015,78.7711281594598,3.36540196171993,50.2969771436966,31.9851046307028,3.857,890536.0,80.0487804878049,66.4732969605197
New Zealand,2007,65.925,3.396,522895.0,66.5172340169036,2.18,3.661,85.887683,82.2,6.28550821770721,78.2,4223800.0,18.6164919699812,4.8,15.15,91.593,6.75,66.4987205951258,90.577684,21.1215508064207,5.9,3.04991051170988,2.09353083178681,58.429,3.965,57.993,79.4648640818361,2.37614310290659,50.378830898759,31.7623389287778,3.661,892132.0,80.1512195121951,66.480984594263
New Zealand,2008,65.548,4.082,534436.0,66.3930738772511,2.19,4.167,86.237072,82.4,6.31127940883205,78.4,4259800.0,18.8877744533199,4.8,15.1,87.738,6.85,66.4241098238983,90.62003,21.0298554881376,5.8,-1.2395351114323,-2.07416977408981,58.291,4.263,55.823,79.2208899373037,3.9589493731206,50.5477580407233,31.6599835874034,4.167,895830.0,80.3512195121951,66.4538285587202
New Zealand,2009,63.998,6.101,547538.0,66.2431957876542,2.13,6.121,86.522062,82.7,6.3238325987983,78.8,4302600.0,19.1878445468426,4.7,14.53,87.298,6.73,66.3219213428009,90.857029,20.9523421080245,5.7,-0.051952422293283,-1.04618298900314,56.586,6.143,51.089,80.1857235260825,2.1156511055456,50.7797083439779,31.5918637971353,6.121,901495.0,80.7024390243902,66.3972967169741
New Zealand,2010,63.511,6.225,563576.0,66.0610930433756,2.17,6.557,87.045956,82.8,6.31518368907398,79.1,4350700.0,19.5746126329705,4.7,14.68,85.44,6.53,66.1759547720455,91.262708,20.870348685451,5.7,1.44462128410649,0.323080777115536,54.4,6.928,49.405,80.5752223935965,2.30202385958572,51.1122681016437,31.5376554686732,6.557,908006.0,80.9048780487805,66.2859000704959
New Zealand,2011,63.895,6.251,581503.0,65.8241780811687,2.09,6.491,87.070622,83.0,6.28370698068081,79.4,4384000.0,20.1070109310345,4.6,14.0,84.877,6.86,65.9680905235447,91.123031,20.7676931044407,5.6,2.24134221542516,1.46473712971036,55.589,6.759,49.183,80.086318947293,4.0279066739204,51.5884456686472,31.4814347376126,6.491,910456.0,81.1560975609756,66.1057899520537
New Zealand,2012,63.316,6.516,602360.0,65.5343710487734,2.1,6.931,87.491985,83.2,6.25711817625614,79.7,4408100.0,20.7971025751243,4.5,13.87,81.99,6.82,65.7055230790667,91.59625,20.6296215130793,5.4,2.2894629674209,1.73022518753503,53.037,7.387,48.613,80.0288223706355,1.05991318445632,52.1941813272844,31.39707875216,6.931,909374.0,81.4073170731707,65.869268245935
New Zealand,2013,63.822,5.307,625059.0,65.3190360715368,2.01,5.839,87.827791,83.3,6.29942145881061,79.6,4442100.0,21.4865944899822,4.4,13.2,80.47,6.65,65.4885000912227,91.539937,20.4402441534304,5.3,2.76017958953716,1.97364932096052,52.498,6.423,49.038,81.5312351346867,1.13442266445817,52.6985474714384,31.2119529814562,5.839,907976.0,81.4048780487805,65.6508104503401
