country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Philippines,2001,59.054,3.497,3043316.0,58.4669425965384,3.718,3.698,69.653394,71.409,7.97909949601225,67.865,79626086.0,6.51229877096173,24.2,28.84,182.943,5.689,58.6890883974882,77.053881,37.4889034480484,30.9,3.04923150985866,0.890742890768067,136.316,4.018,40.147,49.0466282643754,5.34550195567142,70.3894245600172,63.8771257890554,3.698,29850946.0,69.614,58.9161557985994
Philippines,2002,59.018,3.4135,3147036.0,58.66416207083495,3.661,3.6125,69.94873150000001,71.551,8.000965341737315,68.02699999999999,81284461.5,6.575399844717451,23.799999999999997,28.413,180.996,5.6325,58.863804430458,77.3023915,37.2655551106922,30.299999999999997,4.068071322494696,1.9389662529276437,134.74599999999998,3.9299999999999997,39.6085,49.35390973073825,3.817329291088745,69.88518114406216,63.30978129934465,3.6125,30287401.5,69.769,59.0679770116354
Philippines,2003,58.982,3.33,3250756.0,58.8613815451315,3.604,3.527,70.244069,71.693,8.02283118746238,68.189,82942837.0,6.63850091847317,23.4,27.986,179.049,5.576,59.0385204634278,77.550902,37.042206773336,29.7,5.08691113513073,2.98718961508722,133.176,3.842,39.07,49.6611911971011,2.28915662650607,69.3809377281071,62.7424368096339,3.527,30723857.0,69.924,59.2197982246714
Philippines,2004,59.336,3.348,3351259.0,59.1012835018946,3.543,3.554,70.555062,71.752,8.08771739677227,68.344,84607501.0,6.68533775163234,23.0,27.466,176.581,5.556,59.2482834352949,77.652726,36.7907687050112,29.1,6.56922851180626,4.47246455926522,132.53,3.889,39.662,51.6970675768678,4.82921083627795,68.7812611638108,62.0959234121784,3.554,31127750.0,70.037,59.398790400332
Philippines,2005,59.25,3.541,3447376.0,59.3891330138131,3.49,3.795,70.901601,71.957,8.14996651344065,68.54,86261250.0,6.71676249560034,22.5,27.019,174.408,5.513,59.4994446550482,78.012388,36.504118961271,28.5,4.94250511877678,2.93061028885407,130.248,4.2,39.239,50.0999048359561,6.51685393258433,68.0687945914819,61.3520320958816,3.795,31488909.0,70.24,59.6124460545821
Philippines,2006,58.932,3.876,3543683.0,59.7107738403222,3.486,4.052,71.050403,71.959,8.16173162463997,68.612,87901835.0,6.74376099206249,22.1,26.924,173.288,5.548,59.7798402047011,78.011784,36.1887502120974,27.9,5.31641682136939,3.35080900793881,130.325,4.33,38.383,50.7061884753852,5.4852320675105,67.2804742262426,60.5367132341801,4.052,31810576.0,70.282,59.8506268750525
Philippines,2007,59.159,3.255,3650557.0,60.0713522134642,3.444,3.434,71.373772,72.175,8.12840164115908,68.794,89561377.0,6.78056802943276,21.7,26.607,171.232,5.529,60.1135392324305,78.394007,35.8104219411455,27.3,6.51929155018938,4.54552513369286,127.838,3.716,38.221,51.7149598554347,2.90000000000003,66.3518771404403,59.5713091110076,3.434,32072307.0,70.483,60.1567798934872
Philippines,2008,58.798,3.54,3773080.0,60.4463521468112,3.404,3.72,71.545938,72.238,8.07689564063242,68.883,91252326.0,6.83447962256069,21.3,26.357,170.044,5.559,60.4987802694543,78.503959,35.3664424106491,26.8,4.34448730509183,2.41093432953198,127.142,4.006,37.299,52.0437855152333,8.26044703595725,65.2925874149992,58.4581077924385,3.72,32272701.0,70.564,60.5524706108443
Philippines,2009,59.068,3.683,3907149.0,60.8098122996734,3.363,3.858,71.667088,72.301,8.00953997216239,68.949,92946951.0,6.90395029430169,21.0,26.148,169.391,5.602,60.8873637991236,78.61155,34.9090023678722,26.3,1.44832306275669,-0.401300433448426,126.484,4.131,37.509,52.9673624548605,4.21903052064628,64.2376891198529,57.3337388255512,3.858,32446853.0,70.633,60.9666685798112
Philippines,2010,59.212,3.486,4043846.0,61.1537938758238,3.264,3.605,71.872319,72.418,7.94875125151105,69.064,94636700.0,6.97840333159315,20.7,25.511,168.077,5.636,61.2320720250816,78.816998,34.4949070207166,25.9,7.33449996514402,5.41803030821811,125.179,3.789,37.315,54.156963551193,3.78983634797591,63.3131089984588,56.3347056668657,3.605,32644842.0,70.754,61.3120692167092
