country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Serbia,2006,42.281,17.94,1253639.0,69.135946136238,1.43,20.85,71.645961,76.1,6.69190139123531,70.8,7411569.0,24.8767758828193,6.3,9.58,184.815,13.88,67.9936339541603,84.344791,15.0917378611089,8.2,5.10779014122984,5.52189240110543,96.404,24.71,19.52,64.3045010545605,11.7240229980834,47.0725950238074,22.1958191409882,20.85,1118535.0,73.3853658536585,66.9317133797058
Serbia,2007,43.843,15.79,1266998.0,69.1792779539177,1.38,18.06,72.103333,76.5,6.5682459971494,70.9,7381579.0,25.2534517755975,6.1,9.22,181.165,13.92,67.9682164901174,84.734844,14.8674546355882,7.9,6.43952555416212,6.87196980103251,93.753,21.03,18.73,65.2888506408428,6.39170644391413,47.1275797627647,21.8741279871672,18.06,1097453.0,73.6317073170732,66.8436057742325
Serbia,2008,45.584,11.871,1276270.0,69.2338407840094,1.4,13.67,72.676204,76.6,6.48382500796244,71.3,7350222.0,25.5500302291409,6.0,9.4,176.473,13.97,67.9595817265099,85.094085,14.6767219221437,7.7,5.6555766215919,6.10631700958608,91.157,15.955,21.069,66.1725445623763,12.410986775178,47.1462890226178,21.5962587934769,13.67,1078772.0,73.8853658536585,66.7775043755997
Serbia,2009,42.759,14.761,1283115.0,69.3031180089202,1.44,16.116,72.736137,76.7,6.44438357372811,71.4,7320807.0,25.7875294002736,5.9,9.6,174.728,14.2,67.9668125838925,85.37189,14.5062239249837,7.5,-2.73175198917728,-2.34092820223162,88.642,17.832,16.888,67.859755516116,8.11695092238082,47.1306357935406,21.343106393267,16.116,1061973.0,73.9853658536585,66.7284465453474
Serbia,2010,40.153,18.422,1290128.0,69.355978924103,1.4,19.204,73.441037,77.0,6.41878567845887,71.8,7291436.0,26.0367186252846,5.8,9.4,168.661,14.2,67.9568906660573,85.827866,14.3493675027341,7.3,0.73104455254213,1.13680433834465,85.626,20.229,15.157,67.5570576069464,6.14255360247248,47.1521178567327,21.1153992314481,19.204,1046275.0,74.3365853658537,66.6617184234042
Serbia,2011,38.374,22.413,1294944.0,69.3627988137232,1.4,22.959,74.064022,77.2,6.39556881297026,72.0,7234099.0,26.3621580201835,5.6,9.1,162.107,14.2,67.9024713359682,86.328652,14.1969698271934,7.1,2.0362766886403,2.84500960707238,81.356,23.699,13.975,69.889596888962,11.1373976342129,47.270044860358,20.9078868401745,22.959,1027023.0,74.5365853658537,66.5518752478398
Serbia,2012,38.196,23.274,1306568.0,69.2908371079663,1.45,24.0,74.676847,77.5,6.38433014566294,72.3,7199077.0,26.781436521255,5.5,9.3,156.518,14.2,67.7674832386521,86.802535,14.0834116516438,6.8,-0.68154236933475,-0.198378899470342,77.763,24.982,14.504,69.6070599947014,7.33038589596646,47.5634055687321,20.781969047477,24.0,1013876.0,74.8365853658537,66.3597572875823
Serbia,2013,39.956,20.867,1322406.0,69.0135046578014,1.43,22.154,75.48156,77.9,6.35624692116192,72.6,7164132.0,27.3773170930655,5.2,9.2,148.746,14.0,67.4233486026988,87.571308,14.1179504790446,6.6,2.89263673355808,3.39452352049253,72.468,23.84,14.519,67.5582286968488,7.69426362896655,48.3165841941843,20.9392671011188,22.154,1011429.0,75.1853658536585,65.9550790851511
Serbia,2014,41.9,18.331,1343926.0,68.5727279833628,1.46,19.223,75.849311,78.0,6.27585449331374,72.8,7130576.0,28.1709998383851,5.0,9.3,145.243,14.2,66.9034432844289,87.763804,14.2491940572325,6.3,-1.58951031990257,-1.12639732710853,71.067,20.373,14.934,68.2891411579371,2.08244793880154,49.4691549345669,21.2981550961818,19.223,1016050.0,75.3365853658537,65.3632047376404
Serbia,2015,42.466,16.808,1367000.0,68.1814905878472,1.46,17.66,76.195358,77.9,6.1632812072621,72.8,7095383.0,29.0050155124849,4.8,9.3,142.205,14.6,66.4231618714871,87.924971,14.3107862548235,6.0,1.80605926509682,2.31101588882194,69.586,18.761,16.604,69.8407518075953,1.39235822000187,50.5498858683406,21.5448703558557,17.66,1015405.0,75.2878048780488,64.8016347957502
Serbia,2016,45.227,14.592,1382896.0,68.000120195284,1.46,15.257,77.172842,78.3,6.06939433007868,73.2,7058322.0,29.6229018746302,4.7,9.2,134.745,14.3,66.1394370535338,88.589976,14.2681423695446,5.8,3.33858676542988,3.88118476026682,65.42,16.101,19.721,68.5768676370775,1.12231397417769,51.1957156450245,21.5728137703943,15.257,1007091.0,75.6878048780488,64.424294401556
