country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Slovak Republic,1994,51.715,13.295,568927.0,67.0212890696707,1.67,13.654,65.235315,76.5,6.69748274106845,68.3,5346331.0,16.1138856922907,9.3,12.4,231.282,9.6,66.0389925771862,84.707066,23.3195649742986,11.9,6.20553120272317,5.78784709392622,89.293,14.101,34.397,93.6972928343289,13.4155203422246,51.4256954005523,35.3118097082616,13.654,1246741.0,72.3,65.1056630700781
Slovak Republic,1995,51.978,12.558,577788.0,67.5617356567437,1.52,13.109,65.240361,76.3,6.60619946960794,68.4,5361999.0,16.2021150676911,8.9,11.5,229.482,9.8,66.5074079955005,84.592955,22.7169774783965,11.3,5.84349423365865,5.53421482729304,89.154,13.79,34.81,93.4740194324381,9.84109579837748,50.3591711680487,34.1570561003576,13.109,1218084.0,72.2536585365854,65.5065349862192
Slovak Republic,1996,53.329,10.236,586332.0,68.0897101671523,1.47,11.341,66.327835,76.7,6.59017509434017,68.8,5373361.0,16.2955370507994,8.6,11.2,220.244,9.5,66.9620750205896,85.318566,22.1261021941892,10.8,6.61989812050714,6.39444978706274,84.457,12.681,36.844,93.599725695468,5.77582786155949,49.3382644352013,33.0427273844019,11.341,1188915.0,72.6536585365854,65.8924596592808
Slovak Republic,1997,52.575,11.109,594693.0,68.6222945639945,1.43,11.894,66.525093,76.7,6.69639332408028,68.9,5383291.0,16.3855575053873,8.2,11.0,225.281,9.7,67.4192189128651,85.029867,21.5337648665285,10.2,5.92583708362997,5.73044665011255,90.665,12.842,36.382,93.680591287802,6.14198999595652,48.3256474327659,31.9400899273786,11.894,1159225.0,72.7048780487805,66.278902404251
Slovak Republic,1998,51.69,12.022,600965.0,69.1954861170922,1.37,12.421,65.737437,76.7,6.9317907684991,68.6,5390516.0,16.4153595528207,7.8,10.7,230.099,9.9,67.9154315411955,85.291409,20.9360016108491,9.8,4.07609747887876,3.93660252064379,86.746,12.905,34.015,90.9569299301019,6.66565123195824,47.2419497229166,30.826590170096,12.421,1128559.0,72.5512195121951,66.7032660908027
Slovak Republic,1999,49.677,16.009,605402.0,69.799990163231,1.33,16.099,66.220827,77.0,7.2217370619709,69.0,5396020.0,16.3901858468749,7.5,10.4,223.433,9.7,68.452042334896,85.687771,20.3285422663796,9.3,-0.105914962121687,-0.207808032208263,85.718,16.207,30.206,90.0291322336389,10.5704416075225,46.087675021645,29.6974891747701,16.099,1096932.0,72.9024390243902,67.1769719772887
Slovak Republic,2000,48.544,18.666,608042.0,70.4321430253074,1.3,18.546,66.988647,77.2,7.5183603263214,69.1,5388720.0,16.349262814799,7.2,10.2,216.472,9.8,69.0159995290782,86.339571,19.7003937088054,8.9,1.16652651824111,1.30357495341369,79.515,18.404,28.352,89.7153792899106,12.0357805974299,44.893937450643,28.544674635844,18.546,1061599.0,73.0512195121951,67.6778313246475
Slovak Republic,2001,48.639,19.615,610334.0,71.0942851771171,1.2,19.149,67.657217,77.5,7.80737743087083,69.5,5378867.0,16.3032148907401,7.0,9.5,210.583,9.7,69.5990787982901,86.464983,19.054040343122,8.6,3.25378398108975,3.4429240980634,82.045,18.596,27.211,89.2532444065255,7.3296201911553,43.6800580824769,27.3768431917368,19.149,1024891.0,73.4024390243903,68.1867756575922
Slovak Republic,2002,48.713,18.517,614001.0,71.7211159849084,1.19,18.541,68.366883,77.6,8.03837808455082,69.8,5376912.0,16.2789335035814,6.8,9.5,211.888,9.6,70.1471720339648,86.636734,18.433619102226,8.4,4.50944413787025,4.54744289315758,78.837,18.57,26.823,88.903939491272,3.12714222984608,42.557410985664,26.2784774820826,18.541,991159.0,73.6048780487805,68.6603215720254
Slovak Republic,2003,49.585,17.361,618128.0,72.2884545041931,1.2,17.55,68.746659,77.6,8.18784160334036,69.8,5373374.0,16.2850226731203,6.6,9.6,209.11,9.7,70.6387374681951,86.866098,17.8577306330754,8.1,5.49908307699157,5.56854702197779,78.996,17.773,27.264,88.3012275835353,8.55414305406645,41.5653937472139,25.2803710740936,17.55,959563.0,73.6048780487805,69.0801675610238
Slovak Republic,2004,49.115,17.364,623462.0,72.7799329812763,1.25,18.206,69.930376,77.8,8.2766961174761,70.3,5372280.0,16.3324616916903,6.4,10.0,197.437,9.7,71.0558210938727,87.064099,17.3390055927235,7.9,5.27888071780144,5.30031949156331,78.956,19.212,26.327,87.5945908665768,7.54850088183423,40.734410913631,24.4019492219406,18.206,931500.0,73.9585365853659,69.4264881416027
Slovak Republic,2005,49.797,15.478,630130.0,73.1881896009775,1.27,16.276,69.534593,77.9,8.28450714010705,70.1,5372807.0,16.426703788572,6.2,10.1,201.479,10.0,71.3967648216696,87.116332,16.8750975937372,7.6,6.62346125850533,6.61300293307447,77.67,17.256,25.544,87.1396339822172,2.70908494588384,40.0623564589248,23.6356526703528,16.276,906666.0,73.9048780487805,69.7031239596692
Slovak Republic,2006,51.23,12.298,637767.0,73.5534434362107,1.25,13.395,70.447058,78.2,8.22027081450968,70.4,5373054.0,16.5552198884736,5.9,10.0,196.185,9.9,71.6978175867507,87.43772,16.4324493506003,7.4,8.49317674533845,8.48818929971516,76.255,14.758,25.781,86.6914471980942,4.48333120449611,39.4742498238743,22.9190299354007,13.395,882924.0,74.2048780487805,69.9428713893419
Slovak Republic,2007,52.291,9.933,645971.0,73.8574053853524,1.27,11.16,70.102419,78.1,8.12732003544528,70.5,5374622.0,16.7063049735816,5.7,10.1,196.749,10.0,71.9423704006149,87.267721,16.0387175920193,7.0,10.8320288129653,10.7996945164922,78.674,12.679,27.569,86.070783358305,2.7567237163814,39.0001370702653,22.2938320966837,11.16,862020.0,74.2073170731707,70.1305895689723
Slovak Republic,2008,53.679,8.362,654822.0,74.0770902542886,1.34,9.514,70.847444,78.7,8.01114838612607,70.9,5379233.0,16.8817635642527,5.5,10.7,195.564,9.9,72.1082652290368,87.884161,15.7185859205812,6.8,5.574886345113,5.48438909375071,73.17,10.94,26.241,85.6860395101848,4.59817976325028,38.6803431513079,21.7985795870552,9.514,845539.0,74.7048780487805,70.2449234317021
Slovak Republic,2009,51.803,11.38,665665.0,74.1277393997823,1.44,12.023,71.660475,78.7,7.87124326287066,71.3,5386406.0,17.1357250643685,5.3,11.4,184.574,9.8,72.1197347931912,87.719824,15.5220339338456,6.5,-5.45553286715979,-5.58143638478245,74.638,12.829,22.75,84.6291722992742,1.61510464058238,38.6583182783985,21.5225932140299,12.023,836080.0,74.909756097561,70.2181082113718
Slovak Republic,2010,50.518,14.216,675644.0,74.0606567690752,1.43,14.387,72.78701,78.8,7.77136721287808,71.6,5391428.0,17.4001724966926,5.1,11.2,175.091,9.9,72.0212310967411,88.359964,15.4469515367955,6.3,6.71663274983085,6.61722848630926,68.805,14.599,20.549,84.0230135379367,0.957018132975143,38.8479394525792,21.4477669558866,14.387,832811.0,75.1121951219512,70.0883743593446
Slovak Republic,2011,50.777,13.614,686080.0,73.9484458112935,1.45,13.634,73.617675,79.8,7.70052075772873,72.3,5398384.0,17.6812893981331,5.0,11.3,170.598,9.6,71.8781856299268,88.779571,15.4128243217093,6.1,2.67145277909515,2.53915714663711,69.716,13.66,20.028,84.058646158381,3.9192859914629,39.1242597145552,21.4429703164221,13.634,832043.0,75.9585365853659,69.9146147747041
Slovak Republic,2012,50.938,13.516,702456.0,73.7316949056353,1.34,13.966,74.432226,79.9,7.60626087833918,72.5,5407579.0,18.1332829441726,4.9,10.3,164.172,9.7,71.6373989272332,88.785512,15.3723871192922,6.0,1.31880224556281,1.14652064105034,66.95,14.531,20.113,84.5237431545181,3.6061026352289,39.5918891004786,21.458606156306,13.966,831274.0,76.109756097561,69.6493165790394
Slovak Republic,2013,50.862,13.989,723380.0,73.4267393837748,1.34,14.227,75.149202,80.1,7.49473250563481,72.9,5413393.0,18.7404290728723,4.8,10.1,156.215,9.6,71.3045725749662,88.977176,15.3326503825946,5.9,0.632740007294188,0.524660148617301,65.973,14.522,20.429,84.4258843105637,1.40047368963025,40.2434768731686,21.5030478002962,14.227,830017.0,76.4121951219512,69.2887343141022
Slovak Republic,2014,52.811,10.381,746333.0,73.06261744617,1.37,11.537,75.75605,80.5,7.35376915689767,73.3,5418649.0,19.4234789626452,4.7,10.2,154.427,9.5,70.911164707009,89.257092,15.3154153033202,5.8,2.69718980707125,2.59757522977975,63.291,12.949,23.185,84.8719657227495,-0.0761653295419871,41.021521033451,21.5980420708058,11.537,829889.0,76.8121951219512,68.8664773836551
Slovak Republic,2015,52.814,10.337,771464.0,72.6286118609493,1.4,11.492,75.253791,80.2,7.19792185407334,73.1,5423801.0,20.188406001902,4.6,10.3,156.171,9.9,70.4546889547861,88.911114,15.3216241773697,5.7,5.16718160614154,5.06728462990019,64.859,12.902,23.354,84.8427338258202,-0.325219777427673,41.9351732201578,21.7467672182559,11.492,831014.0,76.5634146341463,68.3870287811485
Slovak Republic,2016,54.264,8.772,800101.0,72.0725487283285,1.48,9.679,76.768095,80.7,7.05646175764869,73.8,5430798.0,21.0853860879318,4.6,10.6,144.495,9.6,69.871419842766,89.509792,15.3959154725099,5.6,1.94395086102337,1.81260702828008,62.901,10.778,25.211,84.5592962375499,-0.520010196278266,43.1200218417025,22.0346357537706,9.679,836121.0,77.1658536585366,67.7758357450002
Slovak Republic,2017,55.088,7.917,830331.0,71.4256271523628,1.52,8.142,76.771632,80.7,6.91390850686438,73.8,5439232.0,22.0605536001224,4.5,10.7,144.821,9.9,69.1985987835276,89.407085,15.535811607734,5.5,2.93806867784903,2.7784542927246,64.214,8.413,26.901,84.844649917561,1.31194588223228,44.5116093214647,22.4510557213423,8.142,845029.0,77.1658536585366,67.0765483700201
Slovak Republic,2018,55.898,6.138,859949.0,70.7731771670795,1.54,6.544,76.826998,80.8,6.75257407487445,73.9,5446771.0,23.0375467308184,4.4,10.6,147.894,10.0,68.5326310913554,89.411317,15.6791427100826,5.4,4.03038971425349,3.88639887857198,63.115,7.036,27.462,85.1582535859075,2.51403712883812,45.9159106465228,22.8783639157044,6.544,854007.0,77.2658536585366,66.3960225828857
Slovak Republic,2019,56.261,5.599,889914.0,70.1553324706672,1.57,5.761,77.519333,81.2,6.55580605562009,74.3,5454147.0,24.031225249159,4.4,10.5,140.371,9.8,67.8961789713241,89.687556,15.787532059486,5.4,2.51125619776377,2.37262351593202,61.629,5.958,24.902,84.9426628937282,2.66456133425431,47.2836825443804,23.2524572952213,5.761,861075.0,77.6658536585366,65.7404773148941
