country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Slovenia,1996,53.536,7.136,249313.0,72.017930295484,1.28,6.886,72.775016,78.3,7.10436454837271,70.8,1988628.0,18.0177595401339,5.2,9.4,180.221,9.4,69.5809669776429,88.457459,17.8820761790084,6.4,3.20300580852732,3.26756516262765,82.355,6.599,35.548,83.3866384201126,9.86445061546851,43.7174199451184,25.6996604049846,6.886,355608.0,74.4585365853658,67.2883351247797
Slovenia,1997,54.451,6.394,256112.0,72.2391776197729,1.25,6.658,73.16844,78.6,6.95772542882984,71.0,1985956.0,18.4946721086549,4.9,9.1,183.499,9.5,69.7290167793397,88.512352,17.3748183260061,5.9,5.04979345664498,5.19113246320715,75.367,6.962,38.544,81.0963662969293,8.359679907043,43.4122768250447,24.9176047163898,6.658,345056.0,74.7073170731707,67.3632950063282
Slovenia,1998,55.186,7.325,262300.0,72.4429370339685,1.23,7.4,73.575039,78.7,6.89057856864178,71.1,1981629.0,18.9463982340772,4.6,9.0,179.693,9.6,69.863308921937,88.795354,16.9001181423734,5.6,3.27936544351304,3.50488183143129,76.527,7.488,36.236,81.1311649983933,7.89116682856684,43.1366798802686,24.1902816461914,7.4,334898.0,74.8073170731708,67.4276581410198
Slovenia,1999,53.643,7.202,269123.0,72.6145107842025,1.21,7.33,74.394725,78.8,6.89692839050445,71.4,1983045.0,19.3917519681919,4.3,8.8,171.916,9.5,69.984382717075,89.17958,16.444414908212,5.3,5.3326665718437,5.25745342445383,78.659,7.48,32.949,81.9647751269264,6.15558754451559,42.889001615481,23.4972496472891,7.33,326100.0,75.009756097561,67.4965944208752
Slovenia,2000,53.437,6.796,276452.0,72.7436157462893,1.26,6.92,75.293466,79.1,6.96148803284931,71.9,1988925.0,19.834295684915,4.1,9.1,168.105,9.3,70.0784744945294,89.737897,16.0219347601393,5.0,3.67237154968245,3.36587756689673,73.562,7.063,31.192,83.3061571010821,8.91174418658769,42.6971290163351,22.8628333314201,6.92,318664.0,75.4121951219512,67.5534566752637
Slovenia,2001,54.434,5.401,283522.0,72.8358479570032,1.21,5.685,75.746502,79.6,7.05721373105954,72.1,1992060.0,20.2914731611519,3.9,8.8,170.244,9.3,70.1407878084446,90.17074,15.6266094052571,4.7,3.21656033452891,3.05412350197929,73.503,6.015,30.318,82.3905539380374,8.37966587492204,42.570354418367,22.2788812572151,5.682,311291.0,75.7585365853659,67.5837843231025
Slovenia,2002,53.811,5.626,289829.0,72.9612903759666,1.21,5.927,76.278285,79.9,7.13643054576348,72.3,1994530.0,20.6878854499772,3.7,8.8,161.651,9.4,70.240129007086,90.389843,15.2286785696102,4.4,3.50559805692072,3.3774180710591,68.804,6.27,31.138,83.8898607290975,7.48077770703754,42.3688042485153,21.6809187985381,5.922,303741.0,76.0073170731707,67.6532652099994
Slovenia,2003,52.765,6.023,294547.0,73.135401330361,1.2,6.481,76.099369,80.7,7.20216166963844,73.2,1995733.0,20.9680496489747,3.5,8.7,166.365,9.7,70.3872476860619,90.188965,14.8538902082349,4.2,2.96026028579455,2.89819727780511,68.869,7.017,28.591,85.8332018702443,5.54416421752901,42.0711418894003,21.1030922404256,6.479,296444.0,76.8585365853659,67.7673514833987
Slovenia,2004,55.247,5.676,299261.0,73.2487270897935,1.25,6.017,77.843801,81.1,7.27385839268744,73.5,1997012.0,21.2667178328288,3.4,9.0,152.943,9.3,70.4642585358048,90.717131,14.5503015818681,4.0,4.35919277843992,4.29235521934484,70.931,6.404,33.808,84.0934889573038,3.59297594249509,41.9158885146179,20.6491706817891,6.012,290571.0,77.2073170731707,67.8017262493754
Slovenia,2005,55.397,6.057,304740.0,73.2493751270248,1.26,6.515,78.685737,81.3,7.33185493447383,74.1,2000474.0,21.6236391206642,3.2,9.1,140.076,9.4,70.4478574565719,90.678704,14.3187638933678,3.8,3.79797264198649,3.61834092406035,63.55,7.034,34.058,84.414881542885,2.45150132316475,41.9489658274977,20.3253267068334,6.506,286443.0,77.6121951219512,67.7601866340103
