country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Sri Lanka,2010,50.743,3.416,1579617.0,66.6921211726601,2.196,4.784,70.104072,77.596,8.25862634534791,69.217,20668557.0,11.4343249296727,8.7,17.553,202.601,7.369,66.8391807217316,86.431443,25.5182080316926,10.6,8.01596737040464,7.04349448764438,83.253,7.399,28.188,55.5472728911338,6.2176488930462,49.6128397777034,38.1785148480307,4.784,5274245.0,73.215,66.9786299649913
Sri Lanka,2011,50.692,2.656,1623631.0,66.6170476801742,2.206,4.118,70.351753,77.801,7.9873449695858,69.348,20859743.0,11.6532440882411,8.3,17.512,200.363,7.371,66.793092004851,86.652608,25.4233483467018,10.3,8.66948301160571,7.67349357017027,81.982,6.914,28.067,55.0914972781039,6.7167684358854,49.7160849952849,38.0628409070438,4.118,5303245.0,73.38,66.9593346345355
Sri Lanka,2012,50.53,2.76,1682244.0,66.4995164103579,2.196,3.88,71.621453,78.147,7.69852357879319,69.981,21017147.0,12.0081546528776,7.9,17.318,190.533,7.181,66.655954778258,87.06306,25.3398950866167,9.8,8.63218138024038,7.8186009319533,79.382,6.1,27.62,56.4181738702941,7.54291373239437,50.0241056221706,38.015950969293,3.88,5325723.0,73.906,66.8032580540233
Sri Lanka,2013,49.869,2.959,1754590.0,66.3436316505129,2.181,4.186,72.000889,78.619,7.44197241267067,70.179,21131756.0,12.4979423437415,7.5,17.005,187.401,7.092,66.435703061409,87.596827,25.2612010743168,9.3,4.05174632926911,3.48741714644815,75.912,6.43,26.815,56.2863550638651,6.90845034828452,50.5214711756103,38.0235288318688,4.186,5338135.0,74.239,66.5222313726824
Sri Lanka,2014,49.453,3.041,1833873.0,66.1926269403604,2.13,4.157,73.043973,78.813,7.24348718465329,70.698,21239457.0,13.0398973118744,7.1,16.396,179.633,6.979,66.2142822201151,87.807341,25.1514433725872,8.8,6.37797889289399,5.83855763062995,74.765,6.243,25.163,57.0213332119027,3.1790022823606,51.0248191886631,37.9849218767888,4.157,5342030.0,74.651,66.2345967208017
Sri Lanka,2015,51.244,2.94,1917423.0,66.0748342460911,2.091,4.519,73.683882,78.971,7.07608166813558,71.027,21336697.0,13.6105713986366,6.7,15.886,174.89,6.98,66.0259091173786,87.985826,24.9875876995491,8.3,4.2059554759927,3.73104658496399,73.577,7.33,26.667,56.1467250301126,3.76836783062096,51.4556975323522,37.8451261337156,4.519,5331526.0,74.927,65.9800873778129
Sri Lanka,2016,51.452,2.84,2000494.0,66.0093031629421,2.068,4.243,74.437976,79.355,6.97592290908868,71.407,21425494.0,14.1699159704817,6.3,15.496,169.258,6.896,65.8929801105169,88.383989,24.7700403080554,7.9,5.05362489256818,4.61823485070565,70.824,6.72,25.669,57.8228574942634,3.9588884659307,51.7612326935968,37.5913167231151,4.243,5307103.0,75.331,65.7842018798912
Sri Lanka,2017,51.803,2.786,2085515.0,65.9763303638523,2.053,4.046,74.718318,79.317,6.95479435371242,71.54,21506813.0,14.7400698725882,6.0,15.17,167.145,7.029,65.7866431857347,88.313297,24.5163619667024,7.5,6.4606812707036,6.05814482142807,71.363,6.236,26.863,57.8146763965502,7.70413767850602,52.0065433989629,37.2664735263747,4.046,5272688.0,75.403,65.6095159256865
Sri Lanka,2018,49.486,2.95,2183197.0,65.9543022904261,2.031,4.318,75.58353,79.493,6.93728076984092,71.983,21670000.0,15.337108089879,5.8,14.805,161.052,7.037,65.6886798441757,88.557164,24.2365751636531,7.1,2.31008425192161,1.53963313430194,70.113,6.881,23.597,57.8032003749327,2.135037737132,52.2332305823423,36.8961224924633,4.318,5252066.0,75.748,65.4409650700836
Sri Lanka,2019,49.81,3.259,2278244.0,65.9594404081388,2.019,4.67,76.071946,79.743,6.89699780204035,72.227,21803000.0,15.9233301776645,5.6,14.534,157.593,7.072,65.6220946431316,88.830712,23.9286831426114,6.8,-0.220483886072614,-0.829146714268376,68.496,7.252,24.083,57.9198416635084,3.52839358231811,52.3877020475503,36.4643718698858,4.67,5217171.0,76.008,65.3078613334723
Sri Lanka,2020,47.784,3.923,2367905.0,66.0188137284381,2.0,5.365,76.788789,80.111,6.84656289496944,72.597,21919000.0,16.4654940187111,5.4,14.235,152.109,7.056,65.6098081519803,89.236205,23.5872127477129,6.6,-4.62451581633715,-5.12926312074451,65.98,8.184,21.417,57.4529165944616,6.15394508391738,52.4162343489826,35.9507403302716,5.365,5170081.0,76.393,65.2292614584058
Sri Lanka,2021,48.396,3.611,2471867.0,66.1081142889718,1.99,5.258,78.278397,79.502,6.76747777055868,73.11,22156000.0,16.9996493977523,5.2,14.019,139.991,7.36,65.6286956579049,88.918591,23.2146568660107,6.3,4.20748597719036,3.09279134925238,67.648,7.615,19.404,57.608558226036,7.01478071238195,52.3723695719063,35.372720174154,4.981,5143439.0,76.399,65.182981609978
Sri Lanka,2022,48.09,3.632,2558980.0,66.1989776266673,1.974,6.33,77.108228,80.23,6.65004740932828,72.851,22181000.0,17.574445252016,5.0,13.781,151.696,7.287,65.6453789259259,89.380769,22.8178104183359,6.1,-7.34676438378833,-7.45119298891909,65.45,6.218,19.589,57.8475926787936,49.7211021114327,52.3336525236489,34.7592072716329,4.528,5061219.0,76.61,65.1310421048381
