country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Sweden,1991,64.201,3.512,1532874.0,65.8828750092597,2.11,3.243,81.629783,80.53,6.92385294434178,74.94,8617375.0,27.7443659646928,4.9,14.4,115.134,11.0,64.1145646342483,89.312489,18.0972613936389,6.2,-1.14597486858065,-1.81751517304615,64.663,2.948,60.687,87.7837441436625,9.4446273294419,55.9708140753869,28.2264481106941,3.243,1559509.0,77.6668292682927,62.3881597162497
Sweden,1992,61.245,6.731,1537643.0,65.7132673023313,2.09,5.722,82.421914,80.78,7.06284698144655,75.35,8668067.0,27.7436354801873,4.6,14.2,107.173,10.9,63.9395900962377,89.653094,18.3212461366957,5.7,-1.15859276007859,-1.73663035667379,62.516,4.615,52.093,87.7595843088097,2.3743672511188,56.3976286494824,28.6539931692951,5.722,1588098.0,77.9987804878049,62.2077710119458
Sweden,1993,57.596,10.863,1540949.0,65.5545321609994,1.99,9.33,82.940151,80.77,7.10852823990443,75.48,8718561.0,27.7118846917252,4.2,13.5,106.084,11.1,63.7789590476869,89.939392,18.5466886864478,5.3,-2.06561636960983,-2.63280845177026,61.304,7.645,42.418,87.6948239959291,4.72817304626053,56.7915157463924,29.0796310546672,9.33,1617004.0,78.0604878048781,62.0450257852106
Sweden,1994,56.709,10.882,1547091.0,65.4451293685177,1.88,9.58,83.501713,81.37,7.00791454256269,76.06,8780745.0,27.6736108378297,3.9,12.8,102.547,10.5,63.6676236454558,90.023922,18.7132503207873,4.8,3.92997283681697,3.19395539969921,61.572,8.139,41.341,87.6887210042573,2.15813800724632,57.065710853356,29.3921000155264,9.58,1643163.0,78.650243902439,61.9316835818927
Sweden,1995,57.54,9.837,1551575.0,65.4254160639622,1.73,8.897,83.879933,81.45,6.83962721890553,76.16,8826939.0,27.6194288973376,3.6,11.7,99.434,10.6,63.6426084822445,90.312343,18.7796636990908,4.5,3.93519292606446,3.39126911487388,58.881,7.866,36.545,87.7399264777199,2.45514857818395,57.1274263069509,29.5079974096133,8.897,1657669.0,78.7404878048781,61.9015460178745
Sweden,1996,56.957,10.432,1550209.0,65.4754661612512,1.6,9.547,84.516345,81.52,6.70548078423326,76.52,8840998.0,27.5310792859223,3.4,10.8,94.483,10.6,63.6891883193585,90.454291,18.7764864887783,4.2,1.57945640649923,1.41792423811522,58.808,8.578,33.843,87.7795910956007,0.533131978766297,57.0125169604103,29.481437674488,9.547,1660029.0,78.9590243902439,61.9447285795938
Sweden,1997,56.2,10.966,1547043.0,65.5668983322924,1.52,10.359,84.725353,81.82,6.60093444499627,76.7,8846062.0,27.4197087459173,3.2,10.2,93.164,10.6,63.7807453766626,90.856681,18.7307622309097,4.0,3.07052659296374,3.01152303333838,56.204,9.684,32.099,88.2696302652568,0.658410256243514,56.7871375186899,29.3674287727726,10.359,1656935.0,79.1975609756098,62.0362588357432
Sweden,1998,56.522,9.74,1542348.0,65.70316032327,1.5,8.941,85.146652,81.9,6.5306949098253,76.9,8850974.0,27.2632302007019,3.1,10.1,90.303,10.5,63.9166448531726,90.803988,18.6576109800917,3.9,4.31183635326269,4.2539467085561,55.904,8.025,33.509,88.5687692961114,-0.267132668355006,56.4537585956135,29.1905283949116,8.941,1651380.0,79.3390243902439,62.1714990207736
Sweden,1999,57.832,8.281,1535993.0,65.8826149457154,1.5,7.607,85.497332,81.9,6.52115865668757,77.1,8857874.0,27.0523415880924,3.1,10.0,89.98,10.7,64.0995364835037,90.946593,18.5600351954305,3.8,4.24718414367548,4.16597892777474,55.175,6.854,35.405,88.5497001936324,0.462175756339173,56.0073732056607,28.9550316175683,7.607,1644025.0,79.4414634146342,62.3570308947558
Sweden,2000,58.609,5.891,1531731.0,66.0789473354217,1.54,5.466,85.912154,82.0,6.50649844938443,77.4,8872109.0,26.8462867799129,3.0,10.2,87.232,10.5,64.3089508015602,90.790338,18.4264793651389,3.8,4.7663488714872,4.59825479417304,56.208,4.999,36.872,88.9154223788138,0.899143734041633,55.4993374883447,28.6530507084318,5.466,1634817.0,79.6439024390244,62.5780017939827
Sweden,2001,59.728,5.033,1531389.0,66.2733334045304,1.57,4.73,85.943937,82.1,6.40799205394439,77.6,8895960.0,26.6783306081079,3.0,10.3,87.822,10.5,64.5258939263035,91.161606,18.2596709348365,3.7,1.44949861796981,1.17750189231714,54.738,4.397,46.247,89.3061724034964,2.40595834145438,54.9765356526029,28.298205044495,4.73,1624373.0,79.7951219512195,62.8153335028984
