country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Tunisia,2005,39.644,12.059,624701.0,67.6194317679738,1.981,12.872,77.384883,77.696,9.19225419982516,72.038,10388344.0,8.83265489641053,16.6,16.883,134.12,4.937,68.0823590322789,86.399354,25.9041563359783,20.3,3.4865455430439,2.5290278413725,74.253,15.16,22.886,69.0627885836079,2.01778641357144,46.8809198275606,38.0482649311501,12.872,2691013.0,74.764,68.5436970454268
Tunisia,2006,39.93,11.539,646353.0,68.060946796704,1.977,12.51,77.570062,77.861,9.1911371439252,72.189,10483558.0,8.99925065765859,16.0,16.916,133.532,5.007,68.5101136465311,86.59095,25.324489071363,19.5,5.24409983246916,4.28824956470235,73.603,15.139,22.143,68.2405133182385,3.22525337438917,45.9638544655206,36.964603807862,12.51,2654908.0,74.921,68.9572110679303
Tunisia,2007,40.192,11.335,668757.0,68.435342939962,1.989,12.365,77.716615,78.052,9.19653318699641,72.311,10580395.0,9.17761725063834,15.5,17.085,133.116,5.076,68.8710236655164,86.770689,24.8082621115876,18.8,6.70952097453554,5.73286274177475,72.924,15.153,22.365,69.8564027665493,2.96694432477349,45.1989521912558,36.0213349406175,12.365,2624812.0,75.072,69.3041805447846
Tunisia,2008,40.426,11.15,692028.0,68.7241402151512,2.011,12.444,77.913595,78.131,9.22433176400642,72.451,10680380.0,9.37013698396431,15.1,17.328,132.214,5.169,69.1498163384722,86.916657,24.3707515851144,18.3,4.23778147502819,3.2619534070399,72.27,15.938,22.027,70.0391432221774,4.34502807623045,44.6135469096521,35.2434099256878,12.444,2602889.0,75.185,69.5725402064988
Tunisia,2009,40.329,11.269,716008.0,68.9136317893067,2.046,13.291,78.008678,78.326,9.28207169401491,72.456,10784504.0,9.57587633669582,14.8,17.667,131.749,5.271,69.3328701378909,87.133867,24.0278957647057,17.9,3.04345012371552,2.04856930205865,71.177,18.77,20.455,69.0617200331575,3.66490330642919,44.2317223840028,34.655846047307,13.291,2591289.0,75.267,69.7487218606163
Tunisia,2010,40.771,10.889,740722.0,68.9855416729411,2.105,13.049,78.151185,78.56,9.35664190767114,72.552,10895063.0,9.79646779515132,14.6,18.211,131.062,5.329,69.3994458498976,87.255902,23.8018597874037,17.6,2.97113275066512,1.92622043893451,70.745,18.94,22.019,68.5255840199957,3.33897963601069,44.0933762000383,34.2969084048869,13.049,2593228.0,75.421,69.8095139079094
Tunisia,2011,38.54,15.041,765059.0,69.0343830922574,2.191,18.334,78.114077,78.667,9.43682757380426,72.536,11032528.0,9.98989466239959,14.5,18.934,131.615,5.441,69.4159022037335,87.376101,23.649526366465,17.4,-2.04663389535644,-3.26713018338533,70.068,27.373,18.468,71.2184340711808,3.24002842009531,44.0592197070666,34.0693250446671,18.334,2609141.0,75.46,69.7936216222944
Tunisia,2012,39.356,14.635,789231.0,68.9498693881275,2.216,17.63,78.363922,78.663,9.45198552428364,72.669,11174383.0,10.1910040934152,14.3,19.184,129.772,5.519,69.3048466300108,87.525278,23.6322936129896,17.2,4.21667711535632,2.89368176678101,69.371,25.606,21.925,71.4496393506078,4.6118443220664,44.2900530952151,34.0990490017999,17.63,2640763.0,75.55,69.6560223788444
Tunisia,2013,39.866,13.262,813246.0,68.6641290288576,2.24,15.934,78.499306,78.811,9.36239208324753,72.733,11300284.0,10.4263069614739,14.2,19.33,129.013,5.591,69.0243064234356,87.694071,23.7790075108286,17.1,2.42993096446429,1.28871798801546,68.439,23.002,21.697,72.0956835910994,5.31623531326689,44.8764946102811,34.4501876488072,15.934,2687095.0,75.65,69.3801550428236
Tunisia,2014,40.508,11.632,838531.0,68.2974076838743,2.252,14.259,78.515473,78.774,9.18458872481303,72.757,11428948.0,10.6848145918717,14.0,19.303,129.155,5.715,68.6666480589465,87.768737,23.9964474420568,16.8,3.09032803070775,1.92976504925548,68.027,21.84,18.351,72.0916901698252,4.62555099534031,45.6311108891119,34.9462962972402,14.259,2742542.0,75.65,69.0309651237557
Tunisia,2015,39.934,12.402,866953.0,67.8725935388855,2.251,15.159,78.567425,78.856,8.95071067358383,72.77,11557779.0,10.9897942756167,13.7,19.119,128.758,5.811,68.2545525509076,87.869953,24.2444168660958,16.5,0.967703108220121,-0.157752756538599,67.381,22.212,18.761,73.6051992519383,4.437371273215,46.5103800241104,35.5205857484937,15.159,2802116.0,75.692,68.6309129288406
Tunisia,2016,39.83,12.375,897473.0,67.4416843093307,2.238,15.557,78.451289,79.078,8.69456707341142,72.76,11685667.0,11.3215161322267,13.3,18.78,129.155,5.883,67.8364757511712,88.456138,24.4834024243801,16.0,1.11742594891074,0.0107963170930248,63.083,23.456,20.181,73.3544587762246,3.62939937384381,47.4133121066916,36.091795974465,15.557,2861049.0,75.786,68.2249366835553
Tunisia,2017,39.778,12.387,930295.0,67.0180238316198,2.221,15.33,78.630432,79.133,8.43022321410962,72.825,11811443.0,11.6813279442146,12.8,18.399,127.499,5.974,67.4257116594475,88.494692,24.6980703373838,15.3,2.23783867965943,1.14914304799336,62.891,22.629,19.746,73.5127121638237,5.30884839565844,48.3113716574529,36.6300437132382,15.33,2917198.0,75.845,67.8262903481238
Tunisia,2018,39.312,13.0885,967375.0,66.66462586004076,2.1845,16.2415,78.7376265,79.256,8.194425474040585,72.86,11930378.5,12.087263014522,12.05,17.807000000000002,126.7175,6.0595,67.0758146406137,88.55095850000001,24.81797790140445,14.4,1.9128426671622352,0.878345632291597,62.4765,23.9205,21.2265,73.96095812506326,6.014461862148215,49.089090803717156,37.001827789195104,16.2415,2961021.0,75.919,67.4792292676253
Tunisia,2019,38.846,13.79,1004455.0,66.3112278884617,2.148,17.153,78.844821,79.379,7.95862773397155,72.895,12049314.0,12.4931980848294,11.3,17.215,125.936,6.145,66.7259176217799,88.607225,24.9378854654251,13.5,1.58784665466504,0.607548216589834,62.062,25.212,22.707,74.4092040863028,6.72007532863799,49.8668099499814,37.373611865152,17.153,3004844.0,75.993,67.1321681871268
Tunisia,2020,38.766999999999996,13.587666666666665,1041181.0,66.1483354837011,2.12,16.535666666666664,77.94662266666667,78.72200000000001,7.70253373050748,72.38566666666667,12151581.666666666,12.8752329371711,10.533333333333333,16.676666666666666,131.70166666666668,6.630333333333333,66.53028186050544,87.873245,24.9052854033562,12.566666666666666,1.92655129939956,1.0151247834594694,66.331,23.525666666666666,20.298000000000002,74.47611111141283,7.248870633917403,50.31010302378093,37.434870086609834,16.535666666666664,3026319.3333333335,75.41633333333333,66.90391558110807
Tunisia,2021,38.688,13.385333333333334,1077907.0,65.98544307894049,2.092,15.918333333333333,77.04842433333333,78.065,7.44643972704341,71.87633333333333,12253849.333333334,13.257267789512799,9.766666666666667,16.138333333333332,137.46733333333333,7.115666666666667,66.33464609923097,87.13926500000001,24.8726853412873,11.633333333333333,2.26525594413408,1.4227013503291048,70.6,21.839333333333332,17.889,74.54301813652286,7.777665939196817,50.75339609758047,37.49612830806767,15.918333333333333,3047794.6666666665,74.83966666666667,66.67566297508932
Tunisia,2022,38.609,13.183,1114633.0,65.8225506741799,2.064,15.301,76.150226,77.408,7.19034572357934,71.367,12356117.0,13.6393026418545,9.0,15.6,143.233,7.601,66.1390103379565,86.405285,24.8400852792184,10.7,2.6039605888686,1.83027791719874,74.869,20.153,15.48,74.6099251616329,8.30646124447623,51.19668917138,37.5573865295255,15.301,3069270.0,74.263,66.4474103690706
