country name,year,"employment to population ratio, 15+, total","unemployment, male","population ages 65 and above, total","population ages 15-64, male","fertility rate, total","unemployment, total","survival to age 65, male","life expectancy at birth, female","population ages 25-29, female","life expectancy at birth, male","population, total","age dependency ratio, old","mortality rate, infant, female","birth rate, crude","mortality rate, adult, male","death rate, crude",population ages 15-64,"survival to age 65, female",population ages 0-14,"mortality rate, infant, male",gdp growth,gdp per capita growth,"mortality rate, adult, female","unemployment, female","employment to population ratio, ages 15-24, total","wage and salaried workers, total","inflation, consumer prices",age dependency ratio,"age dependency ratio, young","unemployment, total","population ages 0-14, total","life expectancy at birth, total","population ages 15-64, female"
Uruguay,1998,55.299,7.121,417862.0,63.7894794690495,2.262,9.362,71.135834,79.053,6.82624855062001,70.118,3262683.0,20.4501597645791,14.0,16.535,184.945,9.214,62.6269545646941,85.283493,24.5657178463246,17.9,4.51889009679091,3.95463186815981,89.961,12.217,45.838,72.9517567706573,10.8110703055616,59.6756062073519,39.2254464427728,9.362,801501.0,74.527,61.5312299524142
Uruguay,1999,53.53,8.019,424754.0,63.7758498956648,2.22,10.466,71.522547,79.308,6.92348245596638,70.329,3278963.0,20.7026301718924,13.4,16.211,182.445,9.165,62.5713220917711,85.42497,24.4747500962957,17.1,-1.52094591992036,-2.00989288285459,89.749,13.563,43.413,72.6612257768129,5.65868803927908,59.8175846167868,39.1149544448945,10.466,802518.0,74.769,61.4376111330322
Uruguay,2000,52.562,10.125,431379.0,63.7841889498768,2.168,12.627,72.004614,79.546,7.09265926778268,70.575,3292224.0,20.9521603049431,12.9,15.768,179.027,9.124,62.5375486999747,85.589001,24.3594870276921,16.5,-1.92993063549235,-2.32495454329535,89.127,15.768,41.115,73.0254568068557,4.76382472733251,59.9039475908214,38.9517872858783,12.627,801969.0,75.025,61.3660774308115
Uruguay,2001,52.287,11.228,437613.0,63.802086919509,2.132,15.052,72.569199,79.761,7.27423124408158,70.85,3300939.0,21.2060022445906,12.5,15.52,174.816,9.103,62.5163779154962,85.772753,24.2263943683903,16.0,-3.84412995940374,-4.09799663412986,88.083,19.6,39.125,71.2326179942469,4.3593406521727,59.9580447638819,38.7520425192913,15.052,799698.0,75.285,61.3105263744967
Uruguay,2002,49.985,13.197,443440.0,63.8006101511051,2.142,16.648,73.167079,79.949,7.38572276270657,71.135,3306441.0,21.4648927699267,12.3,15.545,170.307,9.101,62.4806249378108,85.961583,24.1079607953083,15.7,-7.73200721540044,-7.88554344855896,86.805,20.824,34.201,70.1202356398496,13.9724725913515,60.0495671346663,38.5846743647396,16.648,797115.0,75.54,61.2452864765459
Uruguay,2003,49.262,13.308,448865.0,63.8306783706692,2.101,16.661,73.755684,80.119,7.4237111486822,71.419,3310202.0,21.703497151345,12.0,15.204,165.956,9.111,62.4786247971234,86.152783,23.9613135450173,15.2,0.805283915893824,0.690750521011083,85.416,20.635,32.454,70.2652286505332,19.3797301743995,60.0547150643879,38.3512179130429,16.661,793168.0,75.785,61.2160122169656
Uruguay,2004,51.759,10.102,453928.0,63.9343098363532,2.09,12.98,74.285693,80.263,7.38109806667481,71.683,3313801.0,21.8998583520203,11.5,15.075,162.217,9.133,62.548852511059,86.322326,23.7530557809597,14.6,5.00416035564457,4.89011911625813,84.159,16.488,35.296,70.5225521164282,9.15760507540997,59.8750738151938,37.9752154631735,12.98,787129.0,76.007,61.2575869188852
Uruguay,2005,52.363,9.356,458831.0,64.0445743503377,2.097,12.009,74.711762,80.376,7.22603097531468,71.91,3317665.0,22.0868018132289,11.0,15.103,159.501,9.166,62.6162828374776,86.449055,23.5537644698907,13.8,7.4601321302473,7.33497604892166,83.254,15.114,37.573,71.3674180730594,4.6992773903564,59.7028303181045,37.6160285048756,12.009,781435.0,76.194,61.2864443927707
Uruguay,2006,55.261,8.153,463600.0,64.1706090124287,2.07,10.844,75.040844,80.488,7.0156656347289,72.109,3322282.0,22.2587119138843,10.3,14.837,157.811,9.206,62.6912315089448,86.570639,23.3545195741963,13.0,4.09857735445401,3.95391078742402,82.512,14.112,38.389,70.2177571342075,6.39764974385131,59.5119503740193,37.253238460135,10.844,775903.0,76.362,61.3140162488786
Uruguay,2007,57.821,6.712,468089.0,64.3441006413775,2.048,9.403,75.278182,80.58,6.83155787120897,72.271,3328651.0,22.3865985248697,9.6,14.618,156.934,9.249,62.8162524122013,86.659186,23.1213219891965,12.2,6.54151084504817,6.33765562484871,82.075,12.623,41.263,70.1228870862115,8.11464561179313,59.194455683441,36.8078571585712,9.403,769628.0,76.498,61.3938724005097
Uruguay,2008,58.87,5.621,472356.0,64.5397052552006,2.03,8.026,75.466266,80.675,6.6825369490564,72.412,3336126.0,22.4859473539896,9.0,14.455,156.48,9.29,62.9674153445366,86.748863,22.8737647909229,11.4,7.17614466455107,6.93600335053371,81.727,10.816,41.795,70.503425665889,7.87707374730888,58.8123229138104,36.3263755598209,8.026,763098.0,76.623,61.5034029455051
Uruguay,2009,59.729,5.507,476518.0,64.7603752145113,2.018,7.74,75.62511,80.776,6.57227334904823,72.534,3344156.0,22.565567901562,8.5,14.34,156.186,9.332,63.1461122028996,86.846098,22.6046123446394,10.8,4.24349419462426,3.99318432319997,81.386,10.367,42.713,70.752184454087,7.06221874388574,58.3628671442589,35.7972992426969,7.74,755933.0,76.738,61.6426077482337
Uruguay,2010,59.678,5.271,480675.0,65.0024334421116,2.011,7.158,75.791095,80.897,6.52661903664439,72.649,3352651.0,22.6324291975876,8.1,14.264,155.692,9.369,63.3478700884763,86.970243,22.314982979141,10.3,7.8034096507169,7.53025567048368,80.926,9.396,42.537,71.5013829314286,6.69870886978132,57.8585510254337,35.2261218278462,7.158,748144.0,76.858,61.806320580779
Uruguay,2011,61.854,4.84,484914.0,65.2380243254901,2.008,6.307,75.980253,81.032,6.52405307591198,72.764,3361637.0,22.7000958722502,7.8,14.223,154.83,9.402,63.5457124689976,87.115429,22.0293532541804,9.9,5.16213302463606,4.88102387235121,80.349,8.069,44.722,71.906561217428,8.0928320630299,57.3670427904817,34.6669469182315,6.307,740547.0,76.983,61.9683744625481
Uruguay,2012,61.013,4.906,489373.0,65.4518344203597,2.006,6.451,76.199706,81.165,6.52453184304252,72.888,3371133.0,22.7807554839292,7.5,14.196,153.588,9.434,63.722977367398,87.260487,21.7604469714554,9.6,3.53817872056869,3.24652646444873,79.748,8.257,43.537,72.8909444882533,8.09776580573602,56.9292882459899,34.1485327620606,6.451,733574.0,77.111,62.1108293917786
Uruguay,2013,60.664,4.995,493715.0,65.6363693739264,2.01,6.444,76.454616,81.28,6.56317316795412,73.029,3381180.0,22.8599169993069,7.2,14.197,151.98,9.468,63.8753683809545,87.384396,21.5227788046216,9.2,4.63753862902416,4.32661364111881,79.203,8.202,43.086,72.6826907605822,8.57513504005397,56.5548832012727,33.6949662019659,6.444,727724.0,77.24,62.2323621420633
Uruguay,2014,61.556,5.055,497600.0,65.7974170437981,1.998,6.547,76.749115,81.36,6.65331494193111,73.196,3391662.0,22.9191202853099,6.9,14.082,150.023,9.508,64.0132424771753,87.468076,21.3154821022086,8.9,3.23879122952364,2.9197296574484,78.778,8.344,42.763,73.2074460961564,8.87735333229828,56.217663474909,33.2985431895991,6.547,722949.0,77.366,62.3475661464796
