country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Angola,1981,7.459,8631457.0,52138.0,2.3261410122724,51.109,-4.40000121865044,21.462,51.8522858801409,45.7788439297586,35.8771155851448,2.36887019010059,74.563,2.03840321115503,92.855518177642,25.437,3.55442220894389,169.099,42.772
Angola,1982,7.461,8947152.0,55830.0,2.3261410122724,51.307,0.0,21.247,51.9669890485822,45.7095732809725,35.8586668805647,2.3234376704453,73.388,2.0038035445431,92.4298525926936,26.612,3.59219488468114,170.244,43.051
Angola,1983,7.462,9276707.0,61000.0,2.3261410122724,51.61,4.20000142853745,21.979,52.0434003166964,45.6775149671923,35.8370097056228,2.27908471611126,72.179,1.95600103323105,92.1473124831967,27.821,3.61713653303378,175.986,42.092
Angola,1984,7.459,9617702.0,57744.0,2.3261410122724,51.935,6.00000216509061,21.788,52.0646927925195,45.6986710546865,35.8145504130906,2.23663615279409,70.935,1.87136082685986,92.068741091982,29.065,3.60987241166769,183.025,42.353
Angola,1985,7.451,9970621.0,54953.0,2.3261410122724,52.136,3.49999949008624,21.576,52.01818422343,45.7817421803517,35.7969038261009,2.20007359621833,69.662,1.79285079382478,92.2404664693352,30.338,3.6037510091581,189.572,42.648
Angola,1986,7.435,10332574.0,47774.0,2.3261410122724,52.19,2.90000174246859,21.429,51.9041650175535,45.9261093085861,35.7303280660945,2.16972567386044,68.357,1.67476123956216,92.6627753384464,31.643,3.56585603514141,194.699,42.843
Angola,1987,7.409,10694057.0,46192.0,2.3261410122724,52.146,4.08274863510718,22.934,51.7476669518406,46.110489218451,35.7126814791048,2.14184382970841,67.022,1.46636501438134,93.2454270702982,32.978,3.43867373579781,199.729,40.917
Angola,1988,7.373,11060261.0,47815.0,2.3261410122724,51.973,6.12889047765088,22.387,51.591339100919,46.2908445962914,35.6950348921152,2.11781630278961,65.657,1.30937687205511,93.8309753165758,34.343,3.36704277651175,200.888,41.545
Angola,1989,7.328,11439498.0,46755.0,2.3261410122724,51.699,0.0416214618374653,22.161,51.4474804751048,46.4498048778015,35.6765861875351,2.10271464709378,64.269,1.23466324904931,94.3729786618737,35.731,3.37135095008737,199.929,41.765
Angola,1990,7.272,11828638.0,47663.0,2.3261410122724,51.344,-3.45009868500253,21.993,51.3180829152977,46.5861854334449,35.6589396005454,2.09573165125738,62.856,1.12204684850597,94.8630941496451,37.144,3.34514364694209,198.803,41.893
