country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Armenia,1992,2.508,3574555.0,-196273.0,14.8577449947313,21.144,-41.8000027457562,7.67,63.6680141069288,30.3883797579867,41.0958904109589,5.94360613508449,33.122,-0.373300224934766,57.0647073090997,66.878,-1.1978698848239,86.553,68.627
Armenia,1993,2.315,3457349.0,-126968.0,15.2089919213207,18.995,-8.7999987932935,7.803,62.990406379222,30.4792298262007,41.4822620302072,6.53036379457732,33.394,-2.51600713461985,58.75430136312,66.606,-3.33385824449579,85.981,68.841
Armenia,1994,2.167,3373713.0,-112567.0,15.2792413066386,17.465,5.40000277917656,7.869,62.5511620948252,30.3754453364223,42.1496311907271,7.0733925687525,33.668,-1.63162252013921,59.8691084714616,66.332,-2.44881921637014,82.148,69.073
Armenia,1995,2.055,3322782.0,-50217.0,15.2792413066386,16.348,6.89999841973659,7.969,62.3772245098799,30.0917980638215,43.6951176677204,7.53097742629859,33.943,-0.707689525267329,60.3149384438058,66.057,-1.52115344151014,69.251,69.311
Armenia,1996,1.97,3298898.0,-51023.0,15.8061116965227,15.489,5.86540074943565,7.837,62.4363291069213,29.6710340348556,45.8728486125746,7.89263685822309,34.219,0.0884476607953763,60.1631491019857,65.781,-0.721391054169414,62.587,69.783
Armenia,1997,1.892,3271418.0,-51638.0,15.9817351598174,14.75,3.32107970046953,7.994,62.5814555033933,29.1940222863602,46.7860906217071,8.22452221024644,34.496,-0.030300909524916,59.7916964823443,65.504,-0.836494324970795,54.18,69.91
Armenia,1998,1.791,3240550.0,-52266.0,15.9817351598174,13.902,7.29999998770998,7.808,62.8872722223079,28.5910416441653,46.6455918510713,8.52168613352671,34.774,-0.145341580456037,59.0146783957745,65.226,-0.948046157437858,48.124,70.514
Armenia,1999,1.709,3206030.0,-52843.0,15.8061116965227,13.265,3.30000000058166,8.261,63.4003679629273,27.8157608967728,46.4699683877766,8.78387114029986,35.053,-0.271829246516986,57.727826196046,64.947,-1.07096568858801,41.327,70.257
Armenia,2000,1.603,3168523.0,-51873.0,15.8061116965227,12.51,5.90000000312092,8.27,64.0155422549336,26.9054182492255,46.4699683877766,9.07903949584089,35.334,-0.378358782738779,56.2120288096662,64.666,-1.17678628879226,36.644,70.624
Armenia,2001,1.544,3133133.0,-44486.0,15.9817351598174,12.157,9.59999999927597,8.344,64.5874170379271,25.9528041176669,46.6455918510713,9.45977884440609,35.615,-0.331122130948106,54.8288948957556,64.385,-1.12320863167984,32.841,70.932
Armenia,2002,1.525,3105037.0,-34971.0,15.9817351598174,12.19,13.1999999979356,8.593,65.0705345748642,25.0474752720378,48.8584474885845,9.88199015309799,35.764,-0.483303206796337,53.6793528615209,64.236,-0.900783081509756,32.756,71.018
Armenia,2003,1.534,3084102.0,-30238.0,15.9817351598174,12.482,14.0000000015501,8.573,65.5194283457551,24.1850950454946,50.7200561995083,10.2954766087503,35.863,-0.399993856225588,52.6264842731627,64.137,-0.676510249442033,31.669,71.436
