country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Aruba,1987,-0.159686242780767,-0.128082990284835,64450.0,26.5275407292475,16.0784313725487,6.78,6.88207913110939,72.789,49.635,50.173590884731,66.5903801396431,11.1111111111111,11.1111111111111,50.365,-1049.0,2.307,20.269,56.546
Aruba,1988,-0.183255475179547,-0.153290296084786,64332.0,26.0813131980445,18.6486486486489,6.902,6.93439450347031,73.047,49.65,49.2898913951545,66.9842922984852,11.1111111111111,11.1111111111111,50.35,-899.0,2.291,19.821,57.298
Aruba,1989,0.409531473341962,0.440467419407072,64596.0,26.0056815103219,12.1298405466969,7.129,6.90605382727899,73.023,49.665,49.0585194757246,67.0882646623991,11.1111111111111,11.1111111111111,50.335,-185.0,2.272,19.184,57.66
Aruba,1990,1.71290678473822,1.74272115371939,65712.0,26.5592780563524,3.96140172676478,7.1,6.75452546357943,73.076,49.681,49.9577827982018,66.6861964800682,11.1111111111111,11.1111111111111,50.319,879.0,2.303,18.662,58.584
Aruba,1991,3.22241452912309,3.25467165161497,67864.0,27.6965696098078,7.96287174444331,6.869,6.51892019332783,73.1,49.696,52.0114685064062,65.7845101968643,11.1111111111111,11.1111111111111,50.304,1946.0,2.314,17.722,57.552
Aruba,1992,3.37286419184246,3.98466034855813,70192.0,28.102405561927,5.88235395341866,6.418,6.35974441349736,73.179,50.002,52.5846702317291,65.5378500245756,11.1111111111111,11.1111111111111,49.998,1294.0,2.277,16.443,52.385
Aruba,1993,3.04193161032362,3.85936824082318,72360.0,27.5241846323936,7.30769324531406,6.411,6.3287728026534,73.225,50.412,51.1804278789905,66.147042564953,11.1111111111111,11.1111111111111,49.588,1662.0,2.226,16.126,50.069
Aruba,1994,3.19602914606154,4.00870351019051,74710.0,26.8469626090041,8.20390129312089,6.388,6.34984373013164,73.272,50.823,49.6924402412391,66.8031936608643,11.1111111111111,11.1111111111111,49.177,1668.0,2.125,15.431,44.999
Aruba,1995,3.08406097784149,3.88711858979949,77050.0,26.0090850097339,2.54714368704694,6.366,6.40558079169371,73.349,51.233,47.9615938550168,67.5853341985724,11.1111111111111,11.1111111111111,48.767,1598.0,2.19,15.991,45.626
Aruba,1996,3.02578893630418,3.82459116918723,79417.0,25.1488975911958,1.18578851134656,6.338,6.47216590906229,73.448,51.644,46.2425191050548,68.3789364997419,11.1111111111111,11.1111111111111,48.356,1636.0,2.153,16.153,43.259
