country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
"Bahamas, The",1961,4.866,120216.0,2548.0,0.699300699300699,36.646,10.6670974251373,8.098,55.0521561189858,41.4923970186997,0.999000999000999,3.4554468623145,39.546,3.01289990590517,81.64730058476,60.454,4.8715301729131,104.658,63.185
"Bahamas, The",1962,4.799,126305.0,2727.0,0.699300699300699,35.913,10.4519718945414,7.855,54.987134317723,41.6594750801631,0.999000999000999,3.35339060211393,38.807,3.05338770849085,81.8594136957899,61.193,4.94094921312934,105.046,63.433
"Bahamas, The",1963,4.729,132639.0,2810.0,0.699300699300699,35.178,10.5240552018016,7.602,54.9636420523298,41.7643311381602,0.999000999000999,3.27202680950999,38.074,2.98667643517661,81.9390148553558,61.926,4.89315352999861,103.644,63.732
"Bahamas, The",1964,4.639,138785.0,2127.0,0.699300699300699,34.365,10.501567200294,7.358,54.8930175920222,41.8613029553012,0.999000999000999,3.24567945267663,37.358,2.63039357269148,82.1731882440965,62.642,4.52948209138413,102.244,64.05
"Bahamas, The",1965,4.542,144849.0,2493.0,0.699300699300699,33.65,10.4255964904239,7.235,54.7601295141837,41.9847565395688,0.999000999000999,3.25511394624747,36.657,2.38233556843562,82.6157667141542,63.343,4.27658474295067,99.78,64.362
"Bahamas, The",1966,4.438,151323.0,2820.0,0.699300699300699,32.848,9.07192871029736,7.117,54.5539853360516,42.1798332711046,0.999000999000999,3.26618139284381,35.96,2.45377987881132,83.3040592104466,64.04,4.37248046055418,98.201,64.659
"Bahamas, The",1967,4.368,158197.0,3127.0,0.699300699300699,32.249,9.59811386614862,7.007,54.2235314196856,42.4881634923545,0.999000999000999,3.28830508795995,35.27,2.50439539651491,84.4217766379109,64.73,4.44244667126052,97.507,64.948
"Bahamas, The",1968,4.28,165456.0,3409.0,0.699300699300699,31.478,8.42176356574946,6.859,53.8377388482099,42.8432418384399,0.999000999000999,3.31901931335012,34.584,2.52187816461156,85.7439547362985,65.416,4.48642066264196,96.975,65.328
"Bahamas, The",1969,4.182,172745.0,3065.0,0.699300699300699,30.595,8.98166257694015,6.741,53.570136414552,43.0702970554949,0.999000999000999,3.35956652995302,33.907,2.33528756753301,86.670628917225,66.093,4.31112202262293,94.355,65.646
"Bahamas, The",1970,4.069,179129.0,1518.0,0.699300699300699,29.667,-5.64964951944781,6.637,53.7962970716553,42.8075376056853,0.999000999000999,3.39616532265943,33.236,1.62905353517038,85.8869921652052,66.764,3.62896980047581,92.057,65.926
"Bahamas, The",1971,3.974,184435.0,827.0,0.699300699300699,29.118,1.6265087401548,6.53,54.3268748525899,42.2415545898408,0.999000999000999,3.43157055756922,32.571,0.897946789444437,84.0705403301463,67.429,2.91908812104742,90.846,66.151
"Bahamas, The",1972,3.89,189181.0,308.0,0.699300699300699,28.636,-3.49733593257861,6.427,54.7603756181233,41.7530255336806,0.999000999000999,3.48659884819604,31.912,0.496501439236254,82.6141935982084,68.088,2.54071308580057,89.49,66.413
"Bahamas, The",1973,3.74,193563.0,132.0,0.699300699300699,27.697,7.56756882327024,6.401,55.1750592830241,41.2640845616156,0.999000999000999,3.56085615536027,31.262,0.233283528610166,81.2412217457256,68.738,2.28988121329776,86.566,66.488
"Bahamas, The",1974,3.526,197767.0,173.0,0.699300699300699,26.387,-16.7542290751462,6.206,55.6873889157163,40.6663919318995,0.999000999000999,3.64621915238425,30.619,0.0693836447639001,79.5743251219003,69.381,2.1486529207952,84.219,67.001
"Bahamas, The",1975,3.259,201881.0,323.0,0.699300699300699,24.703,-14.803126311449,6.131,56.3703369806965,39.8895884209014,0.999000999000999,3.74007459840203,29.983,-0.0396419020090122,77.3982653930985,70.017,2.05888448144629,79.052,67.221
"Bahamas, The",1976,3.221,206096.0,488.0,0.699300699300699,24.741,5.18518497051086,5.951,57.1876698237715,38.9706738607251,1.0989010989011,3.84165631550345,29.353,-0.0578392910154675,74.8621268941644,70.647,2.06636647562529,79.07,67.84
"Bahamas, The",1977,3.17,210534.0,587.0,0.699300699300699,24.711,9.15492922086061,6.006,58.0627311093009,37.9913410454868,1.0989010989011,3.94592784521228,28.734,0.0,72.2280394627051,71.266,2.13050806157464,77.671,67.88
"Bahamas, The",1978,3.063,215016.0,560.0,0.699300699300699,24.301,14.1795201385228,6.196,58.9641211912629,36.9919842988064,1.0989010989011,4.04389450993068,28.121,-0.049603175620236,69.5950529254942,71.879,2.10652836939085,76.154,67.562
"Bahamas, The",1979,2.983,219426.0,480.0,0.699300699300699,24.091,26.1392957686891,6.349,59.8520685789287,36.017153846855,1.0989010989011,4.13077757421636,27.516,-0.145644751916976,67.0786029193412,72.484,2.0302601870252,74.785,67.366
"Bahamas, The",1980,2.901,223752.0,369.0,0.699300699300699,23.866,6.49528192102287,6.362,60.6824504754137,35.1024010904906,1.0989010989011,4.21514843409571,26.898,-0.318508588637093,64.7917924847914,73.102,1.95232498288631,73.74,67.521
"Bahamas, The",1981,2.853,227956.0,132.0,0.699300699300699,23.874,-9.22640507995641,6.354,61.3029736066908,34.3880713560322,1.0989010989011,4.30895503727701,26.157,-0.933143127536309,63.1247137623082,73.843,1.8614332212288,73.07,67.746
"Bahamas, The",1982,2.802,232177.0,168.0,0.699300699300699,23.991,6.69889775704905,6.14,61.7297616253152,33.8615234530626,1.0989010989011,4.40871492162213,25.429,-0.987654026411795,61.996762534712,74.571,1.83473839420611,71.598,68.436
"Bahamas, The",1983,2.737,236586.0,245.0,0.699300699300699,23.962,3.59705186794108,5.916,62.0941222219404,33.4011733576797,1.0989010989011,4.5047044203799,24.715,-0.966717311412642,61.0458388357181,75.285,1.8811766379094,69.812,69.161
"Bahamas, The",1984,2.685,241166.0,304.0,0.699300699300699,23.964,14.1711486234751,5.903,62.3238765000041,33.0850949138768,1.0989010989011,4.5910285861191,24.013,-0.964065791473144,60.4521503087077,75.987,1.9173714863649,68.564,69.351
"Bahamas, The",1985,2.63,245935.0,470.0,0.699300699300699,23.904,4.82918011486817,5.996,62.4658954601826,32.8822656392949,1.0989010989011,4.6518389005225,23.326,-0.943812415560948,60.0874851913088,76.674,1.95817803162184,67.67,69.257
"Bahamas, The",1986,2.587,250804.0,392.0,0.699300699300699,23.862,1.79700022744946,6.036,62.6422677514469,32.6737864503486,1.0989010989011,4.68394579820457,22.653,-0.966884973777724,59.6369399588821,77.347,1.9604484219087,67.104,69.285
