country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Belarus,1992,0.219690718485616,-0.952904189916514,10216470.0,22.8090072387523,-9.60000128974472,11.4,11.2922579738319,70.0219512195122,33.234,51.7479774301584,65.8987347874158,46.2774974375148,29.9810770322479,66.766,4796.0,1.764,12.5,44.853
Belarus,1993,0.220771793347495,-0.956630191044747,10239050.0,22.5222719925087,-7.60000189914328,12.6,11.6871516471544,68.9707317073171,32.845,51.9974526188592,65.7905763603368,46.1033456223015,30.0849713147882,67.155,5341.0,1.623,11.5,42.853
Belarus,1994,-0.118196017328142,-1.30038376676665,10226955.0,22.1390134758171,-11.7000038354787,12.7,12.1119448055154,68.7682926829268,32.459,52.0934694105181,65.7490417186675,46.0670945100011,30.6834649395203,67.541,5091.0,1.533,10.8,41.451
Belarus,1995,-0.324414829587043,-1.51761807951336,10193831.0,21.6754004322053,-10.4000005284964,13.1,12.5375034793594,68.4609756097561,32.074,52.0055023504281,65.7870960884354,46.0348601060788,30.7194826192401,67.926,3910.0,1.406,9.9,38.343
Belarus,1996,-0.336671341030207,-1.534793292598,10159569.0,21.144796333699,2.80000462766883,13.1,12.9153384304006,68.5121951219512,31.692,51.6533302603323,65.9398652359004,46.0084592859889,30.711743421377,68.308,2549.0,1.335,9.4,35.765
Belarus,1997,-0.415604443400529,-1.61870380482427,10117433.0,20.537301327137,11.4000054580737,13.5,13.2362765671721,68.4609756097561,31.313,50.997132415997,66.2264221056909,45.8751324837938,30.4404623992507,68.687,-82.0,1.25,8.9,32.632
Belarus,1998,-0.450435237181926,-1.66173614870053,10071963.0,19.864728496333,8.39999134340503,13.6,13.4846930706796,68.4073170731707,30.936,50.0361983023443,66.6505784329874,45.8859433315749,30.5035276020687,69.064,-3171.0,1.3,9.2,30.466
Belarus,1999,-0.450029843493719,-1.81039954962142,10026738.0,19.1852028121463,3.39999924144169,14.2,13.6683238129958,67.9073170731707,30.518,48.9281482743445,67.1464733748579,45.7564029876501,30.4779747085069,69.482,-7500.0,1.31,9.3,28.636
Belarus,2000,-0.471131334643547,-2.09312067513898,9979610.0,18.5167673225202,5.80000336082973,13.5,13.8756196386042,68.9121951219512,30.027,47.9123388018573,67.6076130388757,45.6105063890204,30.2344612714939,69.973,-10419.0,1.317,9.4,26.695
Belarus,2001,-0.512966688341309,-2.14134805278449,9928549.0,17.815457845019,4.72530604998076,14.1,14.152171284412,68.5073170731707,29.542,46.9888418709131,68.0323708705689,45.0000985979373,28.4011358482381,70.458,-12414.0,1.286,9.2,25.391
