Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Benin,1961,6.402,2551216.0,-4797.0,8.15892160340546,45.985,3.14128045641213,28.142,55.3744458770943,38.7802642386485,12.7882227740333,5.84528988425718,90.144,0.895303202155601,80.5886791598064,9.856,1.53778087122315,146.819,38.542
Benin,1962,6.457,2593302.0,-4847.0,8.33628946434906,46.349,-3.42640982098587,27.765,55.0799415031606,39.1874646324523,12.9655906349769,5.73259386438721,89.53,0.95271767073649,81.5542544782969,10.47,1.63618589344618,148.638,38.928
Benin,1963,6.51,2638082.0,-4850.0,8.51365732529266,46.656,4.7300279709188,27.345,54.6905943995307,39.6811888938272,13.1429584959205,5.62821670664204,88.882,0.985615587648233,82.8467621256974,11.118,1.71201707796946,150.186,39.334
Benin,1964,6.565,2685619.0,-4837.0,8.69102518623625,46.889,6.65075912824808,26.896,54.1402101601549,40.3297601651165,13.3203263568641,5.53002967472856,88.199,1.01450566720625,84.7056396148556,11.801,1.7859103461118,152.643,39.758
Benin,1965,6.606,2735843.0,-4800.0,8.86839304717985,47.003,5.29386282871174,26.432,53.6485829047939,40.9142264377013,13.4976942178077,5.43719065750483,87.481,1.03544958429612,86.3982133087513,12.519,1.85283736450976,152.936,40.184
Benin,1966,6.638,2788642.0,-4767.0,9.13444483859525,46.99,3.57586273248711,25.915,53.3185148900433,41.332089239135,13.7637460092231,5.34939587082171,86.725,1.04357057146405,87.5520474986599,13.275,1.91151239135573,149.992,40.648
Benin,1967,6.65,2843739.0,-4754.0,9.48918056048244,46.827,1.07839866664565,25.435,53.0000116044405,41.7343856099312,14.1184817311103,5.26560278562836,85.931,1.03672117733966,88.679203971385,14.069,1.95649965913181,145.854,41.055
Benin,1968,6.683,2901218.0,-4755.0,9.75523235189783,46.803,3.84233563459493,24.908,52.6984964071118,42.1156635102332,14.3845335225257,5.18584008265495,85.097,1.02579992599655,89.7587674259499,14.903,2.00109132393424,143.476,41.522
Benin,1969,6.712,2961166.0,-4795.0,10.4647037956722,46.729,2.87749797403703,24.51,52.412529388761,42.4780306136164,15.138346931536,5.10943999762256,84.224,1.01406086649003,90.7940737953457,15.776,2.04524608720831,142.786,41.849
Benin,1970,6.743,3023443.0,-4854.0,10.6420716566158,46.689,2.09775758051059,24.108,52.1457490681981,42.8195768863511,15.3157147924796,5.03467404545083,83.309,0.988993883846688,91.7701860399328,16.691,2.08131385407574,143.103,42.189
Benin,1971,6.788,3088381.0,-4921.0,11.0854913089748,46.736,-1.4968418264467,23.668,51.8978312419729,43.1399239828123,15.7591344448386,4.96224477521471,82.353,0.970894838304661,92.686250275299,17.647,2.12507571507998,142.101,42.581
Benin,1972,6.824,3156408.0,-4965.0,11.3515431003902,46.717,6.4263675448305,23.096,51.6708708126453,43.4362572899321,16.025186236254,4.89287189742264,81.352,0.955834459770308,93.5326412188279,18.648,2.17876668137864,139.532,43.158
Benin,1973,6.831,3227380.0,-4954.0,11.5289109613338,46.538,3.70616531907105,22.631,51.4728435252191,43.7020808987601,16.2025540971976,4.82507557602073,80.311,0.935712527208296,94.2772317279307,19.689,2.22359903726583,136.987,43.596
Benin,1974,6.842,3301276.0,-4815.0,11.7949627527492,46.439,3.33931215742955,22.128,51.306835401397,43.9362470850291,16.468605888613,4.75691751357392,79.225,0.902379813516408,94.9058319262242,20.775,2.2638397835609,135.925,44.085
Benin,1975,6.851,3378703.0,-4600.0,12.1496984746364,46.391,-4.89534544658655,21.569,51.1720917760454,44.1392007524781,16.8233416105002,4.68870747147648,78.096,0.882978701700001,95.4190194875164,21.904,2.31828476391102,135.526,44.681
Benin,1976,6.857,3460329.0,-4309.0,12.4157502660518,46.346,0.884356332845641,20.869,51.0769711381532,44.3008678797785,17.0893934019156,4.62216098206833,76.921,0.871192933111393,95.7829754032831,23.079,2.38717632124606,135.26,45.488
Benin,1977,6.854,3546454.0,-4020.0,12.6818020574672,46.304,4.98366372995041,20.28,51.0167902925006,44.4264186141989,17.355445193331,4.55679109330052,75.707,0.867616728414374,96.0139546683307,24.293,2.45845597871757,135.277,46.176
Benin,1978,6.843,3636927.0,-3730.0,12.8591699184108,46.101,1.25507802775073,19.63,50.9804843484623,44.5266429598394,17.5328130542746,4.49287269169824,74.448,0.842095325966987,96.1534914350342,25.552,2.51908632743707,132.575,46.961
Benin,1979,6.911,3732394.0,-3363.0,13.0365377793544,46.522,6.53574741502341,19.298,50.9534160978964,44.6181667023676,17.7101809152182,4.42841719973599,73.324,1.0698145512536,96.2577203906652,26.676,2.59107565157672,135.738,47.362
Benin,1980,6.99,3833939.0,-2945.0,13.3025895707698,47.005,6.78176386785228,18.929,50.9164661874467,44.7226657391609,17.9762327066336,4.36086807339241,72.661,1.77593916227934,96.4001442544616,27.339,2.68428833887148,136.972,47.877
Benin,1981,7.052,3941569.0,-2551.0,13.5686413621852,47.275,9.95423116708119,18.61,50.8685881180819,44.8400116806277,18.242284498049,4.2914002012904,71.99,1.84088819040044,96.5850215957946,28.01,2.76861331698126,135.341,48.31
Benin,1982,7.051,4054385.0,-2255.0,13.7460092231288,47.158,2.23506634402393,18.219,50.816825587213,44.9612882053984,18.5349414686059,4.22188620738857,71.308,1.87013284805539,96.7852410559576,28.692,2.82201440633235,132.4,48.813
Benin,1983,7.034,4171526.0,-2101.0,13.8346931536006,46.842,-4.34782273516674,17.79,50.7730803100496,45.0727928972763,18.6236253990777,4.1541267926741,70.616,1.87311472478986,96.9547386889215,29.384,2.848290465701,123.967,49.333
Benin,1984,7.018,4293070.0,-2024.0,13.9233770840724,46.77,7.92983956551727,17.44,50.7371006369451,45.175882855872,18.7123093295495,4.08701650718291,69.914,1.87292917567308,97.0944077598765,30.086,2.87201786127231,126.597,49.747
Benin,1985,6.985,4419552.0,-1965.0,14.0120610145442,46.589,7.53032483806271,16.963,50.7052185379876,45.2741250696903,18.8896771904931,4.02065639232212,69.204,1.88290509645843,97.2183151386201,30.796,2.903623876325,126.106,50.374
Benin,1986,6.948,4551382.0,-1905.0,14.100744945016,46.44,2.17114159792595,16.451,50.6818534108819,45.3617324761723,19.4217807733239,3.95641411294571,68.483,1.89194088382985,97.3093021491509,31.517,2.93925896215463,125.577,51.075
Benin,1987,6.896,4688787.0,-1807.0,14.1894288754878,46.278,-1.50000295231442,16.01,50.6667502703791,45.4391402296585,19.5104647037957,3.89410949996236,67.754,1.90410095808475,97.3680953808127,32.246,2.97429905037554,129.659,51.659
Benin,1988,6.847,4831624.0,-1870.0,14.2781128059596,46.034,3.40524529583226,15.543,50.6554679487199,45.5105627517205,19.5991486342675,3.8339692995596,67.015,1.90416796365511,97.4120340823753,32.985,3.00087294234367,130.355,52.294
Benin,1989,6.797,4979680.0,-320.0,14.3667967364314,45.506,-2.85416049622336,15.2,50.659670902548,45.5646949201555,19.6878325647393,3.77563417729653,66.27,1.90037849924883,97.3956371968018,33.73,3.0182988908611,122.992,52.684
Benin,1990,6.732,5133419.0,-337.0,14.3224547711955,45.365,8.9761343599898,14.75,50.6781688112573,45.60301374162,20.1312522170983,3.71881744712272,65.515,1.89479394058305,97.3236062106697,34.485,3.0406276980036,125.025,53.292
Benin,1991,6.667,5293046.0,0.0,14.3667967364314,45.135,4.22579942071668,14.461,50.700461577366,45.6363354518679,20.2199361475701,3.66320297076607,64.753,1.89229959857082,97.2368449980791,35.247,3.06219746377698,124.259,53.624
Benin,1992,6.596,5457778.0,-148.0,14.4554806669032,44.722,2.95771082720395,14.088,50.7329128019601,45.6580906788523,20.3529620432778,3.60899651918753,64.173,2.1650451298989,97.1106833424224,35.827,3.06478636575957,122.479,54.089
Benin,1993,6.506,5706181.0,156226.0,14.6328485278468,44.57,5.83617208501383,13.748,51.2574304300398,45.2015582051777,20.5746718694573,3.54101136478245,63.864,3.9681332449264,95.0936836929995,36.136,4.45082260643724,127.359,54.537
Benin,1994,6.413,5923394.0,-85132.0,15.0762681802057,45.277,2.02040044761662,13.473,51.457281079057,45.0614968377927,21.2841433132316,3.4812220831503,63.553,3.24782315200688,94.3359567876426,36.447,3.73596221432167,124.946,54.91
Benin,1995,6.314,6046511.0,-45474.0,15.8744235544519,44.006,6.04519865041564,13.192,51.0835629905877,45.4740548288141,22.3483504788932,3.44238218059821,63.242,1.56660135164613,95.7577005497005,36.758,2.05718160489378,121.609,55.295
Benin,1996,6.261,6203860.0,-16498.0,17.2933664420007,43.453,4.32428403131786,12.927,50.996339375808,45.5981517958174,24.0333451578574,3.40550882837459,62.929,2.07288488845538,96.0924753029798,37.071,2.56902674974726,120.739,55.558
Benin,1997,6.204,6387026.0,-1326.0,18.6236253990777,43.041,5.73468837521307,12.596,51.0720638995363,45.5573454687675,25.6296559063498,3.37059063169619,62.615,2.40947583665304,95.8017600320786,37.385,2.90970663666371,117.66,55.978
Benin,1998,6.097,6584183.0,2054.0,19.9538843561547,42.599,3.96101213832645,12.36,51.2100893915008,45.4515920957847,27.0485987938985,3.33831851271449,62.301,2.53742421710849,95.2740196087154,37.699,3.04015123022948,120.879,56.218
Benin,1999,5.998,6788589.0,3170.0,20.3973040085137,42.226,5.34144937204417,12.103,51.3674049202272,45.3239178274012,27.5807023767293,3.30867725237159,61.985,2.54877893825745,94.67598208494,38.015,3.05728567373544,120.303,56.526
Benin,2000,5.89,6998023.0,3337.0,21.106775452288,41.672,5.85771420543269,11.964,51.5396777061178,45.1785382814546,28.3345157857396,3.28178401242751,61.667,2.52410982613447,94.0252714487637,38.333,3.03845662138601,117.261,56.578
Benin,2001,5.824,7212041.0,3730.0,21.7275629655906,41.375,5.33313570603937,11.825,51.7208410019328,45.0221196067881,28.9553032990422,3.25703939127907,61.35,2.49704680786611,93.3456707115681,38.65,3.0124309700982,117.756,56.66
Benin,2002,5.777,7431783.0,3568.0,22.6144022703086,41.251,4.64303087074482,11.77,51.9009300998159,44.8659157566899,29.8421426037602,3.23315414349423,60.964,2.37021607665449,92.6747753855487,39.036,3.00138127284262,115.452,56.606
Benin,2003,5.77,7659208.0,4278.0,23.5012415750266,41.405,3.44357677591658,11.649,52.0670186830687,44.7219833122422,30.7467186945725,3.21099800468913,60.464,2.19075457751498,92.0601737095595,39.536,3.01427811282378,115.528,56.738
Benin,2004,5.721,7894554.0,4173.0,23.5012415750266,41.23,4.42968455385082,11.546,52.2109355386004,44.5958631735244,30.7467186945725,3.19320128787516,59.961,2.19107728108618,91.530755831162,40.039,3.02645705105477,114.768,56.826
Benin,2005,5.676,8149419.0,30492.0,23.5367151472153,40.926,1.71316456361184,11.337,52.3975144731177,44.4231729893873,30.8974813763746,3.179312537495,59.457,2.33323811511305,90.8487239036714,40.543,3.177348170646,109.721,57.125
Benin,2006,5.636,8402631.0,-15131.0,22.1709826179496,40.885,3.94373882815798,11.128,52.5378717689733,44.2912225944469,29.6204327775807,3.17090563657978,58.951,2.20514740355084,90.338885185238,41.049,3.05982347255495,105.206,57.456
Benin,2007,5.563,8647761.0,247.0,22.1709826179496,40.423,5.98634932177609,10.961,52.6174493384732,44.2137533758017,29.7091167080525,3.16879728572501,58.442,2.00836959490233,90.0510325739506,41.558,2.87555724136521,104.604,57.675
Benin,2008,5.483,8906469.0,3192.0,22.1709826179496,39.897,4.89657708429647,10.798,52.744940376761,44.0839711048212,31.4827953174885,3.17108851841782,57.931,2.06954425432893,89.591635247116,42.069,2.94774231330122,101.052,57.869
Benin,2009,5.436,9172514.0,4272.0,22.1709826179496,39.642,2.31929213912838,10.7,52.9338765286226,43.8904130377772,32.3696346222065,3.1757104336003,57.42,2.05735660166082,88.914926513279,42.58,2.94335369072878,98.103,57.956
Benin,2010,5.39,9445710.0,3947.0,22.1709826179496,39.332,2.11406472648392,10.461,53.1325836349297,43.6866494782631,32.3696346222065,3.18076688680718,56.907,2.0374825491404,88.2084184308842,43.093,2.93492666293192,95.85,58.363
Benin,2011,5.366,9726380.0,4278.0,22.1709826179496,39.202,2.96375291904201,10.372,53.2835570230879,43.533465506516,32.3696346222065,3.18297747039611,56.392,2.01900567101785,87.6751474801744,43.608,2.92811115740547,93.653,58.462
Benin,2012,5.347,10014078.0,1267.0,23.0578219226676,39.122,4.811223315688,10.224,53.4127977926277,43.4096906669945,33.2564739269244,3.17751154037788,55.875,1.99398931535508,87.2210378441964,44.125,2.91501212217311,93.041,58.716
Benin,2013,5.345,10308730.0,-899.0,23.9446612273856,39.129,7.19143372144946,10.085,53.5268527972479,43.3127095523547,35.0301525363604,3.1604376503974,55.358,1.97033946035367,86.8221087619852,44.642,2.89992060914312,93.969,58.965
Benin,2014,5.348,10614844.0,3667.0,23.9446612273856,39.192,6.35767909791932,9.996,53.6482825371715,43.2309132381032,35.0301525363604,3.1208042247253,54.834,1.9751578388083,86.3992732867741,45.166,2.92622897984691,95.483,59.125
Benin,2015,5.319,10932783.0,3366.0,23.9446612273856,39.022,1.77815106030278,9.857,53.748416402831,43.1598046371265,35.0301525363604,3.09177896004252,54.305,1.98183119816127,86.0519846336015,45.695,2.95124912266827,95.516,59.377
Benin,2016,5.303,11260085.0,3827.0,24.8315005321036,38.934,3.33967342629693,9.761,53.8121450154304,43.1001650120832,35.0301525363604,3.08768997248644,53.771,1.96161833407163,85.8316638591334,46.229,2.94982814392549,96.016,59.539
Benin,2017,5.269,11596779.0,3716.0,24.8315005321036,38.678,5.67156195150444,9.592,53.8767727606421,43.0381204573322,35.0301525363604,3.08510678202572,53.232,1.93886325848708,85.6087497219097,46.768,2.94632156118807,95.546,59.856
Benin,2018,5.199,11940683.0,3368.0,24.8315005321036,38.186,6.69725362180888,9.428,53.9622543382881,42.9519047213671,35.0301525363604,3.08584094034483,52.688,1.89519831972496,85.31471125305,47.312,2.92239218681089,95.481,60.14
Benin,2019,5.13,12290444.0,3363.0,24.8315005321036,37.675,6.86568662848335,9.248,54.0725135723331,42.8371261445071,35.0301525363604,3.09036028315983,52.139,1.83963166520767,84.9368438665782,47.861,2.88707408493347,93.897,60.454
Benin,2020,5.048,12643123.0,1732.0,24.8315005321036,37.114,3.84879240030133,9.364,54.1984761201801,42.712662844457,35.0301525363604,3.08886103536286,51.585,1.76090216971847,84.5070179995855,48.415,2.82913811282206,92.935,60.088
Benin,2021,4.973,12996895.0,1732.0,24.8315005321036,36.608,7.1554516457574,9.434,54.3456110093988,42.5780042079281,35.0301525363604,3.07638478267309,51.028,1.67406840863543,84.0074855144422,48.972,2.75970517933377,92.259,59.821
