country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Botswana,1961,6.597,524403.0,-4162.0,0.70403896035149,46.586,6.3432837196721,16.301,49.9060359170675,45.9876716834874,45.8772254865633,4.10629239944508,96.903,2.1866263072864,100.376754334012,3.097,2.22478200530615,145.111,50.891
Botswana,1962,6.571,536428.0,-4026.0,0.70403896035149,46.094,6.66666781317736,15.839,49.3814640548219,46.6099830732177,45.8772254865633,4.00855287196045,96.866,2.22897828607482,102.50513409036,3.134,2.26718771990366,144.42,51.389
Botswana,1963,6.632,549041.0,-3998.0,0.70403896035149,46.186,5.92104509665194,15.418,48.8701208106498,47.2238867406988,45.8772254865633,3.90599244865138,96.829,2.28595624210804,104.624380862935,3.171,2.32407700636253,145.522,51.881
Botswana,1964,6.688,562274.0,-4123.0,0.70403896035149,46.24,6.83230093078177,15.031,48.5112698512915,47.6720000640257,45.8772254865633,3.81673008468284,96.682,2.22971546504988,106.137495142356,3.318,2.38161556068392,144.939,52.349
Botswana,1965,6.687,570975.0,-14195.0,0.70580346902405,45.942,5.81395505990284,14.635,48.1619160208415,48.0577083059679,45.8789899952358,3.7803756731906,96.161,0.995182432943598,107.633312969105,3.839,1.53561502939054,142.367,52.809
Botswana,1966,6.692,574855.0,-14483.0,0.70580346902405,45.849,6.34401909600525,14.343,47.6651503422602,48.5383270563881,45.8789899952358,3.79652260135164,95.563,0.0535322171115376,109.796901516396,4.437,0.677240922273343,141.371,53.264
Botswana,1967,6.678,578723.0,-14700.0,0.70580346902405,45.713,5.92455994085913,14.032,47.1567164630432,49.0090690977643,45.8789899952358,3.83421443919246,94.876,-0.0509824139926346,112.058686658825,5.124,0.670611696125509,141.599,53.721
Botswana,1968,6.668,582655.0,-14874.0,0.70580346902405,45.693,10.567056502304,13.715,46.6636345693421,49.4562820193768,45.8789899952358,3.88008341128112,94.088,-0.15693396958249,114.299638086271,5.912,0.677129241924096,143.148,54.188
Botswana,1969,6.639,586737.0,-14995.0,0.70580346902405,45.633,15.1234047059107,13.375,46.217431134025,49.8688084535248,45.8789899952358,3.9137604124502,93.19,-0.260824924027043,116.36839679174,6.81,0.698143407831318,143.594,54.684
Botswana,1970,6.617,592244.0,-12728.0,0.70580346902405,45.698,17.1202676720023,13.033,45.8664383821857,50.2127925422567,45.8789899952358,3.9207690755576,92.166,-0.170597902678372,118.024525016474,7.834,0.934203358874734,143.063,55.197
Botswana,1971,6.592,604139.0,-3088.0,0.70580346902405,45.764,25.8211072192578,12.656,45.7796136319622,50.3492573728894,45.8789899952358,3.87112899514847,91.002,0.717583058483388,118.437808462865,8.998,1.98855917780599,142.407,55.745
Botswana,1972,6.593,626601.0,6914.0,0.70756797769661,45.978,26.3619409474971,12.209,46.1270041645288,50.1240421543836,45.8807545039084,3.74895368108758,90.305,2.88161806171744,116.792950261563,9.695,3.65056705225412,143.9,56.3
Botswana,1973,6.593,657246.0,10892.0,0.70756797769661,46.126,21.3031840926304,11.739,46.7710720186962,49.6381111486415,45.8807545039084,3.59081683266235,89.619,4.01224858025356,113.807372129564,10.381,4.77484031959491,146.083,56.861
Botswana,1974,6.593,691569.0,11307.0,0.70756797769661,46.293,8.7977952161217,11.291,47.4510515573634,49.113935764952,45.8807545039084,3.4350126776846,88.89,4.27378616379747,110.743333221598,11.11,5.09045515798467,148.127,57.424
Botswana,1975,6.578,727930.0,11741.0,0.70756797769661,46.383,8.44625038132321,10.857,48.0673279024082,48.6401851826412,45.8807545039084,3.29248691495061,88.116,4.24962383226181,108.041509358468,11.884,5.12419605203818,151.206,57.998
Botswana,1976,6.556,766424.0,12202.0,0.70756797769661,46.425,10.6473767076794,10.431,48.6109199275336,48.2265376433034,45.8807545039084,3.16254242916295,87.295,4.2169650076554,105.714960570745,12.705,5.15306516789676,153.96,58.583
Botswana,1977,6.495,806968.0,12631.0,0.70756797769661,46.041,12.0120400890027,9.997,49.0902985000644,47.8647232604019,45.8807545039084,3.04497823953366,86.428,4.15662955926511,103.706237394072,13.572,5.15484730413884,152.089,59.169
Botswana,1978,6.435,849394.0,12920.0,0.70756797769661,45.689,14.3328015885761,9.6,49.5244256493453,47.5324760947217,45.8807545039084,2.94309825593305,85.511,4.05724817142216,101.920324824442,14.489,5.12391395966631,150.377,59.691
