country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Central African Republic,1961,1.80743378137271,0.989276474276623,1710364.0,40.158925188169,4.95355379797229,24.9,4.25727966173292,39.737,79.249,79.9085922256057,55.5837951500981,7.6053805900671,2.69671578541847,20.751,485.0,5.828,42.948,179.507
Central African Republic,1962,1.86157980690677,1.01639967771359,1742502.0,40.418777137702,-3.71380018409685,24.396,4.2300381864698,40.256,78.582,80.6645964986858,55.3511846758282,7.62143246974221,2.71276766509358,21.418,485.0,5.851,43.015,180.897
Central African Republic,1963,1.91621213784079,1.04455639314532,1776214.0,40.6983732529901,-0.707010752236329,23.898,4.20926313193769,40.781,77.9,81.5134105489915,55.0923636150722,7.63427397348229,2.72881954476869,22.1,485.0,5.868,43.043,181.944
Central African Republic,1964,1.97781863812789,1.07123189086163,1811694.0,40.908713311606,2.08032459940857,23.394,4.18715969340289,41.345,77.197,82.1357300479041,54.9041269949911,7.65674660502745,2.7448714244438,22.803,485.0,5.906,43.251,183.505
Central African Republic,1965,2.047511136393,1.11568233500305,1849171.0,41.0316187546693,0.947578712256856,22.893,4.16034964847771,41.929,76.481,82.4550515345922,54.808031596853,7.67279848470256,2.76092330411891,23.519,485.0,5.941,43.448,183.303
Central African Republic,1966,2.12323359878108,1.16021086101844,1888853.0,41.1595290898762,0.644783720237797,22.4,4.1297814070232,42.531,75.748,82.7795491603002,54.7106895031006,7.68885036437767,2.77697518379402,24.252,485.0,5.983,43.773,185.766
Central African Republic,1967,2.19962508876761,1.20727545677366,1930861.0,41.3069761865364,4.6766131089008,21.893,4.09609907287498,43.158,75.0,83.160451948461,54.5969247405886,7.70490224405278,2.79302706346913,25.0,485.0,6.015,43.987,187.244
Central African Republic,1968,2.27324990424639,1.18059095816983,1975257.0,41.4741622294815,1.40411317693092,21.39,4.0606098192261,43.797,74.185,83.6033269258655,54.4652279512924,7.72095412372789,2.80907894314424,25.815,485.0,6.06,44.257,187.247
Central African Republic,1969,2.31506925460517,1.18994874415098,2021519.0,41.6553096953331,7.09154252763096,20.852,4.02761487772314,44.442,73.355,84.1041683742703,54.3170754269438,7.737006003403,2.82513082281935,26.645,-88.0,6.037,44.076,186.47
Central African Republic,1970,2.24212871394503,1.08073702636156,2067356.0,41.8585280284266,2.33288087679347,20.302,4.00059206044047,45.072,72.508,84.7032703913659,54.1408799111329,7.75305788307811,2.84118270249446,27.492,-3689.0,6.002,43.73,180.883
Central African Republic,1971,2.09973779296289,0.90100003093079,2111224.0,42.1015823289197,1.13020238405835,19.767,3.97975391994263,45.688,71.644,85.4645871546738,53.9186637511377,7.76910976275322,2.85723458216957,28.356,-7265.0,5.986,43.501,177.956
Central African Republic,1972,1.9879022769448,0.749220120462918,2153613.0,42.3670728289918,-0.0008671748311144,19.238,3.96498721799432,46.294,70.762,86.3309396089289,53.6679399530139,7.78516164242833,2.87328646184468,29.238,-9641.0,5.96,43.086,172.696
Central African Republic,1973,1.94473653837216,0.671845956798287,2195905.0,42.6206410066371,1.888939956294,18.743,3.95467837755313,46.854,69.867,87.1794434665496,53.4246806158097,7.80121352210344,2.88933834151979,30.133,-9802.0,5.928,42.618,169.247
Central African Republic,1974,1.9571287628841,0.643208947440314,2239305.0,42.8462179113609,6.33903361228316,18.271,3.94667095371108,47.402,68.955,87.9448814866354,53.207111134928,7.81726540177855,2.9053902211949,31.045,-9842.0,5.911,42.285,166.268
Central African Republic,1975,1.97307799451062,0.621078705873089,2283927.0,43.0406926315946,0.404987104042064,17.833,3.93957425084077,47.913,68.029,88.6090218112991,53.0197331175646,7.84936916112877,2.92144210087001,31.971,-9904.0,5.889,41.899,162.35
Central African Republic,1976,1.49589646008345,0.604067440914591,2318349.0,43.1577262866217,5.43251898691292,17.461,3.93305838186105,48.395,67.425,89.003032724071,52.9092153315172,7.86542104080388,2.93749398054512,32.575,-33639.0,5.932,41.995,161.999
Central African Republic,1977,1.01704658559431,0.538293102182947,2342048.0,43.2215003233281,3.80623491408234,17.212,3.91945341866319,48.838,67.103,89.1823319202833,52.8590462580087,7.88147292047899,2.95354586022023,32.897,-35773.0,5.968,42.421,162.05
Central African Republic,1978,1.01568309888253,0.531676817395814,2365957.0,43.3018436091611,1.2092354194359,17.003,3.89096251537961,49.239,66.779,89.3680626478715,52.8071938754593,7.8975248001541,2.96959773989534,33.221,-37880.0,6.018,42.977,162.757
Central African Republic,1979,1.02484221158581,0.536986315429139,2390329.0,43.402507228609,-2.46513778468636,16.825,3.84604040825351,49.597,66.454,89.5682799958443,52.7514523631375,7.91357667982921,2.98564961957045,33.546,-39849.0,6.071,43.588,162.617
Central African Republic,1980,1.03825529153642,0.543447865831586,2415276.0,43.5204803758412,-4.47863884794948,16.68,3.78393686351723,49.889,66.126,89.7692701753063,52.6955827606416,7.93765449934187,3.00170149924556,33.874,-41537.0,6.106,44.08,162.452
Central African Republic,1981,1.05983217954125,0.5626156450711,2441010.0,43.6515622631616,-1.54446566470149,16.535,3.7050032568486,50.159,65.798,89.9572850771693,52.6434344799898,7.93765449934187,3.00170149924556,34.202,-42866.0,6.139,44.598,162.364
Central African Republic,1982,1.08483139909751,0.582002091662295,2467635.0,43.7907462427089,7.71578363090393,16.448,3.60993347680401,50.303,65.468,90.1165599221547,52.5993202804871,7.94568043917943,3.00170149924556,34.532,-43912.0,6.141,44.931,162.403
Central African Republic,1983,1.10674041281781,0.598326168124589,2495097.0,43.9306279614324,-8.12651359274568,16.349,3.50238818322731,50.423,65.136,90.2335092257759,52.5669838553403,7.94568043917943,3.00170149924556,34.864,-44785.0,6.124,45.221,163.506
Central African Republic,1984,1.13342789320946,0.619353130237,2523538.0,44.0813056906613,9.48172665292533,16.273,3.38720875215669,50.484,64.802,90.3620256296524,52.531485557182,7.94889081511445,3.00170149924556,35.198,-45593.0,6.111,45.548,164.625
Central African Republic,1985,1.16366298957681,0.646895986555546,2553075.0,44.2617910288164,3.92721953798056,16.19,3.26725679176225,50.518,64.468,90.5816785767339,52.4709521794213,7.95049600308196,3.00170149924556,35.532,-46428.0,6.106,45.89,164.618
Central African Republic,1986,1.18972588344787,0.667183848537841,2583631.0,44.4729809467724,3.57797925430461,16.126,3.14373514324126,50.492,64.132,90.9006340370226,52.3832839099863,7.95210119104947,3.00170149924556,35.868,-47332.0,6.093,46.169,164.741
Central African Republic,1987,1.22954489080033,0.701125040465824,2615594.0,44.7197271441975,-4.93898788502545,16.09,3.01680994833296,50.409,63.794,91.3383321141185,52.2634629074696,7.95370637901698,3.00170149924556,36.206,-47430.0,6.102,46.531,165.486
Central African Republic,1988,1.57948857083318,1.04664804230904,2657235.0,44.9898569358482,1.71016528472386,16.07,2.88933852093219,50.241,63.455,91.8620015422694,52.1208045432197,7.95531156698449,3.00170149924556,36.545,-31020.0,6.081,46.509,164.84
Central African Republic,1989,2.48552936890382,2.17143377215694,2724109.0,45.2494558771327,1.97727043451945,16.071,2.76892371046827,49.986,63.256,92.3757588083919,51.9816204123991,7.95531156698449,3.00170149924556,36.744,414.0,6.06,46.527,165.311
Central African Republic,1990,3.07658185416468,2.94845061665354,2809221.0,45.5038959199009,-2.14752806574087,16.088,2.66176993550881,49.635,63.175,92.9223200225802,51.8343341445903,7.95531156698449,3.00170149924556,36.825,2000.0,6.045,46.292,165.343
Central African Republic,1991,3.11315664341229,2.98488365697759,2898052.0,45.7338333242755,-0.552543005101867,16.132,2.56822469572239,49.252,63.094,93.4312620266674,51.6979419800021,7.95852194291952,3.00170149924556,36.906,4386.0,6.032,45.98,162.341
Central African Republic,1992,3.18120254870409,3.05273977791003,2991727.0,45.8916462144363,-6.42407819946331,16.206,2.48781013645126,48.793,63.013,93.7212904362105,51.6205436491124,7.96173231885454,3.00170149924556,36.987,9273.0,5.975,45.407,162.736
Central African Republic,1993,3.20438646726048,3.07573684508086,3089146.0,45.9771082363864,0.335275684646064,16.273,2.41971405689469,48.353,62.932,93.7865763501217,51.6031777067189,7.96173231885454,3.00170149924556,37.068,9935.0,5.94,44.926,162.232
