country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Costa Rica,1961,6.651,1396138.0,1550.0,5.58166862514689,44.999,1.8792765563641,9.926,50.9885308574549,45.9597281786357,27.3207990599295,3.05174096390936,65.671,3.52067828974524,96.1226066557096,34.329,3.63482787677081,122.004,60.901
Costa Rica,1962,6.543,1447037.0,1575.0,5.58166862514689,44.094,5.44239137528237,9.716,50.8870709985056,46.0556136243878,27.614571092832,3.05731537710667,65.596,3.46648100371552,96.5135023188544,34.404,3.58081641449101,119.672,61.111
Costa Rica,1963,6.389,1498647.0,1582.0,5.58166862514689,42.961,6.89892344200918,9.36,50.8678998015876,46.0676683927797,27.8104191147669,3.06443180563262,65.394,3.19606640214361,96.5876982409193,34.606,3.5044683593811,116.904,61.624
Costa Rica,1964,6.193,1550661.0,1575.0,5.58166862514689,41.628,3.65904831414015,9.019,50.9324891344758,45.9915977793993,29.0834312573443,3.07591308612486,64.803,2.50403531048053,96.3383937502374,35.197,3.41185905780376,113.866,62.083
Costa Rica,1965,5.96,1602736.0,1570.0,5.58166862514689,40.121,8.1905275942481,8.626,51.0400181190108,45.8659611233662,30.4543674108891,3.09402075762298,64.209,2.38224499163135,95.9246342158117,35.791,3.30308772209251,110.27,62.663
Costa Rica,1966,5.697,1654619.0,1563.0,5.58166862514689,38.532,6.96931903096743,8.192,51.194836998729,45.6841726101296,32.021151586369,3.1209903911414,63.61,2.24855313443301,95.3321945178667,36.39,3.18586019855954,107.601,63.367
Costa Rica,1967,5.416,1706062.0,1560.0,5.58166862514689,36.91,5.65012592038407,7.829,51.4376533319578,45.4055143967553,32.0407363885625,3.15683227128682,63.007,2.10918485711564,94.4101700400429,36.993,3.06170198844071,104.799,63.921
Costa Rica,1968,5.028,1756333.0,1584.0,5.58166862514689,34.717,8.47330434699462,7.477,51.7824922722513,45.0152106690474,33.6075205640423,3.20229705870128,62.399,1.93439822366978,93.1154635706612,37.601,2.90403220393468,102.501,64.428
Costa Rica,1969,4.835,1805968.0,1709.0,5.58166862514689,33.837,5.4917999425584,7.15,52.2087732980946,44.5359927374149,35.0567959263611,3.25523396449052,61.788,1.80291943061178,91.5386361274147,38.212,2.78686233527351,102.45,65.016
Costa Rica,1970,4.585,1855697.0,1917.0,5.58166862514689,32.64,7.50313434335064,6.943,52.6936906473172,43.9945626913869,36.349392871132,3.31174666129582,61.173,1.71603521184329,89.7760869676377,38.827,2.71636306038062,102.201,65.361
Costa Rica,1971,4.362,1905486.0,2177.0,5.58166862514689,31.638,6.77850542642193,6.529,53.2426897914758,43.3827905321792,36.9565217391304,3.37451967634504,60.555,1.6322395985103,87.8192112225144,39.445,2.64767274255807,101.109,66.301
Costa Rica,1972,4.158,1955547.0,2420.0,5.58166862514689,30.748,8.17804513351518,6.335,53.8552246877153,42.7029259069391,36.9565217391304,3.44184940534556,59.932,1.55910745245835,85.6830465150727,40.068,2.59328555465073,99.349,66.716
Costa Rica,1973,3.991,2006247.0,2631.0,5.54249902075989,30.137,7.70891581191246,5.874,54.5242050145857,41.960077208819,40.1096748922836,3.51571777659536,59.345,1.57532764396895,83.4048213257275,40.655,2.55958628696517,99.057,67.953
Costa Rica,1974,3.893,2058235.0,2851.0,5.54249902075989,29.935,5.54489999097112,5.706,55.2223494347464,41.1820464665001,40.1096748922836,3.59560409875352,58.998,1.97185177065226,81.0860579655571,41.002,2.55830068574315,99.112,68.454
Costa Rica,1975,3.804,2111850.0,3081.0,5.54249902075989,29.778,2.10007104948492,5.402,55.9263678765064,40.3968558372991,41.5589502546024,3.67677628619457,58.651,1.98168851893508,78.8065340141785,41.349,2.57155211691094,98.914,69.4
Costa Rica,1976,3.747,2167544.0,3281.0,5.54249902075989,29.865,5.51756440295588,5.134,56.6129092159354,39.6249996251519,43.1844888366628,3.76209115891277,58.302,2.00626708218937,76.6381172022068,41.698,2.60303887566708,100.166,70.294
Costa Rica,1977,3.701,2225630.0,3440.0,5.54249902075989,29.962,8.90447443155173,4.849,57.2577106836515,38.8896714390243,44.7904426165296,3.85261787732415,57.954,2.0458395425882,74.6489372971997,42.046,2.6445292256157,100.187,71.288
Costa Rica,1978,3.662,2286210.0,3532.0,5.54249902075989,30.106,6.2676868244256,4.587,57.8441394272617,38.2095914198608,46.2201331766549,3.94626915287747,57.604,2.07972080545622,72.8783504406256,42.396,2.68554030631481,101.131,72.239
Costa Rica,1979,3.651,2349258.0,3618.0,5.54249902075989,30.397,4.93912395498313,4.577,58.3576601633367,37.6104710508595,47.8456717587152,4.03186878580386,57.253,2.10926880081902,71.3571101379167,42.747,2.72041089468848,101.709,72.423
Costa Rica,1980,3.59,2414303.0,3681.0,5.54249902075989,30.223,0.751895403326316,4.462,58.7968453006934,37.0965450484053,49.2753623188406,4.10660965090132,56.901,2.1144063524421,70.0771520794852,43.099,2.73110989940276,99.665,72.899
Costa Rica,1981,3.559,2481334.0,3744.0,5.54249902075989,30.212,-2.26165550729665,4.219,59.1588518194544,36.6628521869986,50.9009009009009,4.17829599354702,56.55,2.11973768466972,69.0363770999824,43.45,2.73856861732179,97.981,73.799
Costa Rica,1982,3.541,2550780.0,3776.0,5.54249902075989,30.242,-7.28556884666179,4.005,59.4324677157575,36.3177929888113,52.4676850763807,4.2497392954312,56.197,2.13414307584791,68.2581888678759,43.803,2.76028759661915,96.645,74.654
Costa Rica,1983,3.528,2622532.0,3769.0,5.54249902075989,30.275,2.86299270239464,3.927,59.5943424914658,36.0853869303812,52.5264394829612,4.32027057815299,55.844,2.14398259976836,67.8011313721262,44.156,2.77410685602989,98.278,75.079
Costa Rica,1984,3.52,2696200.0,3709.0,5.54249902075989,30.241,8.02410790730326,3.975,59.6656590757362,35.9454046435724,53.8190364277321,4.38893628069134,55.458,2.07671125426774,67.600585564165,44.542,2.7703110963721,98.928,75.091
Costa Rica,1985,3.513,2771463.0,3631.0,5.58166862514689,30.147,0.721601729268301,4.014,59.6780472984846,35.8665621731194,52.5068546807677,4.45539052839601,54.555,1.11153230825803,67.5658043900832,45.445,2.75319653423939,98.865,75.111
