country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Cyprus,1976,0.600689675744346,-3.83189102507223,648868.0,27.2304998859552,20.2662921874613,9.182,9.6212172583638,71.04,50.437,58.3574334531628,63.148282855681,19.2532467532468,12.3376623376623,49.563,1018.0,2.327,19.278,28.616
Cyprus,1977,1.15623812596797,-3.46984274589919,656414.0,26.54361424345,16.3620009498824,9.114,9.66516558147754,71.302,48.157,56.7613329703344,63.7912201750724,19.0584415584416,12.1212121212121,51.843,2019.0,2.089,17.53,25.468
Cyprus,1978,1.14528107184778,-3.69629043633836,663975.0,25.9268797771,7.77740336119727,8.906,9.69396438118905,71.767,45.881,55.3297259866982,64.3791558417109,18.8636363636364,11.9047619047619,54.119,1739.0,2.079,17.727,28.43
Cyprus,1979,1.14348057009352,-3.905397175895,671611.0,25.4130184087354,9.90556938224569,8.948,9.71120910110846,71.895,43.622,54.1409138584343,64.8757724901561,18.6688311688312,11.6883116883117,56.378,1285.0,2.136,18.469,31.611
Cyprus,1980,1.14232983393901,-4.11961073402585,679327.0,25.0176093268711,5.75324470168211,9.03,9.71983321740987,71.95,41.386,53.2270506556955,65.2625574557191,18.5606060606061,11.6017316017316,58.614,301.0,2.298,20.013,32.167
Cyprus,1981,1.14791120983013,-4.30146881193528,687170.0,24.7401661888616,2.51699844098682,9.15,9.72183011481875,71.941,39.191,52.5832781920161,65.5380036963197,19.0367965367965,11.9480519480519,60.809,1353.0,2.154,18.728,35.421
Cyprus,1982,1.30940422806958,-4.34620078090081,696227.0,24.6848369856383,6.02170898516665,9.275,9.7029417129758,71.981,37.036,52.4106302401436,65.6122213013859,19.6969696969697,12.4458874458874,62.964,1768.0,2.467,21.373,41.509
Cyprus,1983,1.60293635705018,-0.741139151878176,707477.0,24.8804554777046,5.58218170195923,9.121,9.65543756192781,72.311,36.178,52.7556283912312,65.4641069603676,19.8051948051948,12.5541125541126,63.822,3604.0,2.499,21.458,42.712
Cyprus,1984,1.7098769599148,0.514009716696276,719678.0,25.0983598926465,8.75789438287178,9.218,9.601231661082,72.255,35.748,53.1382925526595,65.3004084462715,19.6969696969697,12.4458874458874,64.252,3380.0,2.516,21.345,41.373
Cyprus,1985,1.65175024334007,0.452970284387633,731664.0,25.1996134837849,4.88254077286288,8.969,9.55705077740602,72.647,35.322,53.272149856922,65.2433357388091,17.6190476190476,11.1255411255411,64.678,3567.0,2.434,20.363,37.209
Cyprus,1986,1.59747416196886,0.39004772497731,743446.0,25.2069586808986,3.70395028878794,9.069,9.52860700616252,72.651,34.898,53.2227548711269,65.2644343129389,17.6623376623377,11.1688311688312,65.102,3342.0,2.457,20.306,36.953
Cyprus,1987,1.54494296244591,0.328235654457077,755021.0,25.1504758473765,7.06525081320717,8.797,9.5209209274173,73.089,34.476,53.0722054962544,65.3286032252062,17.5757575757576,11.1904761904762,65.524,3374.0,2.389,19.553,35.072
Cyprus,1988,1.49743207223701,0.268941641435172,766412.0,25.0602808933054,8.64677784441103,8.866,9.53984279995616,73.129,34.055,52.9056405018036,65.3998763067384,17.4675324675325,11.1904761904762,65.945,2723.0,2.477,20.073,27.782
Cyprus,1989,1.448208087335,0.21891561359035,777592.0,24.9520796561181,7.94742553168615,8.714,9.58657651662021,73.48,33.639,52.7617666819902,65.4613438272617,17.4675324675325,11.2987012987013,66.361,2987.0,2.371,19.105,25.688
Cyprus,1990,1.39304413756299,0.151658434744889,788500.0,24.8226379201015,7.40399950659013,8.835,9.65821179454661,73.539,33.224,52.627279730865,65.5191502853519,17.3809523809524,11.4285714285714,66.776,2551.0,2.405,19.265,35.111
Cyprus,1991,1.33048818808073,0.0827993079952492,799061.0,24.6586459973932,0.739501202042675,8.881,9.74976237719171,73.716,32.812,52.4587067391441,65.5915916254151,17.2294372294372,11.4935064935065,67.188,2565.0,2.336,18.649,33.394
Cyprus,1992,1.41289166336657,0.155492576833518,810431.0,24.5277512829593,9.39999901631703,8.715,9.83094180750736,74.177,32.402,52.3430524251988,65.6413069095333,17.2727272727273,11.6450216450216,67.598,3587.0,2.461,19.579,32.158
Cyprus,1993,1.90116193072313,1.30073907021254,825986.0,24.6107831190741,0.700000488145378,8.508,9.81318679323063,74.65,32.208,52.4948813715155,65.5760300876952,17.1753246753247,11.7640692640693,67.792,11094.0,2.247,17.812,25.787
Cyprus,1994,2.2100598397478,1.82732739902415,844444.0,24.7220656431924,5.89999870094493,8.425,9.73439328125962,74.72,32.085,52.5702918634526,65.5435410755479,15.5194805194805,10.7575757575758,67.915,11017.0,2.167,16.981,21.583
Cyprus,1995,2.10616492997985,1.72200396223638,862418.0,24.605773885618,8.36246930466569,8.078,9.68944855594883,75.133,31.962,52.196064590135,65.7047775584331,15.487012987013,10.7251082251082,68.038,11179.0,2.033,15.763,18.077
Cyprus,1996,2.02477424691791,1.63933378612227,880058.0,24.3125883108907,1.24858157644654,7.805,9.67998150122975,75.522,31.839,51.4980099982097,66.0074301878796,15.4978354978355,10.7142857142857,68.161,11197.0,1.953,15.049,15.003
Cyprus,1997,1.95929934714224,1.57530968409895,897471.0,23.892930185449,2.64089463952175,7.624,9.70655859997627,75.841,31.717,50.6013340604942,66.4005112145747,15.3896103896104,10.6168831168831,68.283,11382.0,1.858,14.258,11.004
Cyprus,1998,1.89716036586914,1.51178359245519,914660.0,23.3912054752586,6.11084674642566,7.463,9.76346401941705,76.182,31.595,49.5989584696308,66.8453305053244,15.6060606060606,10.8333333333333,68.405,11566.0,1.764,13.531,11.994
Cyprus,1999,1.83511264888196,1.44800868699144,931600.0,22.8391477028768,4.99796042248005,7.509,9.84328037784457,76.295,31.473,48.5497424776362,67.3175719192786,15.6060606060606,10.9415584415584,68.527,11839.0,1.674,12.872,9.925
Cyprus,2000,1.77009330000432,1.38496658221308,948237.0,22.2571876771378,5.96531031488554,7.458,9.93922935973319,76.568,31.352,47.4847536080406,67.803582963129,15.3138528138528,10.6493506493506,68.648,11577.0,1.637,12.655,10.351
Cyprus,2001,1.73474490066302,1.34812780509853,964830.0,21.7054299721194,3.95256054086292,7.316,10.0369495144222,76.989,31.231,46.5036366673247,68.2576205134583,15.1515151515152,10.6060606060606,68.769,12052.0,1.563,12.182,8.942
Cyprus,2002,1.78369248341346,2.02368226100876,982194.0,21.3003127181022,3.72295649883057,7.113,10.0906694142555,77.487,31.306,45.753360420494,68.6090178676423,15.1515151515152,10.8225108225108,68.694,13449.0,1.498,11.786,8.121
Cyprus,2003,1.83163728954308,2.28088580576599,1000350.0,20.9398710451342,2.6232861229859,6.952,10.1257559854051,77.788,31.447,45.0655104156848,68.9343729694607,16.6666666666667,12.1212121212121,68.553,13326.0,1.509,11.949,7.79
Cyprus,2004,1.81616594339173,2.26980337668709,1018684.0,20.4680644497879,5.02634392575987,6.916,10.1972691250333,77.944,31.59,44.2280274273999,69.3346664251788,16.8831168831169,12.2294372294372,68.41,13126.0,1.517,12.111,8.235
Cyprus,2005,1.78801171115289,2.23674714915111,1037062.0,19.9049429566135,4.85300383835666,6.889,10.3029087474562,78.101,31.732,43.2827015645465,69.7921482959304,18.0735930735931,13.3116883116883,68.268,13237.0,1.48,11.882,7.277
Cyprus,2006,1.75641313375661,2.20594307632225,1055438.0,19.2836528531283,4.71382866563106,6.796,10.4416839264836,78.371,31.875,42.2987575923042,70.2746632203881,16.991341991342,12.4458874458874,68.125,12664.0,1.515,12.243,6.817
Cyprus,2007,1.73158929128947,2.17927225466773,1073873.0,18.6454077903067,5.09806845261184,6.598,10.6141508353409,78.81,32.018,41.3618933658741,70.7404413743525,15.9307359307359,11.8831168831169,67.982,12912.0,1.451,11.821,5.922
Cyprus,2008,1.70962168593317,2.15528002346559,1092390.0,18.0286344620511,3.6468119905756,6.599,10.8162835617316,78.981,32.161,40.5380996306403,71.1550819762173,12.5108225108225,8.91774891774892,67.839,12489.0,1.48,12.167,6.257
Cyprus,2009,1.68691516238933,2.13349235381274,1110974.0,17.4610296910639,-2.01526235906867,6.443,11.0408524411912,79.401,32.305,39.8638594229573,71.4981178677449,13.8095238095238,9.40476190476191,67.695,12173.0,1.481,12.286,6.116
Cyprus,2010,1.67026099599159,2.11511568119454,1129686.0,16.9597202053138,2.28354499702917,6.412,11.2860614746317,79.665,32.449,39.3646904688766,71.7542183200546,12.3917748917749,8.93939393939394,67.551,12456.0,1.438,12.045,6.133
Cyprus,2011,1.35400253526204,1.79972173123887,1145086.0,16.6185334551291,0.416712762832276,6.354,11.5404869153933,79.999,32.594,39.1963201445102,71.8409796294776,12.5865800865801,9.09090909090909,67.406,6134.0,1.36,11.507,5.98
Cyprus,2012,0.996688012391421,1.44069183882021,1156556.0,16.4425603072569,-3.44738142393619,6.439,11.8041358117827,80.109,32.739,39.3663080951526,71.7533038809604,12.6515151515152,9.28571428571429,67.261,4789.0,1.386,11.762,6.033
Cyprus,2013,0.8962308711661,1.2743137699743,1166968.0,16.3060956658213,-6.58748225683094,6.399,12.0906862524567,80.402,32.863,39.6584676401141,71.603218081722,11.7781385281385,8.62878787878788,67.137,4426.0,1.305,11.088,5.364
Cyprus,2014,0.855564798922502,1.17739298590926,1176995.0,16.1900008071402,-1.77606191187711,6.317,12.3954222405363,80.771,32.969,40.0274345484959,71.4145769523235,11.7943722943723,8.67748917748918,67.031,4467.0,1.315,11.163,5.293
Cyprus,2015,0.870039642466962,1.12776936592252,1187280.0,16.1165858095816,3.41892318781653,6.358,12.70210059969,80.966,33.054,40.4862256573607,71.1813135907284,13.7099567099567,10.6471861471861,66.946,4655.0,1.326,11.208,5.446
Cyprus,2016,0.888918593369278,1.08520141992918,1197881.0,16.0848548040854,6.57358020185954,6.462,12.9978215708315,81.056,33.119,41.0091759318662,70.9173236250831,11.8387445887446,8.83116883116883,66.881,4878.0,1.36,11.419,6.04
Cyprus,2017,0.884479029885329,1.02042085594901,1208523.0,16.0669676952776,5.73347613913472,6.453,13.2857628692214,81.328,33.164,41.5483703214381,70.647269435501,13.1406926406926,10.2088744588745,66.836,5014.0,1.322,10.994,6.608
Cyprus,2018,0.849324982193926,0.927582474205914,1218831.0,16.0419287005335,5.647664895964,6.612,13.5705852575131,81.382,33.19,42.0706745743113,70.3874860419533,14.3340800865801,11.3165584415584,66.81,4977.0,1.32,10.843,7.142
