Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Denmark,1961,2.55,4611687.0,-400.0,70.175,16.6,6.37883247557384,9.4,64.5364277455795,24.6757729708499,79.0,10.7877992835705,25.583,-2.11535793786306,54.9512502108381,74.417,0.698142052204406,39.669,72.4382926829268
Denmark,1962,2.55,4647727.0,152.0,69.325,16.7,5.66682217271806,9.8,64.8071473179747,24.2282249796034,78.525,10.9646277024219,24.907,-1.8995042362952,54.3039827573099,75.093,0.778454921649097,41.065,72.319756097561
Denmark,1963,2.67,4684483.0,545.0,68.6,17.6,0.637021234202393,9.8,64.9335093996512,23.9420211706858,77.2,11.1244694296631,24.243,-1.91435718304317,54.0036997842395,75.757,0.787727452841454,41.989,72.4004878048781
Denmark,1964,2.6,4722072.0,1060.0,68.15,17.7,9.26993821451785,9.9,64.9096924523261,23.8146687278436,76.7,11.2756388198303,23.591,-1.92703204359145,54.0602176385493,76.409,0.799212891013953,49.532,72.4851219512195
Denmark,1965,2.61,4759012.0,1584.0,67.325,18.0,4.55525481407115,10.1,64.8167944347936,23.7656915641499,75.825,11.4175140010565,22.952,-1.96681999307019,54.2810033848369,77.048,0.779239735049149,52.259,72.3707317073171
Denmark,1966,2.62,4797381.0,2089.0,67.15,18.4,2.74091010903234,10.3,64.6612576132573,23.7908282519213,75.675,11.5479141348214,22.381,-1.71620886402318,54.6521055290265,77.619,0.803006033242491,54.863,72.4441463414634
Denmark,1967,2.35,4835354.0,2561.0,67.125,16.8,5.53036999476784,9.9,64.4966146510131,23.80754211636,75.575,11.6958432326269,21.837,-1.67227945882893,55.0468794089731,78.163,0.788419835109815,51.094,72.9221951219512
Denmark,1968,2.12,4864883.0,2961.0,67.35,15.3,5.55307664176483,9.7,64.4145201853676,23.6991996686754,75.425,11.886280145957,21.302,-1.87166139960849,55.244502409459,78.698,0.608832365935992,45.352,73.1214634146341
Denmark,1969,2.0,4891860.0,3337.0,66.95,14.6,6.50924840676991,9.8,64.3877228610112,23.5207224768323,74.775,12.0915546621565,20.778,-1.93756097875594,55.3091238466967,79.222,0.552993324651806,39.208,73.2209756097561
Denmark,1970,1.95,4928757.0,3763.0,66.525,14.4,1.59684174683761,9.8,64.36007498329,23.3346946407382,74.375,12.3052303759717,20.263,-1.75842994096012,55.375814273717,79.737,0.751422718375473,33.173,73.3434146341463
Denmark,1971,2.04,4963126.0,4087.0,66.175,15.2,3.00499557421739,9.8,64.3043255798032,23.1751616408527,73.775,12.5205127793441,19.761,-1.81376112108464,55.5105193317886,80.239,0.694895770618858,29.466,73.4146341463415
Denmark,1972,2.03,4991596.0,4349.0,66.275,15.1,3.92938534116061,10.1,64.2115887576533,23.0620182079078,73.9,12.7263930344388,19.269,-1.94920806064271,55.7351327521705,80.731,0.571991415170235,28.286,73.4390243902439
Denmark,1973,1.92,5021861.0,4568.0,66.325,14.3,4.09294609206725,10.1,64.1107730912208,22.9481264254287,74.65,12.9411004833505,18.789,-1.91819832189291,55.980020835184,81.211,0.604488383151481,26.635,73.6821951219512
Denmark,1974,1.9,5045297.0,4635.0,66.025,14.1,-1.12239425036076,10.2,64.0101140889497,22.8187832796687,73.3,13.1711026313816,18.317,-2.07856264411643,56.2252980337514,81.683,0.465594010478141,26.014,73.8082926829268
Denmark,1975,1.92,5059862.0,4643.0,66.25,14.2,-1.45664493601456,10.1,63.9233502415137,22.6745963610591,73.425,13.4020533974272,17.854,-2.27190099174113,56.4373415680585,82.146,0.28826879589183,26.978,74.0751219512195
Denmark,1976,1.75,5072596.0,4527.0,66.425,12.9,5.92460618689674,10.6,63.916491247,22.4673262616778,73.325,13.6161824913222,17.4,-2.32437872867093,56.4541634217243,82.6,0.251350791765536,23.33,73.739756097561
Denmark,1977,1.66,5088419.0,4254.0,65.925,12.2,1.87029103033571,9.9,63.9846594388154,22.1708344632065,73.175,13.8445060979781,17.114,-1.34592761897316,56.2874407827489,82.886,0.311445515827576,21.619,74.6324390243903
Denmark,1978,1.67,5104248.0,3905.0,66.075,12.2,2.22630854042809,10.4,64.1307671077897,21.7905412679367,73.025,14.0786916242736,16.831,-1.35684029055206,55.9313837354696,83.169,0.310596092763269,19.631,74.3929268292683
Denmark,1979,1.6,5116801.0,3449.0,66.05,11.6,3.86911148264211,10.7,64.3791672823779,21.3485965251718,73.0,14.2722361924504,16.552,-1.42590847899824,55.3297447538883,83.448,0.245630488836795,17.3,74.2192682926829
