country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Dominica,1978,0.464666857367697,-1.01295182388556,72478.0,42.4491400898197,10.5357458037863,6.974,6.54952848085984,70.441,54.885,96.0719599621263,51.0013314293204,25.3333333333333,9.33333333333333,45.115,-745.0,3.108,21.586,80.314
Dominica,1979,0.399323059304812,-1.10716229162887,72768.0,41.6549857080035,-18.3592854898125,6.821,6.73098065083553,70.97,54.065,93.7431774008893,51.614033641161,25.3333333333333,9.33333333333333,45.935,-804.0,3.034,21.357,79.859
Dominica,1980,0.288172773628352,-1.24816188929485,72978.0,40.7848940776672,13.3831822716046,6.689,6.94592891008249,71.782,53.241,91.3173417223751,52.2691770122503,25.3333333333333,9.33333333333333,46.759,-923.0,2.995,21.401,79.782
Dominica,1981,-0.0630525687396057,-2.02268692275301,72932.0,39.6197828113859,10.8293309957692,6.329,7.18957384961334,73.232,52.207,88.0029902301962,53.1906433390007,25.3333333333333,9.33333333333333,47.793,-1382.0,2.961,21.741,80.485
Dominica,1982,-0.420451573651269,-3.79251980363948,72626.0,38.1839836972985,4.12768349609787,6.547,7.44154985817751,72.993,50.476,83.9098505950874,54.374466444524,25.3333333333333,8.0,49.524,-1541.0,2.961,22.524,85.919
Dominica,1983,-0.49277162414263,-3.98745180425601,72269.0,36.8352959083424,2.55631803655068,6.613,7.68102505915399,73.521,48.743,80.2309342111826,55.4836790325036,25.3333333333333,8.0,51.257,-1657.0,3.165,24.584,90.019
Dominica,1984,-0.461843336784793,-4.08208116825209,71936.0,35.7046541370107,4.19664682980896,7.488,7.89938278469751,72.022,47.01,77.320121274865,56.3959630782918,25.3333333333333,8.0,52.99,-1473.0,2.906,23.287,84.308
Dominica,1985,-0.47376283469177,-4.20030644997055,71596.0,34.7794204943048,1.42093321665327,8.097,8.10525801202589,71.255,45.29,75.0855913137044,57.1153214936693,25.3333333333333,8.0,54.71,-1501.0,2.934,23.852,83.231
Dominica,1986,-0.533573609770403,-4.38771924665852,71215.0,34.041522442761,7.07335649692142,8.212,8.30097803115939,71.322,43.578,73.4395168164438,57.6574995260797,25.3333333333333,8.0,56.422,-1561.0,2.959,24.398,87.142
Dominica,1987,-0.573148171997367,-4.54189118128611,70808.0,33.4849169585358,6.30756111568489,8.613,8.46443904643543,70.858,41.882,72.2654729466719,58.0506439950288,25.3333333333333,8.0,58.118,-1473.0,2.797,23.37,83.529
Dominica,1988,-0.582134004692951,-4.67673261344841,70397.0,33.1294879717031,7.81662301289541,8.55,8.6232980332829,71.364,40.202,71.6832504145937,58.247213995014,24.0,6.66666666666667,59.798,-1593.0,3.016,25.153,91.776
Dominica,1989,-0.601261321812926,-4.79866285697488,69975.0,33.0184567235207,-0.191136505618871,9.781,8.8032068825072,69.553,38.55,71.8865143699337,58.1783363939721,24.0,6.66666666666667,61.45,-1478.0,2.948,24.507,93.108
Dominica,1990,-0.708470150121304,-5.02499873022705,69481.0,33.1325604657355,5.41798356640612,9.915,9.01534940955506,69.852,36.921,72.8555080107473,57.8520901247095,24.0,6.66666666666667,63.079,-1553.0,2.96,24.243,91.477
Dominica,1991,-0.490543610384084,-4.36228571036069,69141.0,33.1973792684514,1.34776499973981,10.32,9.12989398475579,69.646,35.518,73.3925168020865,57.6727267467928,24.0,5.33333333333333,64.482,-1131.0,3.067,24.603,88.766
Dominica,1992,-0.0419520739880314,-0.289530225703248,69112.0,33.0220006800605,2.02942082563156,10.008,9.07157274838485,70.282,35.431,72.6936531734133,57.9064265715547,24.0,5.33333333333333,64.569,-1049.0,3.281,26.137,90.066
Dominica,1993,0.0824408316809042,-0.163485547509602,69169.0,32.7625092165566,2.16141410328994,9.655,9.01053940349,70.937,35.344,71.7417752948479,58.2269513799534,24.0,5.33333333333333,64.656,-1014.0,3.102,24.833,84.307
Dominica,1994,0.0419175098464654,-0.208832457198251,69198.0,32.5007044950396,0.0344814846742167,9.548,8.99802741388903,71.076,35.256,70.9352304728027,58.5012680910713,24.0,5.33333333333333,64.744,-926.0,2.874,23.008,74.741
Dominica,1995,0.0043352914406372,-0.24213583742555,69201.0,32.2061819915897,3.03086260171609,9.281,9.0403317871129,71.52,35.169,70.2026661419647,58.7534862212974,22.6666666666667,4.0,64.831,-851.0,2.673,21.287,62.072
Dominica,1996,-0.0505900984287828,-0.296284320277487,69166.0,31.8788719972819,3.10420226303275,9.394,9.12869669565469,71.194,35.082,69.5120456829155,58.9924313070634,22.6666666666667,4.0,64.918,-784.0,2.519,19.881,59.427
Dominica,1997,-0.122968325838322,-0.371594151782154,69081.0,31.5115588946309,2.18562770161429,9.255,9.23915403656577,71.634,34.995,68.7784021500122,59.2492870688033,22.6666666666667,4.0,65.005,-763.0,2.392,18.688,61.651
Dominica,1998,-0.207217920966369,-0.456053858428536,68938.0,31.0771998027213,3.77422683919843,9.406,9.40047578984015,71.472,34.908,68.0045815665058,59.5223244074386,22.6666666666667,4.0,65.092,-778.0,2.333,18.012,59.445
Dominica,1999,-0.348746321090346,-0.600176852642207,68698.0,30.5782597620001,0.354079012075843,10.1,9.60296954037629,70.631,34.821,67.1728232832044,59.8187706976236,25.3333333333333,5.33333333333333,65.179,-945.0,2.554,19.46,64.542
Dominica,2000,-0.513704757719484,-0.759534504712857,68346.0,30.0068767740614,2.3402193206939,9.141,9.85646563076113,72.693,34.735,66.2903578988346,60.1366575951775,28.0,6.66666666666667,65.265,-994.0,2.351,17.709,59.459
Dominica,2001,-0.282786142924393,-0.621133131694576,68153.0,29.387036425663,-0.0638447296175713,9.951,10.0561241333774,71.713,34.618,65.1353250466429,60.5568394409596,29.3333333333333,6.66666666666667,65.382,-603.0,2.542,18.854,62.726
Dominica,2002,0.159806506904842,-0.731700205831268,68262.0,28.7766253552489,-2.82799889265104,9.61,10.1256921859893,72.34,34.311,63.6742914688534,61.0976824587618,29.3333333333333,6.66666666666667,65.689,-278.0,2.276,16.867,56.67
Dominica,2003,0.263342848818132,-0.629619812037841,68442.0,28.1857033276108,6.35313712169359,10.193,10.164006282646,71.438,34.006,62.2040526128688,61.6502903897432,29.3333333333333,6.66666666666667,65.994,-259.0,2.169,16.128,54.04
Dominica,2004,0.192678286970014,-0.70714333995958,68574.0,27.5964651325575,3.0506902946631,9.728,10.2225333216671,72.401,33.701,60.8208255159475,62.1810015457754,29.3333333333333,6.66666666666667,66.299,-304.0,2.125,15.813,53.232
Dominica,2005,0.145721639216111,-0.755769570522062,68674.0,26.9849359651103,0.655862268923528,9.837,10.3001885734672,72.254,33.399,59.4534351854002,62.7148754614225,29.3333333333333,6.66666666666667,66.601,-314.0,2.105,15.615,51.08
Dominica,2006,0.0989695603866779,-0.805467496023838,68742.0,26.3288819062582,4.65945548635737,9.544,10.4259404730732,72.848,33.097,58.1148219707425,63.2451776206686,29.3333333333333,6.66666666666667,66.903,-390.0,2.158,15.947,51.981
Dominica,2007,0.0479940671094341,-0.865194767589464,68775.0,25.6110505270811,6.3529724394503,10.477,10.5910577971647,71.93,32.797,56.7449916812909,63.7978916757543,29.3333333333333,6.66666666666667,67.203,-332.0,2.094,15.45,50.561
Dominica,2008,0.0101775991131422,-0.904056570523549,68782.0,24.884417434794,7.12105798575789,9.845,10.7673519234684,73.305,32.498,55.4044283777677,64.3482306417377,29.3333333333333,6.66666666666667,67.502,-347.0,2.027,14.902,48.688
Dominica,2009,0.0072690795196722,-0.912304374855551,68787.0,24.2111460824435,-1.16959064327486,10.906,10.9636338525728,72.17,32.201,54.2620708214662,64.8252200649837,30.6666666666667,8.0,67.799,-228.0,1.96,14.378,46.926
Dominica,2010,-0.0465312422058471,-0.966278754759421,68755.0,23.5997382008581,0.672634400445048,11.573,11.1788233583012,71.55,31.906,53.3238186562005,65.2214384408407,33.3333333333333,8.0,68.094,-243.0,1.915,14.009,45.981
Dominica,2011,-0.0189095035364085,-0.948091467521217,68742.0,23.0928689883914,-0.22355068823471,12.998,11.1431148351808,69.695,31.611,52.0593700230048,65.7640161764278,33.3333333333333,8.0,68.389,0.0,1.871,13.679,45.573
Dominica,2012,0.212163125432016,-0.729761679335774,68888.0,22.7040797810955,-1.05900024335187,12.186,10.8153029896137,70.538,31.315,50.4181496604581,66.4806172292908,33.3333333333333,8.0,68.685,158.0,1.824,13.516,44.585
Dominica,2013,-0.100212778979274,-1.05318089832074,68819.0,22.2549169191424,-0.99994063117542,12.569,10.7100561622238,68.896,31.018,49.1773784492663,67.0350269186338,33.3333333333333,8.0,68.982,-445.0,1.772,13.369,43.492
