Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Estonia,1992,1.71,1533091.0,-38462.0,26.3033734371314,11.8,-21.1686562081088,13.1,65.968430547887,21.8120316298268,32.41330502477,12.2195378222862,29.14,-1.18380654523819,51.5876704147699,70.86,-1.82418155532121,49.861,68.8634146341464
Estonia,1993,1.49,1494128.0,-25729.0,25.1474404340646,10.2,-5.74049422033947,14.2,65.8685932364664,21.4338866638018,31.1394196744515,12.6975200997318,29.326,-1.93810867189403,51.8174363747395,70.674,-2.57431997803655,43.736,67.909756097561
Estonia,1994,1.42,1462514.0,-18299.0,22.3873555083746,9.7,-1.64242462249852,15.2,65.8156962636043,21.0719191286735,25.9731068648266,13.1123846077222,29.513,-1.50290251190301,51.9394035097926,70.487,-2.13858863504971,40.23,66.5
Estonia,1995,1.38,1436634.0,-12803.0,20.618070299599,9.4,4.52668179218793,14.5,65.7879919464473,20.7006246665864,23.378155225289,13.5113833869663,29.7,-1.15390556030067,52.0033688380366,70.3,-1.78539953576165,37.557,67.5439024390244
Estonia,1996,1.37,1415594.0,-10627.0,20.8539749941024,9.4,4.94301449126702,13.4,65.8188294172179,20.2610007876376,23.7084217975938,13.9201697951445,29.889,-0.84092156160046,51.9322720067144,70.111,-1.47536463752721,34.911,69.6121951219512
Estonia,1997,1.32,1399535.0,-4299.0,20.9483368719037,9.0,13.0500147441833,13.3,65.9237490239115,19.7630303414023,24.1330502476999,14.3132206346861,30.077,-0.513954771250409,51.6905008096455,69.923,-1.14091924023266,30.702,69.809756097561
Estonia,1998,1.28,1386156.0,-3534.0,20.9247464024534,8.8,4.33982551026151,14.0,66.1878125339927,19.206475018717,24.6048596367068,14.6057124472902,30.267,-0.330761313633236,51.085271824787,69.733,-0.960559004588775,27.14,69.3585365853659
Estonia,1999,1.3,1390244.0,1271.0,20.2642132578438,9.0,-0.425025156762118,13.4,66.8342003928041,18.3886552069703,23.6140599197924,14.7771444002256,30.457,0.920318486025689,49.623960618108,69.543,0.294482275915173,26.11,70.0634146341463
Estonia,2000,1.36,1396985.0,-3230.0,19.8867657466384,9.4,10.0876344406951,13.2,67.3822990078221,17.6344866564797,23.2602028780373,14.9832143356983,30.632,1.05644835682051,48.4068665205599,69.368,0.483707161729931,26.095,70.4170731707317
Estonia,2001,1.32,1388115.0,-3422.0,15.9707478178816,9.1,6.00367425106573,13.3,67.5697201970181,17.1556515533743,20.9955178108044,15.2746282496076,30.758,-0.226464629821467,47.9952449237429,69.242,-0.63696312445507,24.47,70.2585365853659
Estonia,2002,1.36,1379350.0,-2984.0,14.4751120547299,9.4,6.7713679304362,13.3,67.7175110930657,16.6497853890548,16.4708657702288,15.6327035178794,30.884,-0.224631200001965,47.6723682928631,69.116,-0.633433796423808,23.131,70.9048780487805
Estonia,2003,1.37,1370720.0,-3780.0,12.8568058504364,9.5,7.60026518508707,13.2,67.8715115814602,16.117412006839,19.5494220334985,16.0110764117008,31.011,-0.217138000791143,47.3372831947442,68.989,-0.627622448059203,22.042,71.3170731707317
Estonia,2004,1.47,1362550.0,-3768.0,12.2505307855626,10.3,6.80400777050136,13.0,68.0135972588232,15.6130307920003,18.1740976645435,16.3733719491765,31.138,-0.189086940937544,47.0293584139313,68.862,-0.597820510395586,22.436,71.909756097561
Estonia,2005,1.52,1354775.0,-5242.0,13.9608398207124,10.6,9.52642697162088,12.8,68.0830716444397,15.2078894956823,20.8044350082567,16.709038859878,31.265,-0.165361231583874,46.8794586132276,68.735,-0.572255524659659,22.504,72.5682926829268
Estonia,2006,1.58,1346810.0,-5403.0,13.1894314696862,11.0,9.76558336997708,12.9,67.9726028516172,14.9597593244868,21.1960368011323,17.0676378238959,31.393,-0.18100750002758,47.1181763961803,68.607,-0.589655559840225,23.587,72.6914634146341
Estonia,2007,1.69,1340680.0,-2862.0,14.13776834159,11.8,7.57914052046765,13.0,67.7838866844028,14.8548253006454,21.5758433592828,17.3612880149518,31.521,-0.0492074767440374,47.5276886763905,68.479,-0.456188535090031,25.84,72.8146341463415
Estonia,2008,1.72,1337090.0,-1973.0,14.1023826374145,12.0,-5.13200095768519,12.5,67.6763317579287,14.8880600084816,21.3918376975702,17.4356082335897,31.649,0.137152823909832,47.7622216107319,68.351,-0.268133719541207,25.163,73.7707317073171
Estonia,2009,1.7,1334515.0,-1939.0,14.069355980184,11.8,-14.6290550324223,12.1,67.5330626056769,15.0358004168442,21.9815994338287,17.4311369774789,31.777,0.210800968004692,48.0755937104364,68.223,-0.192768077420229,22.74,74.8243902439024
Estonia,2010,1.72,1331475.0,-3759.0,15.2158527954706,11.9,2.44426511799784,11.9,67.3217752443608,15.2355364297596,22.3826374144845,17.4426883258795,31.906,0.176937195776651,48.5402840112319,68.094,-0.22805796852935,19.482,75.4292682926829
Estonia,2011,1.61,1327439.0,-3929.0,14.9186128803963,11.1,7.26308458128695,11.5,66.994317586854,15.4325768082511,22.3165841000236,17.5731056048949,32.035,0.0999923618573363,49.2663404958232,67.965,-0.303582823643979,17.428,76.2292682926829
Estonia,2012,1.56,1322696.0,-3646.0,14.6378862939372,10.6,3.22820049358981,11.7,66.5450954953647,15.5912759075878,22.550129747582,17.8636285970475,32.026,-0.38593348029904,50.2740888604607,67.974,-0.357944411443807,16.332,76.3268292682927
Estonia,2013,1.52,1317997.0,-2650.0,14.6767885898321,10.3,1.45842863615992,11.6,66.0621184743488,15.7388021000295,22.1992178513918,18.1990794256217,31.878,-0.819196814058272,51.3726359456849,68.122,-0.355891802625531,16.371,77.1414634146341
Estonia,2014,1.54,1314545.0,-562.0,15.0448585231194,10.3,3.01136658651455,11.8,65.5517273907096,15.8858782557363,22.4062571888659,18.5623943535541,31.731,-0.724501508331837,52.5512732286032,68.269,-0.262256175097854,15.38,77.0341463414634
Estonia,2015,1.58,1315407.0,4308.0,15.527950310559,10.6,1.85302004629342,11.6,65.0959014769257,16.0146015327958,22.8433402346446,18.8894969902784,31.584,-0.398762923664291,53.619510531651,68.416,0.0655525295417938,12.848,77.590243902439
Estonia,2016,1.6,1315790.0,1164.0,16.0110420979986,10.7,3.15556481438308,11.7,64.6624371972425,16.1519402124208,23.0733839429492,19.1856225903366,31.437,-0.437340810423905,54.6493861230669,68.563,0.0291122255540077,10.899,77.6414634146342
Estonia,2017,1.59,1317384.0,5329.0,15.8830409356725,10.5,5.79204467466494,11.8,64.2547883436549,16.2758334892416,22.9707602339181,19.4693781671035,31.283,-0.370082843234162,55.6303618978313,68.717,0.121070631466687,9.813,78.0926829268293
Estonia,2018,1.67,1321977.0,7229.0,15.9766081871345,10.9,3.78420084952826,11.9,63.9560639036114,16.3638323258184,23.0409356725146,19.6801037705702,31.12,-0.174374312565055,56.3573054014032,68.88,0.348039137980543,9.404,78.2439024390244
Estonia,2019,1.66,1326898.0,5410.0,16.140350877193,10.6,4.03368839094283,11.6,63.6632245409609,16.4345646339575,23.1204678362573,19.9022108250816,30.949,-0.179305476712157,57.0765650266471,69.051,0.371554389037477,8.687,78.6463414634147
Estonia,2020,1.58,1329522.0,2995.0,16.233918128655,9.9,-0.965410617081545,11.9,63.3530257761891,16.4657932188193,23.0409356725146,20.1811810049916,30.771,-0.379375620458648,57.8456164845445,69.229,0.197559185177642,8.829,78.5951219512195
Estonia,2021,1.61,1330932.0,2995.0,16.374269005848,10.0,7.2493263542448,14.0,63.1592435017359,16.4693561606411,23.0877192982456,20.371400337623,30.585,-0.500140106194366,58.3298735318645,69.415,0.105996956310127,8.764,76.9439024390244
