country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Finland,1961,0.705711483663754,-1.62726474420673,4461005.0,29.7760285516499,7.60467047924405,9.1,7.4435700679711,68.8441463414634,43.679,59.2853697212456,62.7804013803789,9.08007485472274,8.74848156538297,56.321,-10994.0,2.72,18.4,24.545
Finland,1962,0.679995399829919,-1.26419154644593,4491443.0,29.0620216679148,2.98194553610334,9.5,7.54392307329283,68.5778048780488,42.838,57.7434896400389,63.3940552587924,9.14376703109097,8.79575823237795,57.162,-6962.0,2.68,18.1,23.538
Finland,1963,0.706977468183943,-1.26384947217775,4523309.0,28.3659428194038,3.28509963570328,9.3,7.67479455924313,69.0126829268293,42.002,56.349524295084,63.9592626213531,9.21402541120851,8.84960110312223,57.998,-7591.0,2.68,18.2,26.251
Finland,1964,0.556315625077213,-1.44927921526204,4548543.0,27.7216355101259,5.23868659789332,9.3,7.86495948063469,69.2209756097561,41.168,55.2472105427167,64.4134050092394,9.27673265701435,8.89589283955481,58.832,-20338.0,2.59,17.7,29.43
Finland,1965,0.333374795369662,-1.69341718960677,4563732.0,27.1443057181449,5.30285780228287,9.7,8.04960627842606,68.9778048780488,40.342,54.3064658355356,64.806088003429,9.3289339768213,8.93167864998851,59.658,-21466.0,2.48,17.1,33.136
Finland,1966,0.374800826434961,-1.68385940825364,4580869.0,26.6385393557731,2.37282301528185,9.5,8.23152715649234,69.4770731707317,39.52,53.5392290374079,65.1299334877345,9.38770150037756,8.97403066417151,60.48,-11903.0,2.41,17.0,35.758
Finland,1967,0.541550205582204,-1.54224640270418,4605744.0,26.1505402250761,2.16882888287395,9.5,8.42022896144707,69.6665853658537,38.705,52.836881197729,65.4292308134768,9.43366492662267,9.00357858104337,61.295,-5024.0,2.32,16.8,36.73
Finland,1968,0.448972197973546,-1.66862526432561,4626469.0,25.6649239322916,2.30328998355671,9.7,8.60008621835284,69.6163414634146,37.894,52.1259801611793,65.7349898493556,9.47536032043074,9.01244295610493,62.106,-15787.0,2.14,15.9,36.029
Finland,1969,-0.0580308405654956,-2.19718844789233,4623785.0,25.1732604272514,9.59328778480027,9.9,8.8495213538111,69.5034146341464,37.092,51.5674554069713,65.9772182189375,9.07941823434781,8.57382054565153,62.908,-42127.0,1.93,14.6,33.761
Finland,1970,-0.378718237915962,-2.54808721361907,4606307.0,24.6152874308522,7.47043264445794,9.6,9.15837226461652,70.179512195122,36.296,50.9973319906418,66.2263403045312,8.94382612692472,8.44807774385239,63.704,-36633.0,1.83,14.0,31.701
Finland,1971,0.126203705860136,-2.15609347085224,4612124.0,24.0048074504859,2.35692135759953,9.9,9.42998735588923,70.0175609756098,35.477,50.2286267088373,66.5652051936249,8.87652253849437,8.38077415542204,64.523,11984.0,1.68,13.2,29.422
Finland,1972,0.595195266324646,-1.80965254088397,4639657.0,23.4021454660741,7.73548550195038,9.5,9.70200207723083,70.7073170731707,34.634,49.486103530646,66.8958524566951,8.58104336977576,8.08529498670344,65.366,12597.0,1.58,12.7,27.901
Finland,1973,0.567909197939041,-1.8607560233466,4666081.0,22.8655305946606,6.98382784475125,9.3,9.99727720759154,71.2236585365854,33.803,48.9487262647015,67.1371921977478,8.47729735053679,7.98811517121376,66.197,11639.0,1.49,12.2,26.013
Finland,1974,0.523542995771684,-1.93823957503786,4690574.0,22.4039115878306,3.23653304028531,9.5,10.3016026176742,71.1348780487805,32.981,48.6005693651635,67.2944857944952,8.55379362421616,8.02849732427197,67.019,5920.0,1.61,13.3,27.09
Finland,1975,0.443863075666863,-2.04897032100597,4711440.0,22.0112502356004,1.80489827726724,9.3,10.6161310260629,71.6736585365854,32.169,48.4282600360844,67.3726187383367,8.58137167996323,8.04950917626974,67.831,-3788.0,1.68,13.9,27.444
Finland,1976,0.30144863871956,-2.22640226507312,4725664.0,21.6645667205161,0.344382485474924,9.5,10.9267809370317,71.8129268292683,31.366,48.3489279254222,67.4086523424522,8.57513378640139,8.08266850520372,68.634,-12180.0,1.7,14.1,26.051
Finland,1977,0.279738313043981,-2.26792277768614,4738902.0,21.3373559228896,0.239510829311158,9.3,11.2397107373619,72.350243902439,30.577,48.3174741878754,67.4229333397485,8.52818542959388,7.94051019403132,69.423,-5676.0,1.68,13.9,23.642
Finland,1978,0.287122369568676,-2.29357541599864,4752528.0,20.9893527480852,2.91970741193541,9.2,11.524503408804,72.8970731707317,29.798,48.178560270982,67.4861438431109,8.48714665616074,7.91260382809679,70.202,-9666.0,1.64,13.5,20.808
Finland,1979,0.25557902782611,-2.35551452193154,4764690.0,20.6292386454804,7.12192637149123,9.2,11.7723067203896,73.1553658536586,29.03,47.9323670687646,67.59845463413,8.42936406316688,7.87780294822548,70.97,-6722.0,1.64,13.3,19.085
Finland,1980,0.311078415926419,-2.33120132689518,4779535.0,20.308194428694,5.38904788022778,9.3,11.9767197596025,73.44,28.273,47.6775903099245,67.7150858117034,8.32594635411537,7.77766834104862,71.727,-2259.0,1.63,13.2,18.31
Finland,1981,0.426515644912231,-2.44749599061826,4799964.0,20.0217068582443,1.3158788537492,9.3,12.1133290089066,73.7465853658537,27.472,47.3514302712453,67.8649641328491,8.2625824879346,7.72415378049181,72.528,5221.0,1.64,13.2,16.844
Finland,1982,0.560285843941572,-2.56389737085433,4826933.0,19.7734511103593,3.10808869307027,9.0,12.2339342276482,74.2980487804878,26.627,47.0747949851887,67.9926146619925,8.16737253356972,7.63222692800158,73.373,7011.0,1.71,13.7,16.768
Finland,1983,0.595991320809624,-2.56684501046259,4855787.0,19.5896273538928,3.11658151416627,9.3,12.3506996780919,74.2009756097561,25.798,46.9299053840239,68.0596729680153,8.04491283364523,7.58856167306871,74.202,6778.0,1.74,13.8,15.85
Finland,1984,0.534342930873442,-2.66783442745422,4881803.0,19.4797969374696,3.23769199585604,9.2,12.3948545065061,74.5190243902439,24.985,46.7882233905486,68.1253485560242,7.96382021734134,7.51731836238879,75.015,3918.0,1.69,13.3,15.133
Finland,1985,0.41706890447956,-2.80822889843548,4902206.0,19.410679953286,3.54889658723026,9.8,12.4843462340696,74.2229268292683,24.192,46.832158905137,68.1049738126444,7.90702255490988,7.46840014445648,75.808,2343.0,1.64,12.8,14.111
Finland,1986,0.324794895907026,-2.86290626188406,4918154.0,19.3485690060688,2.75563345861494,9.6,12.679547128532,74.56,23.433,47.1196501784944,67.9718838653992,7.85777602679011,7.41849699596178,76.567,1438.0,1.6,12.3,13.249
Finland,1987,0.283626731803862,-2.85475052347005,4932123.0,19.307865401816,3.57482613830207,9.7,12.862526310646,74.5919512195122,22.709,47.4282605576546,67.829608287538,7.90570931416002,7.48284579270495,77.291,764.0,1.59,12.1,12.536
Finland,1988,0.290689051012441,-2.88119801965236,4946481.0,19.3362500395477,5.21715032265726,9.9,13.0437577699175,74.5770731707317,22.0,47.8852610462179,67.6199921905348,7.79145736892216,7.37516005121639,78.0,1743.0,1.69,12.8,12.741
Finland,1989,0.361018799003539,-2.83027385235957,4964371.0,19.3602666304359,5.08714367418199,9.9,13.2235043205479,74.7921951219512,21.309,48.3322238131321,67.4162290490162,7.83282445254276,7.4221084080239,78.691,5684.0,1.71,12.8,12.082
Finland,1990,0.443382073914297,-2.78044352961531,4986431.0,19.3167212970103,0.670275844289762,10.0,13.3861120274659,74.8131707317073,20.633,48.5946562399146,67.2971666755238,7.85646278604025,7.44902984339604,79.367,8864.0,1.78,13.1,12.122
Finland,1991,0.546172018187903,-1.78776697278262,5013740.0,19.2445372362259,-5.88632806942667,9.8,13.5427657047852,75.2275609756098,20.157,48.7814069978961,67.212697058989,7.96086542565416,7.5501493811353,79.843,14401.0,1.79,13.0,11.478
Finland,1992,0.561909850746084,-0.862089296688788,5041992.0,19.1769396252093,-3.29466006575714,9.9,13.6881185516968,75.4553658536585,19.872,48.9537474541631,67.1349418230939,7.90078466134804,7.49991792245313,80.128,9296.0,1.85,13.2,10.852
Finland,1993,0.483854088858285,-0.940286585044314,5066447.0,19.1347756535195,-0.661998030419085,10.1,13.8335927114902,75.7051219512195,19.591,49.1833037800173,67.0316316349903,7.825929938606,7.4710266259562,80.409,8887.0,1.81,12.8,10.038
Finland,1994,0.431048902829755,-1.00333613571932,5088333.0,19.0913610914043,3.96305242370121,9.4,14.0146487464847,76.3956097560976,19.312,49.4902592375732,66.893990162111,7.91851341147116,7.5501493811353,80.688,3688.0,1.85,12.8,9.81
Finland,1995,0.381655333457214,-1.05257722464784,5107790.0,19.0287949571873,4.21686746987953,9.6,14.2184730722328,76.409512195122,19.037,49.8066189209315,66.7527319705799,7.36728060671723,7.03732886831478,80.963,4250.0,1.81,12.3,9.919
Finland,1996,0.328037913627481,-1.04714514232178,5124573.0,18.9306007734864,3.66717982978477,9.6,14.4003324280153,76.6934146341464,18.777,49.9945997444757,66.6690667984983,7.2819199579763,6.9713385206343,81.223,3612.0,1.78,11.8,10.994
Finland,1997,0.297377330426395,-1.00520049384255,5139835.0,18.773118570879,6.33379565418399,9.6,14.5522153214749,76.8785365853659,18.534,49.9819957466775,66.6746661076461,7.05866903050002,6.97856134475853,81.466,5014.0,1.75,11.5,9.211
Finland,1998,0.265472962436301,-1.04340734711509,5153498.0,18.5544143453113,5.45718050065875,9.6,14.6646836948822,77.0907317073171,18.293,49.743400651799,66.7809019598065,7.19655930923537,7.11513838274402,81.707,3887.0,1.7,11.1,9.099
Finland,1999,0.232116249119004,-1.08292833936579,5165474.0,18.3338428041013,4.37957572274557,9.6,14.772254951175,77.2912195121951,18.054,49.4904622839641,66.8939022447237,7.22742046685709,7.14764109130306,81.946,3532.0,1.73,11.1,9.331
Finland,2000,0.2076065154133,-1.11386622995188,5176209.0,18.1527929030686,5.7733624584817,9.5,14.9188527742987,77.4658536585366,17.817,49.4134833873694,66.9283543226327,7.2819199579763,7.18375521192423,82.183,2428.0,1.73,11.0,9.699
Finland,2001,0.227687341886374,-0.816011103932424,5188008.0,18.0015526206859,2.61001912392074,9.4,15.0795416925879,77.9658536585366,17.632,49.4346092095129,66.9189056867263,7.2950523654749,7.20082734167241,82.368,6395.0,1.73,10.8,10.455
Finland,2002,0.242381050233372,-0.526224991498565,5200598.0,17.8684152612907,1.70714896198065,9.5,15.2484364530946,78.119512195122,17.497,49.5144788122096,66.8831482856146,7.34101579172002,7.2395679437933,82.503,5250.0,1.72,10.7,11.112
Finland,2003,0.238457240068217,-0.53619017825754,5213014.0,17.715815245342,2.00378420285061,9.4,15.4594897476285,78.3682926829268,17.362,49.6452644563166,66.8246950070296,7.37384681046653,7.26813093010276,82.638,6039.0,1.76,10.9,10.624
Finland,2004,0.290350361518584,-0.484442123371314,5228172.0,17.5455099623365,3.99209129032087,9.1,15.7242507422811,78.7146341463415,17.228,49.8570843838462,66.7302392953824,7.39682852358909,7.29078433303785,82.772,6872.0,1.8,11.0,10.495
