Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Germany,1961,2.45,73377632.0,121350.0,35.001288918168,17.9,4.29843956416363,11.6,66.7332234245161,21.5643868259872,55.4950877896486,11.7023897494967,28.303,-0.329967168819521,49.8503949342968,71.697,0.769854344284138,46.622,69.6448780487805
Germany,1962,2.44,74025784.0,137698.0,34.9010397273222,17.8,4.62347095715674,11.9,66.1333194796403,21.9780520815876,55.5466445163693,11.8886284387721,28.238,0.6495113767901,51.2097077627802,71.762,0.879431691508147,46.919,69.7992195121951
Germany,1963,2.51,74714353.0,152170.0,34.8437544754103,18.1,2.73529640413557,12.0,65.602161633374,22.3286993088922,55.5724228797296,12.0691390577338,28.174,0.698973225363955,52.4340002396447,71.826,0.925875063469895,46.728,69.9140731707317
Germany,1964,2.54,75318337.0,162533.0,34.8322974250279,18.0,6.63946990966851,11.6,65.1013567839819,22.6162884042996,55.7328215850829,12.2823548117186,28.109,0.574162652083865,53.6066285131078,71.891,0.805140883333687,42.493,70.4355609756098
Germany,1965,2.5,75963695.0,170903.0,34.8093833242632,17.4,5.2441640534266,12.0,64.6556594354817,22.833242253237,55.9505055423481,12.5110983112812,28.045,0.625246164370342,54.6655034605842,71.955,0.85319043680184,40.943,70.4103658536585
Germany,1966,2.53,76600311.0,176562.0,34.8151118494544,17.2,2.81218127523933,11.9,64.2274151672511,23.0248639446324,55.9419127545613,12.7477208881164,27.981,0.606096481666587,55.6967523334092,72.019,0.834560800634988,44.082,70.5215853658537
Germany,1967,2.48,76951336.0,178457.0,34.5115000143213,16.5,-0.330256485487666,11.9,63.8051304712825,23.1880465372117,55.6010655056856,13.0068229915058,27.917,0.228217816359828,56.7272097745571,72.083,0.457208526697556,46.019,70.7317317073171
Germany,1968,2.38,77294314.0,178954.0,34.4628075501962,15.7,5.66877305970858,12.6,63.4666023131663,23.3043461820619,55.237304156045,13.2290515047718,27.853,0.215204049623715,57.5631866185788,72.147,0.444717326246995,47.816,70.3784634146342
Germany,1969,2.21,77909682.0,175007.0,34.3740154097328,14.7,7.41810275269876,12.7,63.2219043963162,23.3514999339433,55.1485120155816,13.4265956697406,27.789,0.562945041758282,58.1730260799779,72.211,0.792983738181533,49.322,70.2288048780488
Germany,1970,2.03,78169289.0,168468.0,34.2336665425486,13.4,5.1031445446857,12.5,63.0446744955523,23.3084177739346,54.4868673559992,13.6469077305131,27.726,0.105693129692572,58.6176792973374,72.274,0.332661392813347,49.183,70.4471951219512
Germany,1971,1.92,78312842.0,157046.0,34.2709019562914,12.9,3.13269973811248,12.3,62.9482575256143,23.1768863675055,54.283504711712,13.8748561068802,27.668,-0.0259339846801199,58.8606318626353,72.332,0.183475313574861,48.457,70.676756097561
Germany,1972,1.71,78688452.0,141396.0,34.3826081975195,11.5,4.30034133420232,12.3,62.9496077211971,22.9329190048324,54.2749119239252,14.1174732739705,27.611,0.272252734258543,58.8572245786698,72.389,0.478481045657976,43.418,70.9067073170732
Germany,1973,1.54,78936666.0,121476.0,34.3425085211812,10.3,4.77748689217385,12.2,63.0619295656479,22.5647575835225,54.1259702689543,14.3733128508296,27.554,0.108292057410549,58.5742778805152,72.446,0.314942451198579,37.774,71.1128048780488
Germany,1974,1.51,78967433.0,95670.0,34.4284363990491,10.2,0.890068740587211,12.1,63.2699547885922,22.0933237498318,53.9082863116891,14.6367214615759,27.497,-0.168112028847952,58.05290306907,72.503,0.0389692231983959,34.506,71.4189268292683
Germany,1975,1.45,78673554.0,63902.0,34.4885859135566,9.9,-0.866738894227723,12.6,63.5792210108957,21.5504926180763,53.8252226964168,14.870286371028,27.44,-0.580357623291157,57.2840905562777,72.56,-0.372846359360899,31.136,71.259243902439
Germany,1976,1.45,78336950.0,25585.0,34.6203419929539,10.2,4.94925837665457,12.3,63.9844460384827,20.9559188341781,53.7278377681666,15.0596351273392,27.383,-0.636707950351105,56.2879832088221,72.617,-0.428766874960255,29.16,71.7122195121951
Germany,1977,1.4,78159814.0,-919.0,34.5745137914244,10.3,3.34721812001672,11.9,64.4011043440971,20.323862158621,53.5874889009824,15.2750334972819,27.326,-0.434750813460897,55.2768415264346,72.674,-0.226376662518719,27.575,72.3073170731707
Germany,1978,1.38,78091820.0,-15269.0,34.6174777303583,10.4,3.00849285673846,12.2,64.8348516820129,19.6684108317103,53.4442757712027,15.4967374862769,27.27,-0.292177255553474,54.2380321068341,72.73,-0.0870314153537852,26.843,72.2904146341464
Germany,1979,1.38,78126350.0,-18647.0,34.5344141150861,10.5,4.15036334066737,12.1,65.329647119894,19.0037506805269,53.258098702489,15.666602199579,27.213,-0.16502901339821,53.069860229697,72.787,0.0442074062989572,26.249,72.6301707317073
Germany,1980,1.44,78288576.0,-9445.0,34.457079025005,11.1,1.40882863572145,12.2,65.9370413218311,18.3770181132372,53.0432790078194,15.6859405649318,27.156,-0.0022483235761932,51.6598238346821,72.844,0.207430406185115,26.565,72.8003170731707
Germany,1981,1.43,78407907.0,10722.0,34.3826081975195,11.0,0.529240556536067,12.2,66.7378145028552,17.7959649203848,52.8771517772749,15.46622057676,27.011,-0.383074393767173,49.8400885924257,72.989,0.152308489359723,25.522,73.0402195121951
Germany,1982,1.41,78333366.0,42143.0,34.2995445822473,11.0,-0.394840774795966,12.0,67.6378593701903,17.2518094539613,52.6909747085613,15.1103311758484,26.893,-0.532931207617465,47.8461926626595,73.107,-0.0951134365477742,23.78,73.3331463414634
Germany,1983,1.33,78128282.0,85198.0,34.2766304814825,10.6,1.57241016952116,12.0,68.5075056244474,16.7580205129525,52.501933377252,14.7344738626001,26.897,-0.247279402823219,45.9694079282992,73.103,-0.262152572305171,21.665,73.6221463414634
Germany,1984,1.29,77858685.0,142722.0,34.2336665425486,10.4,2.82294780997955,11.8,69.1523712022981,16.3312805109477,52.3701772978547,14.5163482867543,27.057,0.247431304864631,44.6082007161551,72.943,-0.345666402296961,20.052,74.0722926829268
Germany,1985,1.37,77684873.0,214794.0,34.2479878555266,10.5,2.32793526226367,12.0,69.4254585928213,16.0101021901315,52.2556067940309,14.5644392170472,27.289,0.63030590629267,44.039380729589,72.711,-0.223489901582361,19.395,74.1890975609756
Germany,1986,1.43,77720436.0,304200.0,34.2565806433134,10.9,2.28733922127036,11.9,69.4791198438962,15.8059335678412,52.1524933405895,14.7149465882626,27.383,0.389637308046534,43.9281326346228,72.617,0.0457680639736539,19.327,74.3968292682927
Germany,1987,1.43,77839920.0,375035.0,34.2136167043795,11.2,1.40215162742055,11.6,69.4394591748535,15.7362646712125,51.9147595451551,14.824276153934,27.164,-0.649363415270928,44.0103394497767,72.836,0.15361757528619,19.46,74.8070243902439
Germany,1988,1.46,78144619.0,427377.0,34.2222094921662,11.4,3.70723565949591,11.5,69.3174657765095,15.8131697060292,51.8345601924784,14.8693645174612,27.001,-0.211186141260969,44.2637840476282,72.999,0.390678960242038,20.159,74.9987317073171
Germany,1989,1.42,78751283.0,461795.0,34.2250737547618,11.2,3.89655169214447,11.5,69.1574384033907,15.9679400380438,51.7171254260591,14.8746215585655,27.024,0.858482078464591,44.5976056495522,72.976,0.773336990610757,19.083,75.1915365853659
Germany,1990,1.45,79433029.0,479954.0,34.2880875318649,11.4,5.25500608278013,11.6,68.9575360252355,16.143053873774,51.6483831237648,14.8994101009906,26.882,0.335124557063749,45.0167831856323,73.118,0.861969448764933,20.707,75.0856341463415
Germany,1991,1.33,80013896.0,482849.0,33.1080113424799,10.4,5.10826152190211,11.4,68.7667653640832,16.279944782077,49.0820038381119,14.9532898538398,26.731,0.165309318029125,45.4190838996544,73.269,0.728605546561364,19.012,75.319512195122
Germany,1992,1.29,80624598.0,470043.0,32.8444991836852,10.0,1.923076559054,11.0,68.6285049703242,16.3419064864136,48.5521152579269,15.0295885432622,26.64,0.419335734235975,45.7120466882346,73.36,0.760346946721127,16.719,75.819512195122
Germany,1993,1.28,81156363.0,441211.0,33.4440879926673,9.8,-0.976849818160517,11.1,68.4909991733261,16.3574375730141,49.1578826764436,15.1515632536598,26.503,0.141800162517505,46.0045860735607,73.497,0.657391218087626,14.664,75.8707317073171
Germany,1994,1.24,81438348.0,394809.0,33.8145570164132,9.5,2.39189207051331,10.9,68.369268631737,16.3233407094171,49.5774970639627,15.3073906588459,26.29,-0.460071969253141,46.2645452345662,73.71,0.346856648630233,13.096,76.2707317073171
Germany,1995,1.25,81678051.0,330244.0,33.9014608994557,9.4,1.54414649556445,10.8,68.2964303857972,16.2244689061907,49.6791750214838,15.4791007080121,26.078,-0.515756838226791,46.4205374547133,73.922,0.293904443716697,12.398,76.4219512195122
Germany,1996,1.3,81914831.0,246097.0,33.9024320375834,9.7,0.80582289149001,10.8,68.2735435840689,16.0975691956045,49.6634105817984,15.6288872203266,25.867,-0.52292822076184,46.4696216035437,74.133,0.289474899455448,12.554,76.6731707317073
Germany,1997,1.35,82034771.0,178604.0,33.8977223893425,9.9,1.79216082094591,10.5,68.2816304766706,15.9788196846933,49.6404526572124,15.739549838636,25.658,-0.664944089067214,46.452273697757,74.342,0.146313281561803,12.505,77.0731707317073
Germany,1998,1.36,82047195.0,125369.0,34.0352988367429,9.6,2.01393278519326,10.4,68.2916576013829,15.8625512075326,49.776517105037,15.8457911910845,25.449,-0.802753303161978,46.4307693675058,74.551,0.0151436508552808,11.968,77.4756097560976
Germany,1999,1.36,82100243.0,86982.0,33.8758668118517,9.4,1.88726115399444,10.3,68.1951939972264,15.7414771380961,49.1489483638031,16.0633288646776,25.242,-0.752086268740295,46.6378994084848,74.758,0.0646345779052372,12.249,77.7268292682927
Germany,2000,1.38,82211508.0,60905.0,33.8271958733343,9.3,2.91250296366708,10.2,67.9599139328551,15.6078090215116,48.9124516406362,16.4322770456333,25.035,-0.688009708862755,47.1455661957653,74.965,0.135431600393084,13.698,77.9268292682927
Germany,2001,1.35,82349925.0,48500.0,33.8578389223273,8.9,1.68146848097079,10.1,67.7047121950968,15.4337785643802,48.8220120378332,16.8615092405231,24.83,-0.654000975966893,47.7002061527281,75.17,0.168225361337335,13.649,78.3292682926829
Germany,2002,1.34,82488495.0,45985.0,33.7986584876455,8.7,-0.197973834771361,10.2,67.4780855395371,15.2081874895084,48.6355558103537,17.3137269709545,24.626,-0.656849159922887,48.1962619258712,75.374,0.168128319406931,12.894,78.2292682926829
Germany,2003,1.34,82534176.0,54381.0,33.9067113901551,8.6,-0.700116686114356,10.3,67.2508157803042,14.9479740812699,48.7400017201342,17.8012101384259,24.423,-0.772385226932532,48.6970800617682,75.577,0.0553633035873241,11.995,78.3804878048781
Germany,2004,1.36,82516260.0,73107.0,34.1141726639333,8.6,1.17508813160987,9.9,66.9508194336933,14.6763520145583,48.7799982796686,18.3728285517484,24.221,-0.852240951346084,49.3633704159368,75.779,-0.021709727650009,11.329,78.6804878048781
Germany,2005,1.34,82469422.0,102694.0,34.1323546278243,8.3,0.731707163554191,10.1,66.6050547991774,14.4018960311465,48.8330083725198,18.9930491696761,24.02,-0.89009829883984,50.1387541589291,75.98,-0.0567782618352031,10.954,78.9317073170732
Germany,2006,1.33,82376451.0,145046.0,34.0272998394127,8.2,3.816441912988,10.0,66.2823143315268,14.1572149824946,48.5948612066988,19.5604706859786,23.821,-0.94472587678598,50.8698079585256,76.179,-0.112797497644931,10.721,79.1317073170732
Germany,2007,1.37,82266372.0,180746.0,34.0637278802306,8.3,2.97645513131597,10.1,66.083076112059,13.9729437871252,48.6133019760805,19.9439801008158,23.622,-0.972624936417963,51.3246753848754,76.378,-0.133718572600486,10.674,79.5341463414634
Germany,2008,1.38,82110097.0,211709.0,34.2253965522187,8.3,0.95987913356484,10.3,65.9864245729756,13.8245310289231,48.5356968706078,20.1890443981014,23.425,-1.02760728004144,51.5463234445798,76.575,-0.190142844695674,10.564,79.7365853658537
Germany,2009,1.36,81902307.0,240968.0,34.2646510427125,8.1,-5.69383633640285,10.4,65.8937124706723,13.698409740069,48.4380826711798,20.4078777892587,23.229,-1.09361469759633,51.7595486446151,76.771,-0.253383410163402,9.948,79.8365853658537
Germany,2010,1.39,81776930.0,267047.0,33.9845655105144,8.3,4.17988249873657,10.5,65.94818524025,13.5973160312519,47.9100324181656,20.4544987284982,23.034,-0.996210590149904,51.6341960817239,76.966,-0.153198446937304,9.687,79.9878048780488
Germany,2011,1.39,80274983.0,293051.0,34.0687399586872,8.3,3.92519270463411,10.6,66.1038651577438,13.4916768007341,47.9659169153087,20.4044580415222,22.84,-2.69951501551236,51.2770831970614,77.16,-1.8537146287573,8.996,80.4365853658537
Germany,2012,1.41,80425823.0,317082.0,33.9530613415964,8.4,0.418497594217598,10.8,66.1768560547906,13.3676766273698,47.8108681930338,20.4554673178396,22.83,0.143933886234076,51.1102312538755,77.17,0.187727800567293,8.546,80.5390243902439
Germany,2013,1.42,80645605.0,342555.0,34.0403577161202,8.5,0.437591303144671,11.1,66.1650570931529,13.2662524854512,47.8588626461821,20.5686904213959,22.82,0.229090401386349,51.1371785463619,77.18,0.272900214681538,8.075,80.490243902439
Germany,2014,1.47,80982500.0,369027.0,34.018343364861,8.8,2.20954343134872,10.7,66.044877873583,13.2112359296631,47.9363714531384,20.743886196754,22.81,0.37304552347498,51.4121967341259,77.19,0.416877359168292,8.114,81.090243902439
Germany,2015,1.5,81686611.0,397921.0,33.9563148540962,9.0,1.49193152760772,11.3,65.8448584682172,13.2046685967967,47.9590666743106,20.9504729349861,22.8,0.821852310020411,51.8721458996918,77.2,0.865702643950251,8.318,80.6414634146341
Germany,2016,1.6,82348669.0,432017.0,33.6701396839936,9.6,2.22999986782015,11.1,65.5946968485817,13.269174354421,47.6843370735058,21.1361287969973,22.776,0.701902385917319,52.4513480730653,77.224,0.807218538573871,9.511,80.990243902439
Germany,2017,1.57,82657002.0,430803.0,33.694936600166,9.5,2.68023111405891,11.3,65.2979434373687,13.3914600067046,47.7631164667831,21.3105965559267,22.739,0.211141645524424,53.1441792669349,77.261,0.373724559895838,8.618,80.9926829268293
Germany,2018,1.57,82905782.0,392587.0,33.5766214437003,9.5,0.981232606004738,11.5,64.9792318923014,13.5216433325741,47.6415364359723,21.4991247751245,22.688,0.0759898177879571,53.895325806539,77.312,0.300526701992065,8.004,80.8926829268293
Germany,2019,1.54,83092962.0,360560.0,33.5270042073328,9.4,1.07547163576423,11.3,64.6307203669172,13.6389892348886,47.7002776267209,21.7302903981942,22.624,-0.0569656713221133,54.7251821945576,77.376,0.22551987421288,7.524,81.2926829268293
