country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Honduras,1961,7.448,2139928.0,-4842.0,11.5738671909912,49.134,1.85565932082044,17.976,49.5742613770183,47.1671944102792,26.633300563053,3.25854421270248,76.682,2.16509100620939,101.717484215547,23.318,2.90694148874684,152.499,48.73
Honduras,1962,7.443,2202854.0,-5519.0,11.6632406828135,48.666,5.7648460405449,17.185,49.3063543929829,47.4413420045087,26.7226740548753,3.25230360250838,76.1,2.13626861034339,102.813615468256,23.9,2.89816087523591,149.343,49.668
Honduras,1963,7.441,2267708.0,-6063.0,11.7079274287246,48.277,3.58043670755038,16.643,49.1115037738545,47.6379454497669,26.7673608007865,3.25055077637862,75.509,2.12195776783901,103.618279869193,24.491,2.90158374210772,147.035,50.25
Honduras,1964,7.443,2334492.0,-6618.0,11.7347394762713,47.965,5.41664557116319,16.144,48.9785038932445,47.7783501124977,26.8120475466976,3.24314599425785,74.906,2.10068461508286,104.17124730737,25.094,2.9024678783601,145.06,50.812
Honduras,1965,7.442,2403465.0,-7160.0,11.7794262221825,47.721,9.03715648855948,15.61,48.910656073627,47.8615249233918,26.8567342926088,3.22781900298111,74.296,2.09398167456248,104.454425588023,25.704,2.91171375839247,143.21,51.465
Honduras,1966,7.384,2474523.0,-7649.0,11.8330503172759,47.203,5.37384227069569,15.086,48.8936552405565,47.8994634318338,26.9461077844311,3.20688132760967,73.675,2.07429163583506,104.525471429103,26.325,2.9136204024731,142.038,52.091
Honduras,1967,7.334,2547497.0,-8052.0,11.8866744123693,46.763,5.9775428581696,14.615,48.9007933867623,47.9186134308722,27.0354812762535,3.18059318236551,73.045,2.04756219873765,104.495699765442,26.955,2.90636583152877,139.802,52.632
Honduras,1968,7.289,2622982.0,-8331.0,11.9045491107338,46.554,6.59818324459849,14.087,48.9262602640811,47.9233559361063,27.0801680221646,3.15038379981258,72.404,2.03865449469173,104.389216466263,27.596,2.92005300009332,141.406,53.355
Honduras,1969,7.229,2701381.0,-8545.0,11.8687997140048,46.31,0.655438846570291,13.661,48.9631229360094,47.9174170544621,27.0801680221646,3.11946000952846,71.756,2.04611798480286,104.235337167465,28.244,2.94512852398383,143.299,53.896
Honduras,1970,7.17,2782753.0,-8746.0,11.8866744123693,46.13,3.62672094031046,13.245,49.00708039844,47.9033712298576,27.1695415139869,3.08954837170241,71.098,2.04654458134308,104.052074213233,28.902,2.96776017311731,145.031,54.44
Honduras,1971,7.124,2867501.0,-8921.0,11.913486459916,46.093,3.99500360693281,12.856,49.0536447844927,47.8872460921119,27.2142282598981,3.0591091233954,70.431,2.05745394653127,103.858414604149,29.569,3.00001932962891,148.126,54.966
Honduras,1972,7.082,2956021.0,-9099.0,12.2262936812941,46.051,5.76230488242371,12.425,49.1002345890362,47.8727228041889,27.5270354812763,3.02704260677489,69.754,2.07443186818014,103.665049162437,30.246,3.0403188498418,149.406,55.607
Honduras,1973,7.008,3046715.0,-9289.0,12.3156671731165,45.798,7.86985250325137,12.967,49.1506998768674,47.8560265492549,27.6164089730986,2.9932735738777,69.07,2.03654919720733,103.455934695709,30.93,3.02198537491372,147.302,54.415
Honduras,1974,6.921,3136539.0,-9475.0,12.3692912682098,45.522,-1.22764173123555,14.265,49.2337016638879,47.8054237799333,27.670033068192,2.96087455617887,68.429,1.97321271214515,103.112934956749,31.571,2.90560017146302,147.947,52.313
Honduras,1975,6.858,3231631.0,-9655.0,12.6284743944946,45.429,2.13068176281659,11.109,49.2928183941793,47.7219707324258,28.018589686299,2.98521087339489,67.89,2.19590341203622,102.869308872402,32.11,2.98670006294429,145.187,57.548
Honduras,1976,6.794,3334814.0,-9838.0,12.8519081240504,45.204,10.5006930565193,10.853,49.2929890542621,47.6480397407472,28.3313969076772,3.05897120499074,67.347,2.33996005976562,102.868605634403,32.653,3.1429942349533,142.178,58.158
Honduras,1977,6.701,3441122.0,-10071.0,13.4328358208955,44.738,10.3838890902115,10.57,49.2820510287052,47.5922242803365,29.0016980963446,3.12572469095836,66.8,2.3225263814724,102.913631817796,33.2,3.13806752981631,138.409,58.746
Honduras,1978,6.604,3550368.0,-10353.0,13.4417731700778,44.344,5.96621180718928,10.278,49.2697658383582,47.5481414884316,29.1089462865314,3.18209267321021,66.248,2.29561782174285,102.964228261354,33.752,3.12536790901397,137.548,59.334
Honduras,1979,6.499,3662736.0,-10725.0,13.3523996782554,43.968,5.60992669232493,9.988,49.2655286559653,47.5123995406167,29.1089462865314,3.22207180341802,65.691,2.27157541208229,102.981713149486,34.309,3.11591490406642,139.317,59.908
Honduras,1980,6.393,3777990.0,-11183.0,13.2630261864331,43.445,0.599354052523609,9.686,49.2773141273534,47.4757609204895,29.1089462865314,3.2469249521571,65.13,2.24050625543513,102.933191956564,34.87,3.09817130454027,138.091,60.485
Honduras,1981,6.282,3895736.0,-11671.0,13.2362141388864,42.869,-1.22203502400183,9.401,49.3056447734594,47.4363191658368,29.171507730807,3.2580360607038,64.565,2.1977669835918,102.816508383407,35.435,3.06904995046808,136.576,61.016
Honduras,1982,6.164,4015647.0,-12163.0,13.1915273929752,42.206,-2.07466089514611,9.129,49.3502541433547,47.3919769342275,29.2161944767182,3.25776892241773,63.996,2.1463774325161,102.633151203089,36.004,3.031585844239,134.3,61.527
Honduras,1983,6.048,4137784.0,-12647.0,13.1110912503351,41.633,0.905693883893989,8.813,49.4136656947698,47.3314282075347,29.2251318259004,3.25490609769552,63.423,2.09681623617974,102.373142146431,36.577,2.99618987111525,133.585,62.137
Honduras,1984,5.921,4261919.0,-13181.0,13.0842792027885,40.883,6.32729576086231,8.541,49.4948226966746,47.244439975931,29.2876932701761,3.26073732739438,62.845,2.04038601946239,102.041358111603,37.155,2.95591495030146,129.892,62.642
Honduras,1985,5.806,4387693.0,-13739.0,13.0038430601484,40.283,5.6262348492034,8.339,49.5932828481847,47.1277160913491,29.2966306193583,3.27900106046617,62.265,1.98121222272318,101.640164687424,37.735,2.90840480945734,128.985,62.996
Honduras,1986,5.707,4515568.0,-14253.0,12.9680936634194,39.742,5.33077441753558,8.056,49.7128987663234,46.9785912844842,29.3591920636339,3.30850994919243,61.681,1.93037152428066,101.155014655963,38.319,2.87274054072188,126.528,63.591
Honduras,1987,5.604,4645733.0,-14660.0,12.8787201715971,39.192,6.63835598040356,7.841,49.8569278364607,46.7939232403071,29.3591920636339,3.34914892323224,61.093,1.88398315918514,100.573952387942,38.907,2.84181820707445,125.856,64.032
Honduras,1988,5.496,4778114.0,-14918.0,12.7893466797748,38.698,1.7460338067292,7.685,50.0401884467189,46.6191841991229,29.3591920636339,3.34062735415821,60.519,1.86567619926157,99.8393961966175,39.481,2.80967440679007,126.84,64.345
Honduras,1989,5.395,4913676.0,-15147.0,12.9234069175083,38.361,2.72784892932417,7.329,50.2669742843214,46.450411713187,30.1278040933059,3.28261400249162,60.031,1.98801492865739,98.937794843309,39.969,2.79764298849405,126.725,64.856
Honduras,1990,5.291,5053234.0,-15350.0,13.066404504424,38.032,2.7917489495977,7.044,50.5368740097925,46.2325809570663,29.6719992850121,3.23054503314115,59.54,1.97934605762481,97.875317279009,40.46,2.80060965015231,127.428,65.243
Honduras,1991,5.183,5196887.0,-15507.0,13.334524979891,37.72,-3.31930842303754,6.736,50.8485415549211,45.9673891343617,29.8686209670212,3.18406931071723,59.047,1.97166245147098,96.6624548114864,40.953,2.80313581156353,128.341,65.752
Honduras,1992,5.089,5344774.0,-15585.0,13.5400840110823,37.47,6.07368787706019,6.546,51.1824776110718,45.6767812518154,29.9848065063902,3.14074113711273,58.552,1.9640913410327,95.3793846149347,41.448,2.80594685995967,129.773,65.991
Honduras,1993,4.995,5496841.0,-15559.0,15.0415586736974,37.211,6.49571820818859,6.388,51.5309567377842,45.3676889478601,31.7097148985611,3.10135431435567,58.057,1.95643704180077,94.0581273223127,41.943,2.80543025160191,131.099,66.251
Honduras,1994,4.891,5652934.0,-15246.0,14.7466261506837,36.779,0.21190349864257,6.176,51.8953608869306,45.0351357365927,31.4594691214586,3.06950337647671,57.559,1.93862680884514,92.6954187177509,42.441,2.80011388162174,128.663,66.574
Honduras,1995,4.758,5812832.0,-14711.0,14.2997586915721,36.215,6.18930455759235,5.898,52.2751003534164,44.6788024046457,31.1019751541693,3.04609724193794,57.059,1.91686400805789,91.2956812599221,42.941,2.78931851535589,127.981,67.139
Honduras,1996,4.639,5976550.0,-14049.0,14.2997586915721,35.757,1.87077629388163,5.728,52.6625103665585,44.3074636962348,31.1019751541693,3.03002593720674,56.558,1.89563298040725,89.8884190479701,43.442,2.77755908396057,128.792,67.439
Honduras,1997,4.527,6144112.0,-13343.0,13.5847707569935,35.274,4.59808306248539,5.56,53.0472507662621,43.9324592390243,30.3423004736795,3.02028999471364,56.056,1.87351985725831,88.5111848219378,43.944,2.7650746444425,128.075,67.777
Honduras,1998,4.448,6308537.0,-12638.0,13.5847707569935,35.023,3.59023303357911,7.784,53.4522901268551,43.5362826595136,30.3423004736795,3.01142721363131,55.553,1.73961479820261,87.0826954933753,44.447,2.64095706252099,128.282,62.721
Honduras,1999,4.361,6477365.0,-11757.0,13.1200285995174,34.561,-0.735651085447699,5.26,53.8452750462572,43.1510421290139,29.82393422111,3.00368282472888,55.048,1.72779147988868,85.7173167266623,44.952,2.64099963918582,125.774,68.422
Honduras,2000,4.237,6656725.0,-10762.0,9.54508892662436,33.841,7.29128815869618,5.141,54.2083757403228,42.792604471418,26.2311198498525,2.99901978825924,54.542,1.807932689472,84.4733120632018,45.458,2.73138300029784,123.567,68.662
Honduras,2001,4.098,6837861.0,-9749.0,9.54508892662436,32.986,2.72319327321379,4.992,54.5845437202845,42.4183789039892,26.2400571990348,2.99707737572631,54.036,1.75268880701527,83.2020555056177,45.964,2.68473415634022,120.47,69.006
Honduras,2002,3.956,7019908.0,-8815.0,9.54508892662436,32.052,3.75433786119939,4.848,54.9788654622586,42.0211591107148,27.0622933238002,2.99997542702664,53.39,1.42480358243269,81.8880902176622,46.61,2.62751491094002,116.121,69.366
Honduras,2003,3.815,7201881.0,-7986.0,9.54508892662436,31.101,4.54703805165397,4.781,55.3959830352642,41.5985658190246,28.1794619715792,3.00545114571118,52.733,1.32101049826319,80.5184941771672,47.267,2.5592129363433,111.749,69.507
