Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Jamaica,1967,5.847,1790580.0,-30149.0,14.3120960295476,37.138,1.80863851891932,8.463,49.7665141369037,44.7887122576797,47.7377654662973,5.44477360541657,60.964,-0.0331565597153707,100.938381275467,39.036,1.22365430903389,155.297,66.442
Jamaica,1968,5.817,1812209.0,-29422.0,14.3120960295476,36.563,5.74413221562095,8.622,49.206783211323,45.1258808653194,47.7377654662973,5.66733592335765,60.185,-0.0853233379918591,103.223957924484,39.815,1.20069534176183,157.424,66.265
Jamaica,1969,5.748,1834615.0,-27308.0,14.3120960295476,35.922,5.57467387070459,8.596,48.7924714449626,45.3526761745652,47.7377654662973,5.8548523804722,59.404,-0.0773212580708736,104.949651121483,40.596,1.22881070964385,157.269,66.381
Jamaica,1970,5.638,1859091.0,-24366.0,13.3887349953832,35.252,12.0644090390179,8.469,48.5479324433103,45.4523596349936,46.814404432133,5.99970792169612,58.676,0.0921733014918048,105.982050855908,41.324,1.32530083610088,157.339,66.702
Jamaica,1971,5.5,1886143.0,-21320.0,13.3887349953832,34.625,2.45807345173921,8.443,48.5131963713259,45.3501284499297,46.814404432133,6.13667517874435,58.142,0.530382992931156,106.129429919084,41.858,1.44463445919153,155.886,66.795
Jamaica,1972,5.292,1915299.0,-18932.0,13.3887349953832,33.838,18.0085552919374,8.428,48.6819290356232,45.0630945873203,46.814404432133,6.25497637705653,57.605,0.606106815221708,105.414921627404,42.395,1.53397430328136,153.278,67.102
Jamaica,1973,5.029,1945320.0,-17830.0,13.3887349953832,32.827,-5.48550909116176,8.31,49.0002541998885,44.6610698139817,46.814404432133,6.33867598612978,57.067,0.616959060930922,104.080624247282,42.933,1.55527417444215,149.996,67.551
Jamaica,1974,4.756,1974880.0,-17774.0,13.3887349953832,31.853,-4.22926130986544,8.249,49.3936718670683,44.1781384636379,46.814404432133,6.42818966929375,56.528,0.559086224483657,102.455031748928,43.472,1.50811490541364,146.365,67.838
Jamaica,1975,4.499,2003094.0,-18344.0,13.3887349953832,30.962,-0.2560922569144,8.233,49.8770402187815,43.5854233500774,46.814404432133,6.53753643114103,55.987,0.456871551748637,100.493051635298,44.013,1.41853481746318,141.354,68.048
Jamaica,1976,4.218,2029486.0,-19088.0,13.3887349953832,29.931,-6.69424509512822,8.112,50.3988818841031,42.9308561209233,46.814404432133,6.6702619949736,55.443,0.332579935161134,98.4171491477634,44.557,1.30895738341083,136.301,68.425
