Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Lebanon,1989,3.391,3525502.0,-1827.0,17.9863147605083,28.63,-42.4511182157698,7.963,59.0569087749773,36.8356903499133,59.0420332355816,4.10740087510942,17.237,-0.126135876721199,69.3282063424898,82.763,1.95788657626897,55.016,64.163
Lebanon,1990,3.295,3593700.0,-6595.0,17.8885630498534,27.844,26.5331600932491,7.848,59.1310430936143,36.687444233999,59.1397849462366,4.18151267238677,16.88,-0.176890917304178,69.1159307893865,83.12,1.91594749510416,50.796,64.475
Lebanon,1991,3.19,3666734.0,1159.0,17.6930596285435,26.911,49.4473791849141,5.199,59.2656571215692,36.4662803464882,59.2375366568915,4.2680625319426,16.528,-0.095492954549927,68.7318290710934,83.472,2.01190351747569,46.595,71.176
Lebanon,1992,3.081,3745407.0,-970.0,17.5953079178886,25.915,16.4383457045728,5.207,59.5004173779268,36.1323130079472,59.2375366568915,4.367269614126,16.182,0.007260007263202,68.0660326771019,83.818,2.12289417037661,42.976,71.192
Lebanon,1993,2.97,3818796.0,-5196.0,17.5953079178886,24.881,10.7656697971889,5.153,59.7876320458553,35.7381572964152,59.2375366568915,4.47421065772947,15.843,-0.176699790173747,67.258651137367,84.157,1.94049003899507,38.534,71.382
Lebanon,1994,2.868,3888144.0,-4850.0,17.5953079178886,23.93,8.10524197734502,5.068,60.1186967355119,35.2977410301676,59.3352883675464,4.58356223432054,15.509,-0.331119551819433,66.337611689744,84.491,1.79967332576435,34.863,71.681
Lebanon,1995,2.781,3959640.0,2634.0,17.5953079178886,23.12,6.44886256985258,4.969,60.5005379276904,34.8077855562627,59.5307917888563,4.69167651604691,15.18,-0.322070564137041,65.2877520658673,84.82,1.82211890936227,32.297,72.043
Lebanon,1996,2.736,4034243.0,3164.0,17.8885630498534,22.667,11.2859357161668,4.92,60.9236726691972,34.2784507527187,60.4105571847507,4.79787657808417,14.858,-0.277388991180523,64.139809073854,85.142,1.86655636519815,30.998,72.293
Lebanon,1997,2.659,4107551.0,1313.0,18.0840664711632,21.974,1.05496666740667,4.787,61.379391440227,33.7173456540583,60.8015640273705,4.90326290571473,14.541,-0.355816056526797,62.9211205819474,85.459,1.80083114688498,29.328,72.778
Lebanon,1998,2.6,4178784.0,1062.0,18.2795698924731,21.425,3.66572378505683,4.788,61.8759234892347,33.1181710853958,61.1925708699902,5.00590542536951,14.23,-0.44264788028562,61.6137614327632,85.77,1.71933079596685,27.783,72.944
