country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Lesotho,1961,5.811,760895.0,2772.0,11.7918313570487,44.379,1.86479516562765,17.175,50.4087949059989,45.191452171456,85.0131752305665,4.39975292254516,96.04,2.61179934217565,98.3780810203411,3.96,3.07710836861398,95.924,50.429
Lesotho,1962,5.805,784681.0,2966.0,11.6271409749671,44.069,15.3318143272581,17.036,50.451266183328,45.2088173410596,84.8484848484848,4.33991647561238,95.536,2.55198705937021,98.2108304999975,4.464,3.07818937700637,94.647,50.409
Lesotho,1963,5.796,809138.0,3170.0,11.6271409749671,43.742,10.6150699948945,16.984,50.6001143192597,45.1108124391713,84.8484848484848,4.28907324156895,94.971,2.47598609559678,97.6281370214325,5.029,3.06922177101409,92.445,50.263
Lesotho,1964,5.768,834215.0,3367.0,11.6930171277997,43.316,8.25111812361274,16.893,50.903634496883,44.850994558354,84.9143610013175,4.24537094476301,94.339,2.38452480999594,96.4497487318849,5.661,3.05216794252653,90.517,50.189
Lesotho,1965,5.782,860220.0,4055.0,11.6930171277997,43.161,2.15410556841232,16.859,51.0251743886299,44.768864225933,84.9143610013175,4.20596138543709,93.634,2.31955178742403,95.9818102699981,6.366,3.06970075855997,90.704,50.057
Lesotho,1966,5.77,887841.0,5459.0,11.8577075098814,42.862,-0.40552138784264,16.707,50.9166055633835,44.914123136913,85.0790513833992,4.16927129970344,92.935,2.4111710829032,96.399798255976,7.065,3.16045024197935,92.033,50.148
Lesotho,1967,5.759,918923.0,9797.0,11.8577075098814,42.544,10.9120615168729,16.556,51.0266366169962,44.8496228737337,85.0790513833992,4.12374050927009,92.575,3.05285408706505,95.9758667167133,7.425,3.44096592146574,92.727,50.247
Lesotho,1968,5.745,952992.0,10287.0,12.0223978919631,41.898,-0.367120038553779,16.262,51.3654094864335,44.566615162239,83.4321475625823,4.06797535132753,92.198,3.23239460497975,94.6834372471951,7.802,3.64041769547383,92.366,50.431
Lesotho,1969,5.737,987909.0,10316.0,12.0223978919631,41.29,1.54753669100769,15.935,51.7735945314801,44.2137383099051,81.6205533596838,4.01266715861481,91.804,3.17010382969512,93.1486521361706,8.196,3.59840791673387,88.497,50.702
Lesotho,1970,5.729,1023481.0,10278.0,12.1212121212121,40.768,2.1770711685563,15.61,52.2319162583789,43.809976047442,79.9407114624506,3.95810769417913,91.392,3.08765680588799,91.4537285066519,8.608,3.53742529344441,86.378,51.012
