country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Malawi,1961,2.3772095927017,2.27359101948083,3708193.0,42.7050395293557,7.63959785583216,29.729,2.93705007573095,35.326,95.511,83.9658361181448,54.3579103949133,33.9414509970301,13.7887144675435,4.489,0.0,7.069,53.703,163.262
Malawi,1962,2.42339776122522,2.31760685044828,3799155.0,42.5758547066196,0.668364743652972,29.547,2.91778078517207,35.654,95.41,83.4648376626983,54.5063645082083,35.0021213406873,14.8493848112007,4.59,0.0,7.097,54.016,164.466
Malawi,1963,2.4562697215754,2.34719836301629,3893628.0,42.5794657322168,-1.39107851799612,29.669,2.89759319585744,35.618,95.306,83.4090780622916,54.5229410719257,35.5324565125159,15.3797199830293,4.694,0.0,7.125,54.307,167.42
Malawi,1964,2.45403322000064,2.34276199855714,3990361.0,42.6698110772434,2.66110326795943,29.631,2.88159392095101,35.692,95.2,83.659471918759,54.4485950018056,36.0627916843445,15.9100551548579,4.8,0.0,7.095,54.064,167.424
Malawi,1965,2.44424602830767,2.3307245513732,4089097.0,42.8516177106605,13.6164934204065,29.611,2.87038958361584,35.724,95.092,84.2367131039703,54.2779927057236,38.2159524819686,18.0313958421723,4.908,0.0,7.108,54.05,167.835
Malawi,1966,2.4558892931876,2.34013633380627,4190764.0,43.13313753769,13.2490363223039,29.5,2.86481176224669,35.866,94.982,85.1781119606345,54.0020507000633,38.7462876537972,18.5617310140008,5.018,0.0,7.161,54.161,167.533
Malawi,1967,2.47458990849895,2.23109021035947,4295762.0,43.4028417539377,7.28154994343096,29.483,2.86612679355528,35.897,94.751,86.1122098713389,53.731031452507,38.2371658888417,18.0313958421723,5.249,0.0,7.22,54.298,167.634
Malawi,1968,2.47548273915517,2.20494207451474,4403430.0,43.66363266817,-1.92307916776325,29.366,2.86724212715996,36.036,94.495,87.0237793887048,53.46912520467,39.3190496393721,19.0920661858294,5.505,-1314.0,7.276,54.342,170.596
Malawi,1969,2.45475377681516,2.17075318128991,4512861.0,43.9190522465624,5.88235989268109,29.087,2.85919477032477,36.321,94.227,87.8930762620409,53.2217529831128,39.8493848112007,19.622401357658,5.773,-2701.0,7.29,54.082,172.13
Malawi,1970,2.45755365270015,2.1599406262121,4625141.0,44.152729614081,0.479297977516111,28.662,2.84124311021005,36.731,93.947,88.6577930204062,53.006027275709,39.3190496393721,19.0920661858294,6.053,-2149.0,7.315,53.851,174.679
Malawi,1971,2.50533486469394,2.19405026178931,4742480.0,44.3489423623233,16.2185636343893,28.117,2.81329629363711,37.239,93.655,89.2586059653128,52.8377613440395,40.9100551548579,20.6830717013152,6.345,-716.0,7.33,53.619,179.465
Malawi,1972,2.57075175507162,2.24348205298481,4865978.0,44.5163644389679,6.23134901058889,27.436,2.77736561899787,37.904,93.349,89.7307496151561,52.7062699420343,41.4403903266865,21.2134068731438,6.651,51.0,7.348,53.467,185.315
Malawi,1973,2.6417706205907,2.29944966213218,4996239.0,44.662194903006,2.30066157068862,26.768,2.74085166862514,38.544,93.03,90.1251165868618,52.5969534283688,41.9707254985151,21.7437420449724,6.97,1625.0,7.364,53.219,185.904
Malawi,1974,2.72384135078628,2.36417218374304,5134199.0,44.7845364763361,7.17596361818245,26.04,2.71275058804213,39.271,92.696,90.4663313540541,52.5027129356218,42.0025456088248,21.7437420449724,7.304,3815.0,7.374,52.984,187.902
Malawi,1975,2.81850032725728,2.44238439098089,5280965.0,44.889375794895,6.08682380629382,25.166,2.69991400245164,40.222,92.348,90.8007143602967,52.4107102026533,41.4722104369962,21.2134068731438,7.652,5145.0,7.403,52.867,189.526
Malawi,1976,2.93440585733785,2.54054013875784,5438226.0,44.9803994004295,4.99773124231615,24.29,2.70045758483947,41.227,91.985,91.1346452118333,52.319143014731,41.4934238438693,21.2134068731438,8.015,8189.0,7.43,52.793,186.557
Malawi,1977,3.14029375768281,2.72742466997379,5611712.0,45.0332229243747,4.91803136852805,23.441,2.7116766940573,42.233,91.606,91.368862292602,52.255100381568,41.525243954179,21.2134068731438,8.394,19634.0,7.46,52.747,182.153
Malawi,1978,3.45198882880024,3.18745921455205,5808810.0,45.088447125009,9.74506803055189,22.559,2.77895152182216,43.29,91.364,91.8185348534021,52.1326013531688,42.0873992363174,21.7437420449724,8.636,36219.0,7.48,52.62,178.097
Malawi,1979,3.72286497273106,3.49824369180345,6029140.0,45.1869458319881,4.39615373590301,21.895,2.90260326535818,44.268,91.159,92.6394215008592,51.9104509026537,42.1086126431905,21.7437420449724,8.841,46380.0,7.509,52.51,178.656
Malawi,1980,3.87522690203158,3.64568722298342,6267369.0,45.3174769189432,0.406746412538325,21.403,3.02973225287996,45.094,90.95,93.6004121990405,51.6527908281769,40.6236741620704,20.1527365294866,9.05,51087.0,7.567,52.641,183.045
Malawi,1981,3.95010086514018,3.71562504360304,6519891.0,45.4680607390522,-5.29011927674183,21.025,3.15456193976249,45.701,90.737,94.638195279706,51.3773773211853,41.6843445057276,21.2134068731438,9.263,55952.0,7.544,52.277,185.048
Malawi,1982,3.97603889382417,3.73550241980033,6784347.0,45.6182042561941,2.50345374980702,20.861,3.27837717628703,45.991,90.519,95.6816101836931,51.1034185675188,42.7450148493848,22.274077216801,9.481,60243.0,7.513,51.911,186.733
