Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Moldova,1992,2.218,2975621.0,-17859.0,52.814116215394,15.986,-29.0999999176414,11.454,63.9219053051657,26.5462851025451,77.8825676909036,9.53180959228922,53.425,0.257167104058806,56.4409165994593,46.575,0.0810579467465175,64.133,66.96
Moldova,1993,2.105,2974817.0,-19258.0,52.9286798179059,15.214,-1.1999999330268,12.043,64.0461433801939,26.2176243171256,77.6024279210926,9.73623230268049,53.519,0.148720035909427,56.1373904609144,46.481,-0.0270232209761006,67.321,66.543
Moldova,1994,1.989,2967585.0,-21551.0,53.4001214329083,14.459,-30.9000002261447,13.533,64.2711696522538,25.8328402127604,77.6259866423801,9.89599013498583,53.613,-0.0679211474814346,55.5907244893572,46.387,-0.243403376968124,68.499,65.07
Moldova,1995,1.831,2953200.0,-25033.0,53.8414819313696,13.41,-1.39999905491376,13.439,64.6207442944846,25.3716490614755,77.6191922259338,10.0076066440399,53.706,-0.3125536647227,54.7491065720664,46.294,-0.485916252801866,65.26,65.099
Moldova,1996,1.725,2947293.0,-29171.0,54.2666261767385,12.743,-5.87706028626823,14.484,65.0939067016237,24.8343921655819,77.6191922259338,10.0717011327944,53.8,-0.0253492618857906,53.6242225729577,46.2,-0.200220624729015,59.435,64.241
Moldova,1997,1.759,2936413.0,-34189.0,54.2831105710814,13.123,1.64706456037401,13.511,65.6405706281559,24.2470878497934,77.6427703523694,10.1123415220506,54.203,0.376424466626757,52.3448257256373,45.797,-0.369835352113778,57.571,65.172
Moldova,1998,1.651,2935227.0,-40503.0,54.6338498936493,12.46,-6.54219207711182,13.399,66.2499362586809,23.5722748461365,77.6663628076573,10.1777888951826,54.606,0.700346021943017,50.94354273866,45.394,-0.0403975726076274,51.178,65.505
Moldova,1999,1.56,2930622.0,-47481.0,55.0759878419453,11.934,-3.36825447657218,13.577,66.9418410467159,22.7899104018123,77.7203647416413,10.2682485514718,55.008,0.576507085102478,49.3834271581579,44.992,-0.157010551960425,46.823,65.561
Moldova,2000,1.499,2924668.0,-44421.0,55.5656934306569,11.654,2.10771608200733,12.993,67.5286064710638,22.0921527161829,77.3722627737226,10.3792408127533,55.411,0.526563665911282,48.0853554553243,44.589,-0.203371722054682,43.252,66.417
Moldova,2001,1.463,2918135.0,-46128.0,56.2347931873479,11.508,6.10000039929173,12.897,68.0010432088934,21.5138622750001,77.220194647202,10.4850945161065,55.811,0.495626436975831,47.0565854415676,44.189,-0.223625637302563,39.315,66.787
Moldova,2002,1.437,2911385.0,-46960.0,56.0523114355231,11.422,7.79999965773833,13.042,68.5419691477712,20.9054928077206,77.0681265206813,10.5525380445082,56.211,0.482611431340742,45.8959840562941,43.789,-0.231580062051396,35.375,66.938
Moldova,2003,1.48,2903198.0,-49890.0,56.1302099178582,11.903,6.59999995777716,12.803,69.1321310157201,20.3182866949586,76.9090355947673,10.5495822893213,56.611,0.427433420040356,44.6505132177039,43.389,-0.281602495320467,33.7,67.419
Moldova,2004,1.539,2896023.0,-40505.0,55.9610705596107,12.558,7.39999973358189,12.529,69.6552788358673,19.783590073179,76.7031630170316,10.5611310909538,57.01,0.454933655619146,43.5641296766412,42.99,-0.247447154059097,33.766,67.861
Moldova,2005,1.531,2888985.0,-51269.0,55.7312252964427,12.607,7.5000001493726,12.501,70.0919457327493,19.2831876586639,75.9805411979325,10.6248666085867,57.225,0.133101529980134,42.6697304520713,42.775,-0.243318711825946,33.047,68.169
Moldova,2006,1.541,2880967.0,-68092.0,55.3359683794466,12.838,4.79999983670831,12.417,70.4373827594358,18.8544766239181,75.4940711462451,10.7081406166461,57.256,-0.223813717719388,41.9700504317299,42.744,-0.277922768195992,32.576,68.479
