Country Name,Year,"Fertility rate, total","Population, total",Net migration,Arable land,"Birth rate, crude",GDP growth,"Death rate, crude",Population ages 15-64,Population ages 0-14,Agricultural land,Population ages 65 and above,Rural population,Rural population growth,Age dependency ratio,Urban population,Population growth,Adolescent fertility rate,"Life expectancy at birth, total"
Netherlands,1961,3.22,11638712.0,-469.0,29.3838862559242,21.3,0.295546672716611,7.6,61.2085229738413,29.6572877654361,68.0361374407583,9.13418926072258,39.98,0.647200235520583,63.375933690105,60.02,1.31529458823228,16.035,73.6526829268293
Netherlands,1962,3.18,11805689.0,1376.0,28.6137440758294,20.9,6.84350732102872,7.9,61.6219145957869,29.1141769265489,67.7517772511848,9.26390847766428,39.796,0.963183989097639,62.2799211314752,60.204,1.42447506739908,15.927,73.3239024390244
Netherlands,1963,3.19,11965966.0,3544.0,28.1101895734597,20.9,3.62462153047358,8.0,61.91329126449,28.7174148378951,67.4437203791469,9.36929389761494,39.613,0.887583741150406,61.5162158503119,60.387,1.3484919646048,16.781,73.3370731707317
Netherlands,1964,3.17,12127120.0,5663.0,27.7547393364929,20.7,8.27490393060459,7.7,62.0712175423502,28.4498155568955,66.8779620853081,9.47896690075425,39.43,0.874735053642774,61.1052665769595,60.57,1.33778133208209,18.368,73.7041463414634
Netherlands,1965,3.04,12294732.0,8091.0,27.4881516587678,19.9,8.6430949357501,8.0,62.168696006282,28.2420078574974,66.5669431279621,9.58929613622063,39.247,0.907466134905095,60.8526488279219,60.753,1.37266110512345,20.908,73.5687804878049
Netherlands,1966,2.9,12456251.0,10636.0,26.8601895734597,19.2,2.74110433455463,8.1,62.2571908571379,28.0432866516502,66.5906398104265,9.69952249121193,39.064,0.837814535267043,60.6240148179631,60.936,1.30517073080104,23.193,73.5129268292683
Netherlands,1967,2.81,12598201.0,13608.0,26.1167061611374,18.9,5.28001474697683,7.9,62.3395410038048,27.8272416553212,66.4010663507109,9.833217340874,38.882,0.666160954665115,60.4118257714459,61.118,1.13314407259893,23.132,73.8041463414634
Netherlands,1968,2.72,12729721.0,16791.0,25.8264218009479,18.6,6.41613403990091,8.2,62.4232298707976,27.614684597346,66.1937203791469,9.9620855318564,38.7,0.569354611138816,60.1967732667632,61.3,1.03854696110739,22.097,73.6126829268293
Netherlands,1969,2.75,12877984.0,20270.0,25.2665876777251,19.2,6.42944930257731,8.4,62.4798044630686,27.4493130499491,65.7049763033175,10.0708824869823,38.519,0.689179174188792,60.0517217015515,61.481,1.15796910892603,22.603,73.539512195122
Netherlands,1970,2.57,13038526.0,24024.0,24.6504739336493,18.3,6.14018142376887,8.4,62.5316002191033,27.2934312387401,65.2043838862559,10.1749685421566,38.337,0.765317619259268,59.9191433938997,61.663,1.2389326613278,22.325,73.5856097560976
Netherlands,1971,2.36,13194497.0,27272.0,24.167654028436,17.2,4.31698036511436,8.4,62.6434853510109,27.0802304623017,63.281990521327,10.2762841866873,38.087,0.534879279618222,59.6335149034667,61.913,1.18913354289438,21.53,73.809512195122
Netherlands,1972,2.15,13328593.0,29789.0,23.9958530805687,16.1,3.5338744094054,8.5,62.8294213905077,26.7912242081152,62.8465639810427,10.3793544013771,37.768,0.170090875079722,59.1611002166396,62.232,1.01117285033374,19.488,73.7270731707317
Netherlands,1973,1.9,13439322.0,31535.0,23.7973933649289,14.5,5.44422298483258,8.2,63.0954751269012,26.4027320027807,62.4407582938389,10.5017928703181,37.45,-0.0182179959536275,58.4899719373688,62.55,0.827331016213766,16.931,74.1439024390244
Netherlands,1974,1.77,13545056.0,32613.0,23.8862559241706,13.7,3.43871786071904,8.1,63.4380568549966,25.9107017335308,62.1771327014218,10.6512414114726,37.133,-0.0663836970124172,57.6340902531445,62.867,0.78367225014689,14.701,74.5368292682927
Netherlands,1975,1.66,13666335.0,32971.0,23.9780805687204,13.0,0.0020288622837512,8.3,63.8416247812632,25.3674545575833,61.821682464455,10.7909206611535,36.817,0.0367549827364903,56.637611592688,63.183,0.891389955359838,12.423,74.4987804878049
Netherlands,1976,1.63,13774037.0,32630.0,24.1084123222749,12.9,4.45630965160997,8.3,64.3108005112604,24.7873082433011,61.6084123222749,10.9018912454386,36.502,-0.074279274786494,55.494884791966,63.498,0.784993389027855,11.076,74.6470731707317
Netherlands,1977,1.58,13856185.0,31478.0,24.7156398104265,12.5,2.52044027918959,7.9,64.7861539826721,24.1727304453939,61.1907582938389,11.0411155719339,36.189,-0.266554923538035,54.3539638286716,63.811,0.594626000826161,9.89,75.2214634146342
Netherlands,1978,1.58,13941700.0,29717.0,24.5171800947867,12.6,2.69624696371605,8.2,65.2442669968503,23.5499958134424,60.7316350710901,11.2057371897073,35.877,-0.250612159845612,53.2701711491443,64.123,0.615264576886905,9.262,75.1451219512195
Netherlands,1979,1.56,14038270.0,27325.0,24.6178909952607,12.5,2.01416612801977,8.0,65.7192216127498,22.9130224657453,60.3317535545024,11.3677559215049,35.565,-0.183159415159233,52.1624801291849,64.435,0.690282251587051,8.749,75.6060975609756
Netherlands,1980,1.6,14149800.0,24210.0,25.0414691943128,12.8,1.34191413595499,8.1,66.1891461288357,22.3019794150012,60.3436018957346,11.5088744561632,35.255,-0.0841379908597016,51.0821693613416,64.745,0.791331808142327,9.072,75.7431707317073
Netherlands,1981,1.56,14247208.0,21737.0,25.053317535545,12.5,-0.783611707416071,8.1,66.6361229312026,21.7409148476527,60.1451421800948,11.6229622211447,34.896,-0.337462813545894,50.0687554924078,65.104,0.68604679796041,8.888,75.9343902439025
Netherlands,1982,1.5,14312690.0,20102.0,25.2458530805687,12.0,-1.24075659270838,8.2,67.0822895634106,21.1831490479843,60.053317535545,11.7345613886051,34.489,-0.714616772856241,49.070634332089,65.511,0.458559864217281,8.169,75.9885365853659
Netherlands,1983,1.47,14367070.0,19123.0,24.7008293838863,11.8,2.06995788790063,8.2,67.5570655130591,20.6148042681495,59.5023696682464,11.8281302187914,34.084,-0.802023911078396,48.0230056323061,65.916,0.37922259579425,7.692,76.1641463414634
Netherlands,1984,1.49,14424211.0,18758.0,24.9348341232227,12.1,3.06167918217261,8.3,68.065796618907,20.0234802452789,59.6830568720379,11.9107231358141,33.681,-0.792472408260541,46.9166691960463,66.319,0.396933189768028,7.327,76.2331707317073
Netherlands,1985,1.51,14491632.0,19149.0,25.5124407582938,12.3,2.58017977050262,8.5,68.4894167034544,19.4525012359029,59.8281990521327,12.0580820606427,33.281,-0.728406238460255,46.0079631371915,66.719,0.466326519882431,6.796,76.2846341463415
Netherlands,1986,1.55,14572278.0,20357.0,26.0071090047393,12.7,2.7869757369202,8.6,68.768689570325,18.9839315394955,59.7748815165877,12.2473788901795,32.883,-0.648130636451777,45.4150091331696,67.117,0.554957725760648,6.764,76.2704878048781
Netherlands,1987,1.56,14665037.0,22282.0,26.4662322274882,12.7,1.93124868495423,8.3,68.9550899160433,18.6287354514909,59.6652843601896,12.4161746324658,32.487,-0.577040211222202,45.0219332141318,67.513,0.634526879264155,6.817,76.7051219512195
Netherlands,1988,1.55,14760094.0,24900.0,26.771327014218,12.6,3.44121886129396,8.4,69.0178781876302,18.3952371709092,59.6978672985782,12.5868846414606,32.094,-0.57099493587472,44.8899903250227,67.906,0.646096227552241,7.411,76.890243902439
Netherlands,1989,1.55,14848907.0,28219.0,26.8513033175355,12.7,4.42011789608519,8.7,68.993429392484,18.2727770117961,59.4164691943128,12.7337935957199,31.704,-0.622736083548355,44.9413408012088,68.296,0.59990721305618,8.011,76.7341463414634
Netherlands,1990,1.62,14951510.0,32373.0,27.3815165876777,13.2,4.18322298634072,8.6,68.9135629930059,18.2448308239232,59.7748815165877,12.8416061830709,31.316,-0.542754022709524,45.1093198525023,68.684,0.688603823438797,8.729,76.8780487804878
Netherlands,1991,1.61,15069798.0,35486.0,26.4306872037915,13.2,2.43913440834392,8.6,68.7891450976514,18.2798500975371,58.3382701421801,12.9310048048115,30.671,-1.29312281074979,45.3717665319202,69.329,0.788031035375139,8.679,77.0
Netherlands,1992,1.59,15184166.0,37760.0,26.664691943128,13.0,1.70607089720053,8.6,68.6596018595859,18.3290392480604,58.1694312796209,13.0113588923537,29.777,-2.20208129318304,45.6460517344774,70.223,0.756056593396787,8.023,77.2170731707317
Netherlands,1993,1.57,15290368.0,38984.0,26.7268957345972,12.8,1.25755215783573,9.0,68.5445613512376,18.375635676043,58.2612559241706,13.0798029727195,28.9,-2.29248303794429,45.8904906878499,71.1,0.696991330125143,7.42,76.9165853658537
Netherlands,1994,1.57,15382838.0,39389.0,26.7565165876777,12.7,2.96109256914634,8.7,68.4365270129536,18.4144725177471,57.7725118483412,13.1490004692993,28.038,-2.42514252326674,46.1207905405662,71.962,0.602938474274189,6.861,77.3751219512195
Netherlands,1995,1.53,15459006.0,38760.0,27.2215639810426,12.3,3.11603598565915,8.8,68.3377098433879,18.4232185729887,58.1960900473934,13.2390715836234,27.191,-2.57354720400473,46.332086717086,72.809,0.49392737251493,5.884,77.4046341463415
