country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Spain,1961,0.92901553460921,-0.780066142283465,30739250.0,27.3989793455382,11.8386741948327,8.3,8.37225179078195,69.4804878048781,42.697,55.6934702672411,64.2287688636798,66.4892552723198,32.5063027732202,57.303,-33339.0,2.77,21.2,9.064
Spain,1962,0.920032286529714,-1.46190868666474,31023366.0,27.4229730714762,9.95343810301819,8.7,8.50825665155807,69.5190243902439,41.692,56.0822847765999,64.0687702769658,66.4932570330946,32.6063467925887,58.308,-42096.0,2.8,21.1,11.377
Spain,1963,0.877043251659206,-1.54582014461927,31296651.0,27.3915983417331,9.59649887419805,8.8,8.57898246250819,69.6812195121951,40.694,56.1782077246722,64.0294191957587,66.3031733962944,32.424266677338,59.306,-36275.0,2.88,21.4,10.308
Spain,1964,0.993696426233108,-1.47420885507209,31609195.0,27.4143244678932,5.30851024557082,8.4,8.63353212341571,70.399756097561,39.702,56.3669226215817,63.9521434086911,65.5348353275441,31.8520148865501,60.298,-33780.0,3.01,22.0,11.005
Spain,1965,1.08584474209375,-1.41352306483559,31954292.0,27.5310787493572,6.25313489898551,8.4,8.78951085426297,70.8092682926829,38.722,57.0366278665471,63.6794103963798,65.4167833846893,31.9460562647565,61.278,-36245.0,2.94,21.1,11.038
Spain,1966,1.02402785233795,-1.52086463941906,32283194.0,27.6544899397431,7.2460603095073,8.4,8.99049026689217,71.0551219512195,37.749,57.8406889856483,63.3550197933647,64.340309736284,31.0316539277282,62.251,-32459.0,2.91,20.7,11.511
Spain,1967,1.23066581815604,-1.35349873458064,32682947.0,27.7479169970303,4.34033841707533,8.4,9.14917733768712,71.2529268292683,36.786,58.4713096545467,63.1029056652826,64.7925087038297,31.4938572972108,63.214,-27597.0,2.94,20.7,11.964
Spain,1968,1.30765578581186,-1.31994556811328,33113134.0,27.7947356895547,6.59702013758331,8.4,9.32102827404689,71.5378048780488,35.832,59.0223686461965,62.8842360363984,64.3463123774461,31.397815038617,64.168,-40257.0,2.87,20.1,12.941
Spain,1969,0.985430559578259,-1.67294144340387,33441054.0,27.850995827065,8.90701555527112,8.9,9.47789717194289,71.0575609756098,34.892,59.5631647649078,62.6711070009921,65.0826363599984,32.1781583896915,65.108,-34330.0,2.86,19.9,12.897
Spain,1970,1.11063144876766,-1.59090487109075,33814531.0,27.8749452876053,4.24497076715346,8.3,9.65922378843876,72.0273170731707,33.962,60.0875188803158,62.465830923956,64.2662771619513,31.3938132778423,66.038,-53295.0,2.84,19.5,13.409
Spain,1971,1.20508483293956,-1.20883493433269,34224490.0,27.8521775392017,4.64947368746324,8.8,9.82808387577503,71.630243902439,33.152,60.4628064656619,62.3197385850233,65.3967745808156,32.6923846492457,66.848,14581.0,2.9,19.6,14.848
Spain,1972,1.10413658971046,-1.00838966423833,34604469.0,27.7758320149637,8.14974580952463,8.1,9.97521683907709,72.8180487804878,32.459,60.6452770190538,62.2489511459592,65.1646724558806,32.5903397494898,67.541,7538.0,2.87,19.4,15.647
Spain,1973,1.1049376041377,-1.02171087173848,34988947.0,27.651836752992,7.78846535789519,8.5,10.1278473342417,72.6107317073171,31.776,60.7192123299737,62.2203159127663,64.5884189043179,32.1221337388451,68.224,9876.0,2.84,19.2,16.672
Spain,1974,1.09260761038069,-1.06096065916765,35373335.0,27.5068846082399,5.61878571735528,8.3,10.2197623163181,72.969756097561,31.099,60.5823263874671,62.273353075442,64.1880940470235,31.8519259629815,68.901,105120.0,2.88,19.5,20.118
Spain,1975,1.08129360308283,-1.09337205743362,35757900.0,27.3370013353586,0.5422032143575,8.3,10.3320846440581,73.3187804878049,30.43,60.4340336462848,62.3309140205833,63.8892780657687,31.6654324199908,69.57,1177.0,2.77,18.7,22.147
Spain,1976,1.05685172472306,-1.13928894551617,36137812.0,27.1837920318025,3.30379157223688,8.3,10.4935161021326,73.6426829268293,29.769,60.4552017606562,62.3226918660649,63.0862541785936,31.340953219769,70.231,4854.0,2.77,18.7,24.202
Spain,1977,1.02913180859153,-1.18540116383872,36511638.0,27.0148668907215,2.83857433385704,8.1,10.6508812375795,74.1319512195122,29.117,60.425441850999,62.334251871699,63.2381791247948,31.2887856828282,70.883,195.0,2.65,18.0,25.579
Spain,1978,0.96287655038845,-1.27372337450217,36864898.0,26.7587954931126,1.46300323600586,8.1,10.817017714937,74.2956097560976,28.473,60.194320392908,62.4241867919504,63.0152343202611,31.3094308650131,71.527,-1893.0,2.54,17.3,26.17
Spain,1979,0.88158450134584,-1.37384351916859,37191330.0,26.3913801633278,0.0415465146293599,7.8,10.9853233477367,74.8187804878049,27.838,59.6849814368017,62.6232964889356,62.7677463266205,31.1846899147215,72.162,-6124.0,2.37,16.2,25.994
Spain,1980,0.802963561910836,-1.47510028484499,37491165.0,25.9622271787015,2.20872810729247,7.7,11.1623527212688,75.3492682926829,27.211,59.0446620791901,62.8754201000297,62.5422948325225,31.1490179590366,72.789,15108.0,2.22,15.2,24.885
Spain,1981,0.710878010512537,-1.10627382323596,37758631.0,25.4811569857962,-0.13246845198897,7.8,11.3185433530546,75.5285365853659,26.721,58.2270974734373,63.2002996611492,62.4794778360629,31.1716653986305,73.279,-6044.0,2.04,14.1,22.264
Spain,1982,0.600390137240396,-0.286738526370362,37986012.0,24.9498810612322,1.24646160563331,7.5,11.4680083004256,76.1341463414634,26.485,57.2769442986567,63.5821106383422,62.4494454010331,31.1636567492892,73.515,-16439.0,1.94,13.6,20.833
Spain,1983,0.487183210573659,-0.400259445753939,38171525.0,24.4216101961343,1.7701157399856,7.9,11.6236544321997,75.9090243902439,26.251,56.3605862865816,63.9547353716659,61.6522836033078,31.2195903329796,73.749,-21369.0,1.8,12.7,19.938
Spain,1984,0.415255702373565,-0.476292815845728,38330364.0,23.8783962676891,1.78468750686895,7.8,11.7905760082941,76.2953658536586,26.018,55.44598603384,64.3310277240168,61.3246836456832,31.3370975492552,73.982,-18090.0,1.73,12.3,19.232
Spain,1985,0.362365564916491,-0.529445697084751,38469512.0,23.305574559315,2.32143594586806,8.1,12.0039862840222,76.259512195122,25.787,54.5823499194088,64.6904391566628,61.4928720166587,31.1629024507448,74.213,-17354.0,1.64,11.9,18.364
Spain,1986,0.298782366814399,-0.601048682125779,38584624.0,22.6937697533279,3.2533217057731,8.0,12.2774445701868,76.5104878048781,25.556,53.7780549542802,65.0287856764853,61.2886432804741,31.1649046932564,74.444,-19462.0,1.56,11.4,16.74
Spain,1987,0.259329063201825,-0.640787119539027,38684815.0,22.03735243474,5.54712261944346,8.0,12.604606348455,76.7280487804878,25.327,53.0033634006057,65.358041216805,61.2706230978696,31.2029473009771,74.673,-22528.0,1.49,11.0,15.686
Spain,1988,0.212064999269184,-0.688248256997608,38766939.0,21.3548562902906,5.09432420396358,8.2,12.9532721625925,76.7470731707317,25.1,52.2258336445891,65.691871547117,61.2245715201025,31.1889316033958,74.9,-24067.0,1.45,10.8,14.847
Spain,1989,0.156776197618463,-0.747703668882716,38827764.0,20.6420749561141,4.82703027068838,8.4,13.3062583625464,76.8136585365854,24.874,51.3966354322451,66.0516666813395,61.4708473490309,31.058785840141,75.126,-31560.0,1.4,10.5,12.953
Spain,1990,0.101828842607043,-0.806848014650763,38867322.0,19.8839137854058,3.78139355508462,8.6,13.6615946628184,76.8375609756098,24.649,50.4789194783972,66.4544915517758,61.0123338138715,30.7043889155855,75.351,-38206.0,1.36,10.3,11.679
