country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
St. Kitts and Nevis,1978,3.419,43465.0,-862.0,22.8571428571429,28.009,3.90990418237138,12.215,52.5957965696143,38.479678818346,42.8571428571429,8.92452461203971,64.436,-0.594508790770377,90.1272910196404,35.564,-0.316993879629402,133.394,63.352
St. Kitts and Nevis,1979,3.331,43278.0,-865.0,22.8571428571429,27.602,7.5976750284066,12.555,52.9067886686076,37.8980082258884,42.8571428571429,9.19520310550395,64.256,-0.709476961943799,89.0072935319037,35.744,-0.431159378143719,126.206,63.233
St. Kitts and Nevis,1980,3.345,43097.0,-799.0,30.7692307692308,27.931,8.44012103734693,12.795,53.3308582964011,37.2995800171706,57.6923076923077,9.36956168642829,64.118,-0.634899863676503,87.5087017055343,35.882,-0.419103363091393,124.97,63.358
St. Kitts and Nevis,1981,3.392,42953.0,-849.0,30.7692307692308,28.813,1.54690338408525,12.605,53.9962284357321,36.5795171466487,57.6923076923077,9.42425441761926,64.246,-0.133987599034595,85.1981201224507,35.754,-0.334689446648235,125.557,63.879
St. Kitts and Nevis,1982,3.451,42794.0,-940.0,30.7692307692308,29.93,0.547738044741152,12.371,54.6665420386035,35.9033976725709,53.8461538461538,9.43006028882554,64.374,-0.174089700141046,82.9272463024707,35.626,-0.370858880743519,126.079,64.279
St. Kitts and Nevis,1983,3.248,42600.0,-922.0,30.7692307692308,28.692,1.18672046955245,12.144,55.1730613490452,35.3880822995035,53.8461538461538,9.43885635145127,64.502,-0.254425318069534,81.2457454050374,35.498,-0.454365256943426,116.877,64.634
St. Kitts and Nevis,1984,3.055,42380.0,-892.0,30.7692307692308,27.238,8.86580745735674,11.791,55.5379896177442,35.0035394053799,50.0,9.45847097687588,64.63,-0.320770122676973,80.0569316395462,35.37,-0.517770043517165,105.995,65.278
St. Kitts and Nevis,1985,3.004,42144.0,-894.0,30.7692307692308,26.832,8.55006826734157,11.532,55.7974539371433,34.7123518454803,50.0,9.49019421737634,64.757,-0.362100576695229,79.2217733361684,35.243,-0.558422727928259,100.593,65.795
St. Kitts and Nevis,1986,2.862,41889.0,-845.0,30.7692307692308,25.554,10.8569938490329,11.738,55.9884456539903,34.4947360882332,46.1538461538462,9.5168182577765,64.884,-0.411236122051623,78.6082803905684,35.116,-0.60690629327031,91.529,65.511
St. Kitts and Nevis,1987,2.769,41617.0,-828.0,30.7692307692308,24.622,6.55034522837651,11.784,56.1309080423865,34.3417353485355,46.1538461538462,9.52735660907802,65.011,-0.453582413129379,78.1549657534246,34.989,-0.651452499103788,85.982,65.476
St. Kitts and Nevis,1988,2.744,41321.0,-825.0,30.7692307692308,24.185,9.22537497565092,11.856,56.1912367952953,34.2662842898803,46.1538461538462,9.54247891482436,65.138,-0.518788683015295,77.962013867953,34.862,-0.7137892323264,83.534,65.45
St. Kitts and Nevis,1989,2.78,40992.0,-835.0,30.7692307692308,24.172,5.47979407673375,12.19,56.1755952380952,34.2481459797034,46.1538461538462,9.57625878220141,65.265,-0.607428873963439,78.0171103487211,34.735,-0.799391959954191,82.543,64.992
St. Kitts and Nevis,1990,2.793,40636.0,-861.0,30.7692307692308,23.939,4.87725151603959,12.211,56.1189585589133,34.2491879121961,46.1538461538462,9.63185352889064,65.391,-0.678858678344235,78.193378645034,34.609,-0.872255248502509,80.441,65.188
St. Kitts and Nevis,1991,2.622,40542.0,-240.0,30.7692307692308,22.185,-1.86468912891613,11.82,56.3674707710522,34.062207093878,46.1538461538462,9.5703221350698,65.526,-0.0225827092683207,77.4111675126904,34.474,-0.231589943120596,75.844,66.15
