country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Switzerland,1961,1.97861505905873,0.875430859194679,5434294.0,23.9999013740744,8.10867221090605,9.4,10.2870612445837,71.6448780487805,28.757,52.1767888346252,65.7130373813418,43.9258247318357,10.0207447885044,71.243,101265.0,2.52,18.3,20.066
Switzerland,1962,2.53501253675864,1.5003283870706,5573815.0,24.1007818586196,4.78994131635308,9.9,10.2853180737924,71.1960975609756,28.461,52.4067475719793,65.613900067588,43.8524590163934,10.0612224246104,71.539,82788.0,2.58,18.7,21.381
Switzerland,1963,2.13766282113072,1.09580261480089,5694247.0,24.1048393271189,4.87919908861329,10.0,10.2863797694548,71.1875609756098,28.166,52.4186239234931,65.6087809034263,43.4932199959522,9.81329690346084,71.834,58568.0,2.65,19.3,23.387
Switzerland,1964,1.65425824514532,0.608553804218332,5789228.0,24.0893790736362,5.2563507861986,9.3,10.3703108142337,72.0778048780488,27.873,52.5778553917241,65.5403101121302,43.270592997369,9.70957296093908,72.127,21798.0,2.66,19.5,24.817
Switzerland,1965,1.15484251419216,0.108949374098238,5856472.0,24.1186365656075,2.10455491544919,9.5,10.5255250192183,72.2017073170732,27.583,53.0085072785539,65.3558384151742,43.0479659987857,9.55525197328476,72.417,-1040.0,2.59,19.1,26.001
Switzerland,1966,1.04515174261587,-0.0081717301517323,5918002.0,24.1489830205064,2.46145745672364,9.4,10.6930369537087,72.3356097560976,27.294,53.4731257444468,65.1579800257849,42.8987047156446,9.38575187209067,72.706,15252.0,2.5,18.5,26.931
Switzerland,1967,1.23904724663021,0.181972302848511,5991785.0,24.0893094335772,3.05592216743898,9.2,10.8678345643088,72.6365853658537,27.007,53.7447898865553,65.042856002114,42.7241449099373,9.19348310058693,72.993,27789.0,2.39,17.9,27.478
Switzerland,1968,1.25925634808891,0.194656426304793,6067714.0,23.9654270027837,3.58802600373987,9.5,11.0172630979446,72.590243902439,26.721,53.8052107646416,65.0173098992717,42.6558388990083,9.09987856709168,73.279,25724.0,2.29,17.3,27.151
Switzerland,1969,1.125420460311,0.0644315418684398,6136387.0,23.8173027990651,5.6329121225459,9.5,11.158129832833,72.6126829268293,26.439,53.7880320057421,65.0245673681018,42.6887269783445,9.10746812386157,73.561,20746.0,2.19,16.7,23.954
Switzerland,1970,0.722403830625566,-0.349909020787007,6180877.0,23.7666485958209,6.37740651942093,9.2,11.3574376090702,73.020243902439,26.157,54.1404025038031,64.875913795109,42.3471969236997,9.00374418133981,73.843,-18454.0,2.1,16.1,23.147
Switzerland,1971,0.524791841648688,-0.0464625231816349,6213399.0,23.7326488467112,4.07544243672315,9.3,11.5835343405258,73.1307317073171,26.008,54.5981601686363,64.683816812763,42.1321594818863,9.02904270390609,73.992,2310.0,2.04,15.5,21.954
Switzerland,1972,0.762479990409525,0.554653607261504,6260956.0,23.508297912541,3.20050860717652,9.0,11.7889628316063,73.6443902439024,25.954,54.5529633350695,64.7027392558527,42.0663833232139,9.18336369156041,74.046,19443.0,1.91,14.6,20.683
Switzerland,1973,0.738225529466449,0.529926618478846,6307347.0,23.1854873071727,3.04990761044317,9.0,12.0138904358027,73.9409756097561,25.9,54.3195096887845,64.8006222570246,41.8361667678608,9.17830398704716,74.1,7986.0,1.81,13.9,19.589
Switzerland,1974,0.538520832855669,0.329829490024703,6341405.0,22.835987161455,1.45490803156592,8.9,12.2621493634424,74.2870731707317,25.846,54.0787814436947,64.9018634751027,41.6793159279498,9.24408014571949,74.154,1724.0,1.73,13.3,17.781
Switzerland,1975,-0.0437380434174903,-0.252912598998414,6338632.0,22.4338590947763,-7.283174537611,8.8,12.5687263909262,74.6656097560976,25.792,53.8522704296924,64.9974145142975,41.5857113944546,9.33262497470148,74.208,-58461.0,1.61,12.4,15.254
Switzerland,1976,-0.57159575476383,-0.781214154963238,6302504.0,21.952882340569,-1.40367602879266,9.1,12.9143109939433,74.7853658536585,25.738,53.5324499549086,65.1328066654877,41.555353167375,9.34780408824125,74.262,-54583.0,1.55,11.8,12.842
Switzerland,1977,-0.339010906485653,-0.548991533057724,6281174.0,21.4271618119657,2.43365209836408,8.9,13.2293286093341,75.2380487804878,25.684,53.0373701983754,65.3435095787002,41.5249949402955,9.35792349726776,74.316,-22798.0,1.53,11.6,10.799
Switzerland,1978,0.0089788100144071,-0.201534784863982,6281738.0,20.8788102700832,0.409083533148262,9.2,13.4957720866098,75.1873170731707,25.63,52.3799751456488,65.6254176433069,41.6135397692775,9.49453551912568,74.37,-6720.0,1.51,11.4,10.116
Switzerland,1979,0.200809491511636,-0.010062561812498,6294365.0,20.2984786277368,2.49151236138555,9.1,13.7119637074596,75.4660975609756,25.576,51.5391137955674,65.9895576648037,41.9626317175542,9.53578550881119,74.424,4068.0,1.52,11.4,9.666
Switzerland,1980,0.397074418637607,0.189651751825589,6319408.0,19.7428104229185,4.6019773638462,9.4,13.8398142270917,75.4592682926829,25.523,50.5630083019929,66.4173753499898,41.8267279655724,9.62938077159614,74.477,17242.0,1.55,11.7,9.907
Switzerland,1981,0.547064910132262,0.590107518528596,6354074.0,19.2366964275526,1.60133572686854,9.4,13.8765577051788,75.6931707317073,25.534,49.5064626557017,66.8867458672686,41.7162158846064,9.73070965381871,74.466,24245.0,1.55,11.6,9.787
Switzerland,1982,0.584291675385673,0.819035460508218,6391309.0,18.765654944678,-1.30941745531238,9.3,13.8892687662182,76.0339024390244,25.594,48.4889522683721,67.3450762891037,41.5935506116946,9.83957483054722,74.406,21668.0,1.56,11.7,9.582
Switzerland,1983,0.428787920002408,0.662919065951513,6418773.0,18.3442450381235,0.639079559594123,9.5,13.9062168556139,76.0312195121951,25.654,47.6024613394979,67.7495381062625,41.4712496309644,9.9801941424347,74.346,5457.0,1.52,11.5,8.553
Switzerland,1984,0.359111652414513,0.592711747172717,6441865.0,17.9691415680805,3.00845639299246,9.1,13.9501154127057,76.6085365853659,25.714,46.8844213084888,68.0807430192138,41.3485006750776,10.1788797481532,74.286,12108.0,1.53,11.6,8.18
Switzerland,1985,0.441442667641394,0.670626580041074,6470365.0,17.6398306970947,3.67359587310645,9.2,14.0616885405229,76.7336585365854,25.773,46.4161409824173,68.2984807623824,41.2117118450388,10.2315295124804,74.227,14005.0,1.52,11.5,7.057
Switzerland,1986,0.520391611336159,0.752912093830744,6504124.0,17.3677041138287,1.85863271687793,9.2,14.2195051670416,76.8990243902439,25.833,46.1714879789503,68.4127907191297,41.1040945939621,10.2227101908854,74.167,22923.0,1.53,11.7,6.859
Switzerland,1987,0.628115754543019,0.860111011214169,6545106.0,17.1685713969198,1.58547838061136,9.3,14.3507573781,77.1975609756098,25.893,46.0265904648523,68.4806712249802,40.9824324047415,10.0863997927599,74.107,26589.0,1.52,11.7,6.6
Switzerland,1988,0.734943056123237,0.970244879906885,6593386.0,17.0670203321233,3.27759603695701,9.0,14.448400352452,77.2265853658537,25.954,46.0182843227468,68.4845793154247,40.8611299368997,10.1758501519513,74.046,34171.0,1.57,12.2,7.101
Switzerland,1989,0.808536055550948,1.03948906783738,6646912.0,17.0387171932264,4.33079421124518,9.2,14.5251784570373,77.4212195121951,26.014,46.1217115039983,68.4361043497363,40.7401871882525,10.336870044643,73.986,34078.0,1.56,12.2,7.172
Switzerland,1990,1.02687307219521,1.25721025171118,6715519.0,17.0977054522607,3.67462559317617,9.5,14.5599180415433,77.2424390243902,26.074,46.3221081828373,68.342376506196,40.6035907063298,10.1972538324133,73.926,58538.0,1.58,12.5,7.556
Switzerland,1991,1.24982602441627,1.46820608139872,6799978.0,17.2048989661084,-0.91581666845633,9.2,14.5490849462275,77.5146341463415,26.131,46.5287022643498,68.2460160876641,40.4993757802747,10.3100076272441,73.869,69110.0,1.58,12.7,8.283
Switzerland,1992,1.10252107229095,1.30896956088989,6875364.0,17.3448414481858,-0.0437330034965839,9.1,14.5472495332946,77.8060975609756,26.185,46.8258152885952,68.1079090185197,40.3795045868357,10.2730269573834,73.815,41548.0,1.58,12.6,7.827
Switzerland,1993,0.910715565788466,1.11292208961661,6938265.0,17.508813643822,-0.125983394603708,9.0,14.5753656834995,78.0853658536586,26.238,47.2410858668387,67.9158206726786,40.2599880443749,10.3684715545424,73.762,40015.0,1.51,12.1,7.022
Switzerland,1994,0.797158411024818,1.0027764405302,6993795.0,17.605812741475,1.26975767606226,8.9,14.6315813939352,78.35,26.292,47.5740096700314,67.7626058645899,40.1408236209887,10.6045344765782,73.708,29901.0,1.49,11.9,6.231
Switzerland,1995,0.668242326234317,0.873373198730114,7040687.0,17.6506262807608,0.480866448949428,9.0,14.7122023978244,78.4170731707317,26.346,47.8476821887386,67.6371713214148,40.0220138442846,10.6793226454964,73.654,24956.0,1.48,11.7,5.763
Switzerland,1996,0.441636406706345,0.646391319456299,7071850.0,17.6657720966871,0.471280020946296,8.9,14.8157748337233,78.8960975609756,26.4,48.1076500731758,67.5184530695896,39.9284652012952,10.6327634265686,73.6,-361.0,1.5,11.7,5.755
Switzerland,1997,0.240891210155647,0.445238875935077,7088906.0,17.6331161398039,2.26132523902862,8.9,14.9428160515084,79.079512195122,26.454,48.3149842801607,67.4240678086877,39.8515104913607,10.4955071866015,73.546,-2284.0,1.48,11.4,5.671
Switzerland,1998,0.297135765740057,0.501062479407547,7110001.0,17.5595131327515,3.0299691703928,8.8,15.0735746679795,79.3243902439025,26.508,48.4408286963849,67.366912199269,39.7749239557872,10.4424657590738,73.492,10962.0,1.47,11.1,5.777
Switzerland,1999,0.476919931285641,0.680434086929057,7143991.0,17.4790181873296,1.66270128418284,8.7,15.1930270760505,79.580487804878,26.562,48.5266958606026,67.3279547366199,39.6937644213253,10.370238432579,73.438,25428.0,1.48,11.0,6.105
Switzerland,2000,0.561954617400164,0.768806714142368,7184250.0,17.3796260932972,3.95871971933516,8.7,15.3075740536245,79.6804878048781,26.617,48.5601498784099,67.3127998530783,39.6172730401124,10.3239253548407,73.383,24066.0,1.5,10.9,6.168
Switzerland,2001,0.632771238018431,0.662832770192192,7229854.0,17.1084794134546,1.57566196744156,8.5,15.4278215099573,80.1804878048781,26.625,48.2278621932795,67.4636990765881,39.5407713506987,10.342633891296,73.375,35173.0,1.38,10.0,5.633
Switzerland,2002,0.756469145838096,0.658726253307246,7284753.0,16.8111916750956,-0.0732170840426534,8.5,15.5072301442456,80.3853658536585,26.599,47.7506857405714,67.6815781806588,39.4656034584428,10.3133388944079,73.401,48658.0,1.39,9.9,5.618
Switzerland,2003,0.74191960337232,0.644160562162374,7339001.0,16.6123246405644,-0.0323984765377787,8.6,15.5669101940612,80.5365853658537,26.573,47.4474757437014,67.8207651653744,39.3894779687923,10.2800570153019,73.427,41871.0,1.39,9.8,5.43
Switzerland,2004,0.687425960233006,0.593305763865386,7389625.0,16.3877761070055,2.70170920967028,8.1,15.6734904894914,81.0878048780488,26.548,47.1914290802081,67.9387334035031,39.3119241238083,10.2679582478105,73.452,38681.0,1.42,9.9,5.396
Switzerland,2005,0.640601540243491,0.542617877771767,7437115.0,16.148712087318,2.74969898498485,8.2,15.8112049046135,81.2365853658537,26.522,46.9721765006613,68.0400830080685,39.2348776376625,10.2590651678865,73.478,32421.0,1.42,9.8,5.162
Switzerland,2006,0.627558473346134,0.529452634439243,7483934.0,15.8962061589215,4.07362844994275,8.1,15.9922796089905,81.490243902439,26.496,46.8180674109515,68.111514232088,39.1590521822101,10.2782741629424,73.504,36928.0,1.44,9.8,4.674
