country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
Uganda,1983,7.04,14228932.0,-45835.0,23.0218707772384,48.844,5.74455771307937,20.314,48.9032293113506,48.1852941663258,56.5537260397378,2.91147652232355,91.53,2.13019469699893,104.485480656708,8.47,2.48246551102789,171.699,43.519
Uganda,1984,7.004,14617944.0,-8824.0,24.0228216805966,49.199,-0.344676680158472,20.078,48.9762223409728,48.1120208111339,57.5546769430959,2.91175684789335,91.195,2.33057751760678,104.180706064559,8.805,2.69724585778288,170.869,43.752
Uganda,1985,7.035,15038915.0,-42995.0,24.5232971322757,49.923,-3.30638000677493,18.874,49.0205510171445,48.0719087779936,58.055152394775,2.90754020486185,90.848,2.45790348517262,103.996061398025,9.152,2.83913598045199,172.216,45.381
Uganda,1986,7.081,15486807.0,-19507.0,25.0237725839548,50.562,0.390086943062727,18.923,49.0134005354816,48.0873639119853,59.1411841249187,2.89923555253305,90.489,2.53878930880417,104.025828750808,9.511,2.93473252294644,173.998,45.322
Uganda,1987,7.119,15974216.0,-22431.0,25.0237725839548,51.09,3.96190278946132,18.181,49.0102456358422,48.106157447727,59.1411841249187,2.88359691643083,90.118,2.68790350049534,104.038956173602,9.882,3.09874221855551,172.761,46.619
Uganda,1988,7.105,16489323.0,-20124.0,25.0237725839548,51.225,8.26707354577805,18.113,48.985452586501,48.1523074052222,59.1411841249187,2.86224000827687,89.733,2.74558140915804,104.142239367517,10.267,3.17371581667772,170.905,46.701
Uganda,1989,7.072,17028543.0,-12579.0,25.0237725839548,51.313,6.36194124395438,18.177,48.9350131442539,48.2301701258243,59.3663980781743,2.83481672992173,89.335,2.7732630890682,104.352651891534,10.665,3.21778555676955,174.635,46.472
Uganda,1990,7.037,17586630.0,-21692.0,25.0237725839548,51.372,6.47414015255596,18.094,48.8551672492115,48.3435029906241,59.8668735298534,2.8013297601644,88.924,2.76367436912067,104.686639095212,11.076,3.22480181545626,177.405,46.443
Uganda,1991,6.983,18171935.0,3642.0,25.1238676742906,51.174,5.55409549507921,18.005,48.7708862933175,48.4670551466573,60.2172063460287,2.76205856002516,88.546,2.84795534958513,105.04035265442,11.454,3.27394166931985,177.868,46.316
Uganda,1992,6.96,18801966.0,24725.0,25.2239627646264,51.281,3.41835689468401,17.825,48.6997091501041,48.5834447157429,60.3173014363645,2.71684613415304,88.21,3.0281172552655,105.340029921904,11.79,3.40830678772436,182.825,46.368
Uganda,1993,6.932,19462958.0,18352.0,25.2239627646264,51.152,8.32629251939072,17.746,48.6055870849642,48.7283947280778,60.4674440718683,2.66601818695802,87.867,3.06555974825248,105.737665147829,12.133,3.45516304809416,182.141,46.237
Uganda,1994,6.928,20125021.0,-16192.0,25.3240578549622,50.898,6.40363574007452,17.534,48.4564004068269,48.9323303331626,60.5675391622041,2.61126926001048,87.515,2.94367077368313,106.37108137616,12.485,3.3450797464942,177.85,46.353
Uganda,1995,6.917,20680831.0,-242445.0,25.3240578549622,50.856,11.5232438119529,17.294,48.062362677786,49.3827448229716,60.6676342525399,2.55489249924241,87.154,2.31098096742061,108.06301319477,12.846,2.72433658029574,180.352,46.567
Uganda,1996,6.894,21249572.0,-22809.0,25.3240578549622,50.206,9.07211457909349,17.08,47.7002090277346,49.8031478045029,60.9178719783795,2.49664316776255,86.784,2.28751740624125,109.642692596455,13.216,2.71295214058182,184.262,46.67
Uganda,1997,6.906,21876935.0,-155544.0,25.3240578549622,49.91,5.10000186476283,16.728,47.4695312666057,50.0942179514635,60.9178719783795,2.43625078193083,86.406,2.47309287036258,110.661443431358,13.594,2.90961314833138,180.469,46.977
Uganda,1998,6.887,22537658.0,6283.0,25.424152945298,49.335,4.90526548451564,16.413,47.3103360453499,50.316580150355,61.2682047945548,2.3730838042951,86.018,2.5254214150497,111.370305783501,13.982,2.97547135684212,176.837,47.175
Uganda,1999,6.875,23279247.0,-39697.0,25.5242480356338,49.081,8.05394837724197,15.844,47.2983522039685,50.3946487271399,61.3682998848906,2.30699906889168,85.621,2.77486600961372,111.423860426676,14.379,3.23746779364357,173.3,47.786
Uganda,2000,6.832,24020697.0,-52834.0,26.525198938992,48.593,3.141907338187,15.297,47.2871988833796,50.4746708541665,62.6194885140884,2.23813026245387,85.214,2.65887324904791,111.473718638068,14.786,3.13535567369772,167.322,48.342
Uganda,2001,6.81,24763325.0,-95975.0,27.0256743906711,48.251,5.18366112490236,14.677,47.2865699577904,50.5464007761478,63.1199639657675,2.16702926606181,84.799,2.55658939090205,111.476544243944,15.201,3.04478942602344,163.393,49.006
Uganda,2002,6.779,25545090.0,-35155.0,28.0266252940293,47.774,8.73268576440127,14.083,47.3494447005385,50.5560549883352,64.1209148691257,2.09450031112632,84.374,2.60569324287447,111.195723221064,15.626,3.10813979944162,158.333,49.648
Uganda,2003,6.702,26354736.0,-96452.0,29.2778139232271,47.115,6.47325867166543,13.434,47.4556461606057,50.5231535894886,65.622341224163,2.02120024990574,83.939,2.60339322149884,110.723086062713,16.061,3.12028672115224,151.575,50.368
Uganda,2004,6.653,27146084.0,-138801.0,29.7782893749062,46.68,6.80723334361883,12.571,47.5218570664162,50.5307828291326,66.3730544016816,1.94736010445116,83.493,2.42572555668389,110.429490796471,16.507,2.95848070670913,148.768,51.547
Uganda,2005,6.572,27946588.0,-151432.0,29.7782893749062,45.989,6.33256511623156,11.637,47.5971153902064,50.5278345701421,66.3730544016816,1.87505003965153,83.04,2.36219503826383,110.096769076597,16.96,2.90623167656329,144.538,52.976
Uganda,2006,6.481,28773227.0,-156293.0,30.5290025524248,45.363,10.7847443857453,10.77,47.7104661863347,50.4836205977804,67.3777588709274,1.80591321588491,82.575,2.35347493539772,109.597619902503,17.425,2.91502197083402,143.676,54.369
Uganda,2007,6.379,29629804.0,-154826.0,31.2797157299434,44.688,8.41242596551071,10.157,47.8682941653663,50.3912437353829,68.3824633401732,1.74046209925084,82.101,2.35786278110905,108.906549273997,17.899,2.93354099227772,140.807,55.236
Uganda,2008,6.251,30509862.0,-158848.0,32.2806666333016,43.934,8.70875190154499,9.687,48.0695225694564,50.2511286350623,69.6374055352585,1.67934879548128,81.616,2.33443704060487,108.032022484743,18.384,2.92692289648893,136.61,55.823
Uganda,2009,6.174,31412520.0,-164609.0,33.0313798108203,43.544,6.80151734860395,9.229,48.2892251242498,50.0849693052324,70.6421100045043,1.62580557051774,81.122,2.3085417313566,107.08553482786,18.878,2.9156563947553,133.408,56.488
Uganda,2010,6.071,32341728.0,-168379.0,33.6624775583483,43.068,5.63761163749757,8.832,48.5207500353723,49.8973802512964,71.1400359066427,1.58186971333133,80.617,2.2907120378895,106.097391172022,19.383,2.91517454447869,128.949,57.055
Uganda,2011,5.935,33295738.0,-173065.0,34.1611809295831,42.434,9.3916554927176,8.319,48.7528163514502,49.6993173720913,71.6387392778775,1.54786627645857,80.102,2.26623856884593,105.116361447728,19.898,2.90711158037377,128.522,57.965
Uganda,2012,5.784,34273295.0,-175994.0,34.4105326152005,41.743,3.83745560605229,7.843,48.9868175791093,49.486735955793,71.8880909634949,1.52644646509768,79.576,2.23487895648252,104.136551428056,20.424,2.89370786919312,129.208,58.817
Uganda,2013,5.618,35273570.0,-176638.0,34.4105326152005,40.943,3.58690582623025,7.35,49.2343573389368,49.2445604456821,71.8880909634949,1.52108221538109,79.042,2.20342969579673,103.110190781032,20.958,2.8767478792897,127.918,59.763
Uganda,2014,5.463,36336539.0,-92291.0,34.4105326152005,40.154,5.10630732539796,6.99,49.5457375625987,48.9206518964196,71.8880909634949,1.53361054098176,78.496,2.2758191349798,101.833712284356,21.504,2.96898607347744,125.144,60.408
Uganda,2015,5.306,37477356.0,-62377.0,34.4105326152005,39.422,5.18785986002466,6.648,49.9445411784118,48.5013123657923,71.8880909634949,1.55414645579587,77.94,2.38047021286803,100.222086962459,22.06,3.09130915647166,123.351,61.086
Uganda,2016,5.174,38748299.0,123381.0,34.4105326152005,38.709,4.78100029254482,6.368,50.4712568156863,47.9526546442723,71.8880909634949,1.57608854004146,77.376,2.60873172007501,98.1325684211194,22.624,3.33499474701031,117.755,61.648
Uganda,2017,5.052,40127085.0,92876.0,34.4105326152005,38.343,3.13140551723596,6.169,51.0694160814323,47.3310072236745,71.8880909634949,1.59957669489324,76.804,2.75447344736436,95.811916730413,23.196,3.49646846553214,114.781,62.115
Uganda,2018,4.932,41515395.0,60723.0,34.4105326152005,38.062,6.30392378262997,5.939,51.6174541998215,46.7601946217783,71.8880909634949,1.62235117840021,76.226,2.6458681320054,93.7329222429779,23.774,3.40127795850029,113.187,62.714
Uganda,2019,4.809,42949080.0,107203.0,34.4105326152005,37.667,6.43874503276439,5.823,52.1539029473972,46.2007311914481,71.8880909634949,1.64536586115465,75.639,2.62203284133043,91.7402039972016,24.361,3.39509056427404,112.081,62.991
Uganda,2020,4.693,44404611.0,43465.0,34.4105326152005,37.252,2.95130642218098,5.852,52.6650768317732,45.6701073228634,71.8880909634949,1.66481584536345,75.046,2.54573003303503,89.8791497701397,24.954,3.33280874526165,109.579,62.851
Uganda,2021,4.585,45853778.0,43465.0,34.4105326152005,36.795,3.53658034070898,5.877,53.1311945550048,45.1916339369026,71.8880909634949,1.67717150809253,74.447,2.41004909794314,88.213347803565,25.553,3.211427903809,107.938,62.705
