country name,year,"fertility rate, total","population, total",net migration,arable land,"birth rate, crude",gdp growth,"death rate, crude",population ages 15-64,population ages 0-14,agricultural land,population ages 65 and above,rural population,rural population growth,age dependency ratio,urban population,population growth,adolescent fertility rate,"life expectancy at birth, total"
United Arab Emirates,1971,6.469,344513.0,39031.0,0.0985637848493382,32.132,36.6123778540724,7.072,67.723424079788,30.6891176820613,2.98507462686567,1.58745823815067,20.2,14.4761342359774,47.659397555247,79.8,14.4756499611231,149.667,61.211
United Arab Emirates,1972,6.45,392368.0,39360.0,0.0985637848493382,31.236,39.0796375879151,6.592,68.9164650067475,29.4643938032742,2.98507462686567,1.6191411899783,20.2,13.0058735829648,45.1032891281998,79.8,13.0068349335734,146.426,62.304
United Arab Emirates,1973,6.4,441546.0,39563.0,0.112644325542101,30.489,76.6201550372084,6.193,69.847648942579,28.4905762932967,2.99915516755843,1.66177476412424,20.2,11.8082995430383,43.1689736680836,79.8,11.8082029950538,144.822,63.351
United Arab Emirates,1974,6.331,491955.0,39700.0,0.126724866234863,29.792,14.4980412677801,5.847,70.5131866601756,27.7623687508321,3.0132357082512,1.7244445889923,20.2,10.8109223509226,41.8172174128622,79.8,10.8105044017579,140.201,64.338
United Arab Emirates,1975,6.258,543394.0,39556.0,0.154885947620389,29.163,6.22740138880226,5.638,70.9183391793064,27.2579380707185,3.02731624894396,1.82372274997516,20.2,9.94502542320497,41.0072502504113,79.8,9.94474064466588,138.168,65.08
United Arab Emirates,1976,6.208,614177.0,76314.0,0.154885947620389,28.677,16.5268565060144,5.46,71.4078352006018,26.7983008155629,3.04139678963672,1.79386398383528,20.097,11.7331468274554,40.0407231668305,79.903,12.2448504878623,136.145,65.82
United Arab Emirates,1977,6.155,706861.0,79336.0,0.168966488313151,29.48,21.4393301701994,4.992,71.8557821127492,26.5043622437792,3.05547733032948,1.63985564347163,19.894,13.0400255154226,39.1675083329888,80.106,14.0550880972457,134.371,66.514
United Arab Emirates,1978,6.093,805231.0,81531.0,0.168966488313151,30.125,-1.58960331991626,4.597,71.9480671086514,26.5570832735679,3.06955787102225,1.49484961778073,19.691,12.0037906345106,38.9891740370209,80.309,13.0295151583775,131.102,67.209
United Arab Emirates,1979,6.03,908452.0,82586.0,0.168966488313151,30.542,20.9235730770155,4.249,71.7704247282326,26.8774392468943,3.08363841171501,1.35213602487309,19.49,11.0351257649916,39.333282208589,80.51,12.0612859321966,127.182,67.846
United Arab Emirates,1980,5.948,1014048.0,79756.0,0.225288651084202,30.66,23.8747749104978,3.913,71.4586136659144,27.3177762207626,3.13996057448606,1.22361011332298,19.29,9.96511664079201,39.941072968777,80.71,10.9963468210741,122.398,68.53
United Arab Emirates,1981,5.812,1100180.0,37758.0,0.267530273162489,30.165,4.65917667406508,3.632,70.7940973295279,28.0357305168245,3.19628273725711,1.17017215364758,19.317,8.29226313791686,41.254623727151,80.683,8.15235614542674,114.354,69.085
United Arab Emirates,1982,5.651,1167856.0,38243.0,0.253449732469727,30.156,-6.71931618570775,3.446,69.9119155101314,28.9150802838706,3.19628273725711,1.173004205998,19.534,7.08657460121717,43.0370460187808,80.466,5.96957863532609,106.325,69.66
United Arab Emirates,1983,5.481,1237572.0,38014.0,0.32385243593354,30.034,-4.74582069996585,3.348,69.1766091898529,29.6520241456756,3.26668544072092,1.17136666447151,19.753,6.91322565884877,44.5575918982374,80.247,5.7981806452141,100.076,69.949
United Arab Emirates,1984,5.306,1308331.0,36660.0,0.337932976626302,29.814,4.01695127959405,3.184,68.5555752158954,30.2797725803992,3.26668544072092,1.16465220370541,19.974,6.67251550459889,45.867142955892,80.026,5.56008835387875,92.802,70.485
United Arab Emirates,1985,5.126,1379536.0,35496.0,0.366094058011828,29.488,-3.59447651736832,3.108,68.0625702908187,30.780954327776,3.30892706279921,1.15647538140528,20.196,6.40478736321176,46.9235783025258,79.804,5.29949316212603,86.385,70.747
United Arab Emirates,1986,5.008,1468697.0,68733.0,0.408335680090115,29.651,-14.9581365645327,3.058,67.6918494107874,31.1752760524206,3.3511686848775,1.13287453679195,20.376,7.15029001885132,47.7281962767605,79.624,6.26284024064243,76.919,70.964
United Arab Emirates,1987,4.9,1575909.0,68141.0,0.408335680090115,28.411,3.38198170900863,2.864,67.6338544928673,31.2672876416087,3.3511686848775,1.09885786552396,20.518,7.74004207678732,47.8549474221465,79.482,7.04566354989878,68.034,71.491
United Arab Emirates,1988,4.785,1683681.0,67441.0,0.408335680090115,27.396,-2.61890770383259,2.801,67.9796030306207,30.9482523862144,3.36524922557026,1.07214458316493,20.661,7.30946088226933,47.1029041727826,79.339,6.61502192954251,60.709,71.606
United Arab Emirates,1989,4.672,1791840.0,66283.0,0.408335680090115,26.618,12.3378912822599,2.745,68.5685576191394,30.3802879666399,3.36524922557026,1.05115441422069,20.804,6.91578644147631,45.839420692327,79.196,6.22605569049676,54.727,71.757
United Arab Emirates,1990,4.537,1900151.0,64939.0,0.492818924246691,25.923,18.3279855336406,2.704,69.2850806896187,29.6798176355938,4.01295409743734,1.03510167478751,20.949,6.5637946324908,44.3311576495931,79.051,5.86903318464931,48.493,71.9
United Arab Emirates,1991,4.252,2008383.0,64706.0,0.492818924246691,24.574,0.860081947626696,2.608,70.0471299430612,28.9288873365072,4.36496761475641,1.02398272043163,21.094,6.2292637540293,42.7609884739642,78.906,5.53965639945375,41.065,72.241
United Arab Emirates,1992,4.09,2116231.0,63263.0,0.535060546324979,23.839,3.34494485849439,2.598,70.802832961052,28.1793197434496,4.77330329484652,1.01784729549846,21.24,5.92040107148485,41.2373060535842,78.76,5.23067555863232,39.971,72.306
United Arab Emirates,1993,3.817,2223284.0,62946.0,0.563221627710504,22.429,1.26119094566637,2.557,71.5345407964075,27.4499344213335,4.99859194593072,1.01552478225904,21.386,5.62010623977313,39.7926077202443,78.614,4.9348705828098,38.536,72.521
United Arab Emirates,1994,3.765,2329024.0,59748.0,0.591382709096029,22.202,6.89614855343777,2.566,72.2581862617131,26.727504740183,5.23796113770769,1.01430899810393,21.533,5.3313558534649,38.3926422728237,78.467,4.64639135932791,41.638,72.598
United Arab Emirates,1995,3.274,2433988.0,64261.0,0.605463249788792,19.508,6.68788645972637,2.559,73.0047204413661,25.9852912205625,5.39284708532808,1.00998833807144,21.681,5.09310219151045,36.9774543228024,78.319,4.40817686960834,35.147,72.695
United Arab Emirates,1996,3.232,2572735.0,130051.0,0.64770487186708,19.493,5.79840406919965,2.58,73.5450017199595,25.4659535474893,5.44916924809913,0.989044732551157,21.507,4.73803061375736,35.9711709311999,78.493,5.54384709828192,34.231,72.767
United Arab Emirates,1997,3.062,2746119.0,131906.0,0.633624331174317,18.33,8.1903986491688,2.52,74.0907939697431,24.9516726972998,5.56181357364123,0.957533332957045,21.062,4.43120422862153,34.9695594412915,78.938,6.52191067880396,29.477,72.937
United Arab Emirates,1998,2.907,2921130.0,133350.0,0.506899464939454,17.335,0.291994342094142,2.473,74.9564723240664,24.1121244176055,5.60405519571952,0.931403258328113,20.622,4.06684525770669,33.4107608048316,79.378,6.17818855537547,26.185,73.066
United Arab Emirates,1999,2.793,3097563.0,133289.0,0.605463249788792,16.765,2.90221363963286,2.298,75.9487861909507,23.1394809403392,7.2655589974655,0.911732868710015,20.19,3.74748707468821,31.6677017089036,79.81,5.86451455757029,24.881,73.67
United Arab Emirates,2000,2.733,3275333.0,131735.0,0.844832441565756,16.66,10.852704215378,2.107,76.9276742242697,22.1747376526295,7.70205575894114,0.897588123100766,19.764,3.44787773654468,29.9922171328648,80.236,5.58038700101525,25.818,74.38
United Arab Emirates,2001,2.621,3454198.0,130241.0,0.999718389186145,16.525,1.39908503706675,2.047,77.7975202633897,21.3166589345282,7.91326386933258,0.885820802082104,19.345,3.17429536086827,28.5388199220029,80.655,5.31707596147158,25.759,74.636
United Arab Emirates,2002,2.54,3633655.0,128160.0,1.0560405519572,16.401,2.43345681089617,1.987,78.5158027544996,20.6117560158788,7.96958603210363,0.872441229621583,18.933,2.91207186688444,27.3629132633694,81.067,5.06487258360989,25.389,74.901
United Arab Emirates,2003,2.491,3813443.0,124550.0,0.901154604336806,16.43,8.80054081355328,1.661,79.0921615978002,20.0535054542575,7.80061954379048,0.854332947942319,18.528,2.66703509354355,26.4347915461344,81.472,4.82934268529322,25.997,76.222
United Arab Emirates,2004,2.384,3993339.0,122863.0,0.887074063644044,16.094,9.56643663767056,1.613,79.5689146350961,19.6018419673361,7.80061954379048,0.8292433975678,18.129,2.43240442016155,25.6772318240656,81.871,4.609526743863,25.047,76.453
United Arab Emirates,2005,2.204,4280993.0,339380.0,0.957476767107857,15.206,4.85514119553352,1.563,80.2228034216824,19.0040115688099,7.84286116586877,0.773185009507723,17.738,4.77548320895744,24.6528219598973,82.262,6.95572689795874,22.179,76.683
United Arab Emirates,2006,2.072,4898954.0,781672.0,0.712475359053788,14.484,9.83731976923958,1.449,81.626191874205,17.7431633627134,7.58377921712194,0.630644763081592,17.352,11.2834069593892,22.5096840825942,82.648,13.4836720911499,19.436,76.909
United Arab Emirates,2007,1.99,5872624.0,1037187.0,0.627992114897212,14.24,3.18439017324607,1.229,83.4680715128365,16.0983318530183,7.49929597296536,0.433596634145145,16.977,15.9431761375319,19.8062698219376,83.023,18.1279839755253,17.771,77.129
United Arab Emirates,2008,1.917,6988685.0,1040422.0,0.72655589974655,14.08,3.19183627331816,1.011,85.0026210225973,14.7291883043225,7.5978597578147,0.268190673080177,16.613,15.2317066253204,17.6434396391589,83.387,17.3990859957442,16.389,77.488
United Arab Emirates,2009,1.852,7992644.0,783241.0,0.702618980568854,13.9,-5.24292190385027,0.867,85.9823795479944,13.8458500090834,5.46184173472261,0.171770442922267,16.258,11.2628938498163,16.3029050388911,83.742,13.4229206026704,15.087,78.003
United Arab Emirates,2010,1.79,8481771.0,-13726.0,0.712475359053788,13.665,1.60285004671354,0.795,86.0792457141321,13.7447650968176,5.52379611377077,0.175989189050258,15.913,3.79488284768958,16.1720159473084,84.087,5.93976536580988,13.72,78.334
United Arab Emirates,2011,1.724,8575205.0,-15738.0,0.635032385243593,13.292,6.21612181664371,0.82,85.6775435689293,14.0747305749542,5.47029005913827,0.247725856116559,15.577,-1.03848908916887,16.7166982554163,84.423,1.09556271332912,12.33,78.517
United Arab Emirates,2012,1.666,8664969.0,-16401.0,0.522388059701493,12.911,1.8244807850986,0.85,85.4095331783915,14.2593750618511,5.30413967896367,0.331091759757493,15.251,-1.07375035017841,17.0829420420473,84.749,1.04134460783085,11.149,78.716
United Arab Emirates,2013,1.602,8751847.0,-15566.0,0.528020275978598,12.438,5.05555965807969,0.896,85.240036460873,14.3316711128707,5.34215713883413,0.428292426256285,14.934,-1.10277150040472,17.3157572883286,85.066,0.997641825826328,9.876,78.853
United Arab Emirates,2014,1.545,8835951.0,-14954.0,0.619543790481555,11.989,4.16569184064922,0.948,85.1238545164038,14.3343702146849,5.3858068149817,0.541775268911334,14.625,-1.13441239253209,17.4758844709474,85.375,0.956397623844095,8.819,79.044
United Arab Emirates,2015,1.486,8916899.0,-14154.0,0.620951844550831,11.478,6.78677287656618,1.014,85.0081794130448,14.3178587085039,5.39003097718952,0.673961878451242,14.326,-1.1536914652376,17.6357466854298,85.674,0.911950036242349,7.785,79.223
United Arab Emirates,2016,1.438,8994263.0,-13520.0,0.626584060827936,10.993,5.56149075979933,1.102,84.8434329749975,14.3286837398462,5.40411151788229,0.827883285156327,14.035,-1.18830588220192,17.8641682045739,85.965,0.863868922846647,7.035,79.335
United Arab Emirates,2017,1.419,9068296.0,-12895.0,0.626584060827936,10.62,0.735068713941203,1.202,84.595677324366,14.3965147584791,5.40411151788229,1.00780791715488,13.752,-1.21726987493508,18.2093561711013,86.248,0.819744473334198,5.593,79.504
United Arab Emirates,2018,1.356,9140169.0,-8582.0,0.595606871303858,10.049,1.31391388153578,1.324,84.2509485190619,14.5293695045808,5.37524640946212,1.21968197635722,13.478,-1.22309696149088,18.6930269395725,86.522,0.789450107726376,4.275,79.627
United Arab Emirates,2019,1.334,9211657.0,-4466.0,0.702618980568854,9.75,1.10834813453296,1.471,83.8167769381774,14.7122010730534,5.49704308645452,1.47102198876923,13.211,-1.22180620101669,19.3078436050447,86.789,0.779087177439076,3.825,79.726
United Arab Emirates,2020,1.46,9287289.0,-2762.0,0.689946493945367,10.62,-4.95705243303316,1.766,83.4050388654859,14.9409854694949,5.48859476203886,1.65397566501915,12.952,-1.16223772382522,19.8968328056032,87.048,0.817694385518168,3.077,78.946
United Arab Emirates,2021,1.46,9365145.0,-2762.0,0.708251196845959,10.307,4.35475529659919,1.874,83.0985522967638,15.1430338314588,5.51339763446916,1.75841387177742,12.701,-1.12216871133547,20.3390385875641,87.299,0.834812788038646,3.085,78.71
