country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Uzbekistan,1992,2.3443917035247,1.52958426164934,21449000.0,40.0826671573065,-11.199999997316,6.5,3.85733359681136,65.109,57.692,78.3803044316309,56.0599992458822,65.1716031969911,10.5171603196991,42.308,-33270.0,4.004,33.1,54.108
Uzbekistan,1993,2.27245841546414,1.45095306610458,21942000.0,39.9572048578646,-2.30000000438973,6.6,3.99328884586097,64.829,57.22,78.4136987764977,56.0495062962744,64.9905970850964,10.5101081335214,42.78,-37383.0,3.8,31.5,63.574
Uzbekistan,1994,1.96310372458368,1.12951558000205,22377000.0,39.7781072742608,-5.19999999306704,6.6,4.1171926146255,64.685,56.745,78.238182829188,56.1047001111137,64.974141984015,10.5030559473437,43.255,-41799.0,3.537,29.4,63.165
Uzbekistan,1995,1.806877907471,0.964499388526984,22785000.0,39.5354458206325,-0.90000000546145,6.4,4.22299496979648,64.646,56.269,77.8044547333717,56.241559209571,64.9811941701928,10.519511048425,43.731,-45888.0,3.596,29.8,58.44
Uzbekistan,1996,1.91268599840564,1.06135607899222,23225000.0,39.229182773354,1.70000000306203,6.2,4.31310701312192,64.712,55.792,77.1237287606914,56.4577102135241,64.974141984015,10.5218617771509,44.208,-50325.0,3.32,27.3,54.494
Uzbekistan,1997,1.88523880811601,1.0266013815438,23667000.0,38.8288628824474,5.19999999656402,5.8,4.38508734418955,64.764,55.315,76.0995937811627,56.7860497733631,64.9670897978373,10.5242125058768,44.685,-48369.0,3.082,25.5,45.371
Uzbekistan,1998,1.6094902947862,0.7397672557654,24051000.0,38.3004789383585,4.30000000106287,5.9,4.44832216978555,65.035,54.836,74.6688293230408,57.251198891856,64.2548189938881,10.5265632346027,45.164,-49882.0,2.815,23.4,29.697
Uzbekistan,1999,1.07790835989868,0.198716551110748,24311650.0,37.6392448343491,4.30000000179396,5.4,4.51853511410207,65.383,54.356,72.8840913192757,57.8422200515488,64.2477668077104,10.5289139633286,45.644,-61969.0,2.72,22.4,23.778
Uzbekistan,2000,1.38374682096563,0.493045043793869,24650400.0,36.874369234193,3.83500000014033,5.5,4.59578341577115,65.724,53.874,70.8530056576032,58.5298473500359,62.6839310495109,10.2760542704116,46.126,-66569.0,2.58,21.4,20.941
Uzbekistan,2001,1.26596853291421,0.37100835298592,24964450.0,36.0215913499146,4.1638382499889,5.3,4.67586626970228,66.087,53.394,68.626829285097,59.3025423803831,62.6848141019612,10.2796212988431,46.606,-48649.0,2.46,20.5,17.503
Uzbekistan,2002,1.22383151928578,0.317010347255658,25271850.0,35.1251813521698,3.97348819235724,5.4,4.75938698143336,66.604,52.912,66.346635745703,60.1154316663969,62.0447751949366,10.2865034376283,47.088,-47697.0,2.52,21.1,14.306
Uzbekistan,2003,1.16367524443693,0.246647359889813,25567650.0,34.2347887184327,4.23262738154364,5.3,4.83760381417302,67.04,52.429,64.1292132108621,60.9276074673943,61.6343601520612,10.1978310394905,47.571,-44098.0,2.36,19.9,11.836
Uzbekistan,2004,1.15376921505544,0.228253388418242,25864350.0,33.3687092081175,7.44900060559664,5.0,4.88913393969431,67.401,51.946,61.9638932625838,61.7421568521881,61.2224763853868,10.1089128674117,48.054,-38839.0,2.46,20.9,9.457
Uzbekistan,2005,1.1633502238127,0.229189071863814,26167000.0,32.5065818581219,6.95000719569097,5.4,4.89981663258061,67.49,51.463,59.760735601508,62.5936015092975,60.8077568148602,10.0195251107608,48.537,-33395.0,2.36,20.4,9.084
Uzbekistan,2006,1.22021635439699,0.275286190398879,26488250.0,31.6458787798143,7.45141847621768,5.3,4.87733066427193,67.891,50.979,57.5378953033536,63.4767905559138,60.3923368131238,9.93002179648962,49.021,-29201.0,2.39,21.0,8.955
Uzbekistan,2007,1.42347489680303,0.46953143029914,26868000.0,30.8700495825353,9.4730053054454,5.1,4.82972371343486,68.292,50.495,55.5204462096232,64.3002267040298,59.9586223347646,9.83751697309993,49.505,-27023.0,2.554,22.7,9.33
Uzbekistan,2008,1.60532736295221,0.642188134255835,27302800.0,30.2261920822087,9.02916101784777,5.1,4.76089920259671,68.765,50.011,53.8156105594348,65.0129087151946,59.5457913098927,9.74844426298321,49.989,-24037.0,2.637,23.7,10.762
Uzbekistan,2009,1.687340968602,0.716862653538781,27767400.0,29.696511717156,8.05093332733966,4.8,4.67405348269136,68.871,49.528,52.3706528044861,65.6294348001526,59.1336063035475,9.65947539253805,50.472,-20379.0,2.53,23.4,18.346
Uzbekistan,2010,2.82284968340424,1.84081431274526,28562400.0,29.2363201004871,7.5971679610016,4.8,4.57785212929219,69.235,49.044,51.0897463804589,66.1858277702207,58.7255558716379,9.57117818175144,50.956,-20381.0,2.342,22.0,21.669
Uzbekistan,2011,2.68401550537804,2.28767187021745,29339400.0,28.836105154761,7.52513989422977,4.9,4.4863543205733,69.649,48.85,49.9755351869544,66.6775405246656,58.3214206223369,9.48351227257812,51.15,-20380.0,2.236,21.2,25.381
Uzbekistan,2012,1.47209998811321,1.67660005447196,29774500.0,28.5408143042562,7.10244488753446,4.9,4.40621378446588,69.874,48.95,49.1358216635202,67.0529719112779,57.907296925195,9.39421753097751,51.05,-20382.0,2.193,21.0,26.318
Uzbekistan,2013,1.56190433294848,1.76598701757825,30243200.0,28.4003665025922,7.29655036878682,4.8,4.34260483166933,69.99,49.05,48.6833477232175,67.2570286657385,57.5048934231933,9.30496180491017,50.95,-20380.0,2.35,22.5,25.394
Uzbekistan,2014,1.68690035915161,1.89056669757704,30757700.0,28.4136367865087,6.87383844617584,4.9,4.30426870308837,70.234,49.15,48.6279517309614,67.2820945104029,58.6109332727536,9.27972023157996,50.85,-20382.0,2.457,23.3,25.77
Uzbekistan,2015,1.74425837484667,1.94750587881082,31298900.0,28.5227759133108,7.21877350346286,4.9,4.33340142831444,70.475,49.25,48.9340279010347,67.1438226583747,57.984566500227,9.17158420335906,50.75,-20380.0,2.491,23.5,24.898
Uzbekistan,2016,1.73884926199094,1.94169293685464,31847900.0,28.6743307982373,5.9321508024275,4.9,4.41935621657246,70.755,49.35,49.4627246828647,66.9063129851903,57.9805306962693,9.15883438381628,50.65,-35209.0,2.455,22.8,22.444
Uzbekistan,2017,1.68350632535532,1.88593519048947,32388600.0,28.8416271720228,4.39527463456371,5.0,4.51943239152008,71.01,49.45,50.0624090158094,66.6389404364571,57.9525543137807,9.1386964692638,50.55,-48561.0,2.419,22.1,20.097
Uzbekistan,2018,1.73698637655233,1.8824811929699,32956100.0,29.0881381624216,5.87974286685132,4.7,4.63226545702785,71.149,49.522,50.8759946472971,66.2795963805505,57.9234067278426,9.12373719605889,50.478,-60066.0,2.604,23.3,19.015
Uzbekistan,2019,1.87647016682647,1.96729613525707,33580350.0,29.4164411454935,5.98156194197318,4.6,4.75465012711304,71.344,49.567,51.9089435254758,65.8289087273935,58.0070592775022,9.15549704350195,50.433,-69397.0,2.785,24.3,17.452
Uzbekistan,2020,1.92212652692564,1.95642009904719,34232050.0,29.7700920460112,1.99558508201379,5.1,4.8675298116888,70.331,49.584,52.9932090815049,65.3623781423,58.2832179734483,9.12969476909111,50.416,-39203.0,2.904,24.6,16.479
Uzbekistan,2021,1.97570606573325,1.95351985238959,34915100.0,30.070973508198,7.40336813606621,5.0,4.98181723435527,70.862,49.573,53.9711999043234,64.9472092574468,58.3012029873846,9.11397403399046,50.427,-39201.0,3.173,25.9,15.859
