country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Vanuatu,1980,2.40868175843754,1.97389009169808,118156.0,44.9061202726892,-11.3998067077697,9.198,3.37983945022068,61.083,85.26,93.3702109552722,51.7140402770901,10.5004101722724,1.4766201804758,14.74,-834.0,5.737,38.704,88.535
Vanuatu,1981,2.28504397109987,1.83827078702977,120887.0,44.8042386691704,4.37795667690264,8.823,3.41558645677368,61.824,84.88,93.1256490134995,51.7801748740559,10.746513535685,1.55865463494668,15.12,-853.0,5.668,38.895,89.518
Vanuatu,1982,2.33910147444407,1.88067290562601,123748.0,44.725347986828,1.97988311533415,8.471,3.45946382755207,62.536,84.492,92.9943855271366,51.8151881856199,10.8285479901559,1.55865463494668,15.508,-864.0,5.593,38.956,89.353
Vanuatu,1983,2.391417441974,1.92104116410956,126743.0,44.6715005956937,3.0096292542201,8.138,3.50906953441216,63.239,84.095,92.9778616888456,51.8194298698942,11.0746513535685,1.64068908941756,15.905,-865.0,5.527,39.048,89.122
Vanuatu,1984,2.43956357565196,1.95662051260385,129873.0,44.6447683506195,9.57499148469137,7.827,3.56117129811431,63.912,83.69,93.0737668361431,51.7940603512662,11.0746513535685,1.64068908941756,16.31,-874.0,5.449,38.988,88.945
Vanuatu,1985,2.46864151471551,1.9750129553706,133119.0,44.6344999586836,1.001623320554,7.68,3.61293278945906,64.231,83.278,93.2271783780645,51.7525672518574,11.2387202625103,1.64068908941756,16.722,-883.0,5.381,38.975,89.71
Vanuatu,1986,2.4993233647156,1.99248383183334,136488.0,44.6348566718564,-0.150463358752518,7.315,3.66663613884055,65.053,82.857,93.4298914429863,51.698507189303,11.5668580803938,1.64068908941756,17.143,-882.0,5.318,38.904,89.677
Vanuatu,1987,2.50913888243049,1.9891048535019,139956.0,44.6365286232816,-2.89393472379192,7.544,3.72009774500557,64.578,82.427,93.6343008937713,51.6433736317128,11.7309269893355,1.64068908941756,17.573,-876.0,5.245,38.691,88.979
Vanuatu,1988,2.52020506201702,1.98685726879804,143528.0,44.628032955357,-1.69288283840022,6.893,3.77000923168034,66.04,81.989,93.7917718698945,51.6019578129627,12.059064807219,1.64068908941756,18.011,-883.0,5.158,38.298,87.099
Vanuatu,1989,2.51329837597011,1.99480796971379,147181.0,44.6079996738709,1.53189352084379,6.852,3.82012623912054,66.134,81.565,93.904142074199,51.5718740870085,12.2231337161608,1.64068908941756,18.435,-914.0,5.076,37.857,84.931
Vanuatu,1990,2.48349524878471,2.1394187014343,150882.0,44.6145179195732,11.6956997985937,6.635,3.83245240501715,66.675,81.285,93.9743391957215,51.5530296754097,12.4692370795734,1.64068908941756,18.715,-939.0,5.029,37.579,82.776
Vanuatu,1991,2.48474623710383,2.13611632782576,154678.0,44.6499975756008,3.14763848027586,6.406,3.80856944287307,67.203,81.002,94.0192917978501,51.5414329815261,12.6333059885152,1.64068908941756,18.998,-943.0,4.992,37.318,82.641
Vanuatu,1992,2.48947430333076,2.13441875606843,158577.0,44.6831990667024,2.5854137275348,6.314,3.78710725039807,67.353,80.715,94.0622170007587,51.5296936828995,12.8794093519278,1.64068908941756,19.285,-939.0,4.95,36.963,81.365
Vanuatu,1993,2.4733062998753,2.11505762414843,162548.0,44.7040258877378,0.735447995455772,6.214,3.76288850062751,67.528,80.426,94.0512857245183,51.5330856116347,13.0434782608696,1.64068908941756,19.574,-939.0,4.894,36.487,80.283
Vanuatu,1994,2.43822620989284,2.0719971834904,166560.0,44.6855327975888,9.08146609289211,6.095,3.73590218510502,67.739,80.132,93.8795702429315,51.5785650173061,13.1255127153404,1.64068908941756,19.868,-939.0,4.824,35.849,77.393
Vanuatu,1995,2.40363676937333,2.03360637262043,170612.0,44.6209663475205,1.00394504149095,6.01,3.70578771067601,67.885,79.836,93.5243475005955,51.6732459418035,13.5356849876948,1.64068908941756,20.164,-939.0,4.765,35.304,74.74
Vanuatu,1996,2.37583787471536,1.99955057631922,174714.0,44.4988824625317,2.3273354164422,5.725,3.67313531504254,68.63,79.536,92.9454119777805,51.8279822224257,13.6997538966366,1.64068908941756,20.464,-937.0,4.688,34.648,72.637
Vanuatu,1997,2.35145243344103,1.97093537246565,178871.0,44.3154563903595,4.90681267768768,5.675,3.63334470092972,68.708,79.234,92.1184911496821,52.0511989087107,13.7817883511075,1.64068908941756,20.766,-929.0,4.632,34.176,71.772
Vanuatu,1998,2.3302035933403,1.94183572347024,183088.0,44.0831731189373,1.17685436113621,5.635,3.58707288298523,68.763,78.927,91.0958260706197,52.3297539980774,14.109926168991,1.64068908941756,21.073,-902.0,4.575,33.74,72.417
Vanuatu,1999,2.34492013889799,1.95236122392274,187432.0,43.7977506509027,0.337293221894313,5.835,3.53461522045328,68.237,78.618,89.8699298999149,52.667634128644,14.1919606234619,1.64068908941756,21.382,-734.0,4.516,33.313,72.153
Vanuatu,2000,2.44646014761845,2.07595743956384,192074.0,43.37599050366,5.92480905652914,5.512,3.5335339504566,68.966,78.327,88.3577025291008,53.0904755458834,14.3560295324036,1.64068908941756,21.673,-458.0,4.48,33.117,73.959
