country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Viet Nam,1985,2.37614236133263,2.29785235042086,59811313.0,39.6297959582513,3.80585566810947,7.554,5.51142385461908,67.601,80.439,82.2862244164493,54.8587801871296,20.7379642999785,17.2539862975821,19.561,-56107.0,4.215,32.006,35.328
Viet Nam,1986,2.32971920136212,2.25012477572082,61221107.0,39.5071111707674,2.78929157479443,7.358,5.5231041026169,68.013,80.375,81.9181204376618,54.9697847266157,20.6611570247934,17.1126609112415,19.625,-58879.0,4.084,31.378,35.308
Viet Nam,1987,2.27649466415563,2.19808152678625,62630787.0,39.3040236002142,3.5834696313072,7.19,5.54813796649132,68.392,80.312,81.3307681561921,55.1478384332945,20.6150726596823,16.9805523979231,19.688,-56261.0,3.938,30.543,36.656
Viet Nam,1988,2.22121055658214,2.14148843401557,64037514.0,39.010680520796,5.13501167157808,7.142,5.57672726021188,68.469,80.248,80.4643959846972,55.4125922189921,20.6150726596823,16.7747089004271,19.752,-45612.0,3.814,29.811,38.107
Viet Nam,1989,2.2067370311388,2.03337400653878,65466361.0,38.6751078059395,7.36451289395819,6.875,5.60243607860254,69.076,80.109,79.4608632407538,55.722456115458,20.6304341147193,16.5903714399828,19.891,-6835.0,3.702,29.146,41.485
Viet Nam,1990,2.18510462921386,1.72718053311824,66912613.0,38.3297226787422,5.10091813908369,6.816,5.62429463037111,69.213,79.743,78.4249206812083,56.0459826908867,20.6642293158008,16.4029616885311,20.257,-10252.0,3.596,28.508,43.715
Viet Nam,1991,2.13831120512174,1.67072100776199,68358820.0,37.9550751461187,5.96084393218912,6.549,5.64346926994936,69.849,79.371,77.300389024927,56.401455583932,20.7410365909859,16.4920581277459,20.629,-824.0,3.476,27.79,46.525
Viet Nam,1992,2.07021824643611,1.5941024380793,69788747.0,37.5421388670143,8.64604745934572,6.504,5.65818938074508,69.958,78.994,76.0573539019983,56.7996717522406,21.5828443270147,16.9160342867676,21.006,-5664.0,3.322,26.773,48.217
Viet Nam,1993,1.96885940402398,1.48537657577161,71176405.0,37.0668015821619,8.07273065739605,6.228,5.67698800131175,70.621,78.613,74.6535437762092,57.2562104165263,21.7733263694737,16.9467571968417,21.387,-5426.0,3.143,25.508,47.314
Viet Nam,1994,1.84401818051391,1.3505173865632,72501087.0,36.5061409355145,8.83898095245374,6.173,5.71305848145422,70.759,78.226,73.0678688711411,57.7808005830313,21.9361577928661,16.7869980644567,21.774,-2891.0,2.92,23.913,45.447
