country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Africa Western and Central,1961,2.11578911759847,1.65518097520912,99314028.0,41.4171935731326,50.3984432566211,1.87345509634132,26.0937693411751,3.30756294735645,38.1649497795417,84.9098767668753,81.1126364407664,49.6015567433789,55.2752434795109,32.8901817040252,6.97666963648141,15.0901232331247,-41547.0,6.47151755185967,47.42105059828,170.748419054554
Africa Western and Central,1962,2.14572305938492,1.67180263956379,101445032.0,41.5290339431241,50.4229679461095,3.70764332803346,25.6439771556482,3.32117347791012,38.7351018609467,84.5159244828963,81.5403354374412,49.5770320538905,55.1497925789658,32.9419139608559,7.00463600609291,15.4840755171037,-36399.0,6.49182578734167,47.5292225587646,174.212286374905
Africa Western and Central,1963,2.19082685093935,1.69083303227772,103667517.0,41.6961176286942,50.4389193692158,7.14578445653302,25.3738057834741,3.33230330411731,39.0637152759625,84.1024080500838,82.1424198825617,49.5610806307842,54.9715790671885,32.9797183023861,7.0415560355405,15.8975919499162,-37435.0,6.50608758636194,47.5310286906071,175.665650169403
Africa Western and Central,1964,2.21135999620788,1.68680656638713,105959979.0,41.9444263076979,50.4540196620517,5.40640343431113,25.1513587648314,3.33922969761962,39.3353602545354,83.6707921459762,82.9982819104121,49.5459803379483,54.7163439946825,33.0182964169885,7.06598515682169,16.3292078540238,-45534.0,6.52535544956749,47.5119229382633,175.847602445638
Africa Western and Central,1965,2.24256745086745,1.69336841498433,108336203.0,42.1685764009463,50.4674516453524,4.102491284691,24.9138314986727,3.34115869784415,39.6180376955522,83.2213503008408,83.7583303441057,49.5325483546476,54.4902649012096,33.0684811276748,7.10257356923832,16.7786496991592,-15985.0,6.54110170802647,47.4685679365373,175.46702133702
Africa Western and Central,1966,2.27281641022623,1.74523074007197,110798486.0,42.3315208693869,50.4783982838333,-1.53759046975254,24.7178386325874,3.33849726947387,39.8378269884933,82.7920442818054,84.2975865463832,49.5216017161667,54.3299818611392,33.0856146742747,7.12921347072595,17.2079557181946,-21743.0,6.56496650071741,47.4436372076149,173.176493213223
Africa Western and Central,1967,2.27572062672409,1.72658425384846,113319950.0,42.492222066837,50.4914494394679,-9.10146318985673,25.0427120933781,3.33053664601078,39.4715000612072,82.3475200641017,84.8112788838526,49.5085505605321,54.1772412871522,33.092247014894,7.1718815287103,17.6524799358983,9625.0,6.58980593159602,47.4259282601607,170.984633208514
Africa Western and Central,1968,2.29595318388334,1.72641679842663,115921723.0,42.6476920580682,50.5049485794971,1.56398223225717,24.4807922334798,3.32100958730032,40.0856789209301,81.8890484766259,85.3022648472895,49.4950514205029,54.0312983546315,33.2129556141658,7.29148473787884,18.1109515233741,-2360.0,6.61277465250295,47.4223456235463,168.651906976592
Africa Western and Central,1969,2.32399754789705,1.73539628696915,118615741.0,42.7997777810945,50.5133824793557,15.2665021645984,24.2535903083807,3.31243435676413,40.350420384534,81.4179951461249,85.7858622901922,49.4866175206443,53.8877878621414,33.2402587497154,7.30099109276655,18.5820048538752,-16684.0,6.63518140123135,47.412691442892,170.327071863033
Africa Western and Central,1970,2.36819833212525,1.7763633127512,121424797.0,42.9436575294232,50.5115380238062,17.5664121127492,23.6858416949464,3.30166868878642,41.0347613835006,80.947280840486,86.2341527692068,49.4884619761938,53.7546737817903,33.1608917403041,7.21421796966367,19.052719159514,6159.0,6.65712171393698,47.4141056280456,171.387190203411
