country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Belize,1961,2.54280280512091,3.21063509128053,93757.0,45.4920699254456,50.4207963089542,4.89227721902682,15.079,4.15862282282923,53.356,46.28,98.6124645172224,49.5792036910458,50.3493072517252,3.46339324857519,1.57825515124945,53.72,-374.0,6.48,44.077,154.064
Belize,1962,2.55982810364542,3.22685442733249,96188.0,46.0538011695906,50.3378694959549,4.89265218028385,11.823,4.17777777777778,59.0,46.59,100.931670531219,49.6621305040451,49.7684210526316,3.46339324857519,1.57825515124945,53.41,-505.0,6.46,43.17,153.52
Belize,1963,2.74203285371251,3.40242736492048,98862.0,46.6534158726305,50.2654401037445,4.95643419491631,11.478,4.20029940725456,59.569,46.899,103.474180336304,49.7345598962555,49.1462847201149,3.50723366944323,1.62209557211749,53.101,-212.0,6.44,42.262,151.878
Belize,1964,2.90100788642138,3.5634834251389,101772.0,47.2571041150808,50.2017637100902,4.99987991041311,11.168,4.22021774161852,60.057,47.21,106.091288323681,49.7982362899098,48.5226781433007,3.50723366944323,1.62209557211749,52.79,-87.0,6.42,41.376,151.417
Belize,1965,2.96812844173931,3.61966660043702,104838.0,47.834505782759,50.1385226795063,4.93054096131836,10.801,4.23226421843329,60.629,47.519,108.624532356921,49.8614773204937,47.9332299988077,3.50723366944323,1.62209557211749,52.481,40.0,6.4,40.564,151.413
Belize,1966,3.02888348958531,3.68105872986296,108062.0,48.3662156909922,50.082016588666,4.77084511295949,10.543,4.24108382225019,60.963,47.83,111.003065627868,49.917983411334,47.3927004867576,3.55107409031127,1.66593599298553,52.17,132.0,6.379,39.835,150.966
Belize,1967,3.05209294050831,3.69775984639384,111411.0,48.8237247668543,50.0314544539507,4.9131231620706,10.186,4.24643886151278,61.5,48.14,113.08405852539,49.9685455460493,46.929836371633,3.55107409031127,1.66593599298553,51.86,164.0,6.358,39.22,149.95
Belize,1968,3.01831643259646,3.66299748808519,114825.0,49.1900718484651,49.980821870042,7.36722545714625,9.757,4.24907467885913,62.192,48.451,114.774704000898,50.019178129958,46.5608534726758,3.55107409031127,1.66593599298553,51.549,97.0,6.337,38.786,149.956
Belize,1969,2.85034534396741,3.49016385929231,118145.0,49.4045452621778,49.927990511691,5.10637479099275,9.375,4.24647678699903,62.77,48.762,115.754487846747,50.072009488309,46.3489779508231,3.59491451117931,1.70977641385357,51.238,-237.0,6.316,38.548,150.182
Belize,1970,2.3092429607029,2.87107609047659,120905.0,49.3387370249369,49.8716207262126,4.8076933638294,8.92,4.25954261610355,63.468,49.037,115.509251007094,50.1283792737874,46.4017203589595,3.59491451117931,1.70977641385357,50.963,-1294.0,6.299,38.576,150.248
