country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Bosnia and Herzegovina,1992,-5.16526304355897,-5.67797394715526,4275730.0,24.0682087115193,51.4706410215236,-6.43690771039324,19.114,7.94969606940757,51.785,60.113,47.0975814411447,48.5293589784764,67.9820952190731,42.96875,16.6015625,39.887,-437223.0,1.773,14.411,36.35
Bosnia and Herzegovina,1993,-8.10178118268825,-8.61717046705694,3942981.0,24.8083905056086,51.9615149973799,-2.1813484904898,19.58,8.67667238019564,51.519,59.804,50.3421893176842,48.0384850026201,66.5149371141957,42.7734375,16.6015625,40.196,-178713.0,1.741,12.524,34.165
Bosnia and Herzegovina,1994,-4.68985898879183,-5.2095345466179,3762330.0,24.9434127256248,52.3086305622036,11.1319654858782,10.635,9.36507430236051,67.209,59.494,52.2266351396624,47.6913694377964,65.6915129720147,42.578125,16.6015625,40.506,-157677.0,1.705,11.548,32.102
Bosnia and Herzegovina,1995,-0.314208288820264,-0.838356336360778,3750527.0,24.3237816978787,52.4027576970818,15.9683009584783,9.709,9.86458703003605,70.284,59.183,51.9488243446963,47.5972423029182,65.8116312720852,42.48046875,16.6015625,40.817,126915.0,1.676,10.698,30.732
Bosnia and Herzegovina,1996,4.10656532533756,3.57631095376906,3907751.0,23.0668385814294,52.3240196044278,54.1993001671129,8.425,10.0255633004205,73.43,58.87,49.4598754217691,47.6759803955722,66.9075981181501,42.3828125,17.578125,41.13,173195.0,1.651,11.221,30.033
Bosnia and Herzegovina,1997,3.51986603877969,2.98846438365887,4047748.0,21.9787397832078,52.2471348066859,36.6411284670344,8.314,10.2093682709497,73.686,58.558,47.4667696472127,47.7528651933141,67.8118919458425,42.28515625,17.578125,41.442,80138.0,1.677,12.296,32.892
Bosnia and Herzegovina,1998,1.64924947318851,1.11330982573385,4115059.0,21.1609116661511,52.2103352678673,16.6163744979847,8.33,10.5215137863151,73.901,58.245,46.3752459709146,47.7896647321327,68.3175745475338,42.1875,18.5546875,41.755,24341.0,1.554,11.791,26.297
Bosnia and Herzegovina,1999,0.91811638851753,0.377579805525414,4153014.0,20.3892763183558,52.186497652473,9.52157018578963,7.683,10.9201293325763,75.076,57.931,45.5803738874692,47.813502347527,68.6905943490679,41.11328125,18.5546875,42.069,25493.0,1.37,10.556,20.505
Bosnia and Herzegovina,2000,0.632139635256837,0.0868742104931184,4179350.0,19.6244033163052,52.1657562399469,5.41431594987489,8.358,11.3454125641547,74.496,57.616,44.8641652567943,47.8342437600531,69.0301841195401,41.6015625,19.53125,42.384,8141.0,1.283,10.068,17.848
Bosnia and Herzegovina,2001,0.372139796167984,-0.174323170389853,4194932.0,18.9032742366265,52.1496909393081,2.42331317180992,8.187,11.7765198577712,75.06,57.302,44.258092337658,47.8503090606919,69.3202059056023,41.5234375,19.7265625,42.698,9058.0,1.232,9.816,17.971
Bosnia and Herzegovina,2002,0.0828752170247773,-0.470114616337332,4198410.0,18.2465385705541,52.1422262591502,5.02744420733983,8.859,12.2066568057908,74.612,56.986,43.7880925797812,47.8577737408498,69.5468046236551,41.46484375,19.47265625,43.014,-13313.0,1.23,9.902,18.914
Bosnia and Herzegovina,2003,-0.349623550237269,-0.905696006433537,4183757.0,17.6623666240654,52.1441188668819,3.8671387951343,8.187,12.6555629306387,75.782,56.67,43.5089293554619,47.8558811331181,69.6820704452959,42.36328125,19.86328125,43.33,-27396.0,1.22,9.86,18.222
Bosnia and Herzegovina,2004,-0.982327609602979,-1.54506753239697,4142860.0,17.1573743742246,52.1620087191773,6.32526616861466,8.258,13.1577219601918,76.133,56.352,43.5031043163923,47.8379912808227,69.6849036655837,42.37109375,20.078125,43.648,-68032.0,1.219,9.842,17.836
Bosnia and Herzegovina,2005,-1.17913407901923,-1.74325186802055,4094297.0,16.7052854250681,52.1879568694491,3.89717798992193,9.242,13.5993920323806,75.42,56.035,43.4816266426123,47.8120431305509,69.6953225425513,42.12890625,20.01953125,43.965,-37107.0,1.203,9.582,17.153
Bosnia and Herzegovina,2006,-0.888359591107583,-1.4556853801796,4058086.0,16.2646400624137,52.2122693760766,5.41400357079434,8.901,13.9282427637367,76.247,55.718,43.2518612992718,47.7877306239234,69.8071171738496,42.16796875,20.05859375,44.282,-38642.0,1.186,9.374,16.594
Bosnia and Herzegovina,2007,-1.24500087046096,-1.81916635122712,4007876.0,15.9795507619935,52.2471087031921,5.85712634217094,9.383,14.1234551821782,76.161,55.399,43.067696871369,47.7528912968079,69.8969940558283,41.97265625,19.9609375,44.601,-65367.0,1.252,9.794,16.015
Bosnia and Herzegovina,2008,-1.62201585384377,-2.19950706638151,3943392.0,15.9219671696305,52.2892075961135,5.44383103450177,9.103,14.1786327834809,76.838,55.08,43.0627625020543,47.7107924038865,69.8994000468886,41.6015625,19.6875,44.92,-68177.0,1.276,9.835,16.29
Bosnia and Herzegovina,2009,-1.67861781190568,-2.25942939672581,3877750.0,15.9462317065308,52.33045878209,-3.00445593013346,9.29,14.1952034040358,76.976,54.761,43.1463598307825,47.66954121791,69.8585648894333,41.5625,19.47265625,45.239,-68227.0,1.299,9.851,16.135
Bosnia and Herzegovina,2010,-1.7340375845377,-2.31826476490607,3811088.0,15.9283123349553,52.3691771497146,0.865669260237084,9.499,14.2025190706696,77.073,54.442,43.1246563736492,47.6308228502854,69.8691685943752,41.875,19.609375,45.558,-67267.0,1.276,9.492,14.83
Bosnia and Herzegovina,2011,-1.79893469913603,-2.38848859039498,3743142.0,15.8164338697856,52.40560821295,0.959511247241267,9.851,14.2405116130395,77.007,54.122,42.9734827361245,47.59439178705,69.9430545171749,42.01171875,19.62890625,45.878,-64918.0,1.216,8.878,12.464
Bosnia and Herzegovina,2012,-1.8542587666769,-2.44911138362858,3674374.0,15.6332616113656,52.4405106872731,-0.821836474216894,9.888,14.3662974972063,77.191,53.801,42.8562042053157,47.5594893127269,70.000440891428,42.109375,19.58984375,46.199,-66436.0,1.29,9.211,12.285
Bosnia and Herzegovina,2013,-1.55832890226336,-2.15487749481019,3617559.0,15.4070072398276,52.4642751212385,2.3498566632458,11.055,14.6111113337905,76.33,53.481,42.8941601399253,47.5357248787615,69.9818814263819,42.20703125,19.70703125,46.519,-37030.0,1.276,8.949,10.863
Bosnia and Herzegovina,2014,-1.29347782804997,-1.89550029313741,3571068.0,15.2099897299617,52.4725028886379,1.15385109200403,12.276,14.924920909504,75.659,53.16,43.1329937112464,47.5274971113621,69.8650893605344,42.12890625,19.6484375,46.84,-35709.0,1.262,8.768,10.655
Bosnia and Herzegovina,2015,-1.31760658922995,-1.945981477285,3524324.0,15.0945826774156,52.4755289195152,4.31475061116335,12.011,15.274900945543,76.182,52.827,43.6151923080841,47.5244710804848,69.6305163770414,42.5,19.9609375,47.173,-33976.0,1.289,8.842,10.862
Bosnia and Herzegovina,2016,-1.23730578353764,-1.892546115331,3480986.0,15.0226832282577,52.4719961370606,3.24225521171914,11.613,15.6739354883932,76.808,52.482,44.293062503912,47.5280038629394,69.303381283349,43.14453125,20.0390625,47.518,-32195.0,1.324,8.953,10.966
Bosnia and Herzegovina,2017,-1.18362667966933,-1.86808033838623,3440027.0,14.9797080081058,52.4556513390127,3.24410095889466,11.842,16.1353675421734,76.935,52.124,45.1696445903632,47.5443486609873,68.8849244497209,43.515625,20.703125,47.876,-30669.0,1.355,9.02,10.836
